"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India (IPV)","rab.win.India (OPV)","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.0432312320033852,0.094118539902632,"Achromobacter","India (OPV)",18,169,10.7,0,0.2,"India (IPV)",0,78,0,0,0,0.00108167235539251,0.02095740188573,10.7,TRUE,79,0,"India (OPV)",-1.30162139904831,-1.39021575934792,-1.25324304279958,0.352437340645361,5.190506185318,0.0602168204074983,0.470152243689913,0.235177921580583,0.485108946365829,0.442842764692468,0.723937618211043,0.044,0,0.044,0.7,0.6,0.75
"2","Acidovorax",0.0638420001631366,0.122950365326029,"Acidovorax","India (OPV)",30,169,17.8,0.1,0.2,"India (IPV)",14,78,17.9,0.2,0.5,1,1,-0.0999999999999979,FALSE,51,0,"ns",-0.839997552462204,-0.651081553796879,-0.9330699920047,-0.353572168810166,7.13462380459966,-0.0448569941537661,0.474664530427386,0.463110738501492,0.726705786467981,0.508624835411372,0.777165917048734,0.057,0.167,-0.11,0.7,0.6,0.75
"3","Acinetobacter",0.197805258941231,0.355001631430817,"Acinetobacter","India (OPV)",166,169,98.2,6.9,9.2,"India (IPV)",72,78,92.3,7.8,11.5,0.0300626771556516,0.172582035523185,5.90000000000001,TRUE,10,1,"ns",11.4073835306664,11.6030641422283,11.300517512749,-0.235592480238746,3.23606820498479,-0.0469469674332715,0.469056679454923,0.589164822648203,0.830786817737271,0.443334966593945,0.787188441871676,6.967,8.005,-1.038,0.7,0.6,0.75
"4","Actinomyces",0.067740467787898,0.145125857074559,"Actinomyces","India (OPV)",41,169,24.3,0.5,2.1,"India (IPV)",11,78,14.1,0.3,1.7,0.0923833560776652,0.36716462030867,10.2,TRUE,49,0,"ns",-0.656028870237934,-0.813919926950706,-0.577118302776271,0.473698925695632,7.83743859321173,0.0564623489756414,0.465144230886359,0.309049814481402,0.612682573128798,0.447772217027893,0.733393984599815,0.465,0.359,0.106,0.7,0.6,0.75
"5","Actinotalea",0.0117867196460087,0.023726185530888,"Actinotalea","India (OPV)",6,169,3.6,0,0.1,"India (IPV)",5,78,6.4,0.1,0.4,0.330624915518288,0.632677307473268,-2.8,FALSE,144,0,"ns",-1.44678590072837,-1.14970895388443,-1.57995462891458,-0.459971172701604,5.08333573140007,-0.0759180357578873,0.455128205279476,0.328959594622515,0.597382614340176,0.339562669517624,0.64203310674266,0.021,0.098,-0.077,0.7,0.6,0.75
"6","Aerococcus",0.0379451766004949,0.07169149236112,"Aerococcus","India (OPV)",35,169,20.7,0.1,0.4,"India (IPV)",11,78,14.1,0.1,0.3,0.291189977036991,0.609924951901805,6.6,TRUE,85,0,"ns",-0.687405338296672,-0.725116778361159,-0.670855783149877,0.238044580695865,6.78062828118648,0.0344981243613564,0.480272381399913,0.455569998380557,0.730225770839909,0.546517607445056,0.809457310233727,0.103,0.074,0.029,0.7,0.6,0.75
"7","Aeromicrobium",0.0148811085322809,0.0321786430800703,"Aeromicrobium","India (OPV)",10,169,5.9,0,0.2,"India (IPV)",1,78,1.3,0,0.4,0.180959616511651,0.501863867095357,4.6,TRUE,133,0,"ns",-1.44424314665058,-1.42213688623835,-1.45383288704577,-0.00487867829541688,4.96227914411022,-0.000910926284113203,0.49929901862842,0.571060426641772,0.7862828137595,0.56752206108826,0.814926144061235,0.039,0.047,-0.008,0.7,0.6,0.75
"8","Aeromonas",0.110003880744574,0.202903341927098,"Aeromonas","India (OPV)",76,169,45,0.4,1.2,"India (IPV)",33,78,42.3,0.4,1.1,0.782988266067765,0.955615600318925,2.7,TRUE,23,0,"ns",1.42609515519426,1.55841318718625,1.34242982436487,-0.449087308339765,9.14123307480255,-0.044611271344882,0.473663128468013,0.608971148579214,0.827137152467231,0.561069423710095,0.829446558323161,0.401,0.446,-0.045,0.7,0.6,0.75
"9","Agathobacter",0.0202177098824912,0.0442414279212195,"Agathobacter","India (OPV)",15,169,8.9,0,0.2,"India (IPV)",3,78,3.8,0,0.4,0.194724554997914,0.503357080801804,5.1,TRUE,120,0,"ns",-1.31248588037696,-1.28583720065465,-1.32232594228489,0.0302207393199865,5.17577066286378,0.00663842336427712,0.495793269244838,0.555885058786494,0.785399744656614,0.612908125846861,0.836767363426715,0.04,0.046,-0.006,0.7,0.6,0.75
"10","Alishewanella",0.0702193487187945,0.131909844817023,"Alishewanella","India (OPV)",51,169,30.2,0.2,0.6,"India (IPV)",24,78,30.8,1,5.8,1,1,-0.600000000000001,FALSE,48,0,"ns",0.000279962672967926,0.18459227647889,-0.0981107758613273,-0.371185439356403,8.60977541180682,-0.0406190546409299,0.476266773562388,0.546325065088714,0.789154082983355,0.527265071285196,0.799552880853712,0.217,0.96,-0.743,0.7,0.6,0.75
"11","Alloprevotella",0.0236808285368959,0.0499904660788434,"Alloprevotella","India (OPV)",20,169,11.8,0.2,1.1,"India (IPV)",4,78,5.1,0.3,1.9,0.110722856612506,0.408620066069963,6.7,TRUE,110,0,"ns",-1.20414566511445,-1.27394720647931,-1.16677483045324,0.213724049371753,5.70702051137737,0.0301018347039598,0.483276587278074,0.420982797228998,0.685795874178841,0.496861025735863,0.766203068313389,0.191,0.266,-0.075,0.7,0.6,0.75
"12","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.128711431215772,0.26519137881193,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","India (OPV)",46,169,27.2,0.3,1.7,"India (IPV)",13,78,16.7,0.2,0.5,0.078699784980649,0.338846296444461,10.5,TRUE,18,1,"ns",-0.466346080077047,-0.582409910650975,-0.40068263810363,0.227114813442587,7.87516241921036,0.0294933409660152,0.482074904926808,0.388616810830084,0.673424005607377,0.500555288109115,0.767456290873604,0.301,0.176,0.125,0.7,0.6,0.75
"13","Altererythrobacter",0.0226721613410668,0.044230959409574,"Altererythrobacter","India (OPV)",9,169,5.3,0,0.2,"India (IPV)",8,78,10.3,0,0.1,0.179275887159802,0.501863867095357,-5,FALSE,115,0,"ns",-1.31512804357093,-0.835566667240944,-1.53289278914837,-0.738993549444872,5.56179670599269,-0.123580324859356,0.43329326945788,0.218679278132029,0.477104270333507,0.170500634732048,0.460453787668941,0.037,0.036,0.001,0.7,0.6,0.75
"14","Anaerococcus",0.0729484590366837,0.136875953540471,"Anaerococcus","India (OPV)",46,169,27.2,0.3,0.9,"India (IPV)",19,78,24.4,0.2,0.4,0.756099063126666,0.942474784055537,2.8,TRUE,42,0,"ns",-0.30381601957165,-0.174612294591627,-0.375069150488359,-0.0050728456838014,8.41009314114224,-0.000951618610535755,0.4994992990203,0.6436828060381,0.833243591283671,0.616693136528804,0.842803743266619,0.29,0.157,0.133,0.7,0.6,0.75
"15","Anoxybacillus",0.0147215937478308,0.0293487190018799,"Anoxybacillus","India (OPV)",9,169,5.3,0,0.3,"India (IPV)",4,78,5.1,0.2,1.6,1,1,0.2,TRUE,135,0,"ns",-1.42176891209391,-1.18782378876668,-1.53499985395774,-0.3289553251638,5.2672927984956,-0.0507859274886724,0.470058081414286,0.429303883188345,0.684154362900448,0.413984427058256,0.683646332836078,0.044,0.256,-0.212,0.7,0.6,0.75
"16","Aquabacterium",0.0233601109706454,0.0470068484497748,"Aquabacterium","India (OPV)",12,169,7.1,0,0.1,"India (IPV)",5,78,6.4,0.1,0.4,1,1,0.699999999999999,TRUE,112,0,"ns",-1.36269641429689,-1.23434865419251,-1.42034113468776,-0.139841097417744,5.5045920951076,-0.0239585848001702,0.488283597075036,0.503144312196978,0.746837054048861,0.482734804104326,0.75100705317002,0.024,0.079,-0.055,0.7,0.6,0.75
"17","Atopobium",0.0465065697754584,0.0876329031911986,"Atopobium","India (OPV)",28,169,16.6,0.2,0.6,"India (IPV)",7,78,9,0.2,1,0.121269736815901,0.427200209237833,7.6,TRUE,72,0,"ns",-1.03755476706279,-1.05426928038058,-1.0316560291488,0.113503247273903,7.06933477885468,0.0154339284418017,0.491987179513982,0.549474386321012,0.77941259067164,0.567418675514146,0.806429690236427,0.18,0.226,-0.046,0.7,0.6,0.75
"18","Bacillus",0.0813026044913124,0.173107217019574,"Bacillus","India (OPV)",50,169,29.6,0.3,0.9,"India (IPV)",14,78,17.9,0.3,1.3,0.0610871969548155,0.305435984774078,11.7,TRUE,34,0,"ns",-0.342742809157363,-0.545287286141839,-0.210417669718163,0.645581796753785,8.0934584882029,0.0833787460669081,0.453926282206673,0.247599561438792,0.546973875236154,0.348755263194262,0.653412096727294,0.277,0.288,-0.011,0.7,0.6,0.75
"19","Bacteroides",0.0158625608549825,0.0385214929478816,"Bacteroides","India (OPV)",9,169,5.3,0,0.1,"India (IPV)",4,78,5.1,0.1,0.4,1,1,0.2,TRUE,131,0,"ns",-1.40478008226308,-1.33134644647794,-1.4386931213578,-0.175136574329121,5.25376355524999,-0.0290641635126248,0.48367714806183,0.535394477636749,0.769721503419606,0.518516424920159,0.781026903530659,0.024,0.073,-0.049,0.7,0.6,0.75
