"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.0139801321252667,0.0373381572360685,"Abiotrophia","India",6,247,2.4,0,0.1,"Malawi",5,79,6.3,0,0.2,0.14367240553135,0.198779629570772,-3.9,FALSE,131,0,"ns",-0.966512920483119,-0.978083397226295,-0.933298244394781,0.122054493424674,4.91593596543032,0.0237781421714171,0.487502499541768,0.511448026311601,0.605462839460641,0.496116768594486,0.62182502671887,0.01,0.025,-0.015,0.9,0.85,0.95
"2","Achromobacter",0.0190016727341682,0.0465270984236659,"Achromobacter","India",18,247,7.3,0,0.2,"Malawi",0,79,0,0,0,0.00907912432837311,0.0197634193267622,7.3,TRUE,105,0,"India",-0.91420116698879,-0.785744189223919,-1.28697451660997,-0.514915176172446,4.88772668235643,-0.089774495723574,0.449600000169725,0.112446662242334,0.173897399376649,0.228001580478065,0.334774652035987,0.03,0,0.03,0.9,0.85,0.95
"3","Acidovorax",0.0383937323161152,0.07310111824936,"Acidovorax","India",44,247,17.8,0.1,0.3,"Malawi",4,79,5.1,0,0.1,0.00549255775576704,0.0124662546816286,12.7,TRUE,63,0,"India",-0.505312076501635,-0.31498484591712,-1.08167410909299,-0.930002120895946,6.17821541611365,-0.139415488348147,0.422915417179716,0.0357527853065683,0.0744266255321292,0.0876082289585242,0.168430167903916,0.091,0.026,0.065,0.9,0.85,0.95
"4","Acinetobacter",0.373124929210531,0.661603400422659,"Acinetobacter","India",238,247,96.4,7.2,10,"Malawi",58,79,73.4,2.9,5.2,2.83212418884845e-08,3.0109951902494e-07,23,TRUE,5,1,"India",11.7702204782087,12.0005534460783,10.4945194205626,-1.84798685579875,6.05939292221019,-0.277435913856711,0.335332934028737,2.87627129497608e-06,3.87377043505313e-05,7.23428276124398e-06,0.000114609722808081,7.28,2.91,4.37,0.9,0.85,0.95
"5","Actinomyces",0.0293304979096331,0.0639261754454235,"Actinomyces","India",52,247,21.1,0.4,2,"Malawi",18,79,22.8,0.2,0.8,0.754215340471723,0.846397215418266,-1.7,FALSE,84,0,"ns",-0.186712079632688,-0.17027985028222,-0.237173147509983,-0.00331815492430287,8.16439377381977,-0.00058240430311684,0.499600000001334,0.672672458406579,0.761154085289128,0.611201179884892,0.729127941432269,0.432,0.163,0.269,0.9,0.85,0.95
"6","Aerococcus",0.0207443841670962,0.0384043659693786,"Aerococcus","India",46,247,18.6,0.1,0.4,"Malawi",15,79,19,0.1,0.3,1,1,-0.399999999999999,FALSE,98,0,"ns",-0.259474891699925,-0.205609901727259,-0.454001548125229,-0.149919592567583,7.14457989430964,-0.0187666097269581,0.487502499541768,0.602010242323392,0.697697093761646,0.548302348152445,0.673403789680881,0.093,0.062,0.031,0.9,0.85,0.95
"7","Aeromonas",0.150145920524897,0.297340130617678,"Aeromonas","India",109,247,44.1,0.4,1.2,"Malawi",16,79,20.3,0.1,0.5,0.00011104076620465,0.000423211976855458,23.8,TRUE,13,1,"India",1.13085001527219,1.85442199092653,-0.239354823813832,-2.56058982719535,8.41503857651041,-0.308576937418816,0.363727255039586,0.000194665118312254,0.0011008032459602,0.000609828307060532,0.00362567279117415,0.413,0.122,0.291,0.9,0.85,0.95
"8","Agathobacter",0.093260282063692,0.191687686725054,"Agathobacter","India",18,247,7.3,0,0.3,"Malawi",29,79,36.7,0.3,1.1,2.3641148436031e-09,2.80912469651662e-08,-29.4,FALSE,25,0,"Malawi",-0.434133925377001,-0.755627299142571,1.12072226809659,2.6804151172226,7.27801346189469,0.357547666260152,0.337332534099468,7.19773558095338e-05,0.000439663221174229,0.000234454053759993,0.00149206651612539,0.041,0.348,-0.307,0.9,0.85,0.95
"9","Akkermansia",0.0145351468869559,0.031190620463773,"Akkermansia","India",3,247,1.2,0,0.1,"Malawi",9,79,11.4,0.1,0.3,0.000227153782115757,0.000740081677215854,-10.2,FALSE,129,0,"Malawi",-0.981621351763311,-1.05263160751684,-0.752812332919211,0.50196587494915,5.33239084728619,0.0866256818231014,0.457400000143038,0.164218502413102,0.243782036935547,0.338962729381253,0.450306268671988,0.01,0.057,-0.047,0.9,0.85,0.95
"10","Alishewanella",0.0942771487280282,0.181836663198198,"Alishewanella","India",75,247,30.4,0.4,3.3,"Malawi",5,79,6.3,0,0.1,4.20738654801939e-06,2.23926317903522e-05,24.1,TRUE,24,0,"India",-0.0073858447870343,0.454360572829418,-1.0651137602341,-2.17911137837276,7.22418080443098,-0.287051112144261,0.35800000051486,5.07249586091077e-05,0.000319827322043042,0.00133752576950114,0.00605473652026176,0.451,0.025,0.426,0.9,0.85,0.95
"11","Alloprevotella",0.0363556688715685,0.0716894832425039,"Alloprevotella","India",24,247,9.7,0.2,1.4,"Malawi",20,79,25.3,0.2,0.7,0.00101199405614827,0.00268977367555197,-15.6,FALSE,66,0,"Malawi",-0.550271599682949,-0.69238444384083,-0.0193642391291977,0.967667195002935,7.50694392517953,0.122900556276391,0.432513497529578,0.0503607073035655,0.0977937745270661,0.106403023753911,0.194198021854845,0.215,0.235,-0.02,0.9,0.85,0.95
