"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.0106221175305493,0.0252890795683162,"Achromobacter","India",18,247,7.3,0,0.2,"UK",2,39,5.1,0,0,1,1,2.2,TRUE,102,0,"ns",-1.00191530379388,-1.06075066169155,-0.648705066241192,0.263066815752429,5.20102057935626,0.0428400178444995,0.471554487561213,0.511724647445857,0.637770381996182,0.453925383028905,0.606250206005117,0.03,0.001,0.029,0.9375,0.875,0.9375
"2","Acidovorax",0.0418174693705461,0.0921588558336861,"Acidovorax","India",44,247,17.8,0.1,0.3,"UK",2,39,5.1,0,0,0.057911161716104,0.119228862356685,12.7,TRUE,43,0,"ns",-0.60813678268171,-0.630215012656234,-0.462719974308138,-0.144521340893803,6.11060377178329,-0.0222606460266914,0.491185897553832,0.448841607580374,0.585536534380571,0.581681760426737,0.726806867620165,0.091,0.006,0.085,0.9375,0.875,0.9375
"3","Acinetobacter",0.324938522191979,0.574171316288861,"Acinetobacter","India",238,247,96.4,7.2,10,"UK",31,39,79.5,5,9.3,0.000577155889280013,0.00480963241066678,16.9,TRUE,5,1,"India",11.6393713543115,11.7208319216165,9.74692455685707,-1.78685739051362,5.77783426481096,-0.247627588978008,0.370444535296309,0.0127289152885796,0.0579127620310856,0.0116443107416709,0.0645804832072703,7.296,4.966,2.33,0.9375,0.875,0.9375
"4","Actinomyces",0.0328911994073617,0.0693133426155619,"Actinomyces","India",52,247,21.1,0.4,2,"UK",12,39,30.8,0.3,0.7,0.213649512841783,0.318133030923976,-9.7,FALSE,52,0,"ns",-0.261945656207156,-0.423595938876936,0.957196145590292,1.43652423971327,9.13486052023132,0.158616175460371,0.406888267208285,0.106459735432791,0.217277629706598,0.0974245715601643,0.21142852255933,0.431,0.325,0.106,0.9375,0.875,0.9375
"5","Aerococcus",0.0183579186317807,0.0410449769735511,"Aerococcus","India",46,247,18.6,0.1,0.4,"UK",3,39,7.7,0,0.1,0.110857689537201,0.200000986278456,10.9,TRUE,80,0,"ns",-0.439561618288014,-0.434903369279672,-0.473966768636933,-0.294556666313516,6.34716687050314,-0.0438202662657999,0.47636217980407,0.454352511587635,0.589541263074261,0.560271687921679,0.703383627947027,0.093,0.013,0.08,0.9375,0.875,0.9375
"6","Aeromicrobium",0.00622752919962931,0.0137703760758914,"Aeromicrobium","India",11,247,4.5,0,0.3,"UK",2,39,5.1,0,0.2,0.693146680348362,0.777568391416432,-0.6,FALSE,132,0,"ns",-1.10381927432597,-1.19336967203929,-0.541196014733595,0.658944186356248,4.98147441681557,0.105601537562352,0.442531038023071,0.351791528329701,0.484304016512585,0.298345311918852,0.441889928512822,0.042,0.039,0.003,0.9375,0.875,0.9375
"7","Aeromonas",0.145894243647726,0.300254330267547,"Aeromonas","India",109,247,44.1,0.4,1.2,"UK",4,39,10.3,0,0,3.06970317895158e-05,0.000447665046930439,33.8,TRUE,11,1,"India",1.12656700590215,1.65839110584094,-0.40186871942975,-3.09105721566203,7.54765667077644,-0.394746918726867,0.336003206300722,0.000164774119180054,0.00182913256210648,0.00355845477107771,0.0218631806331699,0.414,0.009,0.405,0.9375,0.875,0.9375
"8","Agathobacter",0.00720314422553805,0.0152591117585369,"Agathobacter","India",18,247,7.3,0,0.3,"UK",2,39,5.1,0.2,1,1,1,2.2,TRUE,119,0,"ns",-0.972615277782343,-1.04381597250937,-0.522320227823474,0.434530165973728,5.19171034575882,0.0719310545631619,0.459935897975262,0.45867266878637,0.590702857916813,0.4002200800225,0.555494580347464,0.041,0.216,-0.175,0.9375,0.875,0.9375
"9","Alicyclobacillus",0.0107439434639359,0.023000888151535,"Alicyclobacillus","India",2,247,0.8,0,0,"UK",5,39,12.8,0,0.1,0.000634992426224546,0.00505107611769525,-12,FALSE,101,0,"UK",-1.17562466470429,-1.32392858309476,-0.120932162206532,1.43756551788528,5.59045483890195,0.239608356386633,0.372996796687768,0.0384961590495914,0.097984862926455,0.0456417947455317,0.116030720138537,0.002,0.016,-0.014,0.9375,0.875,0.9375
"10","Alishewanella",0.0716749523650551,0.163402931504469,"Alishewanella","India",75,247,30.4,0.4,3.3,"UK",0,39,0,0,0,5.42048464068879e-06,0.000105398312457837,30.4,TRUE,26,0,"India",0.0553862225063266,0.231926476839824,-0.729863320270637,-1.71132416354122,6.55223639911745,-0.253334968816137,0.382458952403767,0.00100896353754883,0.0061061201931347,0.0562784129877363,0.144211039835606,0.451,0,0.451,0.9375,0.875,0.9375
