"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Prevotella_9","week of life 11",74,60.8,1.429,39,5.1,0.182,1.69830922053297e-09,2.85315949049538e-07,3.01923820656906e-05,0.00210415344536623,1,"Malawi"
"2","Janibacter","week of life 11",74,44.6,0.527,39,0,0.001,3.84788710463743e-08,3.23222516789544e-06,0.00363751326258217,0.0365854112869564,5,"Malawi"
"3","Brachybacterium","week of life 11",74,40.5,0.386,39,0,0,2.54184131356474e-07,1.42343113559625e-05,0.00551303856544313,0.0485813048928825,7,"Malawi"
"4","Micrococcus","week of life 11",74,58.1,0.343,39,15.4,0.061,1.00140617891929e-05,0.000420590595146103,0.00104955121693223,0.0183546313237171,8,"Malawi"
"5","Agathobacter","week of life 11",74,28.4,0.334,39,0,0,6.22324260248553e-05,0.00174250792869595,0.155888208815557,0.359528476507353,12,"Malawi"
"6","Paracoccus","week of life 11",74,60.8,0.601,39,20.5,0.058,5.71400995723876e-05,0.00174250792869595,0.000760878687219682,0.015049912950452,4,"Malawi"
"7","Kocuria","week of life 11",74,60.8,1.095,39,23.1,0.035,0.000153562310135366,0.00322480851284269,0.000202259717845079,0.00688988664899241,3,"Malawi"
"8","Ornithinimicrobium","week of life 11",74,25.7,0.098,39,0,0,0.000145655199521179,0.00322480851284269,0.217504033062556,0.431140472102442,27,"Malawi"
"9","Kytococcus","week of life 11",74,24.3,0.103,39,0,0,0.000271991291800289,0.00507717078027206,0.280962840548839,0.480651846436109,43,"Malawi"
"10","unassigned","week of life 11",74,2.7,0.001,39,25.6,0.015,0.000373372057274184,0.0062726505622063,0.0153717252700651,0.0769739111197076,24,"UK"
"11","Faecalibacterium","week of life 11",74,23,0.13,39,0,0,0.000527102690894132,0.00805029564274674,0.328505191017869,0.546419497212647,21,"Malawi"
"12","Bifidobacterium","week of life 11",74,87.8,3.38,39,59,0.932,0.000745553577635221,0.0104377500868931,0.00128828620294062,0.0240499964947312,2,"Malawi"
"13","Dolosigranulum","week of life 11",74,2.7,0.004,39,23.1,0.069,0.00106833669446215,0.0138061972822801,0.0324749426559547,0.132373827382568,41,"UK"
"14","Candidatus_Aquiluna","week of life 11",74,0,0,39,15.4,0.047,0.00129132930342641,0.0154959516411169,0.0830740019339157,0.209969238818193,60,"UK"
"15","Brevibacterium","week of life 11",74,25.7,0.275,39,2.6,0.008,0.00153735989654061,0.0172184308412548,0.285432751339138,0.503450931478094,37,"Malawi"
"16","Citricoccus","week of life 11",74,18.9,0.115,39,0,0,0.00209975927180506,0.0195977532035139,0.428941679627787,0.627749965960644,79,"Malawi"
"17","Cloacibacterium","week of life 11",74,18.9,0.19,39,0,0,0.00209975927180506,0.0195977532035139,0.394099891850704,0.599232818680052,42,"Malawi"
"18","Knoellia","week of life 11",74,18.9,0.067,39,0,0,0.00209975927180506,0.0195977532035139,0.465555023314087,0.657278258229574,49,"Malawi"
"19","Corynebacterium_1","week of life 11",74,85.1,2.202,39,59,2.319,0.00273148018948358,0.0241520353596443,0.0459913722296423,0.219670897354451,6,"UK"
"20","Blautia","week of life 11",74,28.4,0.13,39,5.1,0.029,0.00297834041663189,0.0250180594997078,0.209942237732157,0.427850186821896,28,"Malawi"
"21","Enterobacter","week of life 11",74,9.5,0.12,39,33.3,1.237,0.00338106794246144,0.0270485435396915,0.0175216554073649,0.0863811636011578,23,"UK"
"22","Empedobacter","week of life 11",74,17.6,0.031,39,0,0,0.00392498781546539,0.0299726342271903,0.451912059332339,0.662165386439224,38,"Malawi"
"23","Exiguobacterium","week of life 11",74,16.2,0.118,39,0,0,0.00759383439819953,0.0482646009816053,0.496896704662457,0.700882673591822,48,"Malawi"
"24","Haematobacter","week of life 11",74,16.2,0.115,39,0,0,0.00759383439819953,0.0482646009816053,0.543678720415127,0.729016085941027,45,"Malawi"
"25","Holdemanella","week of life 11",74,16.2,0.041,39,0,0,0.00759383439819953,0.0482646009816053,0.493481989803349,0.684462632437813,66,"Malawi"
"26","Nocardioides","week of life 11",74,16.2,0.086,39,0,0,0.00759383439819953,0.0482646009816053,0.520934783014471,0.712199880582434,71,"Malawi"
"27","Prevotella","week of life 11",74,2.7,0.001,39,17.9,0.053,0.00775681087204371,0.0482646009816053,0.0561184298791336,0.185271342399019,55,"UK"
