"","FP","TP","TN","FN","accuracy"
"B1.F1",5,7,5,3,0.6
"B1.F2",5,8,5,2,0.65
"B1.F3",3,5,7,5,0.6
"B1.F4",3,9,7,1,0.8
"B1.F5",1,7,9,3,0.8
"B1.F11",3,6,7,4,0.65
"B1.F21",5,7,5,3,0.6
"B1.F31",3,8,7,2,0.75
"B1.F41",0,5,10,5,0.75
"B1.F51",6,7,4,3,0.55
"B1.F12",2,7,8,3,0.75
"B1.F22",2,6,8,4,0.7
"B1.F32",2,7,8,3,0.75
"B1.F42",3,8,7,2,0.75
"B1.F52",3,6,7,4,0.65
"B1.F13",5,8,5,2,0.65
"B1.F23",4,3,6,7,0.45
"B1.F33",3,6,7,4,0.65
"B1.F43",4,7,6,3,0.65
"B1.F53",3,4,7,6,0.55
"B1.F14",4,4,6,6,0.5
"B1.F24",3,8,7,2,0.75
"B1.F34",3,3,7,7,0.5
"B1.F44",5,7,5,3,0.6
"B1.F54",2,6,8,4,0.7
"B1.F15",4,7,6,3,0.65
"B1.F25",4,6,6,4,0.6
"B1.F35",5,4,5,6,0.45
"B1.F45",6,4,4,6,0.4
"B1.F55",5,7,5,3,0.6
"B1.F16",3,6,7,4,0.65
"B1.F26",5,5,5,5,0.5
"B1.F36",3,5,7,5,0.6
"B1.F46",4,5,6,5,0.55
"B1.F56",6,6,4,4,0.5
"B1.F17",3,4,7,6,0.55
"B1.F27",5,4,5,6,0.45
"B1.F37",3,3,7,7,0.5
"B1.F47",4,9,6,1,0.75
"B1.F57",3,7,7,3,0.7
"B1.F18",2,7,8,3,0.75
"B1.F28",1,8,9,2,0.85
"B1.F38",2,7,8,3,0.75
"B1.F48",1,8,9,2,0.85
"B1.F58",2,6,8,4,0.7
"B1.F19",2,7,8,3,0.75
"B1.F29",3,4,7,6,0.55
"B1.F39",5,6,5,4,0.55
"B1.F49",4,5,6,5,0.55
"B1.F59",2,10,8,0,0.9
"B1.F110",3,7,7,3,0.7
"B1.F210",2,5,8,5,0.65
"B1.F310",5,6,5,4,0.55
"B1.F410",4,3,6,7,0.45
"B1.F510",4,6,6,4,0.6
"B1.F111",3,7,7,3,0.7
"B1.F211",4,7,6,3,0.65
"B1.F311",4,10,6,0,0.8
"B1.F411",3,7,7,3,0.7
"B1.F511",1,10,9,0,0.95
"B1.F112",5,8,5,2,0.65
"B1.F212",3,6,7,4,0.65
"B1.F312",4,8,6,2,0.7
"B1.F412",4,1,6,9,0.35
"B1.F512",5,6,5,4,0.55
"B1.F113",5,7,5,3,0.6
"B1.F213",6,8,4,2,0.6
"B1.F313",2,2,8,8,0.5
"B1.F413",3,8,7,2,0.75
"B1.F513",2,6,8,4,0.7
"B1.F114",4,7,6,3,0.65
"B1.F214",3,8,7,2,0.75
"B1.F314",4,6,6,4,0.6
"B1.F414",3,8,7,2,0.75
"B1.F514",7,2,3,8,0.25
"B1.F115",6,9,4,1,0.65
"B1.F215",0,7,10,3,0.85
"B1.F315",3,6,7,4,0.65
"B1.F415",2,5,8,5,0.65
"B1.F515",3,6,7,4,0.65
"B1.F116",3,3,7,7,0.5
"B1.F216",4,6,6,4,0.6
"B1.F316",1,7,9,3,0.8
"B1.F416",4,7,6,3,0.65
"B1.F516",6,7,4,3,0.55
"B1.F117",2,4,8,6,0.6
"B1.F217",3,5,7,5,0.6
"B1.F317",5,9,5,1,0.7
"B1.F417",5,6,5,4,0.55
"B1.F517",4,3,6,7,0.45
"B1.F118",1,6,9,4,0.75
"B1.F218",3,8,7,2,0.75
"B1.F318",4,9,6,1,0.75
"B1.F418",2,9,8,1,0.85
"B1.F518",2,9,8,1,0.85
"B1.F119",2,7,8,3,0.75
"B1.F219",7,4,3,6,0.35
"B1.F319",4,6,6,4,0.6
"B1.F419",5,6,5,4,0.55
"B1.F519",5,3,5,7,0.4
