"","FP","TP","TN","FN","accuracy"
"B1.F1",1,7,7,1,0.875
"B1.F2",0,6,8,2,0.875
"B1.F3",0,6,8,2,0.875
"B1.F4",0,8,8,0,1
"B1.F5",0,7,7,0,1
"B1.F11",0,5,8,3,0.8125
"B1.F21",0,7,7,1,0.933333333333333
"B1.F31",2,7,6,0,0.866666666666667
"B1.F41",0,8,8,0,1
"B1.F51",1,7,7,1,0.875
"B1.F12",0,7,8,1,0.9375
"B1.F22",0,7,8,0,1
"B1.F32",3,8,5,0,0.8125
"B1.F42",0,3,8,5,0.6875
"B1.F52",0,7,7,1,0.933333333333333
"B1.F13",0,6,8,2,0.875
"B1.F23",1,8,7,0,0.9375
"B1.F33",0,5,7,2,0.857142857142857
"B1.F43",1,8,7,0,0.9375
"B1.F53",1,5,7,3,0.75
"B1.F14",0,6,7,2,0.866666666666667
"B1.F24",1,8,7,0,0.9375
"B1.F34",1,5,7,2,0.8
"B1.F44",1,7,7,1,0.875
"B1.F54",0,5,8,3,0.8125
"B1.F15",0,8,8,0,1
"B1.F25",0,8,8,0,1
"B1.F35",0,6,8,1,0.933333333333333
"B1.F45",1,7,7,1,0.875
"B1.F55",0,6,7,2,0.866666666666667
"B1.F16",0,6,8,2,0.875
"B1.F26",1,7,6,1,0.866666666666667
"B1.F36",1,5,7,2,0.8
"B1.F46",1,7,7,1,0.875
"B1.F56",0,6,8,2,0.875
"B1.F17",0,6,8,2,0.875
"B1.F27",1,6,7,1,0.866666666666667
"B1.F37",1,8,6,0,0.933333333333333
"B1.F47",0,7,8,1,0.9375
"B1.F57",0,6,8,2,0.875
"B1.F18",0,7,8,1,0.9375
"B1.F28",1,8,6,0,0.933333333333333
"B1.F38",0,6,8,1,0.933333333333333
"B1.F48",0,8,8,0,1
"B1.F58",0,5,8,3,0.8125
"B1.F19",1,7,7,1,0.875
"B1.F29",1,7,7,1,0.875
"B1.F39",0,7,8,1,0.9375
"B1.F49",0,6,7,1,0.928571428571429
"B1.F59",0,8,8,0,1
"B1.F110",1,7,7,1,0.875
"B1.F210",0,4,8,3,0.8
"B1.F310",0,8,8,0,1
"B1.F410",1,6,6,2,0.8
"B1.F510",1,8,7,0,0.9375
"B1.F111",0,7,7,0,1
"B1.F211",0,7,8,1,0.9375
"B1.F311",0,6,8,2,0.875
"B1.F411",0,6,8,2,0.875
"B1.F511",1,7,7,1,0.875
"B1.F112",0,6,7,2,0.866666666666667
"B1.F212",0,8,8,0,1
"B1.F312",2,7,6,0,0.866666666666667
"B1.F412",0,7,8,1,0.9375
"B1.F512",0,8,8,0,1
"B1.F113",1,6,7,2,0.8125
"B1.F213",0,7,7,0,1
"B1.F313",0,8,8,0,1
"B1.F413",1,6,7,2,0.8125
"B1.F513",0,7,8,1,0.9375
"B1.F114",0,8,8,0,1
"B1.F214",0,5,7,2,0.857142857142857
"B1.F314",1,6,7,2,0.8125
"B1.F414",0,8,8,0,1
"B1.F514",1,6,7,2,0.8125
"B1.F115",0,8,8,0,1
"B1.F215",0,7,8,1,0.9375
"B1.F315",1,7,7,0,0.933333333333333
"B1.F415",1,7,7,1,0.875
"B1.F515",0,8,7,0,1
"B1.F116",0,7,8,0,1
"B1.F216",1,8,6,0,0.933333333333333
"B1.F316",0,8,8,0,1
"B1.F416",0,5,8,3,0.8125
"B1.F516",0,6,8,2,0.875
"B1.F117",0,4,8,3,0.8
"B1.F217",0,7,8,1,0.9375
"B1.F317",0,8,7,0,1
"B1.F417",0,7,8,1,0.9375
"B1.F517",1,7,7,1,0.875
"B1.F118",0,5,7,3,0.8
"B1.F218",0,5,8,2,0.866666666666667
"B1.F318",0,8,8,0,1
"B1.F418",1,7,7,1,0.875
"B1.F518",0,7,8,1,0.9375
"B1.F119",0,7,7,0,1
"B1.F219",0,8,8,0,1
"B1.F319",0,7,8,1,0.9375
"B1.F419",0,6,8,2,0.875
"B1.F519",1,8,7,0,0.9375
