"","FP","TP","TN","FN","accuracy"
"B1.F1",0,9,10,1,0.95
"B1.F2",0,9,10,1,0.95
"B1.F3",2,8,8,2,0.8
"B1.F4",0,6,10,4,0.8
"B1.F5",1,9,9,1,0.9
"B1.F11",1,8,9,2,0.85
"B1.F21",0,10,10,0,1
"B1.F31",0,10,10,0,1
"B1.F41",1,6,9,4,0.75
"B1.F51",1,9,9,1,0.9
"B1.F12",1,10,9,0,0.95
"B1.F22",0,6,10,4,0.8
"B1.F32",0,7,10,3,0.85
"B1.F42",1,9,9,1,0.9
"B1.F52",2,8,8,2,0.8
"B1.F13",1,8,9,2,0.85
"B1.F23",1,6,9,4,0.75
"B1.F33",1,9,9,1,0.9
"B1.F43",0,10,10,0,1
"B1.F53",0,9,10,1,0.95
"B1.F14",1,6,9,4,0.75
"B1.F24",0,7,10,3,0.85
"B1.F34",0,10,10,0,1
"B1.F44",0,9,10,1,0.95
"B1.F54",1,8,9,2,0.85
"B1.F15",1,7,9,3,0.8
"B1.F25",0,9,10,1,0.95
"B1.F35",0,8,10,2,0.9
"B1.F45",1,8,9,2,0.85
"B1.F55",1,9,9,1,0.9
"B1.F16",2,9,8,1,0.85
"B1.F26",1,8,9,2,0.85
"B1.F36",1,7,9,3,0.8
"B1.F46",0,9,10,1,0.95
"B1.F56",0,9,10,1,0.95
"B1.F17",2,10,8,0,0.9
"B1.F27",0,5,10,5,0.75
"B1.F37",0,8,10,2,0.9
"B1.F47",2,7,8,3,0.75
"B1.F57",1,8,9,2,0.85
"B1.F18",1,7,9,3,0.8
"B1.F28",2,8,8,2,0.8
"B1.F38",0,10,10,0,1
"B1.F48",0,8,10,2,0.9
"B1.F58",0,7,10,3,0.85
"B1.F19",0,10,10,0,1
"B1.F29",0,7,10,3,0.85
"B1.F39",0,9,10,1,0.95
"B1.F49",1,7,9,3,0.8
"B1.F59",3,9,7,1,0.8
"B1.F110",0,8,10,2,0.9
"B1.F210",0,7,10,3,0.85
"B1.F310",0,9,10,1,0.95
"B1.F410",1,8,9,2,0.85
"B1.F510",1,8,9,2,0.85
"B1.F111",1,8,9,2,0.85
"B1.F211",1,9,9,1,0.9
"B1.F311",0,9,10,1,0.95
"B1.F411",0,6,10,4,0.8
"B1.F511",2,6,8,4,0.7
"B1.F112",0,8,10,2,0.9
"B1.F212",0,5,10,5,0.75
"B1.F312",0,8,10,2,0.9
"B1.F412",2,10,8,0,0.9
"B1.F512",2,9,8,1,0.85
"B1.F113",1,7,9,3,0.8
"B1.F213",0,9,10,1,0.95
"B1.F313",1,7,9,3,0.8
"B1.F413",1,8,9,2,0.85
"B1.F513",2,9,8,1,0.85
"B1.F114",0,9,10,1,0.95
"B1.F214",0,6,10,4,0.8
"B1.F314",0,10,10,0,1
"B1.F414",3,7,7,3,0.7
"B1.F514",0,7,10,3,0.85
"B1.F115",1,8,9,2,0.85
"B1.F215",0,10,10,0,1
"B1.F315",1,10,9,0,0.95
"B1.F415",0,7,10,3,0.85
"B1.F515",1,9,9,1,0.9
"B1.F116",1,8,9,2,0.85
"B1.F216",0,6,10,4,0.8
"B1.F316",1,8,9,2,0.85
"B1.F416",0,7,10,3,0.85
"B1.F516",1,10,9,0,0.95
"B1.F117",0,7,10,3,0.85
"B1.F217",1,8,9,2,0.85
"B1.F317",1,9,9,1,0.9
"B1.F417",0,8,10,2,0.9
"B1.F517",0,6,10,4,0.8
"B1.F118",0,9,10,1,0.95
"B1.F218",1,7,9,3,0.8
"B1.F318",1,8,9,2,0.85
"B1.F418",0,8,10,2,0.9
"B1.F518",1,9,9,1,0.9
"B1.F119",1,6,9,4,0.75
"B1.F219",1,9,9,1,0.9
"B1.F319",0,7,10,3,0.85
"B1.F419",0,10,10,0,1
"B1.F519",1,5,9,5,0.7
