"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.0165364857134592,0.032538873748118,"Achromobacter",8,106,7.5,0.1,0.3,3,19,15.8,0.1,0.4,0.370779997451543,0.844889407757373,-8.3,FALSE,63,0,19,"ns",-1.1038882349197,-1.15057985351398,-0.741546404069457,0.639000704706658,6.22213352542912,0.0887065649053834,0.44819079242521,0.415914227672062,0.824932101908205,0.44862755996676,0.87199343527737,0.056,0.114,0.571428571428571,0.5,0.714285714285714
"2","Acidovorax",0.00972993758790168,0.02017070744732,"Acidovorax",14,106,13.2,0.1,0.3,1,19,5.3,0,0.1,0.46454985651677,0.904909193831427,7.9,TRUE,90,0,19,"ns",-0.869171149246901,-0.8111676206341,-1.16424468021236,-0.500472386136018,5.81317577078489,-0.0799530351557998,0.459326214300465,0.508697222321264,0.857025176593016,0.463550396725452,0.878021720418935,0.062,0.035,0.571428571428571,0.5,0.714285714285714
"3","Acinetobacter",0.0880253547476643,0.163217878271435,"Acinetobacter",103,106,97.2,6.3,7.7,17,19,89.5,5.7,9.8,0.165454645654402,0.780000472370751,7.7,TRUE,11,1,19,"ns",11.5666886291834,11.6030150907929,11.210392748464,-0.444975034174708,3.18892029247276,-0.0841463488506854,0.431388664575417,0.379140490936656,0.838501541803718,0.443050868019537,0.900698430695416,6.341,5.697,0.571428571428571,0.5,0.714285714285714
"4","Actinomyces",0.0314220488130394,0.0614017183669038,"Actinomyces",28,106,26.4,0.4,2.3,5,19,26.3,0.2,0.5,1,1,0.0999999999999979,TRUE,34,0,19,"ns",-0.191041535564615,-0.209747135828545,-0.0168900775935317,0.236972303717519,9.17660163779574,0.0279382936247818,0.484375000881446,0.632513468436669,0.904333262936678,0.613248825472294,0.918394903648817,0.438,0.219,0.571428571428571,0.5,0.714285714285714
"5","Aerococcus",0.0226515138460837,0.0553618909216636,"Aerococcus",23,106,21.7,0.1,0.5,1,19,5.3,0,0.1,0.11982125108248,0.772983089677106,16.4,TRUE,50,0,19,"ns",-0.496588215771473,-0.401486359055852,-1.00394846406882,-0.812924702946802,6.1151248364969,-0.12898406553868,0.429276319856655,0.246751360414376,0.751145540135581,0.402962431286487,0.853375593293919,0.121,0.027,0.571428571428571,0.5,0.714285714285714
"6","Aeromicrobium",0.00306868328760665,0.00740756340512528,"Aeromicrobium",6,106,5.7,0,0.1,1,19,5.3,0,0.1,1,1,0.4,TRUE,142,0,19,"ns",-1.18236135535276,-1.190264079199,-1.14273809915198,-0.045542075979351,5.10045134509069,-0.0130268268996129,0.493421053002416,0.573452680531969,0.88384025880854,0.540016138433344,0.900014730983839,0.014,0.017,0.571428571428571,0.5,0.714285714285714
"7","Aeromonas",0.0361467044107278,0.0784895736854669,"Aeromonas",44,106,41.5,0.3,0.7,4,19,21.1,0.1,0.3,0.124911235791417,0.772983089677106,20.4,TRUE,28,0,19,"ns",0.863434368458713,1.21775313586727,-0.3392815342786,-2.09788152618026,8.29167020620086,-0.275918097002301,0.373355270784565,0.0582744407937353,0.629860248577711,0.11625678709258,0.740781986708642,0.329,0.092,0.571428571428571,0.5,0.714285714285714
"8","Agrococcus",0.00220494957197084,0.00538531996104184,"Agrococcus",2,106,1.9,0,0,1,19,5.3,0,0,0.392856018882769,0.844889407757373,-3.4,FALSE,151,0,19,"ns",-1.31025646795452,-1.35071514823891,-1.07775395189161,0.291859312403482,4.63042944082164,0.0581001945186482,0.472039475264938,0.460162285200898,0.835374291982762,0.499685086981082,0.889330865608879,0.002,0.004,0.571428571428571,0.5,0.714285714285714
"9","Akkermansia",0.00514022050849944,0.0125798279350601,"Akkermansia",0,106,0,0,0,1,19,5.3,0.1,0.3,0.152,0.772983089677106,-5.3,FALSE,120,0,19,"ns",-1.36691568431563,-1.39293383781266,-1.20646785196209,0.305690370063723,4.75917968379137,0.0539044814431137,0.473294989181463,0.464705605694721,0.843045672677951,0.45737425540444,0.878668130763536,0,0.059,0.571428571428571,0.5,0.714285714285714
"10","Alishewanella",0.0285064616606477,0.0579720917788762,"Alishewanella",35,106,33,0.2,0.6,6,19,31.6,0.3,0.8,1,1,1.4,TRUE,43,0,19,"ns",0.387338363158568,0.416733201183597,0.284429640674526,-0.218988814309962,8.91116381315492,-0.0243027261898094,0.487664474379833,0.739990386621466,0.932710145835471,0.70459776782503,0.939485956376665,0.246,0.329,0.571428571428571,0.5,0.714285714285714
