"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.0951512477565353,0.174719479827687,"Bifidobacterium (RSV1)",53,69,76.8,3.5,6.4,34,43,79.1,2.8,4.1,0.820032141769436,1,-2.3,FALSE,7,1,43,"ns",10.5287606231276,10.6187299242554,10.4349515234087,-0.124063167284566,8.74904857306722,-0.0167858926877271,0.489462209418327,0.820613792443028,0.974235282616484,0.818385089972958,0.976861079623385,3.861,3.109,0.470588235294118,0.411764705882353,0.529411764705882
"2","RSV10",0.0191935376370641,0.0373103586557018,"Veillonella (RSV10)",5,69,7.2,0.1,0.4,5,43,11.6,0.2,1,0.503326354627858,0.995041686330636,-4.4,FALSE,145,0,43,"ns",-0.410496647602432,-0.470896814849244,-0.317789960492538,0.20765347432032,5.96262379268895,0.0280617824748877,0.480929894870357,0.54635329911912,0.928413177405475,0.495509589290023,0.939348935136413,0.107,0.259,0.470588235294118,0.411764705882353,0.529411764705882
"3","RSV1002",0.082206502162534,0.15941996213623,"Schlegelella (RSV1002)",7,69,10.1,0,0.2,12,43,27.9,0.2,0.4,0.0200498568527337,0.721794846698414,-17.8,FALSE,11,1,43,"ns",0.0198936819731674,-0.318373240592804,0.666128858704278,1.19652993943416,7.75217755775286,0.154796840018461,0.407918635265222,0.0978962855324419,0.746035373963455,0.166149431698755,0.82120731769104,0.05,0.227,0.470588235294118,0.411764705882353,0.529411764705882
"4","RSV101",0.058747533690372,0.107201842937865,"Corynebacterium_1 (RSV101)",33,69,47.8,0.4,0.7,23,43,53.5,0.5,0.9,0.697827640530572,0.995041686330636,-5.7,FALSE,24,0,43,"ns",4.06323690255991,2.86174703032622,6.92099331419864,0.300425564022176,9.75079796142532,0.0318179055715357,0.479287790925968,0.634070658517083,0.944792864539809,0.708108961199666,0.966519370311431,0.455,0.527,0.470588235294118,0.411764705882353,0.529411764705882
"5","RSV1018",0.00620728466486846,0.0136268416702628,"Brevundimonas (RSV1018)",2,69,2.9,0,0,3,43,7,0,0.1,0.37023490635876,0.995041686330636,-4.1,FALSE,327,0,43,"ns",-0.562660575978619,-0.636945417746446,-0.432400607786365,0.27126799478586,4.82741692441492,0.0450758518195768,0.472938612721233,0.446441959872712,0.898159526886079,0.459889175073386,0.927451194006445,0.001,0.036,0.470588235294118,0.411764705882353,0.529411764705882
"6","RSV1023",0.00551150202067781,0.012197100562614,"Streptococcus (RSV1023)",4,69,5.8,0.1,0.6,1,43,2.3,0,0,0.647331547560905,0.995041686330636,3.5,TRUE,352,0,43,"ns",-0.543968105337736,-0.550894733084524,-0.532600205930557,-0.143306662221985,4.59493759226117,-0.0274663568639739,0.486378496335862,0.490593002118945,0.906443448828889,0.506075445127579,0.933263671363626,0.083,0,0.470588235294118,0.411764705882353,0.529411764705882
"7","RSV1037",0.0233813689997781,0.0516063267004307,"Anaerococcus (RSV1037)",10,69,14.5,0.1,0.3,0,43,0,0,0,0.00672969540651013,0.71035829407389,14.5,TRUE,110,0,43,"ns",-0.304637018054812,-0.0555410817627999,-0.618054359701629,-0.800987112180761,5.4817297449664,-0.130359682055404,0.422084999061818,0.106360390885288,0.69538826222625,0.257854788204276,0.853313280796333,0.083,0,0.470588235294118,0.411764705882353,0.529411764705882
"8","RSV1046",0.00544095754061181,0.0129710301974894,"Streptococcus (RSV1046)",4,69,5.8,0.1,0.4,0,43,0,0,0,0.296167011763342,0.985564173599021,5.8,TRUE,356,0,43,"ns",-0.575042957738836,-0.505065748502876,-0.656730574260017,-0.267727720584173,4.68698712614032,-0.0493898863437342,0.469306211744503,0.41105029066783,0.885757921156027,0.491424700560599,0.932716527085813,0.086,0,0.470588235294118,0.411764705882353,0.529411764705882
"9","RSV1049",0.0115463036156404,0.0244983696978338,"Corynebacterium_1 (RSV1049)",1,69,1.4,0,0,4,43,9.3,0,0.2,0.070649465144878,0.864755103587279,-7.9,FALSE,216,0,43,"ns",-0.506288445349636,-0.632613330627207,-0.308780767515957,0.432099153292407,5.21065046528208,0.0759079057488292,0.456592808326885,0.349572917484008,0.862899273397846,0.438062732012606,0.913120343373485,0.002,0.051,0.470588235294118,0.411764705882353,0.529411764705882
"10","RSV105",0.0429091530968206,0.0886093536418456,"Staphylococcus (RSV105)",18,69,26.1,0.1,0.4,6,43,14,0.1,0.3,0.158801847427788,0.864755103587279,12.1,TRUE,52,0,43,"ns",0.218450773625583,0.483878131791403,-0.156703096378402,-0.725959083978013,7.13461360764983,-0.0884779866891267,0.446584302920114,0.258165426398943,0.843330394337165,0.321268002617908,0.895713382752746,0.153,0.087,0.470588235294118,0.411764705882353,0.529411764705882
"11","RSV1053",0.00593121751980712,0.0118668366978384,"Cutibacterium (RSV1053)",4,69,5.8,0,0.1,1,43,2.3,0.2,1.4,0.647331547560905,0.995041686330636,3.5,TRUE,339,0,43,"ns",-0.513153892358448,-0.504571387661089,-0.530904718728376,-0.0130145624777436,4.91499902434488,-0.00220418709459093,0.49945513985343,0.553958866859249,0.925298927131111,0.539296768294228,0.946885137983326,0.009,0.243,0.470588235294118,0.411764705882353,0.529411764705882
"12","RSV106",0.040000458241619,0.073993822418873,"Streptococcus (RSV106)",14,69,20.3,1,3.9,5,43,11.6,0.1,0.4,0.304505069486277,0.988393504234146,8.7,TRUE,60,0,43,"ns",0.0466900270376254,0.236458011894554,-0.241318450328303,-0.592575837391952,7.92570505727646,-0.0668537126651421,0.454776607838795,0.270639594754148,0.854662573536578,0.421972972510853,0.914376515361883,1.158,0.135,0.470588235294118,0.411764705882353,0.529411764705882
"13","RSV1061",0.00504575724076012,0.0107130369026676,"Staphylococcus (RSV1061)",4,69,5.8,0,0.2,2,43,4.7,0,0.1,1,1,1.1,TRUE,362,0,43,"ns",-0.518537984852538,-0.488594014324971,-0.580578811608756,-0.0592726703959805,5.15606398548519,-0.0086254751822468,0.492005814041473,0.608555095731138,0.933215619870856,0.564971077025497,0.944608431660059,0.041,0.02,0.470588235294118,0.411764705882353,0.529411764705882
"14","RSV1065",0.0113049449001224,0.0229123122017616,"unassigned Proteobacteria (RSV1065)",2,69,2.9,0,0,3,43,7,0.2,1,0.37023490635876,0.995041686330636,-4.1,FALSE,223,0,43,"ns",-0.499934902475612,-0.566156063227872,-0.411354469374897,0.148034827997268,4.98648918445455,0.0263176007465742,0.482746095358844,0.461565277058093,0.906137244344282,0.503031799238863,0.938436668624638,0.005,0.191,0.470588235294118,0.411764705882353,0.529411764705882
"15","RSV1066",0.0144840622605687,0.0274925453812784,"Acinetobacter (RSV1066)",8,69,11.6,0,0.2,4,43,9.3,0.1,0.4,0.764870558221888,1,2.3,TRUE,189,0,43,"ns",-0.216119152082035,-0.1856485288492,-0.275854833099469,-0.073087463247993,6.26392662270603,-0.0112505295508982,0.492005814041473,0.614745517667145,0.942118132719671,0.535589969673689,0.946628091855915,0.044,0.09,0.470588235294118,0.411764705882353,0.529411764705882
"16","RSV107",0.0427725821975587,0.0838079373956219,"Acinetobacter (RSV107)",20,69,29,0.3,1,14,43,32.6,0.3,0.6,0.83289972009256,1,-3.6,FALSE,53,0,43,"ns",0.839938687714575,0.811309868117545,0.902876003864224,0.056272715426088,8.91562998381193,0.00680926671534554,0.495096258680876,0.714032113786429,0.955985246677956,0.682379308492415,0.962719310688498,0.336,0.303,0.470588235294118,0.411764705882353,0.529411764705882
"17","RSV1077",0.0102908503910165,0.0214822789134367,"Kytococcus (RSV1077)",3,69,4.3,0.1,0.5,5,43,11.6,0.1,0.5,0.256280628388358,0.966751060219421,-7.3,FALSE,237,0,43,"ns",-0.388736221029079,-0.520742866049517,-0.18868416109424,0.482069679456426,5.41524216810009,0.0727850729894326,0.456229568229264,0.410370302304175,0.882020047651822,0.438201800059333,0.910149026822922,0.088,0.118,0.470588235294118,0.411764705882353,0.529411764705882
"18","RSV1078",0.0114237893236738,0.022403975534137,"Enterococcus (RSV1078)",5,69,7.2,0,0.2,3,43,7,0.1,0.6,1,1,0.2,TRUE,218,0,43,"ns",-0.439518862734353,-0.452926855687375,-0.423791397554528,0.0921930719131545,5.49764579069118,0.0124610849858261,0.492005814041473,0.586388911953641,0.938797238296469,0.55267925725173,0.949791742619706,0.047,0.153,0.470588235294118,0.411764705882353,0.529411764705882
"19","RSV1080",0.0037781288515171,0.00856267955860963,"Staphylococcus (RSV1080)",4,69,5.8,0,0.1,1,43,2.3,0,0.1,0.647331547560905,0.995041686330636,3.5,TRUE,385,0,43,"ns",-0.539666540302166,-0.483003499371344,-0.618301982576007,-0.165983629544575,4.96885174220248,-0.0298453915340119,0.482746095358844,0.532575361498039,0.914773449752443,0.523716339322356,0.933610609192266,0.013,0.014,0.470588235294118,0.411764705882353,0.529411764705882
"20","RSV1086",0.00713150714549926,0.0155643652520463,"Ralstonia (RSV1086)",5,69,7.2,0,0.1,2,43,4.7,0,0.1,0.705508471781814,0.995041686330636,2.5,TRUE,309,0,43,"ns",-0.494277280733822,-0.466441840764739,-0.526739612733477,-0.0628412629997852,5.20907626327747,-0.00958573260349418,0.494186046575609,0.58515667757264,0.936317931109851,0.588829358014196,0.953721338400477,0.028,0.02,0.470588235294118,0.411764705882353,0.529411764705882
"21","RSV1092",0.00661670753248771,0.0138490408913613,"Alishewanella (RSV1092)",4,69,5.8,0,0.2,2,43,4.7,0.2,1.4,1,1,1.1,TRUE,319,0,43,"ns",-0.527170582123839,-0.484740251315131,-0.59584831968426,-0.16162808424483,5.21698485367318,-0.0238157300018154,0.484375000172094,0.565480641418888,0.925703961646722,0.524585163811915,0.941011718035847,0.036,0.255,0.470588235294118,0.411764705882353,0.529411764705882
"22","RSV11",0.0484575790360332,0.0940588172736156,"Lactobacillus (RSV11)",8,69,11.6,0.2,1,10,43,23.3,0.2,0.5,0.118329130474398,0.864755103587279,-11.7,FALSE,40,0,43,"ns",-0.0513866582239046,-0.251350286672485,0.302197304327999,0.776464381085613,7.81228046718808,0.0959830640621274,0.440770349498205,0.247861908256521,0.842628034737284,0.339175119072261,0.896848204051449,0.214,0.213,0.470588235294118,0.411764705882353,0.529411764705882
"23","RSV110",0.00500175896387112,0.0108421540904769,"Enterobacter (RSV110)",5,69,7.2,0,0.3,2,43,4.7,0,0,0.705508471781814,0.995041686330636,2.5,TRUE,365,0,43,"ns",-0.445819756063404,-0.39263000946878,-0.528841885027431,-0.143155240673069,4.91704716782511,-0.0226014437948945,0.48819469682439,0.517281401424785,0.918676371430512,0.512049052430547,0.93854600038958,0.041,0.004,0.470588235294118,0.411764705882353,0.529411764705882
"24","RSV1109",0.0227389176322027,0.0453874610576772,"Brachybacterium (RSV1109)",9,69,13,0.1,0.6,3,43,7,0,0,0.365786897426132,0.995041686330636,6,TRUE,113,0,43,"ns",-0.238935722944307,-0.174271480769169,-0.32782607391365,-0.254011811255927,5.69412642863956,-0.0408506189030429,0.475481293405002,0.400666773585826,0.88193181782594,0.510286451463398,0.929865250713815,0.121,0.007,0.470588235294118,0.411764705882353,0.529411764705882
"25","RSV111",0.0415085123390076,0.0784635432120006,"Staphylococcus (RSV111)",13,69,18.8,0.3,1,7,43,16.3,0.8,2.4,0.804092565632156,1,2.5,TRUE,57,0,43,"ns",0.033317785857097,0.0975492290307685,-0.0736997887054862,-0.139436259836071,8.57948359668911,-0.0159925567362755,0.490915697774409,0.685423174697742,0.952433388043226,0.563836627263758,0.948510664185873,0.32,0.932,0.470588235294118,0.411764705882353,0.529411764705882
"26","RSV1112",0.0177676252083467,0.0354739545487068,"Corynebacterium_1 (RSV1112)",5,69,7.2,0,0.2,6,43,14,0.1,0.5,0.329759674375906,0.995041686330636,-6.8,FALSE,161,0,43,"ns",-0.307632462654587,-0.378875493341686,-0.203177936746497,0.30630628562947,6.12429989472544,0.0446476347876562,0.471656977057057,0.486755784998742,0.915308203017558,0.524729046772424,0.941870817663425,0.043,0.137,0.470588235294118,0.411764705882353,0.529411764705882
"27","RSV1115",0.00740894581052171,0.0151584993158092,"Geobacillus (RSV1115)",4,69,5.8,0,0.2,4,43,9.3,0.1,0.5,0.480655126078405,0.995041686330636,-3.5,FALSE,304,0,43,"ns",-0.39595640189011,-0.458788347223033,-0.277708144855564,0.274264559375728,5.40119132104751,0.0474619925277307,0.474563953768978,0.558442882924863,0.932915996380018,0.509051411180491,0.93184472611114,0.043,0.096,0.470588235294118,0.411764705882353,0.529411764705882
"28","RSV112",0.0781286291108428,0.146552586695695,"Acinetobacter (RSV112)",30,69,43.5,0.6,1.3,20,43,46.5,1.1,2.6,0.84560837558141,1,-3,FALSE,14,1,43,"ns",2.14068023904414,2.06370147089109,2.30708473833649,0.296264110068376,10.1901401683177,0.0304966686611687,0.479476934479579,0.661891419749707,0.952642122322778,0.655564498548154,0.961722092221576,0.597,1.198,0.470588235294118,0.411764705882353,0.529411764705882
"29","RSV1129",0.0100407692451659,0.0209063474965554,"Gordonia (RSV1129)",0,69,0,0,0,4,43,9.3,0.1,0.4,0.0198701620719969,0.721794846698414,-9.3,FALSE,241,0,43,"ns",-0.502807077050235,-0.674996148136277,-0.228692828953868,0.540392054131946,4.84498224604964,0.0893300268723576,0.451671512164693,0.261610413584656,0.835547179013389,0.376321424347342,0.903312450700688,0,0.09,0.470588235294118,0.411764705882353,0.529411764705882
"30","RSV114",0.00502705831809058,0.0119324077250154,"Bacillus (RSV114)",4,69,5.8,0,0.2,2,43,4.7,0,0.2,1,1,1.1,TRUE,363,0,43,"ns",-0.469805806991351,-0.465266793597804,-0.478537569578098,0.0327605727551834,4.9823113177906,0.00438933542705591,0.498002179462577,0.564105070560402,0.926938032823868,0.510372383363019,0.937924666450789,0.035,0.025,0.470588235294118,0.411764705882353,0.529411764705882
"31","RSV1144",0.00367622279238319,0.00822409516038161,"Acinetobacter (RSV1144)",4,69,5.8,0,0.1,1,43,2.3,0,0.1,0.647331547560905,0.995041686330636,3.5,TRUE,388,0,43,"ns",-0.557393655233318,-0.48184780318631,-0.651153576952995,-0.23340579439331,4.74629854513824,-0.047358296742169,0.476744186302957,0.520922121796882,0.919313219523673,0.529545205548178,0.940291910910081,0.024,0.015,0.470588235294118,0.411764705882353,0.529411764705882
"32","RSV116",0.0191516719425195,0.0382115487136279,"Veillonella (RSV116)",8,69,11.6,0.1,0.4,6,43,14,0.6,2.7,0.772944391298433,1,-2.4,FALSE,146,0,43,"ns",-0.241235311502308,-0.295155615455894,-0.160451739342303,0.148221813620777,6.53443002629777,0.0196773618840885,0.487104976531272,0.638407997904894,0.941652840444502,0.569150505117073,0.943262343981683,0.118,0.663,0.470588235294118,0.411764705882353,0.529411764705882
"33","RSV1170",0.00602925540854427,0.0150149251461828,"Actinomyces (RSV1170)",4,69,5.8,0,0.1,1,43,2.3,0,0.1,0.647331547560905,0.995041686330636,3.5,TRUE,334,0,43,"ns",-0.50230976138327,-0.50553670975092,-0.493142973406158,-0.0317827950002894,4.82953281201296,-0.00699234586140311,0.496366279109753,0.498669826877735,0.913201927619942,0.513678180994571,0.938786862095986,0.025,0.022,0.470588235294118,0.411764705882353,0.529411764705882
"34","RSV1172",0.0101376685241022,0.0226865615467261,"Parasegetibacter (RSV1172)",7,69,10.1,0.1,0.3,1,43,2.3,0,0.1,0.150212684025791,0.864755103587279,7.8,TRUE,240,0,43,"ns",-0.367699281994509,-0.268579129913094,-0.524860427636277,-0.238878195303917,5.35455478716234,-0.038179017367881,0.477834302569957,0.376558070123053,0.856260974717734,0.455512624084189,0.906305372900981,0.11,0.014,0.470588235294118,0.411764705882353,0.529411764705882
"35","RSV1174",0.00352566628477364,0.00793895301180567,"Exiguobacterium (RSV1174)",4,69,5.8,0,0.1,2,43,4.7,0,0,1,1,1.1,TRUE,390,0,43,"ns",-0.518389088518117,-0.532220317869751,-0.483558458703423,-0.0174131161004532,4.97474743775871,-0.00217853895111114,0.498909883732925,0.550772362097623,0.928824860006507,0.525361640562974,0.942528458045761,0.025,0.009,0.470588235294118,0.411764705882353,0.529411764705882
"36","RSV12",0.0324296968472138,0.0593332683014876,"Collinsella (RSV12)",15,69,21.7,0.2,0.7,8,43,18.6,0.4,1.3,0.811563066087997,1,3.1,TRUE,77,0,43,"ns",0.198381302770135,0.25168004376437,0.121092666211276,-0.155070498810358,7.89645111343534,-0.0172416374038446,0.48837209315127,0.64214074496766,0.946962056487154,0.573309629937542,0.952694240702304,0.294,0.431,0.470588235294118,0.411764705882353,0.529411764705882
"37","RSV1221",0.0062544675287323,0.0147900590886565,"Bacillus (RSV1221)",4,69,5.8,0,0.1,2,43,4.7,0,0.1,1,1,1.1,TRUE,326,0,43,"ns",-0.439765412314074,-0.401658586410758,-0.501352457391576,-0.0878262179269047,4.94966000467073,-0.015923117653499,0.490374137410637,0.600978614254341,0.93497721566323,0.5602978070598,0.948159609501229,0.017,0.017,0.470588235294118,0.411764705882353,0.529411764705882
"38","RSV1241",0.0086579282140146,0.0179427739627788,"Ellin6055 (RSV1241)",2,69,2.9,0,0.2,3,43,7,0.2,0.9,0.37023490635876,0.995041686330636,-4.1,FALSE,270,0,43,"ns",-0.533097133303237,-0.651627668252303,-0.322877742566726,0.316496056484088,5.16763563020588,0.0493612862199301,0.468942971646835,0.49006957963047,0.911173321107125,0.489568631306137,0.939715775874107,0.049,0.166,0.470588235294118,0.411764705882353,0.529411764705882
"39","RSV1245",0.0180478518137425,0.0375296905679042,"Saccharopolyspora (RSV1245)",5,69,7.2,0,0.3,6,43,14,0,0.1,0.329759674375906,0.995041686330636,-6.8,FALSE,159,0,43,"ns",-0.291945592761364,-0.438730485174414,-0.0602335178686122,0.410563245153412,6.17902970290179,0.0609983136705511,0.462041409791379,0.443767332185891,0.90178654663853,0.443751029176575,0.921133650531377,0.05,0.041,0.470588235294118,0.411764705882353,0.529411764705882
"40","RSV125",0.107747209550661,0.20262272428814,"Hydrogenophilus (RSV125)",43,69,62.3,1.1,2.8,18,43,41.9,1.5,3.9,0.0506095495627312,0.864755103587279,20.4,TRUE,4,1,43,"ns",7.32232080452375,7.94275610999229,1.79738334247137,-1.57653561284327,10.409296179593,-0.162777506881691,0.417877907905408,0.121164217568026,0.808808196954465,0.164658391717505,0.881393921805959,1.184,1.679,0.470588235294118,0.411764705882353,0.529411764705882
"41","RSV1254",0.0110464104275685,0.0214510367517307,"Empedobacter (RSV1254)",7,69,10.1,0,0.1,1,43,2.3,0,0.1,0.150212684025791,0.864755103587279,7.8,TRUE,225,0,43,"ns",-0.466523708923004,-0.314444315759578,-0.675068419218439,-0.506647633074511,5.25942090313536,-0.0837017467515919,0.454413367741182,0.424624591966973,0.887725699613643,0.466009089021289,0.92831279339955,0.017,0.014,0.470588235294118,0.411764705882353,0.529411764705882
"42","RSV1260",0.0126365527099466,0.029453397469856,"Tessaracoccus (RSV1260)",6,69,8.7,0,0.1,1,43,2.3,0,0.1,0.246902669892887,0.966751060219421,6.4,TRUE,202,0,43,"ns",-0.491118692060857,-0.378348183775882,-0.660349079847149,-0.294496316090092,5.0870629210544,-0.0503612421689107,0.471485652330529,0.435555900729801,0.897440638709979,0.476526047712384,0.931726936294854,0.033,0.022,0.470588235294118,0.411764705882353,0.529411764705882
"43","RSV1267",0.0077558204673267,0.0171079352547366,"Moraxella (RSV1267)",6,69,8.7,0,0.2,2,43,4.7,0.1,0.5,0.70831315300294,0.995041686330636,4,TRUE,293,0,43,"ns",-0.331919101873196,-0.216696772759006,-0.49266178676902,-0.327245142494355,5.18812180797572,-0.0552219406117374,0.463131130084316,0.47087234486858,0.907197629172864,0.441455763639596,0.924040760024403,0.038,0.091,0.470588235294118,0.411764705882353,0.529411764705882
