"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.0247688416002819,0.0488106029873426,"Achromobacter",13,175,7.4,0,0.3,4,56,7.1,0,0.2,1,1,0.300000000000001,TRUE,105,0,50,"ns",-1.3381863789672,-1.36553623629471,-1.25663540921356,0.127616814390079,5.33263162743689,0.0187459437731336,0.49023437506338,0.568531555436284,0.907449805260943,0.512894235346404,0.905195562000152,0.035,0.039,0.45,0.4,0.55
"2","Acidovorax",0.0326760895404973,0.0698822331108067,"Acidovorax",22,175,12.6,0.1,0.3,6,56,10.7,0.1,0.3,0.817323966900066,0.987327352015279,1.9,TRUE,87,0,50,"ns",-1.0842021923911,-1.0803859295224,-1.09616732481606,0.0047203795897941,6.13846016087262,0.000375033178547464,0.499581589960872,0.625841188708785,0.928075712236976,0.602214035951773,0.928152988136729,0.062,0.068,0.45,0.4,0.55
"3","Acinetobacter",0.227198464424353,0.405706612075445,"Acinetobacter",169,175,96.6,7.2,10,52,56,92.9,5.2,7.5,0.260942599267242,0.882215139139227,3.69999999999999,TRUE,9,1,50,"ns",11.3923668017405,11.4665648812113,11.1082960830687,-0.388273205892167,3.30572202498819,-0.0851763691261485,0.442677824644407,0.230509325368804,0.839134118497219,0.192577382329098,0.849275946699833,7.282,5.305,0.45,0.4,0.55
"4","Actinomyces",0.0880065026901388,0.162996444764136,"Actinomyces",45,175,25.7,0.3,1.8,15,56,26.8,0.3,0.8,0.86260815688769,1,-1.1,FALSE,36,0,50,"ns",-0.335314787295265,-0.35820463281527,-0.260574305630882,0.334634004006267,9.06493445050327,0.0340677139411875,0.477266387874348,0.608699273521148,0.925403084305467,0.598707901183187,0.932893121697032,0.328,0.31,0.45,0.4,0.55
"5","Actinotalea",0.0104425497398976,0.0211634900146559,"Actinotalea",7,175,4,0,0.1,3,56,5.4,0.1,0.4,0.708100547869713,0.945895866262766,-1.4,FALSE,148,0,50,"ns",-1.44528670528742,-1.47610736839996,-1.35900728100258,0.0916499754810953,5.03050839730676,0.0168520324122884,0.490097629073995,0.550544097624538,0.90458929990333,0.564821507505818,0.919517720314319,0.023,0.063,0.45,0.4,0.55
"6","Aerococcus",0.0606636175185305,0.119014154032269,"Aerococcus",37,175,21.1,0.1,0.5,7,56,12.5,0,0.2,0.174968438332309,0.832975203096316,8.6,TRUE,52,0,50,"ns",-0.708841204415618,-0.62895075387704,-0.961873227109567,-0.498273577472835,6.71010898409617,-0.0725102355667127,0.461366806388681,0.387592353070682,0.861151724860494,0.42962851226371,0.878785267336283,0.115,0.052,0.45,0.4,0.55
"7","Aeromicrobium",0.0175061160776982,0.0343575828853364,"Aeromicrobium",8,175,4.6,0,0.1,3,56,5.4,0.1,0.4,0.730407594990781,0.945895866262766,-0.800000000000001,FALSE,136,0,50,"ns",-1.38911498228437,-1.41468906225252,-1.30531432148507,0.054976788537898,5.03551570813492,0.00949760810605194,0.494698660748683,0.520499341543774,0.887487868468221,0.562891403409957,0.917148786630847,0.009,0.065,0.45,0.4,0.55
"8","Aeromonas",0.162347076392187,0.303063720445487,"Aeromonas",76,175,43.4,0.5,1.3,18,56,32.1,0.5,2,0.160279787063898,0.832975203096316,11.3,TRUE,13,1,50,"ns",1.02924820807178,1.35616477552865,0.388312413775395,-0.973509304920267,9.03197965750062,-0.111627501491697,0.445312500359086,0.208164017180815,0.806259283741408,0.232524206493258,0.829460190599359,0.513,0.508,0.45,0.4,0.55
"9","Alishewanella",0.142174175814085,0.269252066220647,"Alishewanella",61,175,34.9,0.3,0.7,12,56,21.4,0.4,1.3,0.0698035406858494,0.806016609711104,13.5,TRUE,15,1,50,"ns",0.15727674286214,0.441785245856858,-0.563745100371319,-1.05181462612834,8.56747177323547,-0.131975367153282,0.433314732583318,0.159016335480973,0.782506754036688,0.165245676754404,0.804792134988057,0.277,0.399,0.45,0.4,0.55
"10","Alloiococcus",0.00903515010295744,0.0182068660371238,"Alloiococcus",2,175,1.1,0,0,3,56,5.4,0,0.2,0.0934025650262093,0.806016609711104,-4.3,FALSE,150,0,50,"ns",-1.51236257297297,-1.59045612272436,-1.25263788986824,0.365941332892868,4.75415554098969,0.0643843280166295,0.46344866095269,0.379036000172809,0.815779802425112,0.407127527838077,0.858885716249062,0.001,0.036,0.45,0.4,0.55
