"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.00616276354028549,0.0121574185325154,"Abiotrophia",2,31,6.5,0,0,2,33,6.1,0,0.2,1,1,0.4,TRUE,150,0,31,"ns",-1.23425002221465,-1.16843098475338,-1.30850222386583,-0.0982242432495344,5.07890155543029,-0.0227052001353481,0.490927419546975,0.550562094374832,0.960584315260552,0.547413641723682,0.954171045045624,0.007,0.031,0.5,0.408653846153846,0.583333333333333
"2","Acidovorax",0.0143394061259723,0.0292092867021444,"Acidovorax",3,31,9.7,0,0.2,3,33,9.1,0.1,0.3,1,1,0.6,TRUE,109,0,31,"ns",-1.17736225881789,-1.13504176084625,-1.22923102003019,-0.129640385756266,5.76944916659688,-0.0200256323021079,0.489672544299117,0.617911752704123,0.960400179892509,0.57556388918562,0.958773150347432,0.04,0.058,0.5,0.408653846153846,0.583333333333333
"3","Acinetobacter",0.194019281539605,0.344906382857837,"Acinetobacter",27,31,87.1,4.8,9.2,28,33,84.8,1.9,3.9,1,1,2.3,TRUE,1,1,31,"ns",10.2597584300988,11.0625103917757,9.81158966160104,-1.26261301216525,5.41742368402646,-0.169880323594772,0.378024196294105,0.358334565229435,0.946008602148075,0.10533256428217,0.92320493182013,4.798,1.975,0.5,0.408653846153846,0.583333333333333
"4","Actinobacillus",0.00157509125812281,0.00472489347075106,"Actinobacillus",0,31,0,0,0,2,33,6.1,0,0,0.492559523809524,1,-6.1,FALSE,167,0,31,"ns",-1.42398276030534,-1.55707723109081,-1.29197891115856,0.410366286743852,4.71894545859342,0.08318782519553,0.461964736325477,0.475184079239377,0.947574602971132,0.51154451165602,0.944328589804218,0,0.005,0.5,0.408653846153846,0.583333333333333
"5","Actinomyces",0.146744962320002,0.257964368213746,"Actinomyces",4,31,12.9,0.1,0.4,12,33,36.4,0.4,0.9,0.0434059555393683,1,-23.5,FALSE,8,1,31,"ns",-0.360466354237262,-0.82309334250554,0.372421325502884,1.71027310810924,9.53655593197265,0.202540425675254,0.385390430769927,0.0620442074772263,0.877670685076469,0.1710602736537,0.900238228088267,0.113,0.406,0.5,0.408653846153846,0.583333333333333
"6","Aerococcus",0.0281156174271906,0.0517453515279613,"Aerococcus",5,31,16.1,0.1,0.4,5,33,15.2,0,0,1,1,0.900000000000002,TRUE,65,0,31,"ns",-0.825715380142098,-0.746701081388723,-0.875358151732632,-0.25187174740868,6.8985731947306,-0.0318266889295574,0.482115869396355,0.609557928098324,0.959617463569098,0.589499645346489,0.959861900479896,0.109,0.015,0.5,0.408653846153846,0.583333333333333
"7","Aeromonas",0.0599477162501085,0.11143792081103,"Aeromonas",10,31,32.3,0.6,2.6,6,33,18.2,0.1,0.3,0.252407419163569,1,14.1,TRUE,28,0,31,"ns",-0.304910839940471,0.222766240649833,-0.687820754113509,-1.2782792466785,8.30763278829505,-0.154629726660818,0.419858872709123,0.254185404476392,0.935963330832006,0.332348002379908,0.929812390364853,0.585,0.084,0.5,0.408653846153846,0.583333333333333
"8","Agathobacter",0.0666084926566547,0.12890733103715,"Agathobacter",8,31,25.8,0.4,0.9,12,33,36.4,0.4,0.7,0.425447477002459,1,-10.6,FALSE,22,0,31,"ns",0.174313564999917,-0.146767474807882,0.562312001713028,0.724595924771489,9.82932292687057,0.0802843055100461,0.458165323472559,0.480381415638834,0.954644711072774,0.56041107295504,0.961581913232608,0.369,0.384,0.5,0.408653846153846,0.583333333333333
"9","Alishewanella",0.0204533783393717,0.038704369774734,"Alishewanella",2,31,6.5,0,0,5,33,15.2,0.1,0.5,0.427560896545337,1,-8.7,FALSE,83,0,31,"ns",-1.03124818703499,-1.22609229979922,-0.843629925830347,0.625294736873499,5.5406652384027,0.110717603509122,0.455415618078953,0.379231455732544,0.936550938939186,0.439361636639766,0.938678466929862,0.002,0.11,0.5,0.408653846153846,0.583333333333333
"10","Alloprevotella",0.0299411124002922,0.0577936684917409,"Alloprevotella",8,31,25.8,0.3,0.7,8,33,24.2,0.3,0.6,1,1,1.6,TRUE,60,0,31,"ns",-0.224330145737564,-0.119646926235923,-0.336592959241166,-0.382216183519963,9.14352905131034,-0.0409843140374958,0.474798387631669,0.718178564273131,0.971019893616091,0.60441935658581,0.964595934236551,0.315,0.262,0.5,0.408653846153846,0.583333333333333
"11","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0109210601843374,0.0212656846575763,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",3,31,9.7,0,0.2,2,33,6.1,0.1,0.3,0.667252146760343,1,3.6,TRUE,126,0,31,"ns",-1.223250494543,-1.12003834413465,-1.34280242221767,-0.302155311752117,5.90386654098239,-0.0412227140959017,0.473286290889748,0.615332187651114,0.959089572397145,0.569951900416809,0.951533430866925,0.044,0.06,0.5,0.408653846153846,0.583333333333333
"12","Anaerococcus",0.06648236246071,0.126679009092769,"Anaerococcus",11,31,35.5,0.3,0.5,7,33,21.2,0.4,1.5,0.269116220240077,1,14.3,TRUE,23,0,31,"ns",-0.182932351269985,0.563262813132484,-0.685006312370446,-1.32941561215813,9.66824474706192,-0.134101201565347,0.417338711476591,0.314034523077493,0.942915106564622,0.340432222424842,0.932127270272798,0.278,0.43,0.5,0.408653846153846,0.583333333333333
"13","Anaerovibrio",0.0124948542459687,0.0241475928735731,"Anaerovibrio",2,31,6.5,0,0.2,3,33,9.1,0,0,1,1,-2.6,FALSE,118,0,31,"ns",-1.14226937904704,-1.0140674209282,-1.25845729452045,-0.354988910046481,5.52088508565306,-0.0540463881747474,0.470528967879875,0.527610930543892,0.955526083419917,0.557636893914824,0.958163368203326,0.043,0.004,0.5,0.408653846153846,0.583333333333333
"14","Aquabacterium",0.0168073778899515,0.0321019890771731,"Aquabacterium",4,31,12.9,0.9,3.9,3,33,9.1,0.2,1.1,0.703910808557933,1,3.8,TRUE,97,0,31,"ns",-1.13674472848453,-0.937698928895148,-1.33622380289928,-0.404564132295048,6.11594497651019,-0.0540376960131735,0.470528967879875,0.535242563436615,0.952316316331003,0.531534923662274,0.946052624461298,0.873,0.179,0.5,0.408653846153846,0.583333333333333
"15","Atopobium",0.0560992091018219,0.103781034672096,"Atopobium",8,31,25.8,0.2,0.7,9,33,27.3,0.4,0.9,1,1,-1.5,FALSE,32,0,31,"ns",-0.237816678680478,-0.219979075871048,-0.251722375130109,0.321258807390107,9.38122808992114,0.031835922077522,0.480846774599632,0.692813445796345,0.969231426309259,0.677870347225818,0.96716677889834,0.247,0.345,0.5,0.408653846153846,0.583333333333333
"16","Aureimonas",0.0075977036119527,0.0162741671628781,"Aureimonas",2,31,6.5,0,0,0,33,0,0,0,0.230654761904762,1,6.5,TRUE,144,0,31,"ns",-1.48045433619968,-1.42386109923618,-1.54440384515246,-0.258682214616378,4.88320662000133,-0.0510385065531874,0.4758064521263,0.456865258135354,0.947031520655003,0.523761439381275,0.943600252172309,0.003,0,0.5,0.408653846153846,0.583333333333333
"17","Bacillus",0.0372269066523994,0.0687277261613122,"Bacillus",9,31,29,0.1,0.1,8,33,24.2,0.1,0.3,0.77943176429419,1,4.8,TRUE,49,0,31,"ns",-0.165529704281472,0.0397527771678767,-0.365460442373983,-0.35913446321095,8.21645356730354,-0.0476780808932817,0.468010076246099,0.614368174355071,0.963731798588718,0.589231030042834,0.959867593468635,0.064,0.098,0.5,0.408653846153846,0.583333333333333
"18","Bacteroides",0.0633630979437247,0.118235040627319,"Bacteroides",11,31,35.5,1.6,6.5,10,33,30.3,0.5,1.5,0.791189715118275,1,5.2,TRUE,25,0,31,"ns",0.176993282643956,0.359803339609339,-0.00738087749017424,-0.517836958198416,9.60318660879379,-0.0559146351453344,0.471270161900569,0.573701849715728,0.962255653573139,0.620088172087066,0.964874273393062,1.605,0.455,0.5,0.408653846153846,0.583333333333333
"19","Barrientosiimonas",0.00243332251794304,0.00551090275992039,"Barrientosiimonas",1,31,3.2,0,0,2,33,6.1,0,0,1,1,-2.9,FALSE,164,0,31,"ns",-1.31498286661819,-1.363635647686,-1.26222570445552,0.11533617474703,4.84674941834604,0.0207316961937804,0.489919355052211,0.56652453632135,0.959761240473543,0.546896029309563,0.949880128995389,0.005,0.007,0.5,0.408653846153846,0.583333333333333
"20","Bergeyella",0.0163427790173987,0.032936782994476,"Bergeyella",3,31,9.7,0,0,4,33,12.1,0,0.1,1,1,-2.4,FALSE,99,0,31,"ns",-0.94117456606851,-1.01722684192237,-0.854276271859737,0.277401853165745,5.88070493769342,0.0405582988977234,0.475302419878983,0.567569248455728,0.957273489605669,0.565483656533617,0.955729808448351,0.011,0.021,0.5,0.408653846153846,0.583333333333333
"21","Bifidobacterium",0.157131045130034,0.284324137688456,"Bifidobacterium",25,31,80.6,2.8,5.4,31,33,93.9,4.5,11.6,0.142276363317296,1,-13.3,FALSE,5,1,31,"ns",10.2885062575238,10.2477470871552,10.3255400144469,0.701474479560415,5.64591518701683,0.0973516218409366,0.442821159915498,0.148626599265545,0.933843090484407,0.40636395176128,0.950757062675393,2.838,4.552,0.5,0.408653846153846,0.583333333333333
"22","Blastococcus",0.00761182238840372,0.0163271934096866,"Blastococcus",1,31,3.2,0,0,3,33,9.1,0,0.2,0.613583138173302,1,-5.9,FALSE,143,0,31,"ns",-1.26493029626752,-1.38888477670787,-1.16392882332261,0.297789669352097,5.01161781932462,0.0483803950784896,0.472544081186966,0.453423246283753,0.943693859469606,0.51424362092483,0.953030318491932,0.001,0.041,0.5,0.408653846153846,0.583333333333333
"23","Blautia",0.0500673452768298,0.0963318892548822,"Blautia",10,31,32.3,0.2,0.3,10,33,30.3,0.1,0.3,1,1,2,TRUE,35,0,31,"ns",0.208177055694769,0.270598409140222,0.134280704480648,-0.311423121792362,8.61017671646042,-0.0353382353978246,0.480100756089031,0.639970149233412,0.964475355832587,0.650246265256082,0.965060151766068,0.148,0.132,0.5,0.408653846153846,0.583333333333333
"24","Brachybacterium",0.0564094478950907,0.104098674460486,"Brachybacterium",12,31,38.7,0.3,0.6,16,33,48.5,0.5,2.1,0.460737792790071,1,-9.8,FALSE,31,0,31,"ns",1.46689683670018,0.817596641509761,2.5300193729366,0.928771276783923,9.14362353015201,0.0961360008627543,0.451385391466193,0.536352182947554,0.957136660566692,0.542147649387061,0.955225262583217,0.308,0.547,0.5,0.408653846153846,0.583333333333333
"25","Bradyrhizobium",0.0199802138673908,0.0400516807121184,"Bradyrhizobium",4,31,12.9,0.1,0.2,3,33,9.1,0,0.1,0.703910808557933,1,3.8,TRUE,84,0,31,"ns",-1.09192403013223,-0.977427246445401,-1.20352462058645,-0.363568339741178,6.26263607651831,-0.0507122886055065,0.467741936169651,0.483454458855065,0.948523616978225,0.504776101025789,0.951667476533508,0.057,0.019,0.5,0.408653846153846,0.583333333333333
"26","Brevibacterium",0.0838324876701572,0.15603816881793,"Brevibacterium",5,31,16.1,0.1,0.2,11,33,33.3,0.5,1.4,0.15185403109785,1,-17.2,FALSE,20,1,31,"ns",-0.26864195947199,-0.665404727517283,0.256452956788399,1.64451187959718,8.52003241296422,0.190529631444785,0.398488667226603,0.165885965230442,0.915281071432146,0.254842040904,0.918266628329643,0.067,0.502,0.5,0.408653846153846,0.583333333333333
"27","Brevundimonas",0.03723598773267,0.0702422309540861,"Brevundimonas",8,31,25.8,0.2,0.6,6,33,18.2,0.1,0.3,0.551645657635328,1,7.6,TRUE,48,0,31,"ns",-0.510624059002881,-0.23395766957232,-0.720352838502075,-0.649920929695869,7.78145834324027,-0.0788851338894278,0.453629033248288,0.477750369813504,0.953416485555363,0.503133505068122,0.951128022049016,0.188,0.09,0.5,0.408653846153846,0.583333333333333
"28","Burkholderia-Caballeronia-Paraburkholderia",0.0285027208504882,0.0564373556259426,"Burkholderia-Caballeronia-Paraburkholderia",4,31,12.9,0,0.1,2,33,6.1,0,0,0.419101205361278,1,6.8,TRUE,63,0,31,"ns",-1.1477823530953,-1.05930296369869,-1.23090444256463,-0.308273996269328,5.75963384040277,-0.0465785218682452,0.478830645610265,0.464136724336745,0.948178286984969,0.519999291304401,0.948516230075594,0.025,0.003,0.5,0.408653846153846,0.583333333333333
"29","Butyrivibrio",0.00239419961960767,0.0053444069673158,"Butyrivibrio",0,31,0,0,0,2,33,6.1,0,0.2,0.492559523809524,1,-6.1,FALSE,165,0,31,"ns",-1.3670667030515,-1.53983466380428,-1.2378291769085,0.3865805904911,4.69635569242596,0.0666507686525667,0.462972292978868,0.43128302333924,0.944588941233514,0.453133330836723,0.944810950904499,0,0.032,0.5,0.408653846153846,0.583333333333333
"30","CAG-56",0.00311177421515779,0.00695228512054666,"CAG-56",1,31,3.2,0,0,2,33,6.1,0,0.2,1,1,-2.9,FALSE,160,0,31,"ns",-1.31579819728005,-1.37463542098855,-1.26173252097492,0.14293832821367,4.75668853951031,0.0199034232965027,0.490680100952846,0.528594087360864,0.953239186790685,0.51348127115897,0.944753518790898,0.001,0.037,0.5,0.408653846153846,0.583333333333333
"31","Campylobacter",0.00584681833649675,0.0129158163713488,"Campylobacter",0,31,0,0,0,2,33,6.1,0,0.1,0.492559523809524,1,-6.1,FALSE,151,0,31,"ns",-1.46267322907103,-1.55340101120749,-1.34533435898152,0.365651024653074,4.89477284547233,0.0600544006356181,0.46246851465217,0.432966054350875,0.937368782742896,0.511836219156251,0.951660721397782,0,0.031,0.5,0.408653846153846,0.583333333333333
"32","Catenibacterium",0.0165947323870988,0.0320753054311959,"Catenibacterium",3,31,9.7,0,0.1,4,33,12.1,0.1,0.4,1,1,-2.4,FALSE,98,0,31,"ns",-1.09799525159199,-1.15182940905491,-1.03706540676606,0.184990591110231,6.00723003143588,0.0256826332132853,0.486649874337964,0.610707717334955,0.958819546824453,0.555696603134519,0.950729504834131,0.02,0.105,0.5,0.408653846153846,0.583333333333333
"33","Caulobacter",0.0258915363893954,0.0495565430742269,"Caulobacter",5,31,16.1,0.3,1,4,33,12.1,0.1,0.3,0.728844635205686,1,4,TRUE,70,0,31,"ns",-0.993662998374342,-0.785780062424983,-1.18698446604789,-0.389030076146096,7.64746580824764,-0.0443040809460873,0.467237903922394,0.508090216652882,0.955339647508229,0.539404896599361,0.952766314581142,0.312,0.082,0.5,0.408653846153846,0.583333333333333
"34","Cellulosimicrobium",0.00435946512458493,0.00952320233822739,"Cellulosimicrobium",0,31,0,0,0,2,33,6.1,0,0,0.492559523809524,1,-6.1,FALSE,156,0,31,"ns",-1.44870721679048,-1.53216714909636,-1.35561847380151,0.29045744783647,4.73015346119765,0.0558922612598757,0.473551637840533,0.445088491057949,0.947898757820763,0.498005176307514,0.947979378169226,0,0.005,0.5,0.408653846153846,0.583333333333333
"35","Chryseobacterium",0.0496849395226911,0.0937497708670099,"Chryseobacterium",8,31,25.8,0.3,0.8,10,33,30.3,0.3,0.8,0.78412470547942,1,-4.5,FALSE,37,0,31,"ns",-0.186418161820946,-0.195735628835978,-0.16643462621158,0.140759137593792,8.84720376104847,0.0140624861768715,0.49168765760658,0.717683782802417,0.971076105213743,0.672499754593009,0.9691701605224,0.284,0.25,0.5,0.408653846153846,0.583333333333333
"36","Chryseomicrobium",0.0191587569508567,0.0350880131748268,"Chryseomicrobium",4,31,12.9,0,0,2,33,6.1,0,0.1,0.419101205361278,1,6.8,TRUE,87,0,31,"ns",-1.13082699555399,-0.870372854152565,-1.38957240711914,-0.580317852803127,5.64287818230243,-0.0907667957644698,0.448084678530417,0.487729487376652,0.94918644376426,0.452842302781079,0.945711884874059,0.012,0.015,0.5,0.408653846153846,0.583333333333333
"37","Citricoccus",0.0268049681755904,0.0507463793062253,"Citricoccus",6,31,19.4,0.1,0.4,7,33,21.2,0.1,0.4,1,1,-1.8,FALSE,68,0,31,"ns",-0.490543968859838,-0.525920136687962,-0.455711192404998,0.0860894940828967,7.11857157482423,0.00913870201074501,0.492695214260318,0.708784545220181,0.969362398042818,0.643031483642008,0.962005994070788,0.105,0.135,0.5,0.408653846153846,0.583333333333333
"38","Cloacibacterium",0.0449594654793496,0.0891443033459792,"Cloacibacterium",8,31,25.8,0.3,1.2,3,33,9.1,0.1,0.5,0.102515814752218,1,16.7,TRUE,39,0,31,"ns",-0.795243762739128,-0.303370430637921,-1.20733880997922,-1.20584882435213,7.404948745173,-0.160104350959131,0.41209068201929,0.23693564079421,0.931260656175506,0.308974000613589,0.923088718462033,0.295,0.124,0.5,0.408653846153846,0.583333333333333
