"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.0794874093252303,0.145773452876168,"Bifidobacterium (RSV1)",73,90,81.1,1.3,2.4,26,32,81.2,2,3.2,1,1,-0.100000000000009,FALSE,8,1,32,"ns",10.0428189099516,9.87237097382979,10.3060045119584,0.237826013293273,6.68466199463801,0.0308915646399314,0.475841874565552,0.711876488805422,0.978329157522629,0.567013168894586,0.9686090517577,1.36,2.199,0.461538461538462,0.377747252747253,0.538461538461538
"2","RSV10",0.0107195357897466,0.0221615646740522,"Veillonella (RSV10)",6,90,6.7,0,0.3,4,32,12.5,0.1,0.4,0.288168299481848,0.920317007923124,-5.8,FALSE,172,0,32,"ns",-0.329120658095729,-0.36748404001551,-0.208720261330557,0.243585490683428,6.13983239785284,0.0354854749843771,0.477306003379637,0.48171765632806,0.957147569256825,0.536343452064704,0.965286161814354,0.047,0.124,0.461538461538462,0.377747252747253,0.538461538461538
"3","RSV1002",0.00770260726713203,0.0166034538553415,"Schlegelella (RSV1002)",9,90,10,0,0.2,2,32,6.2,0,0.1,0.726014460061023,1,3.8,TRUE,235,0,32,"ns",-0.237615723444412,-0.163382699617168,-0.460687966792008,-0.375929469433546,5.39896711160782,-0.0601817089013966,0.465820313182278,0.556027180299055,0.961272396262226,0.51958799351962,0.960827976774266,0.045,0.02,0.461538461538462,0.377747252747253,0.538461538461538
"4","RSV101",0.0471386504790729,0.088561676650805,"Corynebacterium_1 (RSV101)",59,90,65.6,0.8,2.2,20,32,62.5,0.5,0.7,0.830367160770443,1,3.09999999999999,TRUE,17,1,32,"ns",8.30695364155175,8.48364009678184,8.01661817224931,-0.542778500135707,9.17240950029231,-0.0607258046244355,0.460937500780868,0.583368488436077,0.970316372375432,0.558350992687452,0.970199742789331,0.912,0.46,0.461538461538462,0.377747252747253,0.538461538461538
"5","RSV1018",0.0026937560614094,0.00710915198509763,"Brevundimonas (RSV1018)",5,90,5.6,0,0.1,1,32,3.1,0,0,1,1,2.5,TRUE,464,0,32,"ns",-0.43713213984708,-0.394508656233551,-0.562291014944499,-0.135739933012957,4.82696279421026,-0.0259699918100633,0.488042948016874,0.554894025387106,0.960621434498825,0.538099606677887,0.963726030117396,0.02,0.002,0.461538461538462,0.377747252747253,0.538461538461538
"6","RSV1019",0.00410926719060626,0.00878702333735135,"Acinetobacter (RSV1019)",4,90,4.4,0,0.2,2,32,6.2,0,0,0.652069225905095,1,-1.8,FALSE,379,0,32,"ns",-0.374785738608811,-0.358537905415179,-0.419922176584601,-0.0762624793077684,4.90388427994435,-0.0120073970017355,0.495117187597022,0.551998037464519,0.959915979161465,0.536032321378133,0.95924735046797,0.032,0.009,0.461538461538462,0.377747252747253,0.538461538461538
"7","RSV1024",0.00214128422032321,0.00514657197334786,"Acinetobacter (RSV1024)",3,90,3.3,0,0,2,32,6.2,0.1,0.6,0.605543599136591,1,-2.9,FALSE,503,0,32,"ns",-0.4333711135396,-0.432855826325243,-0.436546603048976,0.00833273882699448,5.0500365750024,0.00177368709083563,0.498291849716677,0.563462853510231,0.964193329358457,0.540797702225829,0.966969966515098,0.009,0.136,0.461538461538462,0.377747252747253,0.538461538461538
"8","RSV1037",0.00471719226637882,0.0109487413021334,"Anaerococcus (RSV1037)",7,90,7.8,0,0.2,2,32,6.2,0.1,0.3,1,1,1.6,TRUE,338,0,32,"ns",-0.320647568540107,-0.273192843112922,-0.4344026447873,-0.149098896546334,5.31770784078033,-0.0224544459703873,0.486578819202653,0.62367655368177,0.972530788746379,0.523287211528732,0.964341999844104,0.03,0.061,0.461538461538462,0.377747252747253,0.538461538461538
"9","RSV1040",0.00347803493094967,0.00786852922140518,"Anaerococcus (RSV1040)",4,90,4.4,0.1,0.4,2,32,6.2,0,0.1,0.652069225905095,1,-1.8,FALSE,414,0,32,"ns",-0.47159302911937,-0.443611364483397,-0.539117910409933,0.131384215692256,5.12541825451383,0.0213321247116296,0.488042948016874,0.6034564919311,0.965481757412551,0.565412456230619,0.96196031326397,0.072,0.027,0.461538461538462,0.377747252747253,0.538461538461538
"10","RSV1049",0.00995645702881919,0.0235125116924017,"Corynebacterium_1 (RSV1049)",12,90,13.3,0,0.1,1,32,3.1,0,0.1,0.180421688634886,0.920317007923124,10.2,TRUE,189,0,32,"ns",-0.0858440167176031,0.0578480118285896,-0.42176055473379,-0.631557037770753,5.46097890192452,-0.0954970617938335,0.443359376139977,0.345252893828168,0.931713082511501,0.381881739704157,0.939658241153498,0.022,0.012,0.461538461538462,0.377747252747253,0.538461538461538
