"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.0235209094072325,0.0455071605970893,"Achromobacter",6,84,7.1,0,0.2,3,28,10.7,0.1,0.2,0.688401035631351,0.982536023582928,-3.6,FALSE,78,0,28,"ns",-1.15022108663157,-1.15129741265573,-1.14454388667725,0.0981998583076091,5.70692932764104,0.0134286426029689,0.490513393103412,0.613424499363147,0.938717521013291,0.579775787445718,0.920231259076879,0.033,0.051,0.5,0.4,0.6
"2","Acidovorax",0.0282818728718108,0.0570308170090205,"Acidovorax",21,84,25,0.1,0.3,3,28,10.7,0.1,0.6,0.181824639821013,0.873840209752105,14.3,TRUE,65,0,28,"ns",-0.585481788768558,-0.342066320821282,-1.2037489701236,-1.04135058164261,7.21997016232388,-0.134017104218255,0.42889013015795,0.278329690449852,0.845525795058159,0.304271075513409,0.795264692535354,0.107,0.16,0.5,0.4,0.6
"3","Acinetobacter",0.148296038893674,0.269262502470364,"Acinetobacter",81,84,96.4,6.8,9.1,27,28,96.4,5.1,6.6,1,1,0,FALSE,5,1,28,"ns",11.4320299587394,11.6146439335641,10.8543206742417,-0.936247789280562,3.22381435986594,-0.2201323496764,0.367745539404518,0.136047672516713,0.797650553150129,0.0382445987416818,0.588409899519529,6.929,5.063,0.5,0.4,0.6
"4","Actinomyces",0.0575127813770224,0.117698762536285,"Actinomyces",15,84,17.9,0.3,1.6,9,28,32.1,0.8,2.7,0.119350925389569,0.873840209752105,-14.2,FALSE,23,0,28,"ns",-0.60202196535684,-0.801644906115748,0.195411923065,1.26801334395109,8.27874994287028,0.14814830459519,0.419084823584816,0.210421456509093,0.802860956311605,0.255050647256742,0.768786388570632,0.286,0.844,0.5,0.4,0.6
"5","Aerococcus",0.0244622097373653,0.046752361272202,"Aerococcus",11,84,13.1,0.1,0.2,5,28,17.9,0.1,0.6,0.541453113598121,0.982536023582928,-4.8,FALSE,75,0,28,"ns",-0.883114041312774,-0.897487337677904,-0.831970764654312,0.11650702815382,6.46403346503243,0.0160180060127866,0.489124372842,0.639681092665488,0.949930052172559,0.60786390620592,0.930446958774208,0.054,0.131,0.5,0.4,0.6
"6","Aeromonas",0.180512372584177,0.321696702848472,"Aeromonas",28,84,33.3,0.2,0.5,18,28,64.3,0.9,1.7,0.00708438648812632,0.433454726779502,-31,FALSE,2,1,28,"ns",1.16986144742547,0.396971002212988,5.92365900212579,3.63207840884573,8.67763302366792,0.397059799591304,0.323102683818785,0.0129326863632423,0.453408742563919,0.0106264887946283,0.436436204077324,0.212,0.909,0.5,0.4,0.6
"7","Agathobacter",0.00649650498825464,0.0209538197788458,"Agathobacter",7,84,8.3,0.1,0.5,0,28,0,0,0,0.189239281092812,0.873840209752105,8.3,TRUE,138,0,28,"ns",-1.2675110448287,-1.16275748826296,-1.56411926427833,-0.606217442069075,4.82093120095886,-0.0998883090889023,0.443390966349796,0.251429411051967,0.792463146864643,0.414126863121278,0.838893062372769,0.108,0,0.5,0.4,0.6
"8","Alishewanella",0.0384540102968688,0.0750129239831916,"Alishewanella",21,84,25,0.1,0.3,7,28,25,2,9.6,1,1,0,FALSE,48,0,28,"ns",-0.287814513689305,-0.249932067344055,-0.400815818599051,-0.157494236825848,8.3115942091555,-0.0155698623871465,0.491912995190161,0.698442816901023,0.960476430120959,0.613970732681739,0.939267586475832,0.122,2.039,0.5,0.4,0.6
"9","Alloiococcus",0.0114114577235095,0.0308513722702619,"Alloiococcus",5,84,6,0,0.1,0,28,0,0,0,0.328804409079639,0.95173233117118,6,TRUE,108,0,28,"ns",-1.37635857885507,-1.29890377173607,-1.61729764331063,-0.456747814228586,4.79070528504309,-0.0810927950412998,0.457031251123349,0.383825309726369,0.864324067567145,0.433839768243793,0.858251415587046,0.019,0,0.5,0.4,0.6
"10","Alloprevotella",0.00550568702305414,0.0140957552719758,"Alloprevotella",7,84,8.3,0.2,0.7,1,28,3.6,0,0.1,0.676860333247327,0.982536023582928,4.7,TRUE,145,0,28,"ns",-1.28279952338661,-1.19212436675253,-1.53429865016513,-0.367722874901847,5.39245299891104,-0.0568007385222465,0.46149553671945,0.389030404984082,0.861472804170352,0.454055370899757,0.854710525845953,0.18,0.031,0.5,0.4,0.6
"11","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0386965046383305,0.0774490233478752,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",22,84,26.2,0.4,2.4,6,28,21.4,0.2,0.6,0.801739745347638,1,4.8,TRUE,47,0,28,"ns",-0.374705710368167,-0.266589298478954,-0.641557522395539,-0.575248948386173,8.32878647159706,-0.0704516159852535,0.458449527018724,0.583117179095559,0.9382543909264,0.549448048540133,0.921234524415563,0.451,0.203,0.5,0.4,0.6
"12","Altererythrobacter",0.00993339942442111,0.0209556245002181,"Altererythrobacter",6,84,7.1,0,0.2,3,28,10.7,0.1,0.4,0.688401035631351,0.982536023582928,-3.6,FALSE,121,0,28,"ns",-1.22421798599733,-1.22519834998197,-1.21265690804988,0.159458939991469,5.97239055144092,0.0210285920275457,0.488566648372374,0.571937960804319,0.932089891718181,0.527199130931961,0.898970159228791,0.037,0.089,0.5,0.4,0.6
"13","Anaerococcus",0.0428183934240233,0.0826806419163107,"Anaerococcus",21,84,25,0.3,1.1,8,28,28.6,0.1,0.4,0.80399270278687,1,-3.6,FALSE,38,0,28,"ns",-0.280646586388373,-0.324804517705548,-0.0903941476215451,-0.0114019911017573,8.5107035956613,-0.00157005543475537,0.498883928600391,0.695688737192188,0.961253105604421,0.653149596662464,0.941298014176993,0.319,0.15,0.5,0.4,0.6
"14","Anoxybacillus",0.00914801518421642,0.0200525770041495,"Anoxybacillus",6,84,7.1,0.1,0.4,2,28,7.1,0.1,0.3,1,1,0,FALSE,124,0,28,"ns",-1.31725110580801,-1.30986299095082,-1.34493203987834,-0.00856351075117701,5.65593432713764,-0.00197663883437578,0.499441964300195,0.588828748510576,0.939021686466564,0.539215841375349,0.910333060230649,0.09,0.06,0.5,0.4,0.6
"15","Aquabacterium",0.014368958275017,0.0307591962825415,"Aquabacterium",5,84,6,0.1,0.3,3,28,10.7,0.1,0.4,0.410141878149883,0.982536023582928,-4.7,FALSE,100,0,28,"ns",-1.2781882071195,-1.32313511885642,-1.13854883156944,0.10164317478059,5.64236490487144,0.0153135116964967,0.492745535902581,0.582156578012267,0.923839233830436,0.564926754323153,0.902349256214934,0.054,0.08,0.5,0.4,0.6
"16","Atopobium",0.0458832080974596,0.0882849022286823,"Atopobium",14,84,16.7,0.2,0.4,6,28,21.4,0.3,1.4,0.576484024164082,0.982536023582928,-4.7,FALSE,34,0,28,"ns",-0.828765242448252,-0.881452030132522,-0.677899683245263,0.171327232320627,7.91728034932073,0.0195188904108019,0.487451199433128,0.647576062260193,0.945959465551348,0.584954085633932,0.922680587073104,0.16,0.352,0.5,0.4,0.6
"17","Bacillus",0.0316790911549353,0.0625764088764924,"Bacillus",20,84,23.8,0.2,0.8,6,28,21.4,0.1,0.4,1,1,2.4,TRUE,56,0,28,"ns",-0.390478495462573,-0.364315384375306,-0.463548905966459,-0.22975662048197,8.04894297678229,-0.0283223276948812,0.484662577085058,0.679483331234864,0.956268913232284,0.655568824654476,0.938107561777962,0.233,0.143,0.5,0.4,0.6
"18","Bacteroides",0.0295739395770961,0.0583642211251854,"Bacteroides",2,84,2.4,0,0.1,4,28,14.3,0.2,0.7,0.0334425041833084,0.668050180021206,-11.9,FALSE,60,0,28,"ns",-1.35240227596189,-1.47293100960251,-0.997077772345217,0.590606956056043,5.61415401536703,0.0921921006144028,0.448660715632181,0.326392376046639,0.825676136391425,0.405105443903927,0.822487896391561,0.013,0.185,0.5,0.4,0.6
"19","Bergeyella",0.0286635680126474,0.0548581540178469,"Bergeyella",12,84,14.3,0.1,0.2,5,28,17.9,0,0.1,0.761563099444374,1,-3.6,FALSE,64,0,28,"ns",-0.857032605721841,-0.895620765518887,-0.728562523408451,0.151593111904457,6.58216738735828,0.0218113540008793,0.48800892390275,0.606691599730904,0.942736252597539,0.552837550584461,0.905153978897103,0.064,0.047,0.5,0.4,0.6
"20","Bifidobacterium",0.107040278692605,0.194910218268843,"Bifidobacterium",70,84,83.3,4.4,7.2,24,28,85.7,3.5,4.7,1,1,-2.40000000000001,FALSE,14,1,28,"ns",10.1359255534773,10.2444819241066,9.73201725346551,-0.659907882231906,6.67043572028659,-0.0858848290657476,0.446179588695335,0.662005324101061,0.957040954686781,0.386397592185907,0.905319454370089,4.512,3.572,0.5,0.4,0.6
"21","Blautia",0.0280879042340796,0.0550480336004466,"Blautia",16,84,19,0.1,0.5,5,28,17.9,0.1,0.2,1,1,1.1,TRUE,66,0,28,"ns",-0.691709123738712,-0.643275733369163,-0.838320042163504,-0.157329945907935,6.86959194519565,-0.0206190038641765,0.486607143204941,0.632193602930455,0.947740310020158,0.589555876206217,0.921231696633169,0.149,0.061,0.5,0.4,0.6
"22","Bounagaea",0.0452612958084083,0.0984386352292314,"Bounagaea",16,84,19,0.2,0.7,4,28,14.3,0,0.1,0.776913395444454,1,4.7,TRUE,35,0,28,"ns",-0.733772638152129,-0.653062411984692,-0.923169266938383,-0.657735595628361,6.95927634589333,-0.089006063045264,0.452008929828392,0.383113713158621,0.866090778222564,0.472869871599644,0.870208080238737,0.199,0.033,0.5,0.4,0.6
"23","Brachybacterium",0.0603022987297083,0.112840368027066,"Brachybacterium",30,84,35.7,0.3,0.8,11,28,39.3,0.4,1.4,0.821717640263872,1,-3.59999999999999,FALSE,21,0,28,"ns",0.494701363411116,0.467560891829415,0.539387988793036,0.0989210795249136,9.00058625948911,0.0108794395048821,0.494143893068718,0.705476065897888,0.960618152556056,0.690334954583583,0.949428655977436,0.297,0.441,0.5,0.4,0.6
"24","Bradyrhizobium",0.0266437549018423,0.055637487093644,"Bradyrhizobium",16,84,19,0.9,2.7,3,28,10.7,0.3,1.3,0.393573067146122,0.982536023582928,8.3,TRUE,69,0,28,"ns",-0.701885730039882,-0.619494986122154,-0.967839796689176,-0.566921313689375,7.15916639375133,-0.0712486229429688,0.453125001227207,0.332523611569298,0.874286041510842,0.495123419089809,0.894718302171726,0.878,0.333,0.5,0.4,0.6
"25","Brevibacterium",0.0417920561502743,0.0841794421133526,"Brevibacterium",18,84,21.4,0.1,0.5,6,28,21.4,0.2,0.7,1,1,0,FALSE,39,0,28,"ns",-0.581405758099903,-0.578542737431128,-0.590203280502614,-0.125875861331196,7.2280541733529,-0.0158286030233429,0.491912995190161,0.608707804592754,0.944821526489336,0.60286230482601,0.924334569037315,0.147,0.165,0.5,0.4,0.6
"26","Brevundimonas",0.0499568822041128,0.11000447726917,"Brevundimonas",22,84,26.2,0.2,0.5,9,28,32.1,0.2,0.5,0.626975342007924,0.982536023582928,-5.9,FALSE,30,0,28,"ns",-0.172059030605567,-0.238270607741942,0.0961260366811878,0.190134005374467,8.26879338225679,0.0218987499868273,0.487451199433128,0.656781097366177,0.949633449785819,0.628327797124392,0.931903339942,0.196,0.217,0.5,0.4,0.6
"27","Buttiauxella",0.0366035361654883,0.0678429433360239,"Buttiauxella",5,84,6,0,0.2,6,28,21.4,0.1,0.6,0.0271288218729358,0.668050180021206,-15.4,FALSE,51,0,28,"ns",-1.05434435529716,-1.18161606134765,-0.605396801004533,0.979101271743517,5.95018543771052,0.133228422998685,0.432236476970652,0.326862177354591,0.833155295097861,0.348724243980224,0.806754298194749,0.036,0.124,0.5,0.4,0.6
"28","Catenibacterium",0.0109296415016126,0.0265355376882221,"Catenibacterium",10,84,11.9,0.1,0.3,1,28,3.6,0,0.1,0.285964352569261,0.95173233117118,8.3,TRUE,112,0,28,"ns",-1.1168560816789,-1.05571322586617,-1.24837733832978,-0.274379082844065,5.78691230162558,-0.0418173799589551,0.474065812163188,0.447277178080143,0.88741582436757,0.516588363655669,0.883012200046849,0.077,0.021,0.5,0.4,0.6
