"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.139179578348646,0.254172384845282,"Bifidobacterium (RSV1)",140,175,80,2.7,5.5,58,70,82.9,2.1,3.3,0.720313755314053,0.995555116877311,-2.90000000000001,FALSE,2,1,50,"ns",10.205121708484,10.274591202055,10.0549017927364,-0.309054894799137,7.25457632296145,-0.0361291213077489,0.477348806164274,0.786760573117068,0.971680891271419,0.48809381461941,0.95870177247828,3.056,2.262,0.5,0.45,0.6
"2","RSV10",0.0193616902466645,0.0385915403883591,"Veillonella (RSV10)",13,175,7.4,0.2,0.9,4,70,5.7,0,0.2,0.784505426753227,0.995555116877311,1.7,TRUE,161,0,50,"ns",-0.447927017795417,-0.401504705650002,-0.56835302576399,-0.200026364399301,5.30240000964745,-0.0343636747331244,0.479464285799695,0.443202850731499,0.900249919686106,0.481135001545253,0.93745610182751,0.19,0.037,0.5,0.45,0.6
"3","RSV1002",0.0199252343729396,0.0399028941312554,"Schlegelella (RSV1002)",25,175,14.3,0.1,0.3,7,70,10,0.1,0.3,0.410349142154804,0.887604373322341,4.3,TRUE,155,0,50,"ns",-0.178103802979455,-0.0914441007024633,-0.369134889350073,-0.28672621515812,6.33953002098992,-0.0419360356487763,0.475223214388842,0.456419678740148,0.905189607736853,0.465520971610084,0.928644365524977,0.096,0.089,0.5,0.45,0.6
"4","RSV101",0.0872984525183044,0.165430940925618,"Corynebacterium_1 (RSV101)",83,175,47.4,0.4,0.8,37,70,52.9,0.5,0.8,0.480952168920796,0.908736307694585,-5.5,FALSE,17,1,50,"ns",3.37639657589815,2.85863875865182,6.0467633649275,0.394093768827269,9.8118517868247,0.04386120617678,0.474553571534501,0.572320826064338,0.938292695089479,0.60579526240995,0.962353461738068,0.452,0.576,0.5,0.45,0.6
"5","RSV1018",0.00973098137703021,0.0210195858565593,"Brevundimonas (RSV1018)",8,175,4.6,0.1,0.6,4,70,5.7,0,0.2,0.746327552387901,0.995555116877311,-1.1,FALSE,283,0,50,"ns",-0.511235984007595,-0.473031052548501,-0.611301191057873,-0.0182740107420045,4.96639075641662,-0.00315001840023354,0.4982142857217,0.538018108873195,0.926035350329973,0.556805947617229,0.950499399907691,0.069,0.033,0.5,0.45,0.6
"6","RSV1023",0.0103517189534354,0.0213581769102913,"Streptococcus (RSV1023)",4,175,2.3,0,0.1,4,70,5.7,0.1,0.7,0.230098104148857,0.805433413719486,-3.4,FALSE,271,0,50,"ns",-0.60058516684219,-0.623297404628664,-0.548355313291792,0.105623439550323,4.84061834053323,0.0172227643820344,0.489846016556329,0.462982279083129,0.895211144693122,0.550066729046536,0.949398594092754,0.012,0.107,0.5,0.45,0.6
"7","RSV1024",0.0073262095485874,0.0179481210181333,"Acinetobacter (RSV1024)",7,175,4,0,0.1,6,70,8.6,0,0.2,0.203859127891302,0.804749669381296,-4.6,FALSE,349,0,50,"ns",-0.468637973265915,-0.487389169829122,-0.415450410623215,0.132454004579113,5.14725000995903,0.0251117303302744,0.489846016556329,0.490998925697562,0.906457291866702,0.498928289437714,0.937698069048529,0.018,0.034,0.5,0.45,0.6
"8","RSV1037",0.0107413147632023,0.0276883798499523,"Anaerococcus (RSV1037)",13,175,7.4,0,0.2,3,70,4.3,0,0.1,0.56768515105376,0.908736307694585,3.1,TRUE,261,0,50,"ns",-0.420217790423717,-0.341680044002016,-0.605547984206217,-0.34460386851458,5.25358739984027,-0.057318923669955,0.46763392870638,0.379822318059765,0.880760856972313,0.44092243520269,0.924879711379595,0.049,0.017,0.5,0.45,0.6
"9","RSV1046",0.010497396822244,0.0232171341075148,"Streptococcus (RSV1046)",2,175,1.1,0,0.2,5,70,7.1,0.1,0.4,0.0216147631637991,0.446344859332452,-6,FALSE,269,0,50,"ns",-0.582727056868613,-0.621306777703056,-0.49259750855204,0.218113715527869,4.96078132900778,0.0377356357781922,0.478571428660564,0.339435657098156,0.854458448083034,0.500779576079117,0.933518311230945,0.013,0.101,0.5,0.45,0.6
"10","RSV1049",0.0214211952870948,0.042995636570439,"Corynebacterium_1 (RSV1049)",8,175,4.6,0,0.1,8,70,11.4,0.1,0.4,0.0811363669053828,0.64563101668262,-6.8,FALSE,143,0,50,"ns",-0.432606884510194,-0.518897413247974,-0.231227458285252,0.400769298526988,5.43386631320787,0.063455864288557,0.461383928732727,0.273058467516259,0.825355205874227,0.385511409044077,0.910707173860664,0.015,0.123,0.5,0.45,0.6
