"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Achromobacter",0.0251453118470073,0.0504551922910372,"Achromobacter",13,168,7.7,0,0.2,3,62,4.8,0.1,0.4,0.567727898635105,1,2.9,TRUE,107,0,50,"ns",-1.5345266168581,-1.54139726108198,-1.51353889337353,-0.0691370351273859,5.10310533072512,-0.0110849300323244,0.493699596807545,0.586139596953884,0.924003764927638,0.574276244970182,0.91256324722083,0.031,0.05,0.55,0.45,0.6
"2","Acidovorax",0.0400894674368983,0.0770848685160844,"Acidovorax",20,168,11.9,0.1,0.3,8,62,12.9,0,0.1,0.822855508000234,1,-1,FALSE,82,0,50,"ns",-1.25606335153285,-1.28068685711109,-1.17505833309699,0.0340947786896564,6.13539200405605,0.0056288641060618,0.497227822595318,0.615112858847138,0.931044863138254,0.550072683934591,0.905084946695166,0.071,0.044,0.55,0.45,0.6
"3","Acinetobacter",0.310118354578572,0.552724286748081,"Acinetobacter",160,168,95.2,7.3,10.2,60,62,96.8,5.3,7,1,1,-1.59999999999999,FALSE,2,1,50,"ns",11.236643063748,11.3455314363135,11.0078263767686,-0.44842290755934,3.18198870257071,-0.0977784502084901,0.435626102639047,0.572506939412938,0.933678380581405,0.1395616242354,0.810960728603674,7.486,5.307,0.55,0.45,0.6
"4","Actinomyces",0.0952557095489977,0.193629496829164,"Actinomyces",44,168,26.2,0.3,1.9,15,62,24.2,0.3,0.9,0.865336474464629,1,2,TRUE,32,0,50,"ns",-0.54732253476742,-0.473182011733893,-0.742631604228911,-0.251895333081964,8.97688362818089,-0.0286991933507773,0.481985386842713,0.714656268104122,0.950647506763704,0.621332644096755,0.917617664511284,0.319,0.342,0.55,0.45,0.6
"5","Aerococcus",0.0804900059605742,0.170747713612605,"Aerococcus",37,168,22,0.1,0.5,8,62,12.9,0,0.2,0.137347075375478,1,9.1,TRUE,42,0,50,"ns",-0.821646459135841,-0.660844046318349,-1.23646723596572,-0.762930707982414,6.72468263708866,-0.102616939099286,0.441028226122973,0.228040793345624,0.803394294980902,0.295467149623536,0.804156705702083,0.123,0.045,0.55,0.45,0.6
"6","Aeromicrobium",0.0148649938573989,0.0313064696017565,"Aeromicrobium",9,168,5.4,0,0.3,2,62,3.2,0,0.1,0.731582357836295,1,2.2,TRUE,133,0,50,"ns",-1.57664242710399,-1.55034329814233,-1.64547969881974,-0.0942861105280688,4.90069962414902,-0.0174725302637685,0.49004787105292,0.54870656544725,0.920402571687014,0.537603187935712,0.901818425722028,0.024,0.018,0.55,0.45,0.6
"7","Aeromonas",0.117099787725489,0.223188460291474,"Aeromonas",65,168,38.7,0.4,1.1,27,62,43.5,0.7,2.3,0.545512911763383,1,-4.8,FALSE,22,0,50,"ns",0.815181077935855,0.702900375537046,1.17859458126856,0.19017620309693,9.17904215943446,0.0190887219324249,0.489292013158208,0.734828722387698,0.956757869351161,0.742969062158857,0.94399115789301,0.454,0.669,0.55,0.45,0.6
"8","Alishewanella",0.118980038167125,0.262308067262998,"Alishewanella",58,168,34.5,0.3,0.8,16,62,25.8,0.2,1,0.265582078256353,1,8.7,TRUE,21,0,50,"ns",0.042655793497774,0.227840728648314,-0.362789046164589,-1.00440049951169,8.46760065022293,-0.121892391727872,0.442792339016475,0.196025385297931,0.802130128892007,0.27579181295771,0.805766562002657,0.343,0.221,0.55,0.45,0.6
"9","Alloprevotella",0.040138639774433,0.0735002380201854,"Alloprevotella",25,168,14.9,0.2,1.1,8,62,12.9,0.2,0.7,0.833322408674704,1,2,TRUE,81,0,50,"ns",-1.12935041406398,-1.095828411412,-1.20505577724929,-0.0902937959250121,6.88529428634936,-0.0103502967034552,0.492691532296754,0.66181728593025,0.941224786363852,0.578305112106565,0.913635064884981,0.238,0.18,0.55,0.45,0.6
"10","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0580127699637517,0.106111565486982,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",36,168,21.4,0.1,0.5,10,62,16.1,0.1,0.3,0.45883679343028,1,5.3,TRUE,58,0,50,"ns",-0.759335919843789,-0.672599562655339,-1.01678090545494,-0.311752160002229,7.21537423660124,-0.037718995918848,0.476442428948279,0.564613515652225,0.92270001906119,0.494319479150491,0.895853955557348,0.14,0.092,0.55,0.45,0.6
