"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.0683607876371994,0.122003938723847,"Bifidobacterium (RSV1)",46,56,82.1,3.3,9.5,11,11,100,2.1,2.2,0.194623058030456,1,-17.9,FALSE,1,1,11,"ns",11.0752200378538,10.7959688288619,11.7234826897994,1.03261039570242,3.77107032526134,0.216447876632878,0.348936198084954,0.0025010972087872,0.659785940674973,0.0792462382315178,0.909356439236182,3.511,2.131,0.5,0.25,0.5
"2","RSV10",0.00185998410739587,0.00454402783317005,"Veillonella (RSV10)",4,56,7.1,0.2,1.2,1,11,9.1,0,0,1,1,-2,FALSE,263,0,11,"ns",-0.138374879399677,-0.121392992098967,-0.223156018669817,-0.365966820510712,5.82825809919497,-0.0453552253497763,0.473011368187515,0.595503252662987,0.965897145804286,0.528913505924804,0.956467705037152,0.208,0.011,0.5,0.25,0.5
"3","RSV101",0.0284045819866408,0.0576131078863264,"Corynebacterium_1 (RSV101)",29,56,51.8,0.5,1,7,11,63.6,1.7,3.1,0.526464329133395,1,-11.8,FALSE,9,1,11,"ns",6.47752568795329,5.37853905374538,10.2273561689746,2.07507282808059,10.706122421145,0.204418914905267,0.361702152768099,0.310687361472667,0.949848338775303,0.16669657471427,0.928456352422124,0.505,1.71,0.5,0.25,0.5
"4","RSV1019",0.00206590742590743,0.00600227851062609,"Acinetobacter (RSV1019)",3,56,5.4,0,0.3,1,11,9.1,0,0,0.520809414466131,1,-3.7,FALSE,250,0,11,"ns",-0.156799763705669,-0.165782652985971,-0.122849404394637,-0.00390815474618122,5.55004370884803,-0.00136857637752225,0.5,0.581102618449601,0.965518283378169,0.527475251403395,0.956265927832248,0.049,0.01,0.5,0.25,0.5
"5","RSV1021",0.00126195083674495,0.00406930153293437,"Mitsuokella (RSV1021)",5,56,8.9,0,0.2,1,11,9.1,0,0.2,1,1,-0.199999999999999,FALSE,337,0,11,"ns",0.0172665963500211,0.0467008373964131,-0.162397360328356,-0.169275756370782,5.78810770248932,-0.0270753411504911,0.480113639712643,0.655691648444854,0.971909871631749,0.552780905222198,0.957629478517615,0.044,0.053,0.5,0.25,0.5
"6","RSV1024",0.00358776014181897,0.00793239330085021,"Acinetobacter (RSV1024)",2,56,3.6,0,0.1,2,11,18.2,0.1,0.2,0.122990815154994,1,-14.6,FALSE,164,0,11,"ns",-0.112559083944765,-0.168571682894106,0.253084274619683,0.4991666736219,6.13798867151171,0.0872282309831206,0.451704553651458,0.448158889230227,0.952138607067736,0.497961375970092,0.948214304849601,0.013,0.075,0.5,0.25,0.5
"7","RSV103",0.00356667703538292,0.00910586163586452,"Succinivibrio (RSV103)",7,56,12.5,0.1,0.2,2,11,18.2,0,0.1,0.634558605256395,1,-5.7,FALSE,165,0,11,"ns",0.187732139996729,0.131571621843026,0.403259338265098,0.288318364714853,7.17008087784326,0.041244044818073,0.476595748613522,0.600282517424594,0.966299884884925,0.545197858317196,0.962062224899964,0.063,0.045,0.5,0.25,0.5
"8","RSV1036",0.00143412105867988,0.00406901890671947,"Prevotella_9 (RSV1036)",6,56,10.7,0,0.1,1,11,9.1,0,0,1,1,1.6,TRUE,313,0,11,"ns",0.0775496297924239,0.112946657700894,-0.085310388905917,-0.20628561546801,5.58864619783056,-0.036609262056148,0.482954548323917,0.619270596295975,0.969624123162075,0.564717240215426,0.962278174868433,0.022,0.007,0.5,0.25,0.5
"9","RSV1040",0.00421503982292218,0.0103905820479345,"Anaerococcus (RSV1040)",1,56,1.8,0,0.1,2,11,18.2,0.1,0.1,0.0677382319173364,1,-16.4,FALSE,129,0,11,"ns",-0.187316393666061,-0.269683673574972,0.266438599466786,0.869361471751889,5.96896687578936,0.129194871394305,0.432624124980614,0.385964103197038,0.951110625623616,0.440223574495184,0.949198484475219,0.006,0.057,0.5,0.25,0.5
"10","RSV1049",0.00198940485984604,0.00473490218607637,"Corynebacterium_1 (RSV1049)",4,56,7.1,0.1,0.4,1,11,9.1,0,0,1,1,-2,FALSE,256,0,11,"ns",-0.100414255854755,-0.078295402760066,-0.206504483969061,-0.154729850646742,5.65085325971432,-0.026171945768272,0.487943264434006,0.616987910820281,0.969282390006882,0.560536354657267,0.961496894632063,0.062,0.015,0.5,0.25,0.5
"11","RSV105",0.00368524299883123,0.00830759656246822,"Staphylococcus (RSV105)",7,56,12.5,0.4,2.6,2,11,18.2,0.4,1.2,0.634558605256395,1,-5.7,FALSE,159,0,11,"ns",0.204454642269759,0.185958199674729,0.293583513249516,0.259922320111924,7.61927149571293,0.0413569082558515,0.477272731102021,0.603571015099657,0.967696014084103,0.579664960543147,0.96215408571428,0.47,0.374,0.5,0.25,0.5
"12","RSV1050",0.000341827228327228,0.00198883531369041,"Pseudomonas (RSV1050)",3,56,5.4,0,0.1,0,11,0,0,0,1,1,5.4,TRUE,533,0,11,"ns",-0.209834131266682,-0.147193933422663,-0.491497614757872,-0.445954614010835,4.68620223911321,-0.0786040990940097,0.448226959129173,0.458617777730252,0.952107577206388,0.475999229589002,0.949077310324055,0.022,0,0.5,0.25,0.5
"13","RSV1053",0.00276862821165762,0.00673112116209666,"Cutibacterium (RSV1053)",7,56,12.5,0,0.1,2,11,18.2,0.1,0.2,0.634558605256395,1,-5.7,FALSE,206,0,11,"ns",0.127083808781967,0.100323223923214,0.29429143911104,0.332676499882393,6.64688717707614,0.0411545753931636,0.475852276796983,0.611444806756257,0.968704631745253,0.597696068880526,0.96116886462858,0.022,0.049,0.5,0.25,0.5
"14","RSV106",0.00176538235947059,0.00567852004939959,"Streptococcus (RSV106)",5,56,8.9,0.1,0.7,0,11,0,0,0,0.581659012629162,1,8.9,TRUE,273,0,11,"ns",-0.0369112874041733,0.039387025958689,-0.310138403594671,-0.491029891969649,4.76154459007586,-0.0817753300311958,0.455319156487851,0.435143716534009,0.958231995781238,0.518625930486966,0.961571925578726,0.126,0,0.5,0.25,0.5
"15","RSV1060",0.00173465908601203,0.00761963097043415,"Acinetobacter (RSV1060)",3,56,5.4,0.3,1.6,0,11,0,0,0,1,1,5.4,TRUE,279,0,11,"ns",-0.198995047293822,-0.16084076759017,-0.37876098196006,-0.38567757834732,4.565979076531,-0.080714041262934,0.463829793330394,0.449241649720482,0.95066445849184,0.507827003454614,0.957346608605885,0.252,0,0.5,0.25,0.5
"16","RSV1064",0.0014288996722232,0.00407622166121757,"Prevotella_9 (RSV1064)",2,56,3.6,0,0,1,11,9.1,0,0.2,0.421354764638347,1,-5.5,FALSE,316,0,11,"ns",-0.142486098125016,-0.149111102208643,-0.0948969755277815,0.0720675690078725,5.45753584230438,0.0132668284760196,0.487943264434006,0.556616172363854,0.962396031679557,0.503517240623012,0.952056275543393,0.006,0.045,0.5,0.25,0.5
