"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Abiotrophia",0.0135479565089186,0.0275494708914783,"Abiotrophia",1,21,4.8,0,0,2,21,9.5,0,0,1,1,-4.7,FALSE,64,0,21,"ns",-1.49571734685777,-1.37550932628075,-1.63482364574759,-0.0325286576330495,5.16230164442157,-0.0057049477108769,0.495910780857529,0.572904704117202,0.92596362350375,0.589007346188909,0.941535712994736,0.003,0.003,0.5,0.444444444444444,0.625
"2","Acinetobacter",0.132936206693211,0.243405243248819,"Acinetobacter",13,21,61.9,8,18.3,16,21,76.2,1,2.5,0.505475577859527,1,-14.3,FALSE,7,1,21,"ns",7.00254937475269,6.88795665474324,7.05344543846171,-0.560976504973199,9.12575640760467,-0.0579409285552265,0.47023809661601,0.791104733380325,0.961609773710627,0.762544990244006,0.960705154541508,8.018,1.041,0.5,0.444444444444444,0.625
"3","Actinomyces",0.0449575006026689,0.0845589206071709,"Actinomyces",6,21,28.6,0.1,0.3,3,21,14.3,0.3,0.9,0.453729526900259,1,14.3,TRUE,27,0,21,"ns",-0.696178182466706,0.0673287160291274,-1.28417786356162,-1.43042709965599,7.86062198744457,-0.170211205334547,0.418154765784559,0.466248300614378,0.904621529815446,0.388110098112588,0.89214193996431,0.109,0.305,0.5,0.444444444444444,0.625
"4","Aeromonas",0.00580019959821902,0.0120731516401067,"Aeromonas",2,21,9.5,0,0,1,21,4.8,0,0,1,1,4.7,TRUE,85,0,21,"ns",-1.38568642698498,-1.20806827034608,-1.56209599916139,-0.277342824937186,4.46134139448005,-0.0572423762022244,0.467261906278743,0.501236385950932,0.90213588338481,0.50637835734973,0.916126384023692,0.001,0.001,0.5,0.444444444444444,0.625
"5","Alicyclobacillus",0.0140126865916636,0.0273976934138338,"Alicyclobacillus",1,21,4.8,0,0,2,21,9.5,0,0.2,1,1,-4.7,FALSE,63,0,21,"ns",-1.60091920196572,-1.69363424570489,-1.51840282028852,0.203258080274437,5.10325661670747,0.0316084743591064,0.479553904289159,0.553013592496139,0.913116102427723,0.559470823161942,0.930602171648735,0.001,0.033,0.5,0.444444444444444,0.625
"6","Alloprevotella",0.0160571691045149,0.0301121913194273,"Alloprevotella",2,21,9.5,0,0,2,21,9.5,0,0,1,1,0,FALSE,56,0,21,"ns",-1.41008065700832,-1.29103798520264,-1.51156895510857,0.116506698474662,5.42906168133997,0.0139632241872197,0.492936803299411,0.554611340485738,0.916291571700374,0.531588261947112,0.922525172786973,0.004,0.011,0.5,0.444444444444444,0.625
"7","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0192736556650432,0.0370798273006459,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",3,21,14.3,0,0,3,21,14.3,0.4,1.9,1,1,0,FALSE,53,0,21,"ns",-0.866777295244399,-0.460255265240782,-1.32941297558047,-0.650122452173465,6.05079661016942,-0.103917919248904,0.45130111750645,0.615686854397626,0.936098761971526,0.523505935318162,0.918915981414281,0.013,0.414,0.5,0.444444444444444,0.625
"8","Amaricoccus",0.00668615852665615,0.0142967581935791,"Amaricoccus",1,21,4.8,0.1,0.3,2,21,9.5,0,0,1,1,-4.7,FALSE,84,0,21,"ns",-1.45534074950705,-1.3936570574764,-1.5099368420554,-0.0264420505116396,5.42181096784097,-0.0032710920277493,0.498141264026145,0.582807217567321,0.921411186037379,0.550837648166261,0.921084652422688,0.076,0.015,0.5,0.444444444444444,0.625
"9","Anaerococcus",0.0361157299789903,0.0701380913897214,"Anaerococcus",4,21,19,0,0.1,6,21,28.6,0.3,1.3,0.718587938100133,1,-9.6,FALSE,34,0,21,"ns",-0.377977069854229,-0.583059936720545,-0.176665587761137,0.348118102367882,6.47409666646992,0.0409736050240277,0.473214286953572,0.575581847808481,0.920503067889898,0.592860310510236,0.93111666753769,0.026,0.286,0.5,0.444444444444444,0.625
"10","Bacillus",0.025824178112819,0.0504882742710835,"Bacillus",1,21,4.8,0,0.1,4,21,19,0,0,0.343339587242026,1,-14.2,FALSE,43,0,21,"ns",-1.24259484057417,-1.46766409592156,-1.02742322966147,0.614338179866272,6.1672044585368,0.0847722325821458,0.458333335269021,0.555583717659809,0.915544770345566,0.532977373083397,0.920695952944916,0.018,0.016,0.5,0.444444444444444,0.625
