"","tax_id","mean","sd","taxonomy","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","fisher_padj","prev_diff","enriched_nonresponder","rf_rank","rf_top20","rf_n","fisher_col","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_nonresponders","mean_rabund_responders","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","RSV1",0.0186547649328659,0.0357312092301763,"Bifidobacterium (RSV1)",4,21,19,0,0.1,4,21,19,0.1,0.3,1,1,0,FALSE,60,0,21,"ns",0.0117129155970321,-0.016763407560294,0.0246811894450882,-0.0620665479956362,7.41095369898819,-0.00776599860770048,0.493680297688935,0.697160519186134,0.952291312400318,0.618881063844912,0.953119978659735,0.053,0.079,0.555555555555556,0.5,0.625
"2","RSV10",0.00836788440525933,0.0168118860528,"Veillonella (RSV10)",2,21,9.5,0,0,1,21,4.8,0,0,1,1,4.7,TRUE,128,0,21,"ns",-0.531765749499645,-0.445917292807607,-0.630792513773107,-0.262718460569547,4.92560079425624,-0.0449597917450017,0.474702382122454,0.510168985877097,0.907355432916361,0.482887025243206,0.935099601784019,0.001,0.003,0.555555555555556,0.5,0.625
"3","RSV101",0.0478747103583117,0.089063854464576,"Corynebacterium_1 (RSV101)",12,21,57.1,1.2,4.4,11,21,52.4,0.6,1.1,1,1,4.7,TRUE,12,1,21,"ns",5.24669335289946,4.82117512057557,5.71738638348615,0.161539703899516,9.16213508487273,0.0161262650616732,0.488095238644763,0.798135404165652,0.965911151484927,0.799199065862811,0.978765857152104,1.31,0.576,0.555555555555556,0.5,0.625
"4","RSV1015",0.00445523801675659,0.00993709566120316,"Alloprevotella (RSV1015)",1,21,4.8,0,0,2,21,9.5,0,0,1,1,-4.7,FALSE,207,0,21,"ns",-0.57910283046986,-0.731734541610063,-0.403444791127642,0.439376737553275,5.04551351417583,0.0792809590151359,0.462453533337911,0.471719561421525,0.885870569314687,0.489336294581495,0.915856280349486,0.004,0.005,0.555555555555556,0.5,0.625
"5","RSV1019",0.00517064229544788,0.0113505308804844,"Acinetobacter (RSV1019)",1,21,4.8,0.1,0.7,2,21,9.5,0,0,1,1,-4.7,FALSE,192,0,21,"ns",-0.556293263680416,-0.671335650183806,-0.426218884095791,0.299140362426535,5.39392945462815,0.0461447853170607,0.472118960396162,0.565537454033661,0.917437430426354,0.522435830915302,0.930737158735258,0.181,0.004,0.555555555555556,0.5,0.625
"6","RSV10220",0.00574511739692796,0.0128000087309589,"Amaricoccus (RSV10220)",0,21,0,0,0,2,21,9.5,0,0,0.48780487804878,1,-9.5,FALSE,179,0,21,"ns",-0.675190455562861,-0.952173426645359,-0.38935735238765,0.7240058959904,4.92166671420444,0.132944620065317,0.434944240966637,0.3910144801852,0.85641689526553,0.439495453561308,0.912057858631166,0,0.008,0.555555555555556,0.5,0.625
"7","RSV1040",0.00638253934048799,0.0143105153218234,"Anaerococcus (RSV1040)",0,21,0,0,0,2,21,9.5,0,0,0.48780487804878,1,-9.5,FALSE,158,0,21,"ns",-0.652198614752537,-0.90700010112413,-0.429371093471723,0.738270986857879,4.67316297453179,0.138252727470152,0.429739780253429,0.442824364490419,0.885406272412277,0.462255968009852,0.91753841925978,0,0.002,0.555555555555556,0.5,0.625
"8","RSV105",0.0414347559292203,0.0786543788663961,"Staphylococcus (RSV105)",5,21,23.8,0.3,1.2,1,21,4.8,0,0,0.18361137873333,1,19,TRUE,19,1,21,"ns",-0.237230123003388,0.44586835938262,-0.752309236403592,-1.74179502458698,6.97846115314314,-0.233170335144374,0.385873611494179,0.133743318911243,0.75008802109619,0.27758205891465,0.839202470138629,0.374,0.002,0.555555555555556,0.5,0.625
"9","RSV1053",0.0260657145495753,0.0519995322584267,"Cutibacterium (RSV1053)",5,21,23.8,0,0,2,21,9.5,0,0.1,0.409893007453983,1,14.3,TRUE,38,0,21,"ns",-0.0853989826431629,0.20046513321676,-0.336834126444833,-0.727381337817654,5.90281859878122,-0.108278849900078,0.446840151175708,0.454864310415396,0.897953105695675,0.481668881557469,0.928345808904599,0.019,0.017,0.555555555555556,0.5,0.625
"10","RSV11",0.00918828501240783,0.0177199431243275,"Lactobacillus (RSV11)",3,21,14.3,0,0.2,2,21,9.5,0.1,0.3,1,1,4.8,TRUE,115,0,21,"ns",-0.210805315127731,-0.0784656490858868,-0.308247755036628,-0.145392470721312,6.32896753781118,-0.0228703085517422,0.489583333814103,0.590194526615089,0.9261607047477,0.5511062963582,0.937810007117971,0.059,0.071,0.555555555555556,0.5,0.625
