"","tax_id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds","present","n","prev","mean","rho","spearman_p","spearman_p_adj","pearson.ecor","pearson.ep","pearson.eBH","spearman.erho","spearman.ep","spearman.eBH","kendall.etau","kendall.ep","kendall.eBH","mean_rabund"
"44","Ellin6055",0.0224334881864542,0.0745752919732498,0.0842289440804946,0.0113705274397905,0.193759917307098,0.0187871553864417,0.0543861891810858,0.00441647181867216,0.010899936941469,0.166908180956522,0.000712097776337539,0.132912481799764,0.0632393013173977,0.00713533530437874,0.0544480153413102,0.0993731041562792,-0.00683761014830523,0.0584029570473755,0.175704962259452,0.0450879394572556,0.0275381725584982,0.263602021459685,0.0537239864932549,0.0322215410550326,0.0154482978353186,0.0819405665181507,0.0117279833534431,0.0276858965713524,0.0498114810165612,0.0705249514549296,0.0314771538738017,0.128556502404006,0.00981266921079921,0.0429832936376436,0.0546229829203949,0.140268426194676,0.00571750665810738,0.0740756311965408,0.00582766585473731,0.0930446674256167,0.124434232954959,0.00392467350195769,0.0302510003866155,0.0114590849260664,0.19801211412784,-0.00499894267363826,0.123078789976985,0.0654645281800858,-0.00015980697195032,0.184424150209418,0.0702196895679187,0.0308050764445863,0.0452754694207275,0.234597148453122,-0.0123876423363399,0.0956785982604616,0.00211866706953688,0.0521353291596484,0.000135666185746378,0.104581437084465,0.0306085530109617,0.0203762858875928,0.0110141857863336,0.0738362880916318,0.103453604506533,-0.000452609760326398,0.129274735655836,0.0902394033495042,0.0587470193560208,0.0933089221693002,-0.00861000643462236,0.0171682745017041,0.0613000917323038,0.116571340993396,0.125062828627803,0.0818119594080074,0.0420255468949631,-0.00500752235879097,0.123449432468735,0.0582370998093724,0.0118399416462081,0.0127965214660612,0.0573253111329607,0.0958971213812955,0.0503040298036146,0.0441670697059456,0.0486490588941893,0.0181265704604006,0.030176755052457,0.0683719512608361,-0.0191829918415794,0.0739662609168853,0.0663509815695692,-0.00658378345167735,0.104826524742522,-0.00411780210369766,0.0207217842905369,0.14964620043719,0.0145074815788676,0.0894520447048879,0.0930746008704349,0.0575569670556533,18,126,14.3,0.2,-0.111307200600939,0.21466930227364,0.99958218976846,-0.124482549676639,0.211642625547001,0.885495525094162,-0.0681953339739575,0.459346128833279,0.936650844932117,-0.0455348725951083,0.462000780831199,0.936413336671457,0.174
"87","Pseudomonas",0.0373820523551849,0.0753872581514442,0.172272196798725,0.00175207006923769,-0.00361087714096679,0.0240408913533019,0.0891167236267327,-0.00461547083478674,0.0051159902681837,0.318880948878126,-0.0219672841059632,0.0199680910722595,0.373053169302822,0.0357721671302688,0.0790752613130434,0.299230453214627,-0.014539034880422,0.0300806335401357,0.0420122502203139,0.0533515704239303,0.0584713268884026,0.00248374518588187,0.0335016975800759,0.0601066828570716,0.0834018936746488,0.0382711760258099,0.0148304222714202,0.00363124789301954,0.0376607298103999,0.0529976379137522,-0.0389208145641532,0.0596868013601823,0.0200645190419058,0.0926082295482041,0.0147484428541432,-0.0298692077481399,0.145277694277947,0.0478726245932181,0.0419899962279845,0.0121282093038363,0.0311780968071267,0.0114051472054056,0.0777936856228498,-0.00290556164306022,0.0522713235168001,0.0100661362040313,0.099675092227689,0.0230209435028149,-0.0200234215192863,0.0629194200853806,0.0561697496312534,0.0536040065236836,0.000681519378674034,0.0180321437292902,-0.0195696777848064,0.0335697786931027,0.0332912451232827,0.00663301529790162,0.0346708103961691,0.0900306267557815,0.0420279119698474,0.042236087901772,0.0277262999233779,0.20090820333178,-0.00362336251644246,-0.018456422569778,0.0424466930287564,0.143726011653297,0.056925745094999,0.0751818289443442,0.0143927873493713,0.179997129110697,0.0573742218539447,0.0423219276228043,-0.014240140367912,0.132920758010874,0.020099364605001,0.00067224265557783,0.0435119384528786,0.0220311628183888,0.0402474361027794,-0.0130826467926989,0.0697173138988289,0.246412718490317,0.149108721191856,-0.0145915976974824,-0.00970493131085286,0.0112726647114703,0.0764331678458138,0.174141086099181,0.0125758441572185,0.0206249242058287,0.065196881907094,0.111862131739463,0.101062858945499,0.0322401970296447,0.00900961266863302,0.0798697867802551,0.00796062976026952,0.0168253173022946,0.0658556126105439,0.0790655718104594,111,126,88.1,2.5,-0.0646720757148359,0.471856914665158,0.99958218976846,-0.133755506403888,0.142467005253539,0.885599149942394,-0.109291992309907,0.226352457938818,0.925184267457421,-0.072841898436535,0.230259871864346,0.925163083912997,2.603
"89","Psychrobacter",0.0237050225333451,-0.00367983183006056,0.0475586830920562,0.0351990679935453,0.0493296872688772,0.0109888165089138,0.00272029795959943,0.013291054048378,0.0177658110857396,0.0790005956315332,0.0355246130024114,0.015036880472579,0.0482900733311036,-0.0122949912854002,0.000998179541506948,0.0105911222787566,0.0153920532197924,0.00501167261105146,0.0444640253426272,0.0422550047835213,0.0219175246514829,0.0601911451116985,-0.00217782093657487,0.0107907756617723,0.0114597416585283,0.00789074825007769,0.0424734566400938,0.00910113393245547,0.039240096234696,0.0554864248265186,0.114714049156134,-0.0011663311673453,0.0152593727830388,0.01109997797798,0.0661409152491675,-0.00444244812320395,0.0258479441795792,0.00521772496939675,0.0253688239577198,0.0439866640424571,-0.00623116586178521,0.0539968981234578,0.0132049634005345,0.0411125305689361,0.00841709826238827,0.0218041731787911,-0.00367608672854962,0.0236366063800599,0.00208730395608317,0.0666765312442526,0.00513179743800837,0.0152912235054175,0.014041856842807,0.0095287243232273,0.0208056470034104,0.0384874968401746,0.0113621284851825,0.0164217679366443,0.00324749578240848,0.0235535575699613,0.00505511792959872,0.00756176232385287,0.0355332654233639,0.019904608570525,0.00794024055600372,0.0332336187764071,0.00208927449634992,0.0204998632268057,0.0269863263336542,0.029458061664339,0.0113967585593549,0.0442123072499794,0.0153271004673758,0.0474713548109037,-0.0062857704606974,-0.00679047693116248,0.042270458609655,0.0424924297854771,0.0237332535431344,0.0624487424198771,0.0232622010576528,0.0242209993001883,0.0171692279240081,-0.00428767784766209,0.0167443921347739,0.000347066823354779,0.0501867396402302,-0.0057338016791646,0.0307061971506304,0.0458970375984541,-0.00609346635145315,0.0143197834197132,0.04683506183809,0.0119916677700771,0.0118690737721789,0.0774456256464941,0.0263062895455387,-0.000466135934957053,0.0161021361565154,0.0301079513111791,0.0333144888039116,0.0247004334909985,10,126,7.9,0.1,-0.197736977015776,0.0264572528439602,0.981377718860885,-0.158894787634377,0.151902924946456,0.791724496519591,-0.101102910893957,0.330807653579388,0.884019485537657,-0.0689009033590861,0.325726667828814,0.882129775436945,0.055
"5","Aerococcus",0.00793610858029021,0.0256150464739178,0.144840892769466,0.00607792396169014,0.0169227944562199,0.0154110723012252,0.000382149681975259,0.0346241251887076,-0.00158499225789739,0.0982914434413505,0.0934802490732947,0.0459046885347857,-0.00513292383763861,0.00685893035601156,0.00708896541591322,0.0442423350064049,0.0426697732725058,-0.000772677653021648,0.0140505416502616,0.07920327001912,0.0317137687882868,0.00704485500205192,0.0324295513906295,0.00482685313635843,0.0116103666584747,0.0107906910878949,0.0373388721089275,0.0708805375652385,0.0151212276486198,0.0374549639855302,0.0238926900774934,0.0215880892321781,0.136036981246846,0.0354820217044434,-0.00757175162453981,-0.0117615176481295,0.0259253986857792,-0.00684433817680694,0.146256790326961,0.0092620186956681,0.06339957728656,0.0904314753576663,0.00178024509980736,0.0153283899984648,-0.0100902488339954,0.0682032935159063,0.0975859505135856,-0.0103192129513954,0.0015956667964073,0.0204617811714803,0.0179614974153333,0.0361284162148223,0.0378919201342943,-0.00821766265994301,0.0207753896286705,0.0338570281565664,0.0147883980946154,0.0559310417246132,0.0235676224689944,0.0102880114814332,0.012453756541731,0.0718776259669454,0.0269816858663636,-0.00386271693707305,0.031745415899865,-0.00381295845971824,0.0293237787171937,0.00387385686838298,0.0718244400755685,0.00691139824201307,0.0611360675318752,0.0164744723594033,0.0120321632828904,0.0325642303025216,0.00568760990056551,0.0211477172312774,0.108671086167727,0.0311081100972814,0.00117018878477106,0.0204025703950947,0.0182378900784189,0.0447177182043388,0.0374406261911654,0.141723891042596,-0.00355120930143837,0.0583470242883,-0.0039179924032051,0.0266269424222739,0.0680241532722127,0.068039797371147,0.0295006646719607,0.0189145063027194,0.00331664544925622,0.100858408326203,0.00623909148354498,0.00498185848603888,0.0200999200954756,0.0278956795971199,-0.0226040591372726,0.0177344613968598,0.0223453069941488,0.0285833126166908,25,126,19.8,0.1,-0.16848986624446,0.0593014876385863,0.981377718860885,-0.153776353351804,0.132282010192549,0.83579967758488,-0.1374346625189,0.191925089921756,0.854529051121507,-0.0907620100582244,0.20056819817413,0.863571284223439,0.108
"96","Rubellimicrobium",0.00597318157068269,-0.00679199990841318,0.00728649402184848,0.0344814623802854,0.017849962039729,0.0422302477423564,0.0360687377677051,-0.0174951514097164,0.0153480965970859,-0.00370650124981101,0.0190301494899681,0.0785114261403345,0.0036649899022347,0.0161897137705614,0.0105979552216697,0.0418057116031344,0.0085128369975596,-0.000287257149470544,0.0144560656767017,0.0429883665514723,0.0278038762957197,0.00969565987250899,0.0395605596527469,0.00940033675104251,0.0231567691740691,0.00452761226695703,0.0439192204545826,0.0406055087544035,0.0093103948843244,0.0202244358805783,0.0136429556374845,0.0257741951405031,0.0420323604830603,-0.00818067208892891,0.0109789454270988,0.0195051907385563,0.0152044518712727,0.0276072000075126,-0.00312729050640094,0.042456443953605,0.0145402041865842,0.0197724067820575,-0.00271839863096714,0.0897426798152936,0.00876619914364312,0.00303335810208706,0.0117556434230358,0.0266636919029912,0.0232201163542966,0.0051204837856348,0.0674204733766803,0.0324452628684113,0.0333195270243744,0.00129725482424629,-0.00479765786741156,0.0307147771885001,0.0340512431634137,0.0138418463738797,0.00683200510653216,0.0128684792654673,0.0725153108182321,0.00221059061627696,0.00451678677233185,0.048609939185895,0.0220486886601987,0.0103658218322607,0.000792237933888117,0.0392559708367411,0.000235671664475536,0.0315618583058868,-0.00150184971540602,0.0159511529177709,0.0567773858972997,0.0459794448460239,0.00179700668348341,0.0216923117492286,0.0533864971447497,-0.00356201715432547,0.0707837769124211,0.0415169506399893,0.0145159985763639,0.0431163958405296,0.0222266015260841,0.016065843592846,0.0582342427120057,0.0330433112851774,0.0664495313213828,0.0199623244351459,0.0116878620219156,-0.0109914148370481,0.0332975006311232,0.0243980536466361,-0.000709015123481211,0.011960429880005,0.0658630134258431,-0.000251258676754141,0.0168432007430234,-0.00342101557673853,0.0165116808488445,0.0217884388885387,0.0209161332902321,0.0208211776323822,37,126,29.4,0.6,0.0476122975469314,0.596513635408773,0.99958218976846,0.0199814447091089,0.702562156232743,0.968286498696293,0.0616087097002998,0.513336640527769,0.945452492351893,0.0423761203693042,0.50271657016725,0.944511766049228,0.593
"4","Actinomyces",0.00994622761589175,-0.00997485533557619,0.00931836928063717,0.0357599160766397,0.0588381647896614,0.0780696325401434,0.00598162027110552,0.0117765976125312,-0.00299377003373677,0.0220600005204629,-0.0151401818215199,0.0345867921152823,-0.0103470094779702,0.0374452365441358,0.0455453395159992,-0.0247376032646497,0.0730612508992669,-0.00538706227100991,-0.00924441737871444,0.00557174945594618,-0.0137583263334765,-0.000507920139995364,0.0201889426295523,0.0330651887706312,0.0186788903901583,0.0406617774577168,-0.0117212087746587,0.000207938363742375,0.0372981636288604,-0.0110956843544862,0.027531808436683,-0.0112153396786092,0.163882301241994,0.0296702174529807,-0.00900135425533379,-0.012372139441572,0.0225365063615889,-0.0243692336303225,0.0652089538968052,0.0925792312731433,-0.0212747134082449,0.106931836115904,0.0212705031613245,0.0140543997395228,-0.00869443169049498,0.00672814480623054,0.00317586082709114,0.000555384997310192,0.0551935182430347,0.00939125212713421,-0.0330474857592792,-0.00363924788148278,0.0478667294886624,0.0448766904964517,0.00331227316095937,-0.00298674766057749,0.0393709830319207,0.0351157900123704,0.00240797240100268,0.0325049657174597,0.00860689224076979,0.00390231240564767,0.00111371473844371,0.0256538435512345,0.0552381819436428,-0.00295664877915191,0.0108134231564296,0.00271368583303055,-0.0329831156911351,0.0159780686115439,0.102523216714257,-0.0184629339769927,-0.0230579688225298,0.0148739701382347,-0.0411701142504213,-0.01849969392878,0.0168954902524178,0.0134021741784156,0.0299895849932343,0.0191505113011189,0.016654893168956,0.00746503836137921,0.0562055665433747,-0.00452324009095393,0.00559427187447991,0.0286949639351587,-0.0227610894560145,-0.0195282967986919,0.0106609574576469,0.0106292982236813,0.0110909313988244,0.0198176795373113,-0.0115934820667738,0.00382760553603575,-0.00370535380297113,0.0987863729157839,0.0125828618475246,-0.0133108661772119,-0.0160488826979897,-0.0122467890228003,0.0154579235764442,0.0301806848676007,33,126,26.2,0.4,0.17647212556585,0.0480761233244749,0.981377718860885,0.136046689483357,0.17209839907443,0.868501226532245,0.123123443953225,0.233387984543002,0.884078281982066,0.0800687105684815,0.253147482971711,0.88564585922473,0.406
"35","Corynebacterium",-0.00232708914530318,0.0173732663320834,-0.000181404519661216,0.0461615853010652,0.00736124509657688,0.0131858748448292,0.00595140687227067,0.000436005890217543,0.00908655332395077,0.0108040823986532,0.0246526043749393,0.00917200607748847,-0.00129787751842286,0.0201453618815491,-0.00117519970839031,0.0120989001426748,0.0172609932811559,0.00592954265475349,-0.00224967524031385,0.00248537342985024,0.0100611475758944,0.0111162281254502,-0.00330687737138848,0.0149211683362525,0.00290826146017403,0.0237387847616323,0.00360646983602799,0.00277141483469711,0.00883268984853318,0.0118027692773597,-0.000829299435883912,0.0083580572959366,0.0011084144169651,0.00748614352788419,0.0880476470618526,0.0725363509849495,0.0102006431639396,-0.00679817562847732,0.00452973384337136,0.010658229999473,-0.00218458715045361,0.00872404977899834,0.00627542199950424,0.006639848927909,0.0168072968912397,0.005684769263723,0.00813137889984306,0.00546675046704729,0.00772283865335291,0.00695030674490128,0.00634747947627986,0.0218750277010395,0.020885927589442,-0.00253441144732804,0.0241525661450903,0.00492954797109082,0.00487759048288634,0.0416519065748719,0.00200919040348197,0.00494912080583013,0.00174754185656788,0.000812062591331036,0.0126768786271528,0.0190233760433863,-0.00156786103540801,0.00377636836351917,0.0137847893617995,0.00842103321816096,0.00629971732060045,0.04904572026366,0.00820356868569933,0.00929925256626391,0.0113473983962683,0.0115320486096543,0.00672793063609577,0.0166166269453691,0.000549958377795057,-0.00362510009275038,-0.00332792273956135,0.0207665887506416,0.00569172909813019,0.00895888832851073,0.0290893634186409,0.0232728701669342,1.181335799457e-05,0.0373965594740525,-0.000226242429744749,0.0175193096301385,0.0153999074444296,-0.00321410902150189,0.0174323538353865,-0.000175036565841915,0.0258900547541979,-0.00461917431932276,0.0060627245834028,0.0120784852943235,0.00749607058031601,0.000750677825342725,-0.000840309618613938,0.0356130716033849,0.014959878937044,0.0215879250010718,9,126,7.1,0,-0.171112409005691,0.0553977328330599,0.981377718860885,-0.11631377817335,0.281396769134919,0.883469948718257,-0.0677368931506294,0.44485560187278,0.927038813100961,-0.0467797108387156,0.437501380924945,0.925190788298039,0.027
"78","Paracoccus",0.0795297773586562,0.0645868186265656,-0.0164837539892177,0.0175422583826982,0.00982815115667819,0.0274008851525226,-0.0402893094142256,0.0424627602686533,0.00395282587824972,0.00698263464448565,-0.025504509137734,0.0113511918775345,0.0324127289639257,-0.00889219406641931,0.0211421887211119,-0.0161283386247022,-0.00090589637943893,0.0188109091365934,0.00728798053185857,0.0251450246730555,-0.00470187367572787,0.0580680021499828,0.0450510664766226,-0.0127846285107031,-0.03328935764219,0.0302447587501207,-0.0268363818693756,-0.0304459337502234,-0.0424985987246152,0.00313962085702504,-0.0327239761362487,9.08270432556855e-05,0.0463153978421959,-0.00857480451288791,-0.00295364029053203,0.00659683524239513,0.0081331577113566,0.03119548273176,-0.022056773913814,0.0227012046743619,0.00673050101328612,-0.00710315737305827,0.0309324038767136,-0.0164158748526568,0.102528347356147,0.00321402181521174,0.0253831586026497,0.0957235304183017,-0.0147359786272871,0.0167426968553298,-0.0312369965990335,-0.0421152665765718,0.139106156696812,0.0222775463457682,-0.00670746185684986,-0.0037023527100328,0.0886202704455175,-0.0193669743259545,0.0098018289819306,0.0276044431599095,-0.0208952453389592,0.000639552599190188,0.0279285501330968,0.0279372932385709,0.0892242055039888,-0.00137593954642178,0.0626409184958821,0.00995431134207323,-0.011888601358336,0.00778404331489585,-0.00499304513269416,0.0266706224572335,0.0701311361671866,0.0063600556442189,0.00923194483609542,0.0073085003023844,-0.0425131106229216,-0.0290218602440575,0.0126684586135077,0.00672589145395523,0.0847636319444075,-0.0134162841146101,0.0103370460927014,-0.0160086590427696,-0.0151941764718404,0.0339677389206889,-0.023264633064273,0.0121290476760049,0.0391256914533515,-0.058652838512499,-0.016131973728631,0.00462669441726801,0.00449302490643358,-0.0268359328523857,0.0962178783807846,-0.0168716949054967,0.0549778782894462,0.0465545720303755,0.0493898669304753,-0.0294618118404395,0.0149369494486737,0.0410088315185474,104,126,82.5,2,-0.00797060009343767,0.929416107735507,0.99958218976846,-0.0117467346005095,0.820132496662201,0.976581796622778,-0.016051568858181,0.85715326221661,0.978707621764061,-0.00941868042691057,0.870179059323281,0.979396818497429,2.031
"72","Neisseria",0.0163579311253349,0.00908242256007104,0.029185685580568,-0.00186633292042625,0.028608362412628,0.00289798101180875,0.0447909458427407,0.0260911745198286,0.0394059546646961,-0.00245594334577329,0.0204142693346974,0.00602253691929167,0.00179592628728467,0.0179850305119624,0.0215490149411993,0.0242140251687717,-0.00880174985908668,0.0208349906187398,0.0445646049506522,0.0143646714373686,0.0316655391192588,-0.00298098971318762,0.040696232875604,0.0136207484918097,0.0122272738210479,0.030860996404195,0.00142947829786976,0.0220523928872916,-0.0010511922797098,0.0122561377842756,-0.00551472172487032,0.0238816255296539,0.00248542193500053,0.0143683500304244,-0.00252779419460571,0.0212921107884259,0.0631841574627154,-0.00867175156870917,0.0335123680643637,-0.00639319448279789,0.0384292711744239,-0.00995809729020788,0.00341985129314476,0.0436260204557893,0.00915389325956035,-0.00282523158250981,0.00273830029167078,0.0261073682761625,0.0389509215293068,0.0149156831026,0.0120530364983096,-0.0139757419297155,0.0205467426324903,0.0203226099202697,-0.00299532178438463,0.00772687090407393,0.0403360076238055,-0.00860110752491492,0.0160581791002861,0.00281087606578278,-0.000485845612571147,0.0325287480947329,0.0442386464266917,0.00202853520049735,0.0152913772025987,0.0680983579665552,0.0233346674524364,0.0171169595739572,0.0189280487614043,-0.00370963569686838,-0.00274563372583778,0.0290415065134717,0.00269571354788231,0.0414123773091563,0.0235924935118195,0.0272133654636348,0.0309922201109178,0.0213964100494856,0.0514837110513283,0.00513143951090397,0.0418475231602631,0.0247781604609658,-0.000309711981143254,0.0135538701653083,0.0138226187805978,0.0115517917943622,0.0434730973917618,-0.0042316111052482,-0.0109351833516096,0.0336969475817627,0.0189598406640528,-0.00257587375381366,0.0151205249656438,0.0453335689586869,0.00109000342300538,-0.000848577834503059,0.0352232169726387,0.00252521837391527,0.0298885946496017,0.0302816596780076,0.0110355281504364,0.0121501213716324,21,126,16.7,0.1,-0.141079895715265,0.115088713835391,0.981377718860885,-0.110482241307229,0.284447640035082,0.902917925927535,-0.09601755025093,0.34807609755509,0.906899409414237,-0.0658036981596804,0.341851595316645,0.909210021675529,0.07
"90","Qipengyuania",-0.00320521974644365,-0.0106870714490073,0.014352038602804,0.0126675959946469,-0.00805395135141989,-0.0143721112776442,0.0122449867513998,-0.0119117908527174,0.00817971264159261,0.00844728092095268,-0.00310224197274628,0.0253618433848679,-0.00178341029134772,-0.000956357067457675,-0.0254435935839632,-0.00155953892367802,0.0102952451303583,-0.00610302262156699,-0.0181245317975727,-0.0217165913547279,0.00345336397175319,0.0237032597219581,0.00671857124303035,0.00317293891450309,-0.0101741384150442,0.00535360301457824,-0.00890928574407142,0.013231459227992,-0.0126522313907174,-0.00573908811229693,0.00237059146624547,-0.0102452456559294,-0.0100127605427666,-0.00766648978533198,0.130031104047033,-0.00448156269945832,0.011928430389441,-0.012875733776756,-0.000985453056735439,0.00858071941224351,0.00801016512318068,-0.0149446958322597,0.012480193243511,-0.00585745956299252,0.0416709965200991,-0.00990039398586352,-0.0174329676302831,0.0503008573571097,-0.00159905579855744,-0.0110368966944752,0.0219209184143703,-0.0327326965407696,0.0244893142277194,0.000451049245886855,-0.00848130346578965,-0.022718507805589,-0.00307865809285545,0.00881527081136532,-0.0180330478446191,-0.00422373001044762,-0.0144261608189278,-0.000984078306847109,0.042648662071315,0.0190533471699784,-0.00786396406383984,-0.00721754579448452,-0.00103663106144543,-0.017952089951983,-0.00308706501694626,0.0216307016333361,-0.00928869889751141,-0.012731991917321,-0.00152849798980236,0.00230124976643093,0.000165389910998868,-0.0277996757308426,-0.0142543479323063,0.00162773525617339,0.00780791922535737,0.0229812277567847,-0.00215894021674362,0.0208618754320324,-0.0142730525187083,-0.00294623339826146,0.0350690045285562,-0.0102690176020899,-0.0121080885618282,-0.00743621122955679,-0.00599472762166998,0.000134035703688479,-0.0105105704385706,-0.0124501197707096,-0.01595134078285,-0.000713369830602367,0.00895489736181825,0.0070686454830095,0.0203273990496323,-0.0200182389903721,0.00259569682019683,0.0199615299765066,0.00974468153600065,0.0333944975198894,25,126,19.8,0.1,-0.0509415734539075,0.571062843733122,0.99958218976846,-0.0662050343913283,0.510302289546182,0.942421046961518,-0.020464618370463,0.630054529009455,0.95258470009495,-0.0152418232793829,0.620191523642764,0.949200239645467,0.099
