"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0252,0.0252,105,0.0697,0.10000730513551,27
"B1.F2",0.0125,0.0125,106,0.0551,0.103937351157864,26
"B1.F3",0.0161,0.0161,106,0.0418,0.0337051939513478,26
"B1.F4",0.0191,0.0191,106,7e-04,0.00277292550890362,26
"B1.F5",2e-04,2e-04,105,0.1058,0.1373249935521,27
"B2.F1",0.042,0.042,106,0,0.0147300752428958,26
"B2.F2",0.0267,0.0267,106,0.01,0.00871111111111111,26
"B2.F3",0.0041,0.0041,105,0.0438,0.0441185955689773,27
"B2.F4",0,0,106,0.0392,0.0776360581488786,26
"B2.F5",0.0107,0.0107,105,0.0035,1.12779502092479e-05,27
"B3.F1",0.012,0.012,105,0.02,0.0212896247694782,27
"B3.F2",0.0552,0.0552,106,0.0015,0.00612941778069983,26
"B3.F3",0.042,0.042,106,0.0072,0.0104493827160494,26
"B3.F4",0.0014,0.0014,106,0.0283,0.0684257602862254,26
"B3.F5",0.0043,0.0043,105,0.126,0.120669284588698,27
"B4.F1",0.004,0.004,106,0.1804,0.183506055957338,26
"B4.F2",0.0062,0.0062,105,0.0084,0.0234811654225574,27
"B4.F3",0.0188,0.0188,106,0.0075,0.0123625851116437,26
"B4.F4",0.0181,0.0181,105,0.0995,0.0778403186828095,27
"B4.F5",0.0045,0.0045,106,0.0396,0.0229380086200599,26
"B5.F1",0.0223,0.0223,106,0.013,0.00383048627918669,26
"B5.F2",0.0025,0.0025,106,0.0795,0.0742446051574256,26
"B5.F3",0.0115,0.0115,105,0.0209,0.0223719775001826,27
"B5.F4",0,0,105,0.0702,0.0578581640852703,27
"B5.F5",0.137,0.137,106,0.0063,0.0016836788382616,26
"B6.F1",0.0176,0.0176,106,0.0329,0.105264197530864,26
"B6.F2",0.0239,0.0239,106,0.001,0.00235761806213243,26
"B6.F3",0.0651,0.0651,105,0.0069,0.0190365868021546,27
"B6.F4",0.0044,0.0044,106,0.1539,0.143751157863978,26
"B6.F5",0.0028,0.0028,105,3e-04,0.00395409095042795,27
"B7.F1",0.004,0.004,106,0.1991,0.303450489319162,26
"B7.F2",0.0324,0.0324,106,0.0017,8.5207100591716e-05,26
"B7.F3",0,0,105,0.1318,0.0780345608589884,27
"B7.F4",0.0828,0.0828,105,0.1305,0.0644998740236835,27
"B7.F5",0.0023,0.0023,106,0.085,0.0702023522536343,26
"B8.F1",0.0081,0.0081,106,0.0136,5.72722624004675e-06,26
"B8.F2",0.0098,0.0098,105,0.003,0.00112745076115039,27
"B8.F3",0.0318,0.0318,105,0.0219,0.0248091346992446,27
"B8.F4",1e-04,1e-04,106,1e-04,0.000280634085762291,26
"B8.F5",0.0196,0.0196,106,0.0146,0.0447846884359705,26
"B9.F1",0.0288,0.0288,105,0.0267,0.0292205420410549,27
"B9.F2",0.0516,0.0516,106,0.0105,0.00858394331214844,26
"B9.F3",0.0079,0.0079,105,0.0032,0.0338092700562138,27
"B9.F4",0.0045,0.0045,106,0.0025,1.97530864197531e-05,26
"B9.F5",0.0308,0.0308,106,3e-04,0.0246248520710059,26
"B10.F1",0.0944,0.0944,105,9e-04,0.00100781053162006,27
"B10.F2",0.0049,0.0049,105,0.001,0.00518962790025061,27
"B10.F3",0.0291,0.0291,106,0.044,0.0394548615676821,26
"B10.F4",0.0117,0.0117,106,0,0.0327084228212433,26
"B10.F5",0,0,106,0.02,0.0137510702023523,26
"B11.F1",0.0341,0.0341,105,0.0746,0.118978667513466,27
"B11.F2",0.0132,0.0132,105,0.1004,0.0396102337494279,27
"B11.F3",1e-04,1e-04,106,0.248,0.224854291767112,26
"B11.F4",0.0017,0.0017,106,0.1171,0.159726612608664,26
"B11.F5",0.0691,0.0691,106,0.0034,0.0285055489583791,26
"B12.F1",0.0297,0.0297,105,8e-04,0.00620228367481115,27
"B12.F2",0.0266,0.0266,105,0.0359,0.0781813492436203,27
"B12.F3",0.0537,0.0537,106,0.0461,0.0209422484396808,26
"B12.F4",0.0534,0.0534,106,0.0634,0.0907193805245087,26
"B12.F5",0.0535,0.0535,106,0.0027,0.0110160274673095,26
"B13.F1",7e-04,7e-04,105,0.0237,0.000894879100007305,27
"B13.F2",0.0342,0.0342,106,0.0148,0.0160877785082913,26
"B13.F3",0.0469,0.0469,105,0.008,0.0120758362516604,27
"B13.F4",0.0152,0.0152,106,8e-04,0.000844762472669449,26
"B13.F5",3e-04,3e-04,106,0.0818,0.0974293520344802,26
"B14.F1",0.0777,0.0777,106,0.0378,0.00349816641098692,26
"B14.F2",0.0056,0.0056,105,1e-04,0.000483033450066417,27
"B14.F3",0.0645,0.0645,106,0.0134,0.00679095490313001,26
"B14.F4",0.0119,0.0119,105,0.0046,0.0147642349169067,27
"B14.F5",0.0139,0.0139,106,0.0294,0.00690177514792899,26
"B15.F1",0.0379,0.0379,106,0.001,0.0100342172547301,26
"B15.F2",0.04,0.04,105,0.0105,0.0100244349328598,27
"B15.F3",0.0217,0.0217,106,0.1685,0.103937351157864,26
"B15.F4",0.012,0.012,105,0.021,0.0196367754383022,27
"B15.F5",0.026,0.026,106,0.0603,0.00883921396741909,26
"B16.F1",0.0035,0.0035,106,0.012,0.0532544378698225,26
"B16.F2",0.028,0.028,105,0.0025,0.0236686390532544,27
"B16.F3",0.0015,0.0015,106,0.0136,0.0430651179779385,26
"B16.F4",0.0382,0.0382,105,1e-04,0.00241599791218112,27
"B16.F5",0.0062,0.0062,106,0.0725,0.0894879100007305,26
"B17.F1",0.049,0.049,106,0.0227,0.00525494872964093,26
"B17.F2",0,0,106,0.2866,0.200275374388195,26
"B17.F3",0,0,105,0.002,0.000120758362516604,27
"B17.F4",0.021,0.021,105,0.0361,0.0485720696343407,27
"B17.F5",0.023,0.023,106,0.0166,0.0211118416246621,26
"B18.F1",0.0042,0.0042,106,0.008,0.000494503404465746,26
"B18.F2",0.019,0.019,105,0.0185,0.00582360930346278,27
"B18.F3",0.0055,0.0055,106,0.1119,0.188816246621375,26
"B18.F4",0.0102,0.0102,105,0.0104,0.0376900267010157,27
"B18.F5",0.0737,0.0737,106,0.0473,0.04,26
"B19.F1",0.002,0.002,105,0.0114,0.0376900267010157,27
"B19.F2",0,0,106,0.0165,0.00058920300971583,26
"B19.F3",0.0464,0.0464,105,6e-04,0.0250018262838776,27
"B19.F4",0.0319,0.0319,106,0.0034,0.0324726694494136,26
"B19.F5",0.0264,0.0264,106,0.0047,0.00976211556724377,26
"B20.F1",0.0097,0.0097,105,0.0054,0.0042671681865821,27
"B20.F2",0.0202,0.0202,106,0.0012,0.0101716706844912,26
"B20.F3",0.0107,0.0107,106,4e-04,0.00206823576180621,26
"B20.F4",0.084,0.084,106,0.0272,0.0489949291455625,26
"B20.F5",0.0278,0.0278,105,0.0115,0.0019861768946018,27
