"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0476,0.0476,97,0.0952,0.0820757304710793,25
"B1.F2",0,0,98,0.0087,0.0175927151691662,24
"B1.F3",0.0086,0.0086,98,0.0424,0.0511097034264325,24
"B1.F4",0.0047,0.0047,97,0.0049,0.0067771628141001,25
"B1.F5",0.0024,0.0024,98,4e-04,0.0113469735720375,24
"B2.F1",0.0278,0.0278,98,0.1526,0.162376155128011,24
"B2.F2",0.002,0.002,97,0.0354,0.0363862488862489,25
"B2.F3",0.0267,0.0267,98,0.1103,0.132003051106026,24
"B2.F4",0.0015,0.0015,98,0.1638,0.132980608998637,24
"B2.F5",0.0023,0.0023,97,0.0154,0.00500786163522013,25
"B3.F1",0.0121,0.0121,97,0.0024,0.0118550983899821,25
"B3.F2",1e-04,1e-04,98,0,0.00281851234661415,24
"B3.F3",2e-04,2e-04,97,7e-04,0.000835313335313335,25
"B3.F4",0.0103,0.0103,98,3e-04,0.000128909229595728,24
"B3.F5",7e-04,7e-04,98,0.0424,0.0850922959572845,24
"B4.F1",0.0201,0.0201,98,0.0383,0.0421243325705568,24
"B4.F2",0,0,98,5e-04,0.00310256021814876,24
"B4.F3",4e-04,4e-04,97,0.0015,0.00990388364072575,25
"B4.F4",0.0333,0.0333,97,0.0058,0.0292747252747253,25
"B4.F5",5e-04,5e-04,98,0,0.00103968103284602,24
"B5.F1",0.0013,0.0013,98,0.0095,0.0166819221967963,24
"B5.F2",0.0252,0.0252,98,0.0829,0.110725400457666,24
"B5.F3",5e-04,5e-04,97,0.0088,0.0108503523766682,25
"B5.F4",0.0069,0.0069,98,0.0588,0.0661424320952107,24
"B5.F5",0.0112,0.0112,97,0.0033,0.00274031053692071,25
"B6.F1",0.0253,0.0253,97,0.0761,0.0220747896171625,25
"B6.F2",0.0111,0.0111,98,0.0031,0.00455245225069584,24
"B6.F3",0.0086,0.0086,97,0,0.000261348820670855,25
"B6.F4",1e-04,1e-04,98,0.0016,0.0162593440122044,24
"B6.F5",2e-04,2e-04,98,0.0221,0.0266852357059733,24
"B7.F1",0,0,98,2e-04,0.00198398169336384,24
"B7.F2",0.0393,0.0393,97,0.1118,0.111368577368577,25
"B7.F3",0,0,98,0.0248,0.0375926773455378,24
"B7.F4",0.0109,0.0109,97,0.0191,0.00576314226314226,25
"B7.F5",0.0085,0.0085,98,0.0037,0.0130385397078656,24
"B8.F1",0.0023,0.0023,98,0.0182,0.00496970156036964,24
"B8.F2",0.0196,0.0196,97,0.0306,0.0238717948717949,25
"B8.F3",0.0022,0.0022,98,0.0023,0.0140947860128222,24
"B8.F4",0,0,98,0.0011,0.00641394335511983,24
"B8.F5",0.0069,0.0069,97,0.0041,0.0126794667971139,25
"B9.F1",0.0101,0.0101,98,0.0061,0.030298439630359,24
"B9.F2",0.0272,0.0272,98,0.0618,0.0770398708942472,24
"B9.F3",0.0157,0.0157,97,0.0256,0.046794476709731,25
"B9.F4",0.0023,0.0023,98,0.0072,0.0157135549872123,24
"B9.F5",4e-04,4e-04,97,4e-04,0.0014894540942928,25
"B10.F1",0.0028,0.0028,97,4e-04,0.0171666171666172,25
"B10.F2",0.0108,0.0108,98,0.1481,0.0906486863520111,24
"B10.F3",0.0029,0.0029,97,0.01,0.00219623784951398,25
"B10.F4",0.0621,0.0621,98,0.2121,0.204157005881574,24
"B10.F5",7e-04,7e-04,98,0.0348,0.031832298136646,24
"B11.F1",0.0017,0.0017,98,0.0749,0.0668314263920671,24
"B11.F2",0.0018,0.0018,97,0.0469,0.0910655446248666,25
"B11.F3",0.0965,0.0965,98,0.3735,0.207048817696415,24
"B11.F4",0.0015,0.0015,97,0.0257,0.00605802968960864,25
"B11.F5",0.0053,0.0053,98,0.0242,3.71155885471898e-05,24
"B12.F1",0.0046,0.0046,97,0.1646,0.259138847638848,25
"B12.F2",0.0029,0.0029,97,0.0247,0.0269569650622282,25
"B12.F3",0.002,0.002,98,0.0013,0.00264478507797215,24
"B12.F4",0.0012,0.0012,98,0,0.00320865767989368,24
"B12.F5",0.0012,0.0012,98,0,8.3728877919119e-05,24
"B13.F1",2e-04,2e-04,97,0.0125,0.0395390555390555,25
"B13.F2",0.0085,0.0085,98,0.0276,0.0211248295712771,24
"B13.F3",1e-04,1e-04,98,0.0035,0.0215623694702867,24
"B13.F4",0.0072,0.0072,97,0.0152,0.0024770198355104,25
"B13.F5",2e-04,2e-04,98,0.0253,0.0246060375925574,24
"B14.F1",0.0075,0.0075,98,0.029,0.00110144927536232,24
"B14.F2",0.0525,0.0525,98,0.245,0.282776094531132,24
"B14.F3",0.0466,0.0466,98,0.0252,0.000460888760917554,24
"B14.F4",0.0012,0.0012,97,0.0152,0.00755852842809365,25
"B14.F5",0.0132,0.0132,97,6e-04,6.61268556005398e-05,25
"B15.F1",0.0199,0.0199,98,0.0354,0.0264152268843744,24
"B15.F2",0.0268,0.0268,98,0.1232,0.0880175153065179,24
"B15.F3",0.0051,0.0051,97,0.0012,0.000947109835143695,25
"B15.F4",0.0088,0.0088,97,0.0499,0.0787027027027027,25
"B15.F5",0.0028,0.0028,98,0.1247,0.267325705568268,24
"B16.F1",7e-04,7e-04,98,0.0199,0.0306021814876534,24
"B16.F2",0.0035,0.0035,97,0.0535,0.157540846750149,25
"B16.F3",0.0105,0.0105,98,0.0029,0.0209272830833492,24
"B16.F4",5e-04,5e-04,98,5e-04,0.0043768115942029,24
