"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0205,0.0205,64,0.0399,0.0379046293073442,16
"B1.F2",0.1116,0.1116,64,0.0031,0.00106233538191396,16
"B1.F3",0.162,0.162,64,0.1326,0.0725309711513471,16
"B1.F4",0.0051,0.0051,64,0.1612,0.0764359861591695,16
"B1.F5",0.0589,0.0589,64,0.1278,0.139524221453287,16
"B2.F1",0.0398,0.0398,64,0.0256,0.0125097461665078,16
"B2.F2",0.1331,0.1331,64,0.1046,0.0806744347223426,16
"B2.F3",0.0565,0.0565,64,0.01,0.0581660899653979,16
"B2.F4",0.0257,0.0257,64,0.1463,0.0670882786104132,16
"B2.F5",0.0667,0.0667,64,0.2211,0.236903933170901,16
"B3.F1",0.1087,0.1087,64,0.0165,0.00520012128562765,16
"B3.F2",4e-04,4e-04,64,0.1914,0.40794420861128,16
"B3.F3",0.0401,0.0401,64,0.0603,0.0585102680125305,16
"B3.F4",0.0609,0.0609,64,0.0186,0.000311877328250888,16
"B3.F5",0.0711,0.0711,64,0.0431,0.0159948096885813,16
"B4.F1",0.0937,0.0937,64,0.1243,0.0018459174714662,16
"B4.F2",0.1675,0.1675,64,0.0583,0.00947615732683606,16
"B4.F3",0.0792,0.0792,64,0.0053,0.0175173010380623,16
"B4.F4",0.0464,0.0464,64,0.118,0.141730103806228,16
"B4.F5",0.0011,0.0011,64,0.0495,0.0700692041522491,16
"B5.F1",0.0079,0.0079,64,0.0742,0.0448442906574394,16
"B5.F2",0.0295,0.0295,64,0.0772,0.0732179930795848,16
"B5.F3",0.0289,0.0289,64,0.0016,0.00268876207199298,16
"B5.F4",0.1072,0.1072,64,0.0785,0.138148277062304,16
"B5.F5",0.044,0.044,64,0.0919,0.0332525951557094,16
"B6.F1",0.0081,0.0081,64,0.1987,0.237288833058997,16
"B6.F2",0.1003,0.1003,64,0.0048,0.00678200692041523,16
"B6.F3",0.1582,0.1582,64,0,0.0192220675252349,16
"B6.F4",0.0241,0.0241,64,0.1148,0.0570918900104421,16
"B6.F5",0.0394,0.0394,64,0.1702,0.102776816608997,16
"B7.F1",0,0,64,0.1309,0.0882439446366782,16
"B7.F2",0.1262,0.1262,64,0.0108,0.000955124317768344,16
"B7.F3",0.0517,0.0517,64,0.0176,0.00608377371567183,16
"B7.F4",0.1137,0.1137,64,0.0029,0.0252249134948097,16
"B7.F5",0.0067,0.0067,64,0.3317,0.124328358208955,16
"B8.F1",0.0669,0.0669,64,0.0632,0.150623885918004,16
"B8.F2",0.0131,0.0131,64,0.0277,0.0183044982698962,16
"B8.F3",0.0378,0.0378,64,0.246,0.205155709342561,16
"B8.F4",0.0347,0.0347,64,0.0549,0.0354325259515571,16
"B8.F5",0.0913,0.0913,64,0.0466,0.0935640138408304,16
"B9.F1",0.0534,0.0534,64,0.0619,0.0183314562938578,16
"B9.F2",0.1731,0.1731,64,0.0033,0.0823551069912501,16
"B9.F3",0.0871,0.0871,64,0.0755,0.0991856536429005,16
"B9.F4",0.0329,0.0329,64,0.0114,0.0058477508650519,16
"B9.F5",0.0579,0.0579,64,0.0393,0.0212271506540761,16
"B10.F1",1e-04,1e-04,64,0.2487,0.214902971497878,16
"B10.F2",0.1162,0.1162,64,0.0011,8.65051903114187e-06,16
"B10.F3",0.0391,0.0391,64,0.05,0.0673860076575009,16
"B10.F4",0.0077,0.0077,64,0.093,0.0216581477952006,16
"B10.F5",0.1101,0.1101,64,0.0097,0.000216581477952006,16
"B11.F1",0.0668,0.0668,64,0.0119,0.0152819890842935,16
"B11.F2",0.0537,0.0537,64,0.178,0.105780559646539,16
"B11.F3",0.0246,0.0246,64,0.0475,0.0266850038984666,16
"B11.F4",0.1281,0.1281,64,0.1064,0.0847837370242214,16
"B11.F5",0.009,0.009,64,0.0512,0.0806744347223426,16
"B12.F1",0.0913,0.0913,64,0.0382,0.0272885485555169,16
"B12.F2",0.0032,0.0032,64,0.1842,0.155557480724248,16
"B12.F3",0.0619,0.0619,64,0.0225,0.0423875432525952,16
"B12.F4",0.2613,0.2613,64,0.056,0.146409079095556,16
"B12.F5",0.0268,0.0268,64,0.0811,0.1225,16
"B13.F1",0.1141,0.1141,64,0.0298,0.095936303515489,16
"B13.F2",0.0011,0.0011,64,0.0564,0.0473702422145329,16
"B13.F3",0.1674,0.1674,64,0.1034,0.061399234249913,16
"B13.F4",0.0021,0.0021,64,0.2113,0.194923330156805,16
"B13.F5",0.0851,0.0851,64,0.0677,0.09719723183391,16
"B14.F1",0.0032,0.0032,64,0.0463,0.0865051903114187,16
"B14.F2",0.0317,0.0317,64,0.0859,0.0568396430737243,16
"B14.F3",0.0468,0.0468,64,0.1337,0.34246049165935,16
"B14.F4",0.0299,0.0299,64,0.1032,0.0790110889716711,16
"B14.F5",0.1717,0.1717,64,0.0802,0.139524221453287,16
"B15.F1",0.0223,0.0223,64,0.1209,0.0540674001559387,16
"B15.F2",0.1111,0.1111,64,0.0439,0.00251479289940828,16
"B15.F3",0.0059,0.0059,64,0.2349,0.26795847750865,16
"B15.F4",0.0459,0.0459,64,0.0415,0.0520337000779693,16
"B15.F5",0.0354,0.0354,64,0.0271,0.0199307958477509,16
"B16.F1",0.1506,0.1506,64,7e-04,0.0183044982698962,16
"B16.F2",0.1602,0.1602,64,0.0078,0.0159948096885813,16
"B16.F3",0.0501,0.0501,64,0.0269,0.00104825435328771,16
"B16.F4",0.0746,0.0746,64,0.1355,0.07062471500228,16
"B16.F5",0.0055,0.0055,64,0.0011,0.000311418685121107,16
"B17.F1",0.1581,0.1581,64,0.0631,0.0581660899653979,16
"B17.F2",0.0023,0.0023,64,0.2173,0.425,16
"B17.F3",0.02,0.02,64,0.2774,0.0442887464264056,16
"B17.F4",0.008,0.008,64,0.0728,0.0105968858131488,16
"B17.F5",0.0459,0.0459,64,0.0645,0.0306701030927835,16
"B18.F1",0.0699,0.0699,64,0.1455,0.154398769817205,16
"B18.F2",0.0294,0.0294,64,0.0696,0.0301568049900372,16
"B18.F3",0.0979,0.0979,64,2e-04,0.00836233901844762,16
"B18.F4",0.1094,0.1094,64,0.1401,0.316044355886685,16
"B18.F5",0.0043,0.0043,64,0.0456,0.0581660899653979,16
"B19.F1",0.0474,0.0474,64,0.0059,0.00887117733691415,16
"B19.F2",0.0057,0.0057,64,0.0241,0.00280689595425799,16
"B19.F3",0.1214,0.1214,64,0.1918,0.205457853244391,16
"B19.F4",0.0732,0.0732,64,0.0235,0.0354847093476566,16
"B19.F5",0.0055,0.0055,64,0.1285,0.0847837370242214,16
"B20.F1",0.0083,0.0083,64,0.0986,0.112587715498571,16
"B20.F2",0.0701,0.0701,64,9e-04,0.00194636678200692,16
"B20.F3",0.0111,0.0111,64,0.0309,0.00682213713887922,16
"B20.F4",0.0485,0.0485,64,0.045,0.0540674001559387,16
"B20.F5",0.1483,0.1483,64,0.0971,0.0411851211072664,16
