"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0547,0.0547,64,0.0021,0,16
"B1.F2",0.0898,0.0898,64,0.0565,0.0109178723035606,16
"B1.F3",0.0656,0.0656,64,0.0743,0.0526297577854671,16
"B1.F4",0.015,0.015,64,0.047,0.061038062283737,16
"B1.F5",0.0064,0.0064,64,4e-04,0.000870170553428472,16
"B2.F1",0.0154,0.0154,64,0.0809,0.0121827081348003,16
"B2.F2",0.0084,0.0084,64,0.1104,0.135964148973199,16
"B2.F3",0.0011,0.0011,64,0.0527,0.0025,16
"B2.F4",0.0656,0.0656,64,0.015,0.00831314878892734,16
"B2.F5",0.0148,0.0148,64,0.0097,0.0701723988564498,16
"B3.F1",0.0368,0.0368,64,0.0661,0.120627219960149,16
"B3.F2",0.0587,0.0587,64,0.0182,0.0333015680499004,16
"B3.F3",0.0398,0.0398,64,0.0135,0.00655158970804817,16
"B3.F4",0.0226,0.0226,64,0.0927,0.113577492852811,16
"B3.F5",0.0573,0.0573,64,0.0011,0.0526297577854671,16
"B4.F1",4e-04,4e-04,64,0.2074,0.0442887464264056,16
"B4.F2",0.0122,0.0122,64,0.0855,0.126652249134948,16
"B4.F3",0.06,0.06,64,0.0283,0.104671280276817,16
"B4.F4",0.0809,0.0809,64,0.0289,0.0360413237459932,16
"B4.F5",0.0555,0.0555,64,3e-04,3.48068221371389e-05,16
"B5.F1",1e-04,1e-04,64,0.0471,0.0527072684744001,16
"B5.F2",0.0924,0.0924,64,0.0568,0.0402366863905325,16
"B5.F3",0.0437,0.0437,64,0.006,0.00312283737024221,16
"B5.F4",0.1054,0.1054,64,0.0665,0.106583044982699,16
"B5.F5",0.0246,0.0246,64,0.0109,7.7969332062722e-05,16
"B6.F1",0,0,64,0.1606,0.209571992976295,16
"B6.F2",0.0237,0.0237,64,0.014,0.0436072664359861,16
"B6.F3",0.0286,0.0286,64,0.0776,0.0100147275405007,16
"B6.F4",0.0242,0.0242,64,0.0093,0.0121827081348003,16
"B6.F5",0.079,0.079,64,0.0192,0.0813927335640138,16
"B7.F1",0.0556,0.0556,64,0.0131,0.00631551589708048,16
"B7.F2",0.0086,0.0086,64,0.0067,0.0125652627915071,16
"B7.F3",0.0729,0.0729,64,0.087,0.0701723988564498,16
"B7.F4",0.063,0.063,64,0.0415,0.0343844754396604,16
"B7.F5",0.0545,0.0545,64,0.1073,0.116401384083045,16
"B8.F1",0.0557,0.0557,64,0.0028,0.0301568049900372,16
"B8.F2",0.0354,0.0354,64,0.0039,0.0132352941176471,16
"B8.F3",0.0183,0.0183,64,0.0827,0.126652249134948,16
"B8.F4",0.0186,0.0186,64,0.0929,0.18439446366782,16
"B8.F5",0.0522,0.0522,64,3e-04,3.48068221371389e-05,16
"B9.F1",0.1432,0.1432,64,0.078,0.0765485575673568,16
"B9.F2",0.013,0.013,64,0.4925,0.394787678384963,16
"B9.F3",0.0232,0.0232,64,0.0155,0.0152819890842935,16
"B9.F4",0.0313,0.0313,64,0.0031,0.0271679805942996,16
"B9.F5",0.0651,0.0651,64,0.005,0.0526297577854671,16
"B10.F1",0.0503,0.0503,64,0.0051,0.00630622837370242,16
"B10.F2",0.0421,0.0421,64,0.0036,0.000700692041522491,16
"B10.F3",0,0,64,0.1457,0.144165294983973,16
"B10.F4",0.0229,0.0229,64,0.0188,0.00284460052677788,16
"B10.F5",0.0543,0.0543,64,2e-04,0.00169550173010381,16
"B11.F1",0.0522,0.0522,64,0.016,0.001253045596937,16
"B11.F2",0.0818,0.0818,64,0.0272,0.0499653979238754,16
"B11.F3",0.0318,0.0318,64,0,0.00871158911325724,16
"B11.F4",0.0431,0.0431,64,0.2091,0.143953287197232,16
"B11.F5",0.0598,0.0598,64,0.0474,0.0058477508650519,16
"B12.F1",0.0054,0.0054,64,0.0019,0.00221779433422854,16
"B12.F2",0.0695,0.0695,64,0.0399,0.00265312310491207,16
"B12.F3",0.0193,0.0193,64,0.1542,0.0554448583557134,16
"B12.F4",0.028,0.028,64,0.0599,0.0813927335640138,16
"B12.F5",0.0745,0.0745,64,0.0503,0.0199601490080568,16
"B13.F1",0.129,0.129,64,0.1767,0.242681865645667,16
"B13.F2",0.0793,0.0793,64,0.2079,0.260433344935607,16
"B13.F3",0.0082,0.0082,64,0.3365,0.370666089965398,16
"B13.F4",0.0149,0.0149,64,0.0093,0.0025,16
"B13.F5",0.0011,0.0011,64,0.2035,0.17689446366782,16
"B14.F1",0.0207,0.0207,64,0.089,0.0394117647058824,16
"B14.F2",0.019,0.019,64,0.2508,0.108671922377198,16
"B14.F3",0.0202,0.0202,64,0.0576,0.106583044982699,16
"B14.F4",0.1073,0.1073,64,0.1257,0.352975778546713,16
"B14.F5",0.0106,0.0106,64,0.0869,0.0764359861591695,16
"B15.F1",0.0792,0.0792,64,0.0364,0.0175173010380623,16
"B15.F2",0.0305,0.0305,64,0.0011,0.0366022697738889,16
"B15.F3",0.0587,0.0587,64,0.0254,0.0275329236172081,16
"B15.F4",0,0,64,0.3216,0.342569204152249,16
"B15.F5",0.0145,0.0145,64,0.2011,0.111112077967282,16
"B16.F1",0.014,0.014,64,0.0309,0.0923163940132266,16
"B16.F2",0.035,0.035,64,0.0272,0.00381487889273356,16
"B16.F3",0.0327,0.0327,64,0.1632,0.09719723183391,16
"B16.F4",0.1512,0.1512,64,0.1273,0.231195614340411,16
"B16.F5",0.0043,0.0043,64,0.4379,0.285387247682578,16
"B17.F1",1e-04,1e-04,64,0.3162,0.309005190311419,16
"B17.F2",0.0321,0.0321,64,0.0534,0.0887660981552384,16
"B17.F3",0.0588,0.0588,64,1e-04,0.0167474048442907,16
"B17.F4",0.0611,0.0611,64,0.0559,0.0212271506540761,16
"B17.F5",0.0016,0.0016,64,0.1451,0.214488339714584,16
"B18.F1",0.0091,0.0091,64,0.0218,0.00228163992869875,16
"B18.F2",3e-04,3e-04,64,0.013,0.00832539201247509,16
"B18.F3",0.0153,0.0153,64,0.0323,0.0216262975778547,16
"B18.F4",0.1026,0.1026,64,0.0257,0.00221453287197232,16
"B18.F5",0.016,0.016,64,0.0081,0.00221453287197232,16
"B19.F1",0.0038,0.0038,64,0.1297,0.153019031141869,16
"B19.F2",0.0281,0.0281,64,0.0034,0.0301124567474048,16
"B19.F3",0.0075,0.0075,64,0.0212,0.0663280776228017,16
"B19.F4",0.0298,0.0298,64,0.0177,0.00170553428471981,16
"B19.F5",0.0015,0.0015,64,0.1141,0.0379046293073442,16
"B20.F1",0.0415,0.0415,64,0.0047,0.00124750931300355,16
"B20.F2",0.0193,0.0193,64,0.1175,0.0388321799307958,16
"B20.F3",0.0726,0.0726,64,0.0071,0.018732132028069,16
"B20.F4",0.0405,0.0405,64,0.023,0.00382049727107338,16
"B20.F5",0.0622,0.0622,64,9e-04,0.0327666117993589,16
