"","FP","TP","TN","FN","accuracy"
"B1.F1",6,4,1,3,0.357142857142857
"B1.F2",4,1,3,7,0.266666666666667
"B1.F3",1,5,7,2,0.8
"B1.F4",5,7,2,0,0.642857142857143
"B1.F5",3,6,4,1,0.714285714285714
"B1.F11",4,3,3,4,0.428571428571429
"B1.F21",4,4,3,3,0.5
"B1.F31",4,4,4,3,0.533333333333333
"B1.F41",5,5,2,3,0.466666666666667
"B1.F51",4,2,3,5,0.357142857142857
"B1.F12",2,3,6,4,0.6
"B1.F22",1,5,6,3,0.733333333333333
"B1.F32",6,5,1,2,0.428571428571429
"B1.F42",3,4,4,3,0.571428571428571
"B1.F52",4,4,3,3,0.5
"B1.F13",5,4,3,3,0.466666666666667
"B1.F23",4,4,3,4,0.466666666666667
"B1.F33",5,4,2,3,0.428571428571429
"B1.F43",7,5,0,2,0.357142857142857
"B1.F53",4,5,3,2,0.571428571428571
"B1.F14",7,2,1,5,0.2
"B1.F24",4,2,3,5,0.357142857142857
"B1.F34",4,5,3,2,0.571428571428571
"B1.F44",5,4,2,3,0.428571428571429
"B1.F54",5,4,2,4,0.4
"B1.F15",3,5,4,2,0.642857142857143
"B1.F25",3,3,5,4,0.533333333333333
"B1.F35",2,5,5,3,0.666666666666667
"B1.F45",6,6,1,1,0.5
"B1.F55",5,3,2,4,0.357142857142857
"B1.F16",5,4,2,3,0.428571428571429
"B1.F26",7,5,1,2,0.4
"B1.F36",5,1,2,7,0.2
"B1.F46",2,4,5,3,0.642857142857143
"B1.F56",2,4,5,3,0.642857142857143
"B1.F17",4,4,3,3,0.5
"B1.F27",6,3,2,5,0.3125
"B1.F37",4,5,3,2,0.571428571428571
"B1.F47",3,5,4,2,0.642857142857143
"B1.F57",1,3,6,4,0.642857142857143
"B1.F18",5,3,3,5,0.375
"B1.F28",2,3,5,4,0.571428571428571
"B1.F38",4,3,3,4,0.428571428571429
"B1.F48",3,3,4,4,0.5
"B1.F58",5,3,2,4,0.357142857142857
"B1.F19",3,4,4,3,0.571428571428571
"B1.F29",6,7,2,0,0.6
"B1.F39",1,4,6,3,0.714285714285714
"B1.F49",3,3,4,5,0.466666666666667
"B1.F59",4,4,3,3,0.5
"B1.F110",2,2,5,6,0.466666666666667
"B1.F210",5,3,2,4,0.357142857142857
"B1.F310",4,6,4,1,0.666666666666667
"B1.F410",4,6,3,1,0.642857142857143
"B1.F510",5,3,2,4,0.357142857142857
"B1.F111",4,3,4,4,0.466666666666667
"B1.F211",3,7,4,0,0.785714285714286
"B1.F311",4,4,3,4,0.466666666666667
"B1.F411",2,4,5,3,0.642857142857143
"B1.F511",2,5,5,2,0.714285714285714
"B1.F112",3,1,4,6,0.357142857142857
"B1.F212",4,4,4,3,0.533333333333333
"B1.F312",3,6,4,2,0.666666666666667
"B1.F412",3,3,4,4,0.5
"B1.F512",4,6,3,1,0.642857142857143
"B1.F113",2,4,5,4,0.6
"B1.F213",3,2,4,5,0.428571428571429
"B1.F313",7,5,0,2,0.357142857142857
"B1.F413",3,6,4,1,0.714285714285714
"B1.F513",3,5,5,2,0.666666666666667
"B1.F114",7,4,0,4,0.266666666666667
"B1.F214",6,4,1,3,0.357142857142857
"B1.F314",3,0,4,7,0.285714285714286
"B1.F414",4,4,4,3,0.533333333333333
"B1.F514",4,1,3,6,0.285714285714286
"B1.F115",4,5,3,3,0.533333333333333
"B1.F215",4,3,3,4,0.428571428571429
"B1.F315",4,4,3,3,0.5
"B1.F415",2,4,5,3,0.642857142857143
"B1.F515",4,3,4,4,0.466666666666667
"B1.F116",4,4,4,4,0.5
"B1.F216",2,3,5,4,0.571428571428571
"B1.F316",4,3,3,4,0.428571428571429
"B1.F416",3,5,4,2,0.642857142857143
"B1.F516",3,3,4,4,0.5
"B1.F117",4,3,3,4,0.428571428571429
"B1.F217",4,4,3,3,0.5
"B1.F317",4,3,3,4,0.428571428571429
"B1.F417",2,1,5,7,0.4
"B1.F517",4,4,4,3,0.533333333333333
"B1.F118",3,3,4,4,0.5
"B1.F218",5,3,2,4,0.357142857142857
"B1.F318",5,5,2,3,0.466666666666667
"B1.F418",5,3,2,4,0.357142857142857
"B1.F518",5,1,3,6,0.266666666666667
"B1.F119",3,4,4,3,0.571428571428571
"B1.F219",4,2,3,6,0.333333333333333
"B1.F319",7,2,1,5,0.2
"B1.F419",5,4,2,3,0.428571428571429
"B1.F519",4,0,3,7,0.214285714285714
