"","FP","TP","TN","FN","accuracy"
"B1.F1",1,4,6,3,0.714285714285714
"B1.F2",3,2,4,5,0.428571428571429
"B1.F3",3,4,4,3,0.571428571428571
"B1.F4",1,2,6,5,0.571428571428571
"B1.F5",5,3,2,4,0.357142857142857
"B1.F11",3,4,4,3,0.571428571428571
"B1.F21",3,2,4,5,0.428571428571429
"B1.F31",1,1,6,6,0.5
"B1.F41",2,3,5,4,0.571428571428571
"B1.F51",3,3,4,4,0.5
"B1.F12",3,2,4,5,0.428571428571429
"B1.F22",2,3,5,4,0.571428571428571
"B1.F32",3,4,4,3,0.571428571428571
"B1.F42",1,2,6,5,0.571428571428571
"B1.F52",2,0,5,7,0.357142857142857
"B1.F13",3,4,4,3,0.571428571428571
"B1.F23",2,2,5,5,0.5
"B1.F33",3,4,4,3,0.571428571428571
"B1.F43",1,1,6,6,0.5
"B1.F53",4,4,3,3,0.5
"B1.F14",2,3,5,4,0.571428571428571
"B1.F24",1,4,6,3,0.714285714285714
"B1.F34",4,3,3,4,0.428571428571429
"B1.F44",0,1,7,6,0.571428571428571
"B1.F54",1,3,6,4,0.642857142857143
"B1.F15",1,4,6,3,0.714285714285714
"B1.F25",3,4,4,3,0.571428571428571
"B1.F35",3,1,4,6,0.357142857142857
"B1.F45",4,3,3,4,0.428571428571429
"B1.F55",1,4,6,3,0.714285714285714
"B1.F16",5,5,2,2,0.5
"B1.F26",2,4,5,3,0.642857142857143
"B1.F36",3,5,4,2,0.642857142857143
"B1.F46",1,3,6,4,0.642857142857143
"B1.F56",2,3,5,4,0.571428571428571
"B1.F17",5,3,2,4,0.357142857142857
"B1.F27",1,1,6,6,0.5
"B1.F37",6,6,1,1,0.5
"B1.F47",2,4,5,3,0.642857142857143
"B1.F57",2,3,5,4,0.571428571428571
"B1.F18",4,4,3,3,0.5
"B1.F28",4,2,3,5,0.357142857142857
"B1.F38",3,5,4,2,0.642857142857143
"B1.F48",0,3,7,4,0.714285714285714
"B1.F58",1,3,6,4,0.642857142857143
"B1.F19",3,2,4,5,0.428571428571429
"B1.F29",1,1,6,6,0.5
"B1.F39",1,3,6,4,0.642857142857143
"B1.F49",5,4,2,3,0.428571428571429
"B1.F59",0,4,7,3,0.785714285714286
"B1.F110",3,4,4,3,0.571428571428571
"B1.F210",0,3,7,4,0.714285714285714
"B1.F310",2,4,5,3,0.642857142857143
"B1.F410",2,3,5,4,0.571428571428571
"B1.F510",3,4,4,3,0.571428571428571
"B1.F111",2,3,5,4,0.571428571428571
"B1.F211",5,6,2,1,0.571428571428571
"B1.F311",1,3,6,4,0.642857142857143
"B1.F411",1,2,6,5,0.571428571428571
"B1.F511",3,2,4,5,0.428571428571429
"B1.F112",2,3,5,4,0.571428571428571
"B1.F212",4,5,3,2,0.571428571428571
"B1.F312",1,3,6,4,0.642857142857143
"B1.F412",2,3,5,4,0.571428571428571
"B1.F512",2,3,5,4,0.571428571428571
"B1.F113",3,1,4,6,0.357142857142857
"B1.F213",2,3,5,4,0.571428571428571
"B1.F313",0,2,7,5,0.642857142857143
"B1.F413",0,2,7,5,0.642857142857143
"B1.F513",4,3,3,4,0.428571428571429
"B1.F114",2,4,5,3,0.642857142857143
"B1.F214",0,3,7,4,0.714285714285714
"B1.F314",1,2,6,5,0.571428571428571
"B1.F414",2,2,5,5,0.5
"B1.F514",3,3,4,4,0.5
"B1.F115",2,3,5,4,0.571428571428571
"B1.F215",4,4,3,3,0.5
"B1.F315",1,2,6,5,0.571428571428571
"B1.F415",1,4,6,3,0.714285714285714
"B1.F515",3,3,4,4,0.5
"B1.F116",2,4,5,3,0.642857142857143
"B1.F216",0,1,7,6,0.571428571428571
"B1.F316",4,5,3,2,0.571428571428571
"B1.F416",1,4,6,3,0.714285714285714
"B1.F516",0,1,7,6,0.571428571428571
"B1.F117",2,2,5,5,0.5
"B1.F217",3,2,4,5,0.428571428571429
"B1.F317",1,4,6,3,0.714285714285714
"B1.F417",1,3,6,4,0.642857142857143
"B1.F517",3,5,4,2,0.642857142857143
"B1.F118",5,5,2,2,0.5
"B1.F218",1,3,6,4,0.642857142857143
"B1.F318",3,2,4,5,0.428571428571429
"B1.F418",0,2,7,5,0.642857142857143
"B1.F518",0,3,7,4,0.714285714285714
"B1.F119",3,3,4,4,0.5
"B1.F219",2,1,5,6,0.428571428571429
"B1.F319",2,3,5,4,0.571428571428571
"B1.F419",2,3,5,4,0.571428571428571
"B1.F519",5,4,2,3,0.428571428571429
