"","FP","TP","TN","FN","accuracy"
"B1.F1",2,5,7,4,0.666666666666667
"B1.F2",4,6,5,4,0.578947368421053
"B1.F3",6,6,4,3,0.526315789473684
"B1.F4",5,4,4,5,0.444444444444444
"B1.F5",6,6,4,4,0.5
"B1.F11",6,4,3,5,0.388888888888889
"B1.F21",7,3,3,6,0.315789473684211
"B1.F31",5,3,5,6,0.421052631578947
"B1.F41",6,3,3,7,0.315789473684211
"B1.F51",4,8,5,2,0.684210526315789
"B1.F12",5,3,5,6,0.421052631578947
"B1.F22",5,2,4,7,0.333333333333333
"B1.F32",7,3,3,7,0.3
"B1.F42",6,4,3,5,0.388888888888889
"B1.F52",3,2,6,8,0.421052631578947
"B1.F13",4,4,5,5,0.5
"B1.F23",6,8,3,1,0.611111111111111
"B1.F33",1,4,8,5,0.666666666666667
"B1.F43",8,4,2,6,0.3
"B1.F53",2,6,8,4,0.7
"B1.F14",8,3,2,7,0.25
"B1.F24",5,2,5,7,0.368421052631579
"B1.F34",4,5,5,4,0.555555555555556
"B1.F44",6,7,3,3,0.526315789473684
"B1.F54",4,1,5,8,0.333333333333333
"B1.F15",3,1,6,9,0.368421052631579
"B1.F25",7,8,2,1,0.555555555555556
"B1.F35",3,8,6,1,0.777777777777778
"B1.F45",6,3,4,6,0.368421052631579
"B1.F55",6,4,4,6,0.4
"B1.F16",7,4,3,5,0.368421052631579
"B1.F26",6,6,3,4,0.473684210526316
"B1.F36",7,4,2,6,0.315789473684211
"B1.F46",3,2,7,7,0.473684210526316
"B1.F56",6,4,3,5,0.388888888888889
"B1.F17",8,4,2,5,0.315789473684211
"B1.F27",4,4,5,6,0.473684210526316
"B1.F37",3,3,6,6,0.5
"B1.F47",8,4,2,5,0.315789473684211
"B1.F57",5,5,4,5,0.473684210526316
"B1.F18",6,4,3,6,0.368421052631579
"B1.F28",8,5,2,5,0.35
"B1.F38",5,3,4,6,0.388888888888889
"B1.F48",6,4,4,5,0.421052631578947
"B1.F58",5,5,4,4,0.5
"B1.F19",7,2,2,7,0.222222222222222
"B1.F29",8,6,1,3,0.388888888888889
"B1.F39",5,5,5,4,0.526315789473684
"B1.F49",3,3,6,7,0.473684210526316
"B1.F59",7,6,3,4,0.45
"B1.F110",6,7,3,3,0.526315789473684
"B1.F210",7,3,3,7,0.3
"B1.F310",4,2,5,7,0.388888888888889
"B1.F410",2,7,7,2,0.777777777777778
"B1.F510",3,4,7,5,0.578947368421053
"B1.F111",5,4,4,5,0.444444444444444
"B1.F211",7,5,2,5,0.368421052631579
"B1.F311",7,7,2,2,0.5
"B1.F411",7,7,3,2,0.526315789473684
"B1.F511",5,3,5,7,0.4
"B1.F112",2,5,7,5,0.631578947368421
"B1.F212",4,8,5,1,0.722222222222222
"B1.F312",4,6,6,4,0.6
"B1.F412",4,5,5,4,0.555555555555556
"B1.F512",6,6,4,3,0.526315789473684
"B1.F113",4,6,5,4,0.578947368421053
"B1.F213",4,6,5,4,0.578947368421053
"B1.F313",5,5,5,4,0.526315789473684
"B1.F413",5,5,5,4,0.526315789473684
"B1.F513",2,3,7,6,0.555555555555556
"B1.F114",6,4,4,6,0.4
"B1.F214",3,2,7,7,0.473684210526316
"B1.F314",5,1,4,9,0.263157894736842
"B1.F414",4,4,5,5,0.5
"B1.F514",6,4,3,5,0.388888888888889
"B1.F115",4,3,5,6,0.444444444444444
"B1.F215",5,3,5,6,0.421052631578947
"B1.F315",3,7,6,3,0.684210526315789
"B1.F415",6,4,3,5,0.388888888888889
"B1.F515",4,6,6,4,0.6
"B1.F116",5,2,4,8,0.315789473684211
"B1.F216",5,4,4,5,0.444444444444444
"B1.F316",8,6,2,3,0.421052631578947
"B1.F416",5,3,4,7,0.368421052631579
"B1.F516",5,3,5,6,0.421052631578947
"B1.F117",4,4,5,5,0.5
"B1.F217",3,5,6,5,0.578947368421053
"B1.F317",3,5,6,4,0.611111111111111
"B1.F417",5,4,5,5,0.473684210526316
"B1.F517",6,8,4,2,0.6
"B1.F118",5,4,4,5,0.444444444444444
"B1.F218",5,7,5,3,0.6
"B1.F318",5,3,4,6,0.388888888888889
"B1.F418",4,2,6,8,0.4
"B1.F518",6,3,3,6,0.333333333333333
"B1.F119",7,7,2,3,0.473684210526316
"B1.F219",6,5,3,4,0.444444444444444
"B1.F319",3,6,6,3,0.666666666666667
"B1.F419",4,3,6,6,0.473684210526316
"B1.F519",3,4,7,6,0.55
