"","FP","TP","TN","FN","accuracy"
"B1.F1",3,3,4,4,0.5
"B1.F2",3,2,4,5,0.428571428571429
"B1.F3",3,7,4,0,0.785714285714286
"B1.F4",4,5,3,2,0.571428571428571
"B1.F5",3,5,4,2,0.642857142857143
"B1.F11",7,3,0,4,0.214285714285714
"B1.F21",2,5,5,2,0.714285714285714
"B1.F31",5,3,2,4,0.357142857142857
"B1.F41",5,4,2,3,0.428571428571429
"B1.F51",5,4,2,3,0.428571428571429
"B1.F12",3,3,4,4,0.5
"B1.F22",5,4,2,3,0.428571428571429
"B1.F32",4,5,3,2,0.571428571428571
"B1.F42",7,4,0,3,0.285714285714286
"B1.F52",7,6,0,1,0.428571428571429
"B1.F13",1,1,6,6,0.5
"B1.F23",6,4,1,3,0.357142857142857
"B1.F33",6,6,1,1,0.5
"B1.F43",2,4,5,3,0.642857142857143
"B1.F53",4,4,3,3,0.5
"B1.F14",4,4,3,3,0.5
"B1.F24",5,4,2,3,0.428571428571429
"B1.F34",3,4,4,3,0.571428571428571
"B1.F44",6,2,1,5,0.214285714285714
"B1.F54",3,5,4,2,0.642857142857143
"B1.F15",6,7,1,0,0.571428571428571
"B1.F25",0,1,7,6,0.571428571428571
"B1.F35",2,3,5,4,0.571428571428571
"B1.F45",5,4,2,3,0.428571428571429
"B1.F55",5,4,2,3,0.428571428571429
"B1.F16",4,4,3,3,0.5
"B1.F26",7,5,0,2,0.357142857142857
"B1.F36",3,4,4,3,0.571428571428571
"B1.F46",4,4,3,3,0.5
"B1.F56",3,3,4,4,0.5
"B1.F17",2,1,5,6,0.428571428571429
"B1.F27",3,2,4,5,0.428571428571429
"B1.F37",3,6,4,1,0.714285714285714
"B1.F47",3,2,4,5,0.428571428571429
"B1.F57",3,5,4,2,0.642857142857143
"B1.F18",6,3,1,4,0.285714285714286
"B1.F28",5,5,2,2,0.5
"B1.F38",3,2,4,5,0.428571428571429
"B1.F48",6,5,1,2,0.428571428571429
"B1.F58",4,1,3,6,0.285714285714286
"B1.F19",4,5,3,2,0.571428571428571
"B1.F29",3,5,4,2,0.642857142857143
"B1.F39",4,4,3,3,0.5
"B1.F49",6,5,1,2,0.428571428571429
"B1.F59",3,4,4,3,0.571428571428571
"B1.F110",5,5,2,2,0.5
"B1.F210",6,4,1,3,0.357142857142857
"B1.F310",3,2,4,5,0.428571428571429
"B1.F410",1,3,6,4,0.642857142857143
"B1.F510",4,3,3,4,0.428571428571429
"B1.F111",2,4,5,3,0.642857142857143
"B1.F211",4,7,3,0,0.714285714285714
"B1.F311",4,4,3,3,0.5
"B1.F411",2,3,5,4,0.571428571428571
"B1.F511",4,6,3,1,0.642857142857143
"B1.F112",4,3,3,4,0.428571428571429
"B1.F212",6,3,1,4,0.285714285714286
"B1.F312",3,2,4,5,0.428571428571429
"B1.F412",6,4,1,3,0.357142857142857
"B1.F512",5,5,2,2,0.5
"B1.F113",4,3,3,4,0.428571428571429
"B1.F213",3,5,4,2,0.642857142857143
"B1.F313",4,4,3,3,0.5
"B1.F413",2,3,5,4,0.571428571428571
"B1.F513",2,3,5,4,0.571428571428571
"B1.F114",3,3,4,4,0.5
"B1.F214",7,4,0,3,0.285714285714286
"B1.F314",3,6,4,1,0.714285714285714
"B1.F414",4,5,3,2,0.571428571428571
"B1.F514",5,6,2,1,0.571428571428571
"B1.F115",2,5,5,2,0.714285714285714
"B1.F215",3,4,4,3,0.571428571428571
"B1.F315",3,3,4,4,0.5
"B1.F415",5,6,2,1,0.571428571428571
"B1.F515",7,3,0,4,0.214285714285714
"B1.F116",1,3,6,4,0.642857142857143
"B1.F216",6,3,1,4,0.285714285714286
"B1.F316",3,3,4,4,0.5
"B1.F416",7,4,0,3,0.285714285714286
"B1.F516",7,5,0,2,0.357142857142857
"B1.F117",4,4,3,3,0.5
"B1.F217",4,3,3,4,0.428571428571429
"B1.F317",4,5,3,2,0.571428571428571
"B1.F417",3,5,4,2,0.642857142857143
"B1.F517",1,2,6,5,0.571428571428571
"B1.F118",5,3,2,4,0.357142857142857
"B1.F218",3,4,4,3,0.571428571428571
"B1.F318",3,5,4,2,0.642857142857143
"B1.F418",5,5,2,2,0.5
"B1.F518",1,5,6,2,0.785714285714286
"B1.F119",4,2,3,5,0.357142857142857
"B1.F219",3,3,4,4,0.5
"B1.F319",3,3,4,4,0.5
"B1.F419",5,4,2,3,0.428571428571429
"B1.F519",3,6,4,1,0.714285714285714
