"","FP","TP","TN","FN","accuracy"
"B1.F1",5,2,2,4,0.307692307692308
"B1.F2",4,1,3,6,0.285714285714286
"B1.F3",3,2,3,4,0.416666666666667
"B1.F4",3,2,3,5,0.384615384615385
"B1.F5",5,3,1,3,0.333333333333333
"B1.F11",4,3,3,3,0.461538461538462
"B1.F21",1,3,5,4,0.615384615384615
"B1.F31",1,0,5,7,0.384615384615385
"B1.F41",4,3,2,3,0.416666666666667
"B1.F51",5,4,2,2,0.461538461538462
"B1.F12",6,3,1,4,0.285714285714286
"B1.F22",6,1,0,5,0.0833333333333333
"B1.F32",2,4,4,2,0.666666666666667
"B1.F42",5,5,1,2,0.461538461538462
"B1.F52",2,3,5,3,0.615384615384615
"B1.F13",5,5,1,2,0.461538461538462
"B1.F23",2,3,4,3,0.583333333333333
"B1.F33",6,3,1,3,0.307692307692308
"B1.F43",5,2,1,4,0.25
"B1.F53",4,0,3,7,0.214285714285714
"B1.F14",5,5,2,2,0.5
"B1.F24",4,4,2,2,0.5
"B1.F34",3,5,3,1,0.666666666666667
"B1.F44",6,4,1,2,0.384615384615385
"B1.F54",2,1,4,6,0.384615384615385
"B1.F15",3,3,3,4,0.461538461538462
"B1.F25",5,1,1,5,0.166666666666667
"B1.F35",3,3,3,3,0.5
"B1.F45",7,5,0,2,0.357142857142857
"B1.F55",4,2,3,4,0.384615384615385
"B1.F16",4,5,3,1,0.615384615384615
"B1.F26",4,4,2,3,0.461538461538462
"B1.F36",3,2,3,4,0.416666666666667
"B1.F46",5,3,2,4,0.357142857142857
"B1.F56",2,1,4,5,0.416666666666667
"B1.F17",2,1,4,5,0.416666666666667
"B1.F27",4,3,3,3,0.461538461538462
"B1.F37",6,5,1,1,0.461538461538462
"B1.F47",4,4,2,3,0.461538461538462
"B1.F57",4,3,2,4,0.384615384615385
"B1.F18",4,3,2,4,0.384615384615385
"B1.F28",4,3,2,3,0.416666666666667
"B1.F38",5,2,2,4,0.307692307692308
"B1.F48",5,2,2,5,0.285714285714286
"B1.F58",4,3,2,3,0.416666666666667
"B1.F19",6,3,1,4,0.285714285714286
"B1.F29",1,1,5,5,0.5
"B1.F39",2,2,4,4,0.5
"B1.F49",5,5,2,1,0.538461538461538
"B1.F59",4,6,2,1,0.615384615384615
"B1.F110",1,3,5,4,0.615384615384615
"B1.F210",3,4,3,2,0.583333333333333
"B1.F310",4,3,3,3,0.461538461538462
"B1.F410",6,6,0,1,0.461538461538462
"B1.F510",5,3,2,3,0.384615384615385
"B1.F111",5,3,1,3,0.333333333333333
"B1.F211",5,3,1,3,0.333333333333333
"B1.F311",4,3,2,4,0.384615384615385
"B1.F411",5,7,2,0,0.642857142857143
"B1.F511",4,1,3,5,0.307692307692308
"B1.F112",7,3,0,3,0.230769230769231
"B1.F212",3,0,3,7,0.230769230769231
"B1.F312",1,4,5,2,0.75
"B1.F412",2,2,4,5,0.461538461538462
"B1.F512",7,4,0,2,0.307692307692308
"B1.F113",4,5,2,1,0.583333333333333
"B1.F213",5,4,2,2,0.461538461538462
"B1.F313",6,6,0,1,0.461538461538462
"B1.F413",0,2,6,5,0.615384615384615
"B1.F513",3,2,4,4,0.461538461538462
"B1.F114",1,6,5,1,0.846153846153846
"B1.F214",5,5,2,2,0.5
"B1.F314",0,3,6,3,0.75
"B1.F414",3,4,3,2,0.583333333333333
"B1.F514",5,2,2,4,0.307692307692308
"B1.F115",4,4,2,3,0.461538461538462
"B1.F215",5,5,2,2,0.5
"B1.F315",5,3,1,3,0.333333333333333
"B1.F415",6,3,1,3,0.307692307692308
"B1.F515",3,2,3,4,0.416666666666667
"B1.F116",4,2,2,4,0.333333333333333
"B1.F216",4,4,3,3,0.5
"B1.F316",4,0,2,6,0.166666666666667
"B1.F416",4,4,3,2,0.538461538461538
"B1.F516",2,5,4,2,0.692307692307692
"B1.F117",5,5,2,1,0.538461538461538
"B1.F217",0,2,6,5,0.615384615384615
"B1.F317",4,5,2,2,0.538461538461538
"B1.F417",4,2,3,4,0.384615384615385
"B1.F517",5,5,1,1,0.5
"B1.F118",4,4,3,2,0.538461538461538
"B1.F218",4,3,3,3,0.461538461538462
"B1.F318",3,4,3,3,0.538461538461538
"B1.F418",1,2,5,5,0.538461538461538
"B1.F518",3,5,3,1,0.666666666666667
"B1.F119",3,3,3,3,0.5
"B1.F219",2,5,4,1,0.75
"B1.F319",3,2,4,5,0.428571428571429
"B1.F419",2,2,4,5,0.461538461538462
"B1.F519",4,3,3,3,0.461538461538462
