"","FP","TP","TN","FN","accuracy"
"B1.F1",3,5,7,5,0.6
"B1.F2",4,4,6,6,0.5
"B1.F3",5,5,5,5,0.5
"B1.F4",8,5,2,5,0.35
"B1.F5",8,7,2,3,0.45
"B1.F11",3,5,7,5,0.6
"B1.F21",5,5,5,5,0.5
"B1.F31",6,8,4,2,0.6
"B1.F41",4,6,6,4,0.6
"B1.F51",6,7,4,3,0.55
"B1.F12",8,4,2,6,0.3
"B1.F22",7,6,3,4,0.45
"B1.F32",7,6,3,4,0.45
"B1.F42",4,6,6,4,0.6
"B1.F52",5,4,5,6,0.45
"B1.F13",3,4,7,6,0.55
"B1.F23",6,5,4,5,0.45
"B1.F33",7,5,3,5,0.4
"B1.F43",6,7,4,3,0.55
"B1.F53",6,6,4,4,0.5
"B1.F14",5,4,5,6,0.45
"B1.F24",5,4,5,6,0.45
"B1.F34",5,9,5,1,0.7
"B1.F44",8,6,2,4,0.4
"B1.F54",3,3,7,7,0.5
"B1.F15",4,5,6,5,0.55
"B1.F25",5,2,5,8,0.35
"B1.F35",6,7,4,3,0.55
"B1.F45",6,7,4,3,0.55
"B1.F55",3,6,7,4,0.65
"B1.F16",4,7,6,3,0.65
"B1.F26",5,4,5,6,0.45
"B1.F36",6,5,4,5,0.45
"B1.F46",6,5,4,5,0.45
"B1.F56",3,7,7,3,0.7
"B1.F17",7,6,3,4,0.45
"B1.F27",6,7,4,3,0.55
"B1.F37",4,3,6,7,0.45
"B1.F47",4,6,6,4,0.6
"B1.F57",4,7,6,3,0.65
"B1.F18",7,4,3,6,0.35
"B1.F28",4,4,6,6,0.5
"B1.F38",4,7,6,3,0.65
"B1.F48",6,6,4,4,0.5
"B1.F58",4,6,6,4,0.6
"B1.F19",5,6,5,4,0.55
"B1.F29",6,7,4,3,0.55
"B1.F39",4,7,6,3,0.65
"B1.F49",6,7,4,3,0.55
"B1.F59",3,4,7,6,0.55
"B1.F110",4,5,6,5,0.55
"B1.F210",7,6,3,4,0.45
"B1.F310",4,4,6,6,0.5
"B1.F410",5,6,5,4,0.55
"B1.F510",5,4,5,6,0.45
"B1.F111",5,4,5,6,0.45
"B1.F211",7,5,3,5,0.4
"B1.F311",7,6,3,4,0.45
"B1.F411",3,4,7,6,0.55
"B1.F511",7,3,3,7,0.3
"B1.F112",2,4,8,6,0.6
"B1.F212",6,6,4,4,0.5
"B1.F312",4,6,6,4,0.6
"B1.F412",6,8,4,2,0.6
"B1.F512",4,4,6,6,0.5
"B1.F113",5,4,5,6,0.45
"B1.F213",3,2,7,8,0.45
"B1.F313",4,8,6,2,0.7
"B1.F413",3,2,7,8,0.45
"B1.F513",7,2,3,8,0.25
"B1.F114",6,6,4,4,0.5
"B1.F214",7,7,3,3,0.5
"B1.F314",5,6,5,4,0.55
"B1.F414",5,7,5,3,0.6
"B1.F514",7,5,3,5,0.4
"B1.F115",3,4,7,6,0.55
"B1.F215",7,5,3,5,0.4
"B1.F315",5,5,5,5,0.5
"B1.F415",6,6,4,4,0.5
"B1.F515",8,5,2,5,0.35
"B1.F116",5,3,5,7,0.4
"B1.F216",6,5,4,5,0.45
"B1.F316",6,4,4,6,0.4
"B1.F416",7,3,3,7,0.3
"B1.F516",6,4,4,6,0.4
"B1.F117",3,6,7,4,0.65
"B1.F217",5,6,5,4,0.55
"B1.F317",6,7,4,3,0.55
"B1.F417",4,6,6,4,0.6
"B1.F517",4,7,6,3,0.65
"B1.F118",8,3,2,7,0.25
"B1.F218",7,4,3,6,0.35
"B1.F318",7,6,3,4,0.45
"B1.F418",5,4,5,6,0.45
"B1.F518",6,4,4,6,0.4
"B1.F119",5,6,5,4,0.55
"B1.F219",5,4,5,6,0.45
"B1.F319",6,8,4,2,0.6
"B1.F419",8,4,2,6,0.3
"B1.F519",4,6,6,4,0.6
