"","FP","TP","TN","FN","accuracy"
"B1.F1",2,2,2,2,0.5
"B1.F2",4,3,0,0,0.428571428571429
"B1.F3",3,4,1,0,0.625
"B1.F4",1,2,2,2,0.571428571428571
"B1.F5",2,0,2,4,0.25
"B1.F11",4,3,0,0,0.428571428571429
"B1.F21",3,3,1,1,0.5
"B1.F31",3,2,1,2,0.375
"B1.F41",2,2,1,2,0.428571428571429
"B1.F51",1,0,3,4,0.375
"B1.F12",2,3,2,0,0.714285714285714
"B1.F22",2,2,2,2,0.5
"B1.F32",3,4,0,0,0.571428571428571
"B1.F42",2,2,2,2,0.5
"B1.F52",1,1,3,3,0.5
"B1.F13",2,4,2,0,0.75
"B1.F23",3,2,0,2,0.285714285714286
"B1.F33",3,3,1,1,0.5
"B1.F43",2,1,2,3,0.375
"B1.F53",4,2,0,1,0.285714285714286
"B1.F14",3,4,1,0,0.625
"B1.F24",2,3,2,1,0.625
"B1.F34",3,3,1,0,0.571428571428571
"B1.F44",2,3,2,1,0.625
"B1.F54",2,1,1,3,0.285714285714286
"B1.F15",2,2,1,2,0.428571428571429
"B1.F25",4,1,0,3,0.125
"B1.F35",2,2,2,2,0.5
"B1.F45",3,2,1,2,0.375
"B1.F55",3,2,1,1,0.428571428571429
"B1.F16",3,2,1,2,0.375
"B1.F26",2,3,2,0,0.714285714285714
"B1.F36",2,2,1,2,0.428571428571429
"B1.F46",4,2,0,2,0.25
"B1.F56",4,2,0,2,0.25
"B1.F17",2,3,2,1,0.625
"B1.F27",2,1,2,3,0.375
"B1.F37",3,3,0,1,0.428571428571429
"B1.F47",2,1,2,3,0.375
"B1.F57",4,3,0,0,0.428571428571429
"B1.F18",0,2,4,2,0.75
"B1.F28",2,3,2,0,0.714285714285714
"B1.F38",2,3,2,1,0.625
"B1.F48",2,4,1,0,0.714285714285714
"B1.F58",0,1,4,3,0.625
"B1.F19",2,2,1,2,0.428571428571429
"B1.F29",3,3,1,1,0.5
"B1.F39",1,3,3,1,0.75
"B1.F49",0,3,4,1,0.875
"B1.F59",2,2,2,1,0.571428571428571
"B1.F110",3,1,0,3,0.142857142857143
"B1.F210",4,2,0,2,0.25
"B1.F310",4,0,0,4,0
"B1.F410",3,2,1,1,0.428571428571429
"B1.F510",4,1,0,3,0.125
"B1.F111",1,3,2,1,0.714285714285714
"B1.F211",3,2,1,2,0.375
"B1.F311",2,2,2,2,0.5
"B1.F411",3,1,1,2,0.285714285714286
"B1.F511",2,3,2,1,0.625
"B1.F112",4,3,0,1,0.375
"B1.F212",2,1,2,2,0.428571428571429
"B1.F312",1,2,3,2,0.625
"B1.F412",2,2,2,2,0.5
"B1.F512",2,3,1,1,0.571428571428571
"B1.F113",3,1,1,2,0.285714285714286
"B1.F213",3,2,1,2,0.375
"B1.F313",2,1,1,3,0.285714285714286
"B1.F413",4,3,0,1,0.375
"B1.F513",2,2,2,2,0.5
"B1.F114",3,2,0,1,0.333333333333333
"B1.F214",2,1,2,3,0.375
"B1.F314",3,3,1,1,0.5
"B1.F414",3,2,1,2,0.375
"B1.F514",3,2,1,2,0.375
"B1.F115",4,2,0,2,0.25
"B1.F215",2,2,2,2,0.5
"B1.F315",3,4,1,0,0.625
"B1.F415",3,4,0,0,0.571428571428571
"B1.F515",0,2,4,1,0.857142857142857
"B1.F116",3,2,1,2,0.375
"B1.F216",2,1,1,3,0.285714285714286
"B1.F316",2,1,2,3,0.375
"B1.F416",3,3,1,0,0.571428571428571
"B1.F516",3,2,1,2,0.375
"B1.F117",4,2,0,2,0.25
"B1.F217",4,4,0,0,0.5
"B1.F317",2,3,2,1,0.625
"B1.F417",2,1,2,3,0.375
"B1.F517",2,2,1,1,0.5
"B1.F118",3,1,1,3,0.25
"B1.F218",1,2,2,2,0.571428571428571
"B1.F318",4,0,0,4,0
"B1.F418",1,3,3,1,0.75
"B1.F518",2,1,2,2,0.428571428571429
"B1.F119",3,0,1,4,0.125
"B1.F219",3,1,1,3,0.25
"B1.F319",2,2,1,2,0.428571428571429
"B1.F419",1,3,3,1,0.75
"B1.F519",3,1,1,2,0.285714285714286
