"","FP","TP","TN","FN","accuracy"
"B1.F1",3,3,0,1,0.428571428571429
"B1.F2",0,2,3,1,0.833333333333333
"B1.F3",1,0,2,3,0.333333333333333
"B1.F4",1,3,2,0,0.833333333333333
"B1.F5",2,2,2,1,0.571428571428571
"B1.F11",2,3,1,0,0.666666666666667
"B1.F21",2,2,1,1,0.5
"B1.F31",0,1,3,3,0.571428571428571
"B1.F41",1,3,2,0,0.833333333333333
"B1.F51",1,2,3,1,0.714285714285714
"B1.F12",0,2,3,1,0.833333333333333
"B1.F22",0,0,3,4,0.428571428571429
"B1.F32",2,3,1,0,0.666666666666667
"B1.F42",1,2,2,1,0.666666666666667
"B1.F52",3,1,1,2,0.285714285714286
"B1.F13",1,1,2,2,0.5
"B1.F23",4,3,0,0,0.428571428571429
"B1.F33",1,2,2,1,0.666666666666667
"B1.F43",0,3,3,1,0.857142857142857
"B1.F53",2,2,1,1,0.5
"B1.F14",2,3,2,0,0.714285714285714
"B1.F24",1,1,2,2,0.5
"B1.F34",1,3,2,1,0.714285714285714
"B1.F44",1,2,2,1,0.666666666666667
"B1.F54",0,1,3,2,0.666666666666667
"B1.F15",0,2,3,1,0.833333333333333
"B1.F25",2,0,2,3,0.285714285714286
"B1.F35",1,2,2,1,0.666666666666667
"B1.F45",1,4,2,0,0.857142857142857
"B1.F55",2,2,1,1,0.5
"B1.F16",1,3,2,0,0.833333333333333
"B1.F26",0,0,3,3,0.5
"B1.F36",2,2,1,1,0.5
"B1.F46",0,3,4,1,0.875
"B1.F56",1,2,2,1,0.666666666666667
"B1.F17",1,2,2,1,0.666666666666667
"B1.F27",1,2,2,2,0.571428571428571
"B1.F37",1,2,3,1,0.714285714285714
"B1.F47",3,2,0,1,0.333333333333333
"B1.F57",0,1,3,2,0.666666666666667
"B1.F18",3,2,1,1,0.428571428571429
"B1.F28",1,0,2,3,0.333333333333333
"B1.F38",1,1,2,2,0.5
"B1.F48",0,3,3,0,1
"B1.F58",2,3,1,1,0.571428571428571
"B1.F19",1,3,2,0,0.833333333333333
"B1.F29",0,2,3,1,0.833333333333333
"B1.F39",1,1,2,2,0.5
"B1.F49",1,3,2,1,0.714285714285714
"B1.F59",2,2,2,1,0.571428571428571
"B1.F110",1,1,2,2,0.5
"B1.F210",1,1,2,2,0.5
"B1.F310",2,3,1,1,0.571428571428571
"B1.F410",1,2,2,1,0.666666666666667
"B1.F510",1,2,3,1,0.714285714285714
"B1.F111",1,3,2,0,0.833333333333333
"B1.F211",0,2,3,1,0.833333333333333
"B1.F311",2,1,1,3,0.285714285714286
"B1.F411",0,1,3,2,0.666666666666667
"B1.F511",3,3,1,0,0.571428571428571
"B1.F112",3,2,0,1,0.333333333333333
"B1.F212",1,3,2,0,0.833333333333333
"B1.F312",1,2,2,2,0.571428571428571
"B1.F412",0,0,3,3,0.5
"B1.F512",1,2,3,1,0.714285714285714
"B1.F113",1,3,2,0,0.833333333333333
"B1.F213",0,2,3,1,0.833333333333333
"B1.F313",1,2,2,1,0.666666666666667
"B1.F413",2,1,1,2,0.333333333333333
"B1.F513",0,0,4,4,0.5
"B1.F114",2,2,1,1,0.5
"B1.F214",1,3,2,0,0.833333333333333
"B1.F314",1,1,2,3,0.428571428571429
"B1.F414",0,3,3,0,1
"B1.F514",2,1,2,2,0.428571428571429
"B1.F115",2,1,2,2,0.428571428571429
"B1.F215",0,2,3,1,0.833333333333333
"B1.F315",1,2,2,2,0.571428571428571
"B1.F415",0,0,3,3,0.5
"B1.F515",2,3,1,0,0.666666666666667
"B1.F116",2,3,1,0,0.666666666666667
"B1.F216",2,2,2,2,0.5
"B1.F316",1,2,2,1,0.666666666666667
"B1.F416",1,2,2,1,0.666666666666667
"B1.F516",2,3,1,0,0.666666666666667
"B1.F117",1,2,2,1,0.666666666666667
"B1.F217",2,2,1,1,0.5
"B1.F317",1,2,2,1,0.666666666666667
"B1.F417",0,0,3,3,0.5
"B1.F517",2,4,2,0,0.75
"B1.F118",0,2,4,1,0.857142857142857
"B1.F218",0,2,3,1,0.833333333333333
"B1.F318",1,1,2,3,0.428571428571429
"B1.F418",2,2,1,1,0.5
"B1.F518",0,2,3,1,0.833333333333333
"B1.F119",0,1,3,2,0.666666666666667
"B1.F219",2,2,1,1,0.5
"B1.F319",1,1,2,3,0.428571428571429
"B1.F419",1,2,2,1,0.666666666666667
"B1.F519",3,1,1,2,0.285714285714286
