"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.01,0.013,0.45,0.475471698113208,"zinb","Bifidobacterium","ns",0.322875328819245,56,0,"age",0.884520884520885,0.0293019611791056
"Streptococcus",0.038,0.008,3.3e-06,6.84444444444444e-06,"nb","Streptococcus","positively correlated",5.1646617972749,56,0,"age",0.99017199017199,0.343528102016591
"Staphylococcus",-0.128,0.011,8.2e-26,7.65333333333333e-25,"nb","Staphylococcus","negatively correlated",24.1161493709937,56,0,"age",0.977886977886978,0.193733125003598
"Veillonella",0.193,0.012,2.2e-38,4.10666666666667e-37,"zinb","Veillonella","positively correlated",36.3865105468913,56,0,"age",0.574938574938575,0.0397571732007314
"Lactobacillus",0.097,0.015,2e-10,5.33333333333333e-10,"zinb","Lactobacillus","positively correlated",9.27300127206374,56,0,"age",0.28992628992629,0.00638245704506519
"Collinsella",-0.002,0.011,0.86,0.875636363636364,"zinb","Collinsella","ns",0.0576762112444758,56,0,"age",0.275184275184275,0.00264442021262995
"Haemophilus",-0.037,0.013,0.0041,0.00588717948717949,"zinb","Haemophilus","negatively correlated",2.23009272330056,56,0,"age",0.282555282555283,0.00342050633408531
"Klebsiella",-0.067,0.013,1.1e-06,2.464e-06,"zinb","Klebsiella","negatively correlated",5.60835929650761,56,0,"age",0.398034398034398,0.0049400355388829
"Enterococcus",0.014,0.01,0.15,0.178723404255319,"zinb","Enterococcus","ns",0.747818571873836,56,0,"age",0.235872235872236,0.00250654250540384
"Rothia",0.032,0.011,0.0044,0.00616,"zinb","Rothia","positively correlated",2.21041928783557,56,0,"age",0.744471744471744,0.0248646463434843
"Gemella",-0.082,0.009,5.9e-16,3.304e-15,"zinb","Gemella","negatively correlated",14.4809599613517,56,0,"age",0.515970515970516,0.0142060874629519
"Bacillus",0.066,0.012,1.1e-07,2.67826086956522e-07,"zinb","Bacillus","positively correlated",6.57214712385317,56,0,"age",0.292383292383292,0.00244668258949716
"Pseudomonas",0.028,0.012,0.025,0.0325581395348837,"zinb","Pseudomonas","positively correlated",1.48734041990135,56,0,"age",0.916461916461916,0.0268819873199749
"Cutibacterium",0.059,0.012,5.7e-07,1.33e-06,"zinb","Cutibacterium","positively correlated",5.87614835903291,56,0,"age",0.813267813267813,0.011026833883184
"Enterobacter",-0.035,0.01,0.00074,0.00121882352941176,"zinb","Enterobacter","negatively correlated",2.91405917030508,56,0,"age",0.221130221130221,0.00114387809649315
"Acinetobacter",-0.001,0.017,0.96,0.96,"nb","Acinetobacter","ns",0.0177287669604316,56,0,"age",0.97051597051597,0.0741282564024296
"Enhydrobacter",0.095,0.011,3.8e-15,1.77333333333333e-14,"zinb","Enhydrobacter","positively correlated",13.7512096224246,56,0,"age",0.624078624078624,0.00786453979767169
"Corynebacterium_1",0.027,0.011,0.015,0.0204878048780488,"nb","Corynebacterium_1","positively correlated",1.68850457065785,56,0,"age",0.955773955773956,0.0762734232998747
