"","Estimate","Std.Error","pvalue","padj","method","taxon","signif","pscale","n_tested","failed_convergence","comparison","prevalence","mean"
"Bifidobacterium",0.219,0.203,0.28,0.62,"zinb","Bifidobacterium","ns",0.207608310501746,52,0,"dose1_shedding",0.854700854700855,0.0334649096556526
"Streptococcus",-0.119,0.099,0.23,0.62,"nb","Streptococcus","ns",0.207608310501746,52,0,"dose1_shedding",0.987179487179487,0.312270376502961
"Staphylococcus",-0.081,0.119,0.5,0.764705882352941,"nb","Staphylococcus","ns",0.116505569071437,52,0,"dose1_shedding",0.982905982905983,0.232420515085147
"Veillonella",0.176,0.213,0.41,0.721290322580645,"zinb","Veillonella","ns",0.141889894619887,52,0,"dose1_shedding",0.606837606837607,0.0397478654296974
"Lactobacillus",0.602,0.342,0.081,0.468,"zinb","Lactobacillus","ns",0.329754146925876,52,0,"dose1_shedding",0.243589743589744,0.00247126672694399
"Collinsella",0.234,0.317,0.46,0.7475,"zinb","Collinsella","ns",0.126388803003533,52,0,"dose1_shedding",0.307692307692308,0.00434508843185164
"Haemophilus",0.183,0.353,0.61,0.866666666666667,"zinb","Haemophilus","ns",0.0621479067488445,52,0,"dose1_shedding",0.273504273504274,0.00269545660413742
"Klebsiella",-0.254,0.594,0.67,0.866666666666667,"zinb","Klebsiella","ns",0.0621479067488445,52,0,"dose1_shedding",0.294871794871795,0.00458898978289439
"Enterococcus",0.107,0.425,0.8,0.915652173913043,"zinb","Enterococcus","ns",0.0382694691681252,52,0,"dose1_shedding",0.205128205128205,0.00209917254059384
"Rothia",-0.352,0.198,0.078,0.468,"zinb","Rothia","ns",0.329754146925876,52,0,"dose1_shedding",0.709401709401709,0.0238162148791605
"Gemella",-0.065,0.226,0.77,0.915652173913043,"zinb","Gemella","ns",0.0382694691681252,52,0,"dose1_shedding",0.508547008547009,0.0141712473006526
"Bacillus",0.312,0.332,0.35,0.674074074074074,"zinb","Bacillus","ns",0.171292376173913,52,0,"dose1_shedding",0.264957264957265,0.00185492049316034
"Pseudomonas",0.05,0.21,0.81,0.915652173913043,"zinb","Pseudomonas","ns",0.0382694691681252,52,0,"dose1_shedding",0.944444444444444,0.0287892855347629
"Cutibacterium",0.186,0.234,0.43,0.721290322580645,"zinb","Cutibacterium","ns",0.141889894619887,52,0,"dose1_shedding",0.773504273504274,0.0123121669610245
"Acinetobacter",0.199,0.189,0.29,0.62,"nb","Acinetobacter","ns",0.207608310501746,52,0,"dose1_shedding",0.965811965811966,0.0574802452150049
"Enhydrobacter",0.352,0.237,0.14,0.548888888888889,"zinb","Enhydrobacter","ns",0.260515560515678,52,0,"dose1_shedding",0.547008547008547,0.00614134242282156
"Corynebacterium_1",-0.015,0.192,0.94,0.988,"nb","Corynebacterium_1","ns",0.00524305541237188,52,0,"dose1_shedding",0.97008547008547,0.0927802805887304
"Hydrogenophilus",0.807,0.288,0.0058,0.06032,"zinb","Hydrogenophilus","ns",1.21953866713828,52,0,"dose1_shedding",0.495726495726496,0.00968405478634889
"Bradyrhizobium",-0.63,0.47,0.18,0.548888888888889,"zinb","Bradyrhizobium","ns",0.260515560515678,52,0,"dose1_shedding",0.209401709401709,0.00549627341905303
"Dermacoccus",0.331,0.408,0.42,0.721290322580645,"zinb","Dermacoccus","ns",0.141889894619887,52,0,"dose1_shedding",0.200854700854701,0.00545206019518271
"Paracoccus",0.238,0.174,0.17,0.548888888888889,"zinb","Paracoccus","ns",0.260515560515678,52,0,"dose1_shedding",0.858974358974359,0.0189952312964896
"Granulicatella",0.794,0.276,0.0047,0.06032,"zinb","Granulicatella","ns",1.21953866713828,52,0,"dose1_shedding",0.324786324786325,0.00351853909088645
"Micrococcus",0.015,0.227,0.95,0.988,"zinb","Micrococcus","ns",0.00524305541237188,52,0,"dose1_shedding",0.760683760683761,0.0114071909619327
"Kocuria",0.106,0.23,0.65,0.866666666666667,"zinb","Kocuria","ns",0.0621479067488445,52,0,"dose1_shedding",0.636752136752137,0.00755701935819246
"S31",0.36,0.275,0.19,0.548888888888889,"zinb","S31","ns",0.260515560515678,52,0,"dose1_shedding",0.418803418803419,0.00319911737523457
"Janibacter",0.187,0.309,0.55,0.817142857142857,"zinb","Janibacter","ns",0.0877020112212326,52,0,"dose1_shedding",0.346153846153846,0.00311946299225592
"Aeromonas",0.103,0.266,0.7,0.866666666666667,"zinb","Aeromonas","ns",0.0621479067488445,52,0,"dose1_shedding",0.452991452991453,0.00360344003250865
"Shewanella",0.539,0.338,0.11,0.548888888888889,"zinb","Shewanella","ns",0.260515560515678,52,0,"dose1_shedding",0.260683760683761,0.00114257163660682
"Chryseobacterium",0.339,0.31,0.28,0.62,"zinb","Chryseobacterium","ns",0.207608310501746,52,0,"dose1_shedding",0.269230769230769,0.00122559140526034
"Cloacibacterium",0.857,0.356,0.017,0.147333333333333,"zinb","Cloacibacterium","ns",0.831698985370571,52,0,"dose1_shedding",0.247863247863248,0.00266807949898795
"Rheinheimera",0.515,0.329,0.12,0.548888888888889,"zinb","Rheinheimera","ns",0.260515560515678,52,0,"dose1_shedding",0.294871794871795,0.00306952186189745
"Exiguobacterium",0.419,0.295,0.16,0.548888888888889,"zinb","Exiguobacterium","ns",0.260515560515678,52,0,"dose1_shedding",0.354700854700855,0.00273302781574453
"Alishewanella",0.273,0.31,0.38,0.705714285714286,"zinb","Alishewanella","ns",0.15137109109061,52,0,"dose1_shedding",0.329059829059829,0.00393655529466902
"Brachybacterium",0.002,0.266,0.99,0.99,"zinb","Brachybacterium","ns",0.00436480540245009,52,0,"dose1_shedding",0.393162393162393,0.00311168491647531
"Rubellimicrobium",0.376,0.287,0.19,0.548888888888889,"zinb","Rubellimicrobium","ns",0.260515560515678,52,0,"dose1_shedding",0.341880341880342,0.00360891224323921
"Brevundimonas",0.388,0.296,0.19,0.548888888888889,"zinb","Brevundimonas","ns",0.260515560515678,52,0,"dose1_shedding",0.290598290598291,0.00198309053706035
"Stenotrophomonas",0.048,0.374,0.9,0.975,"zinb","Stenotrophomonas","ns",0.0109953843014632,52,0,"dose1_shedding",0.217948717948718,0.00149766453403917
"Geobacillus",0.205,0.432,0.64,0.866666666666667,"zinb","Geobacillus","ns",0.0621479067488445,52,0,"dose1_shedding",0.217948717948718,0.0026553284354312
"Bergeyella",0.311,0.303,0.31,0.62,"zinb","Bergeyella","ns",0.207608310501746,52,0,"dose1_shedding",0.222222222222222,0.000954798729333854
"Moraxella",0.351,0.325,0.28,0.62,"zinb","Moraxella","ns",0.207608310501746,52,0,"dose1_shedding",0.273504273504274,0.00349751104768848
"Saccharopolyspora",0.805,0.282,0.005,0.06032,"zinb","Saccharopolyspora","ns",1.21953866713828,52,0,"dose1_shedding",0.299145299145299,0.00216007387704563
"Anaerococcus",-0.009,0.322,0.98,0.99,"zinb","Anaerococcus","ns",0.00436480540245009,52,0,"dose1_shedding",0.294871794871795,0.00308926706183784
"Comamonas",0.753,0.25,0.0032,0.06032,"zinb","Comamonas","ns",1.21953866713828,52,0,"dose1_shedding",0.324786324786325,0.002406550649379
"Massilia",1.623,0.328,2.3e-06,0.0001196,"zinb","Massilia","positively correlated",3.92226882034761,52,0,"dose1_shedding",0.252136752136752,0.00398653764895979
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.126,0.452,0.78,0.915652173913043,"zinb","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ns",0.0382694691681252,52,0,"dose1_shedding",0.222222222222222,0.00263123128507666
"Chryseomicrobium",0.461,0.387,0.24,0.62,"zinb","Chryseomicrobium","ns",0.207608310501746,52,0,"dose1_shedding",0.230769230769231,0.00155227849319109
"Qipengyuania",0.688,0.354,0.054,0.401142857142857,"zinb","Qipengyuania","ns",0.396700936556489,52,0,"dose1_shedding",0.230769230769231,0.00138408390110918
"Brevibacterium",0.386,0.382,0.31,0.62,"zinb","Brevibacterium","ns",0.207608310501746,52,0,"dose1_shedding",0.222222222222222,0.00113677394019618
"Ornithinimicrobium",0.191,0.275,0.49,0.764705882352941,"zinb","Ornithinimicrobium","ns",0.116505569071437,52,0,"dose1_shedding",0.324786324786325,0.00131652849018643
"Deinococcus",-0.141,0.304,0.64,0.866666666666667,"zinb","Deinococcus","ns",0.0621479067488445,52,0,"dose1_shedding",0.264957264957265,0.0011695946807062
"unassigned",-0.087,0.63,0.89,0.975,"zinb","unassigned","ns",0.0109953843014632,52,0,"dose1_shedding",0.311965811965812,0.000291791706135307
"Sphingomonas",-0.108,0.267,0.69,0.866666666666667,"zinb","Sphingomonas","ns",0.0621479067488445,52,0,"dose1_shedding",0.444444444444444,0.00330921664646142
