"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t111015",0.0283939217445829,0.0671758162122155,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",13,26,50,0.00304230769230769,0.00869832963628871,10,21,47.6,0.0114285714285714,0.0396842934025181,1,0.871050369525986,0.420212949037197,0.738836406613523,1,0.995797491995547,0.967591823777518,0.953081488074444,0.00838626373626374,-2.4,TRUE,FALSE,67,0,21,0.444444444444444,0.375,0.555555555555556,0.00205761285218378,0.00218484665570041,0.351341339971464,"dose1_shedding1",0.854996795116778,47,23,0.00212128306226035,0.00237619227350457,0.377215163948023,0.926625282290228,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"2","t1260",0.08529113234939,0.159683840717739,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia",NA,"Finegoldia",25,26,96.2,0.0183192307692308,0.0742838449151941,18,21,85.7,0.00836190476190476,0.0194861098270146,0.311243797830292,0.232525435253669,0.277629959413896,0.459893189135162,0.920862293112062,0.923491925542356,0.967591823777518,0.89499826448288,-0.00995732600732601,-10.5,FALSE,FALSE,5,1,21,0.444444444444444,0.375,0.555555555555556,-0.00112720937685513,0.00296606381564769,0.705706951121917,"dose1_shedding1",0.860154184047097,47,43,-0.00178853312336377,0.00306219978814054,0.562374477065293,0.937290795108821,0.860154184047097,0.879349182320276,"Malawi","MLW","Genus"
"3","t1270",0.0559038747992459,0.106362272995084,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus",NA,"Micrococcus",20,26,76.9,0.0092,0.0222292420023716,19,21,90.5,0.00961428571428571,0.016294087446503,0.268993254557345,0.232403626360626,0.462474989303917,0.260011780205083,0.920862293112062,0.923491925542356,0.967591823777518,0.89499826448288,0.000414285714285714,13.6,TRUE,TRUE,31,0,21,0.444444444444444,0.375,0.555555555555556,0.00124309060488216,0.00211740366250105,0.560082482522244,"dose1_shedding1",0.859043534657247,47,39,0.000356699355335081,0.00221461317721872,0.872832295345851,0.986172378320332,0.859043534657247,0.953811020336917,"Malawi","MLW","Genus"
"4","t1290",0.0634981975893462,0.118400033373196,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",26,26,100,0.438773076923077,1.01159445453509,21,21,100,0.395547619047619,0.488612350047609,NA,NA,NA,0.292522094296113,NA,NA,NA,0.89499826448288,-0.0432254578754578,0,FALSE,FALSE,18,1,21,0.444444444444444,0.375,0.555555555555556,0.00566618950411734,0.0133123660187956,0.67240370513821,"dose1_shedding1",0.860154184047097,47,47,0.00195066526134569,0.0136745730119007,0.88726606542969,0.986172378320332,0.860154184047097,0.953811020336917,"Malawi","MLW","Genus"
"5","t1297617",0.0184953967904933,0.0366916181542012,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas",NA,"Intestinimonas",11,26,42.3,0.0029,0.0128492490052921,8,21,38.1,0.000333333333333333,0.000892935234680172,1,0.769936119117937,0.996582535514434,0.595755822559189,1,0.995797491995547,0.997177920843515,0.914910727501612,-0.00256666666666667,-4.2,FALSE,FALSE,79,0,21,0.444444444444444,0.375,0.555555555555556,-0.00110227705614177,0.00115176420243125,0.343663882191642,"dose1_shedding1",0.854996795116778,47,19,-0.00101575641475425,0.00119927387551121,0.401925368838087,0.926625282290228,0.854996795116778,0.803850737676174,"Malawi","MLW","Genus"
"6","t1316412",0.0608278078693969,0.119973979247774,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",26,26,100,5.69640769230769,10.086884338741,21,21,100,6.07789047619048,8.34095264960213,NA,NA,NA,0.924037836397739,NA,NA,NA,0.965467822893769,0.381482783882784,0,TRUE,FALSE,24,0,21,0.444444444444444,0.375,0.555555555555556,0.00531704579402282,0.0479624777324141,0.912221567690795,"dose1_shedding1",0.93728745064912,47,47,-0.0197770437987057,0.0469889004420153,0.676035327705103,0.955890057042745,0.93728745064912,0.922981081338818,"Malawi","MLW","Genus"
"7","t1335613",0.033336771744757,0.0690719387348977,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",17,26,65.4,0.00866923076923077,0.0134242696406402,12,21,57.1,0.00408095238095238,0.00683736930753481,0.76341251823005,0.563931099118354,0.611185259226842,0.453929626231889,1,0.995797491995547,0.972907147340688,0.89499826448288,-0.00458827838827839,-8.3,FALSE,FALSE,62,0,21,0.444444444444444,0.375,0.555555555555556,-0.00202012732267653,0.00182353166265201,0.273830017373222,"dose1_shedding1",0.854996795116778,47,29,-0.00185261714253929,0.00197946379769164,0.354795289446947,0.926625282290228,0.854996795116778,0.796661927804713,"Malawi","MLW","Genus"
"8","t1351",0.0706445832199475,0.133484293761768,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",26,26,100,0.737823076923077,3.11940154161758,18,21,85.7,0.511814285714286,1.48996403321883,0.082022818378045,0.995692048711839,0.997177920843515,0.466783659314477,0.920862293112062,0.995797491995547,0.997177920843515,0.89499826448288,-0.226008791208791,-14.3,FALSE,FALSE,9,1,21,0.444444444444444,0.375,0.555555555555556,-0.00437018895621201,0.0219344093602266,0.842973361190785,"dose1_shedding1",0.906196363280093,47,44,-0.00496577663925422,0.022010117104886,0.822623012141494,0.975034325878245,0.906196363280093,0.94327438725558,"Malawi","MLW","Genus"
"9","t1358",0.0458102342010514,0.0870939829080251,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",19,26,73.1,6e-04,0.000722218803410711,16,21,76.2,0.001,0.00124539150470846,1,0.807808295567861,0.878707821999087,0.523626777068127,1,0.995797491995547,0.997177920843515,0.89499826448288,4e-04,3.10000000000001,TRUE,TRUE,44,0,21,0.444444444444444,0.375,0.555555555555556,0.00050754139963437,0.000524387918452953,0.338280685394584,"dose1_shedding1",0.854996795116778,47,35,0.000313210573536775,0.000528863208261526,0.55694632829883,0.935345596706508,0.854996795116778,0.879349182320276,"Malawi","MLW","Genus"
"10","t1379",0.0718951211982404,0.132728902388836,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",23,26,88.5,0.0118769230769231,0.0271722550803912,15,21,71.4,0.0205095238095238,0.0432031006382864,0.263114240606668,0.151397500797117,0.128137183092382,0.755476897886503,0.920862293112062,0.923491925542356,0.967591823777518,0.953081488074444,0.00863260073260073,-17.1,TRUE,FALSE,8,1,21,0.444444444444444,0.375,0.555555555555556,0.00149452096055529,0.00285530279150302,0.603250610549266,"dose1_shedding1",0.859043534657247,47,38,-0.000526952624367097,0.00270702188153075,0.846619432922497,0.985721229868775,0.859043534657247,0.953811020336917,"Malawi","MLW","Genus"
