"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t111015",0.0437578821848953,0.0897242097690765,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",39,99,39.4,0.0498939393939394,0.440555583098919,8,33,24.2,0.0309848484848485,0.17605821501923,0.143448314882987,0.119609607998525,0.202325658241854,0.109778821079948,0.377596403842713,0.312402126836295,0.356041846840474,0.308423248354466,-0.0189090909090909,-15.2,FALSE,FALSE,68,0,33,0.577380952380952,0.5,0.673076923076923,-0.00112255191977394,0.00422653380957694,0.790970829688788,"seroconv1",0.920264492784231,132,47,-0.00229854362633386,0.00418348389650835,0.583688659440717,0.937585887216718,0.920264492784231,0.798814170556993,"India (unexposed)","IND (neo-)","Genus"
"2","t1260",0.108034285806865,0.204530863599777,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia",NA,"Finegoldia",78,99,78.8,0.00814040404040404,0.0292769217434802,22,33,66.7,0.00356060606060606,0.00716588878794613,0.167230270895668,0.162891881412645,0.121009179903589,0.216423394277858,0.387018626929975,0.35660114579525,0.306018041027772,0.465453820879992,-0.00457979797979798,-12.1,FALSE,FALSE,23,0,33,0.577380952380952,0.5,0.673076923076923,-0.00153836943907252,0.00135124873895631,0.257013873321639,"seroconv1",0.690373679757729,132,100,-0.00230730335863635,0.00135261399568999,0.0905269223302078,0.61474065947822,0.690373679757729,0.601629854947948,"India (unexposed)","IND (neo-)","Genus"
"3","t1270",0.0215421387873921,0.0436817257102913,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus",NA,"Micrococcus",27,99,27.3,0.000115151515151515,0.000265869246812681,6,33,18.2,0.000106060606060606,0.000303046401087558,0.358834481660504,0.299764177501843,0.148466781327723,0.363298340154947,0.593175367642874,0.499597597159465,0.310980229983962,0.602866610561983,-9.09090909090911e-06,-9.1,FALSE,FALSE,81,0,33,0.577380952380952,0.5,0.673076923076923,-0.00011380189452084,0.000190588720786592,0.551474373240721,"seroconv1",0.803844001672916,132,33,-0.000180535227261941,0.000194928478141829,0.356146810188957,0.816303437631977,0.803844001672916,0.661285548556017,"India (unexposed)","IND (neo-)","Genus"
"4","t1290",0.121361582715352,0.217934466089994,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",99,99,100,0.329321212121212,0.773128239656021,33,33,100,0.338154545454545,0.663763679751173,NA,NA,NA,0.819178024608595,NA,NA,NA,0.939324134884522,0.00883333333333336,0,TRUE,FALSE,15,1,33,0.577380952380952,0.5,0.673076923076923,0.000983835940542116,0.00826055630783614,0.905379626361251,"seroconv1",0.990782550367788,132,132,-6.43208923745327e-05,0.00849698190523863,0.993972257815664,0.995867082674416,0.990782550367788,0.993972257815664,"India (unexposed)","IND (neo-)","Genus"
"5","t1297617",0.0595548871869858,0.116273597758779,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas",NA,"Intestinimonas",42,99,42.4,0.00359090909090909,0.0200110586309787,8,33,24.2,0.000203030303030303,0.000475975871555513,0.066586088481125,0.0663481063785774,0.0457017147757325,0.0470194958005749,0.271404981450387,0.257794680672117,0.194833626149176,0.221116590465138,-0.00338787878787879,-18.2,FALSE,FALSE,54,0,33,0.577380952380952,0.5,0.673076923076923,-0.00162853075509146,0.000980865510504739,0.0992643772426214,"seroconv1",0.63066598809025,132,50,-0.00189330172466647,0.00102267277624116,0.0664825885150698,0.553306704415742,0.63066598809025,0.601629854947948,"India (unexposed)","IND (neo-)","Genus"
"6","t1316412",0.108503357721572,0.198421642093116,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",99,99,100,4.91175454545455,5.77522941377122,33,33,100,6.51927272727273,9.73596799547536,NA,NA,NA,0.920464184747955,NA,NA,NA,0.992092491436678,1.60751818181818,0,TRUE,FALSE,22,0,33,0.577380952380952,0.5,0.673076923076923,0.019776149358873,0.0262126529845682,0.451943247689136,"seroconv1",0.803844001672916,132,132,0.0209568199084591,0.027095338254364,0.440717855689381,0.8614030815747,0.803844001672916,0.67681670695155,"India (unexposed)","IND (neo-)","Genus"
"7","t1335613",0.0507331025193626,0.0973734217768432,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",49,99,49.5,0.0159484848484848,0.0707286051355149,10,33,30.3,0.00542424242424242,0.0166052331793141,0.0692906934067241,0.0580636219269283,0.179764416265088,0.0578497781095094,0.271404981450387,0.257794680672117,0.35100896268396,0.24875404587089,-0.0105242424242424,-19.2,FALSE,FALSE,60,0,33,0.577380952380952,0.5,0.673076923076923,-0.00294234096579671,0.00205197521863193,0.153999834301108,"seroconv1",0.63066598809025,132,59,-0.00216327872975037,0.00203615891055252,0.290088253879261,0.80916810365082,0.63066598809025,0.651224878986027,"India (unexposed)","IND (neo-)","Genus"
"8","t1351",0.154767574109485,0.288675020509676,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",94,99,94.9,0.95969898989899,2.5644217905596,26,33,78.8,0.892024242424242,2.42896194790983,0.0104397766979158,0.00958849932773153,0.00338159600780093,0.105960576571268,0.120803130361597,0.129444740924376,0.0913030922106251,0.308423248354466,-0.0676747474747474,-16.1,FALSE,FALSE,3,1,33,0.577380952380952,0.5,0.673076923076923,-0.00869552737736332,0.0161933515800117,0.592198374984117,"seroconv1",0.817229052045933,132,120,-0.0135975627776765,0.0160053629551765,0.397192339866226,0.836174349833917,0.817229052045933,0.665205345885024,"India (unexposed)","IND (neo-)","Genus"
"9","t1358",0.0501932140833245,0.0968395155501951,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",47,99,47.5,0.114772727272727,1.06758023163756,13,33,39.4,0.00153333333333333,0.00401136406558501,0.545249253341342,0.420404095305737,0.508805587154349,0.597215604576624,0.763530184481209,0.599776819596543,0.675627091139381,0.825471531441468,-0.113239393939394,-8.1,FALSE,FALSE,62,0,33,0.577380952380952,0.5,0.673076923076923,-0.00432335650320469,0.00595597958819196,0.469214055788157,"seroconv1",0.803844001672916,132,60,-0.00615323762585945,0.0057892724026336,0.28989046300132,0.80916810365082,0.803844001672916,0.651224878986027,"India (unexposed)","IND (neo-)","Genus"
"10","t1379",0.148758129250868,0.266280497872776,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",91,99,91.9,0.0108535353535354,0.0283993040771709,25,33,75.8,0.00442424242424242,0.0065779475476317,0.0266682544170645,0.0185251787792441,0.0255057116356127,0.229231297178687,0.180010717315186,0.146205513737707,0.147568760177473,0.469378370413502,-0.00642929292929293,-16.1,FALSE,FALSE,4,1,33,0.577380952380952,0.5,0.673076923076923,-0.0019542833300554,0.00146968112049835,0.185934787556552,"seroconv1",0.666266322077643,132,116,-0.00248520052641597,0.00150545334468636,0.101290008006221,0.653320551640122,0.666266322077643,0.601629854947948,"India (unexposed)","IND (neo-)","Genus"
