"","feature_id","mean","sd","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","nonresponder_present","nonresponder_n","nonresponder_prev","nonresponder_mean","nonresponder_sd","responder_present","responder_n","responder_prev","responder_mean","responder_sd","fisher_p","lr_unadjusted_p","lr_adjusted_p","wilcox_p","fisher_padj","lr_unadjusted_padj","lr_adjusted_padj","wilcox_padj","mean_diff","prev_diff","enriched_responder_mean","enriched_responder_prev","rf_rank","rf_top20","rf_n","crossval_median","crossval_quartile_1","crossval_quartile_3","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t111015",0.0346156511266511,0.0715602629960725,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",27,46,58.7,0.00930434782608696,0.0297108805847416,2,10,20,0.00026,0.000665331997326648,0.0375245843018058,0.0398293103234378,0.0934168572354314,0.034690793318373,0.684704184704185,0.497312866530395,0.493133695415768,0.498938385535682,-0.00904434782608696,-38.7,FALSE,FALSE,12,1,10,0.5,0.5,0.75,-0.00414290793961411,0.00269931715312633,0.130672103557592,"seroconv1",0.824007567427199,56,29,-0.00400518802939996,0.00286362786428935,0.168092960999456,0.870332723939504,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"2","t1260",0.024753053002553,0.0494072397549127,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia",NA,"Finegoldia",40,46,87,0.0128891304347826,0.0561391534126916,10,10,100,0.0103,0.0262775781058893,0.577819516776232,0.993552071486869,0.995703791108372,0.906233187049071,0.899954094192876,0.996034080873694,0.999711553343642,0.938988603448435,-0.00258913043478261,13,FALSE,TRUE,30,0,10,0.5,0.5,0.75,0.000237599708953231,0.00330564928726042,0.942965458539586,"seroconv1",0.965417017076243,56,50,0.000129348326861937,0.00339321841765175,0.969744073110944,0.995233363133002,0.965417017076243,0.989239501548908,"Malawi","MLW","Genus"
"3","t1270",0.0224562137307137,0.0498647580012292,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus",NA,"Micrococcus",39,46,84.8,0.00814347826086957,0.0177577357437248,8,10,80,0.01139,0.0212588517511595,0.655578269043466,0.709905279611587,0.701104333471333,0.577186302835146,0.899954094192876,0.851886335533905,0.891762846514112,0.842334874966023,0.00324652173913043,-4.8,TRUE,FALSE,37,0,10,0.5,0.5,0.75,0.000469750133693611,0.00239849235998379,0.845460959015834,"seroconv1",0.936483399478857,56,47,0.000876108458500459,0.00246369625434707,0.723630570207889,0.941732353030852,0.936483399478857,0.91517983879233,"Malawi","MLW","Genus"
"4","t1290",0.0244503506493506,0.0542821220126509,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",46,46,100,0.536971739130435,1.39475290438654,10,10,100,0.40246,0.451681732098068,NA,NA,NA,0.230662129230589,NA,NA,NA,0.677930348595514,-0.134511739130435,0,FALSE,FALSE,31,0,10,0.5,0.5,0.75,0.00657298492224828,0.0190246864203881,0.731062579101031,"seroconv1",0.928068658877422,56,56,0.00366354134349994,0.0188137527304003,0.846395933195023,0.973017442248152,0.928068658877422,0.982201942701627,"Malawi","MLW","Genus"
"5","t1297617",0.00777668353868354,0.0209898469317314,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas",NA,"Intestinimonas",19,46,41.3,0.00176304347826087,0.00967866746327893,2,10,20,0.00031,0.000912201244852862,0.29047310243617,0.220885006191201,0.191646016165064,0.242258634557327,0.730797773654916,0.622134537100249,0.603737226953189,0.677930348595514,-0.00145304347826087,-21.3,FALSE,FALSE,75,0,10,0.5,0.5,0.75,-0.000899224191679514,0.00127652733064833,0.484192048290478,"seroconv1",0.885968428786831,56,21,-0.000555813312564841,0.00131181900738704,0.673604263162844,0.941732353030852,0.885968428786831,0.91517983879233,"Malawi","MLW","Genus"
"6","t1316412",0.0199339188034188,0.0403977665437956,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",46,46,100,6.45534565217391,10.0635542885913,10,10,100,3.93556,4.25419373747835,NA,NA,NA,0.760008761556687,NA,NA,NA,0.897147956867565,-2.51978565217391,0,FALSE,FALSE,45,0,10,0.5,0.5,0.75,-0.0331920178893516,0.0578733317804972,0.568667779799759,"seroconv1",0.92274394458074,56,56,-0.0398895701602324,0.0562084598128269,0.481204141891706,0.941732353030852,0.92274394458074,0.91517983879233,"Malawi","MLW","Genus"
"7","t1335613",0.0182766673326673,0.0451252067587002,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",31,46,67.4,0.00843695652173913,0.0141581599353031,4,10,40,0.00416,0.00843579674166386,0.151665703492279,0.115102787674781,0.120207918137759,0.132159683249427,0.697529383637693,0.59853449590886,0.57497015483551,0.613410527183242,-0.00427695652173913,-27.4,FALSE,FALSE,49,0,10,0.5,0.5,0.75,-0.0029720391244038,0.00229645961165071,0.201109748879473,"seroconv1",0.824007567427199,56,35,-0.00300030167884677,0.00242477426988526,0.221735690572223,0.899493839113735,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"8","t1351",0.0426114188034188,0.0891200274253314,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",44,46,95.7,0.657321739130435,2.52770970044804,8,10,80,0.04712,0.132479447462616,0.14240790655885,0.111526954974698,0.131362869078187,0.0465681229038404,0.697529383637693,0.59853449590886,0.57497015483551,0.498938385535682,-0.610201739130435,-15.7,FALSE,FALSE,7,1,10,0.5,0.5,0.75,-0.0264681218752456,0.023848177258247,0.271977672142554,"seroconv1",0.824007567427199,56,52,-0.0212890112210033,0.0240046068427818,0.379393945624465,0.934154755824664,0.824007567427199,0.91517983879233,"Malawi","MLW","Genus"
"9","t1358",0.0168321265956266,0.0366381523039435,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",34,46,73.9,0.000815217391304348,0.00101892479087939,8,10,80,0.00062,0.000795543140809402,1,0.688065865981103,0.555806152893129,0.721609748707484,1,0.851886335533905,0.817978866521963,0.897147956867565,-0.000195217391304348,6.09999999999999,FALSE,TRUE,55,0,10,0.5,0.5,0.75,-0.000215466551923015,0.000619052309462714,0.729149297355826,"seroconv1",0.928068658877422,56,42,-0.000215757502255286,0.000575356250879169,0.709247878623832,0.941732353030852,0.928068658877422,0.91517983879233,"Malawi","MLW","Genus"
"10","t1379",0.0162287907647908,0.0329288705993711,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",37,46,80.4,0.0140152173913043,0.0346165468936545,9,10,90,0.01341,0.0211372472716345,0.670234512913957,0.483257096383568,0.480019090683389,0.452670746260477,0.899954094192876,0.746016837266747,0.748829781466086,0.811035087050021,-0.000605217391304346,9.59999999999999,FALSE,TRUE,58,0,10,0.5,0.5,0.75,0.00120965161300379,0.00318299438750324,0.705409570036958,"seroconv1",0.928068658877422,56,46,0.00128335576768308,0.00302779719070679,0.673487425293241,0.941732353030852,0.928068658877422,0.91517983879233,"Malawi","MLW","Genus"
"11","t1382",0.0114814468864469,0.0260892521097899,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella",NA,"Lancefieldella",26,46,56.5,0.0198934782608696,0.0652539463333621,5,10,50,0.01637,0.0454197962224501,0.738423872158257,0.707365339233713,0.382553343226673,0.840118109286142,0.899954094192876,0.851886335533905,0.723074835812103,0.918622982230151,-0.00352347826086957,-6.5,FALSE,FALSE,67,0,10,0.5,0.5,0.75,-0.000525803546341126,0.00433073729947776,0.903815373915641,"seroconv1",0.936483399478857,56,31,7.87907053638049e-05,0.00431145617073493,0.985492416108156,0.995233363133002,0.936483399478857,0.989239501548908,"Malawi","MLW","Genus"
"12","t143361",0.0115538625818626,0.027658314595808,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Filifactor",NA,"Filifactor",10,46,21.7,0.00111739130434783,0.00622355041034818,4,10,40,0.00016,0.000236643191323985,0.247246192736428,0.235429029251468,0.26524111372369,0.33869968136377,0.730797773654916,0.622134537100249,0.699985263925953,0.700136071572583,-0.000957391304347826,18.3,FALSE,TRUE,66,0,10,0.5,0.5,0.75,-0.000232500481437747,0.00103787939539661,0.823591089794365,"seroconv1",0.936483399478857,56,14,-0.000557258052130828,0.00104484220258796,0.596159935889579,0.941732353030852,0.936483399478857,0.91517983879233,"Malawi","MLW","Genus"
"13","t1464",0.00280880008880009,0.00697939982386243,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA,"Paenibacillus",4,46,8.7,0.0017304347826087,0.00697512626935384,2,10,20,0.00131,0.00277386613471763,0.289329519906656,0.308697873939146,0.321506917063204,0.349094627950795,0.730797773654916,0.622134537100249,0.715667148999085,0.700136071572583,-0.000420434782608696,11.3,FALSE,TRUE,86,0,10,0.5,0.5,0.75,0.000508604112413534,0.00137971606777822,0.713845187694626,"seroconv1",0.928068658877422,56,6,0.000293048809505049,0.00136264791160158,0.830596626499717,0.973017442248152,0.928068658877422,0.982201942701627,"Malawi","MLW","Genus"
"14","t1492",0.0359040246420246,0.0799157344187664,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA,"Clostridium",44,46,95.7,0.0490782608695652,0.219102519801975,10,10,100,1.52241,4.80658925329478,NA,NA,NA,0.206739103498474,NA,NA,NA,0.677930348595514,1.47333173913043,4.3,TRUE,TRUE,11,1,10,0.5,0.5,0.75,0.0331828526658326,0.0189436663270565,0.0855101209435565,"seroconv1",0.824007567427199,56,54,0.0352782455245369,0.0200934668004855,0.0852629771499074,0.797560636074127,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"15","t1496",0.0250735295260295,0.0525812963693142,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides",NA,"Clostridioides",44,46,95.7,0.00769347826086957,0.0165268858688423,7,10,70,0.00145,0.00150499169432924,0.0351095445435069,0.0247594509796507,0.0263015535215626,0.256285705348228,0.684704184704185,0.497312866530395,0.493133695415768,0.688767833123362,-0.00624347826086957,-25.7,FALSE,FALSE,29,0,10,0.5,0.5,0.75,-0.00312977640054685,0.0020640675989706,0.135272315988969,"seroconv1",0.824007567427199,56,51,-0.00342394083464115,0.00203975804513698,0.0994698907526403,0.797560636074127,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"16","t1547",0.0284908308358308,0.0630903171508475,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA,"Erysipelatoclostridium",35,46,76.1,0.0238847826086956,0.112862559420033,4,10,40,0.00027,0.000457165178026498,0.0519672428659067,0.0328026490597946,0.0272450464270667,0.0246154821651408,0.684704184704185,0.497312866530395,0.493133695415768,0.498938385535682,-0.0236147826086957,-36.1,FALSE,FALSE,24,0,10,0.5,0.5,0.75,-0.00586963046125592,0.00447367078234396,0.195057254879074,"seroconv1",0.824007567427199,56,39,-0.00633144973040488,0.00465708322272605,0.180078283725727,0.870332723939504,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"17","t1550024",0.00868973443223443,0.0242183406158641,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",NA,"Ruthenibacterium",20,46,43.5,0.00322173913043478,0.0167392010036783,2,10,20,0.00021,0.000566568618968612,0.285249021017788,0.18331401253408,0.17489537017737,0.243522468300296,0.730797773654916,0.622134537100249,0.603737226953189,0.677930348595514,-0.00301173913043478,-23.5,FALSE,FALSE,72,0,10,0.5,0.5,0.75,-0.00133924412178983,0.00172984505827176,0.44218973629785,"seroconv1",0.884379472595699,56,22,-0.000830201045517616,0.00173154629871673,0.633704490708563,0.941732353030852,0.884379472595699,0.91517983879233,"Malawi","MLW","Genus"
"18","t1583",0.00585618431568432,0.0131164597693311,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella",NA,"Weissella",11,46,23.9,0.000102173913043478,0.000245392321200864,3,10,30,0.00137,0.00415853873908185,0.698353376969926,0.687786436486999,0.703188677139584,0.652487378602452,0.899954094192876,0.851886335533905,0.891762846514112,0.888032610941075,0.00126782608695652,6.1,TRUE,TRUE,81,0,10,0.5,0.5,0.75,0.000990602549373467,0.000587973671817926,0.0978040765218392,"seroconv1",0.824007567427199,56,14,0.00101740701035717,0.00061021489431027,0.101708657083022,0.797560636074127,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"19","t1590",0.00975983216783217,0.0228118892168191,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus",NA,"Lactiplantibacillus",22,46,47.8,0.0158195652173913,0.0404630345408152,4,10,40,0.00547,0.0103716547485067,0.736736284236698,0.653673116860315,0.731702848421835,0.771298166003483,0.899954094192876,0.851886335533905,0.891762846514112,0.897147956867565,-0.0103495652173913,-7.8,FALSE,FALSE,71,0,10,0.5,0.5,0.75,-0.00209843817881394,0.00363638210950109,0.566291951716189,"seroconv1",0.92274394458074,56,26,-0.00208638338186489,0.00376508602723485,0.581953370790997,0.941732353030852,0.92274394458074,0.91517983879233,"Malawi","MLW","Genus"
"20","t1596",0.0211492208347208,0.0428780498871975,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"Lactobacillus",33,46,71.7,4.18795,12.9267531044858,8,10,80,0.50198,1.40607167021378,0.71271750187612,0.595128509511866,0.423229391579663,0.828951916093139,0.899954094192876,0.851886335533905,0.725822408414342,0.918622982230151,-3.68597,8.3,FALSE,TRUE,40,0,10,0.5,0.5,0.75,-0.0595345955156788,0.0666470924130017,0.375670445109108,"seroconv1",0.829917461603172,56,41,-0.0578962746431894,0.0690496774235616,0.405755900273152,0.934154755824664,0.829917461603172,0.91517983879233,"Malawi","MLW","Genus"
"21","t1613",0.0509371575091575,0.108574700677552,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA,"Limosilactobacillus",34,46,73.9,0.32885,0.912980602142723,6,10,60,0.00948,0.0182779040860209,0.447610656247463,0.382072992331612,0.578626368444763,0.0977302909395866,0.867148205997239,0.677311213678766,0.834998159006383,0.525300313800278,-0.31937,-13.9,FALSE,FALSE,3,1,10,0.5,0.5,0.75,-0.0245438072154918,0.0157758293161335,0.125601012205314,"seroconv1",0.824007567427199,56,40,-0.0237944913531307,0.0165742678275432,0.157334880176488,0.870332723939504,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"22","t161879",0.0222977218337218,0.0452095847693986,"Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA,"Corynebacterium",30,46,65.2,0.00759782608695652,0.0234701558876652,8,10,80,0.01842,0.0372651102835406,0.47353650535964,0.372165140551131,0.431467139060085,0.244370241935592,0.867148205997239,0.677311213678766,0.725822408414342,0.677930348595514,0.0108221739130435,14.8,TRUE,TRUE,38,0,10,0.5,0.5,0.75,0.00384365451792943,0.00276450887399389,0.170124688856254,"seroconv1",0.824007567427199,56,38,0.00457007017171434,0.00247015568443065,0.0702107246839532,0.797560636074127,0.824007567427199,0.847777000678409,"Malawi","MLW","Genus"
"23","t1624",0.0183466366411366,0.0379597109873579,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA,"Ligilactobacillus",33,46,71.7,0.262984782608696,1.66161662926566,7,10,70,0.0648,0.108891577064324,1,0.9121596629376,0.999711553343642,0.948166872939815,1,0.996034080873694,0.999711553343642,0.96288934288816,-0.198184782608696,-1.7,FALSE,FALSE,48,0,10,0.5,0.5,0.75,0.000552961005493143,0.0165039415433503,0.973395590070187,"seroconv1",0.973395590070187,56,40,-0.000969190575295497,0.0174843744132869,0.956015362907089,0.995233363133002,0.973395590070187,0.989239501548908,"Malawi","MLW","Genus"
"24","t165179",0.033384811965812,0.0766638037588528,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,"Prevotella",44,46,95.7,1.52466956521739,6.71738059192949,9,10,90,6.85776,21.1683489470693,0.452380952380952,0.484362852862733,0.508079929673657,0.73210181547184,0.867148205997239,0.746016837266747,0.777063421853828,0.897147956867565,5.33309043478261,-5.7,TRUE,FALSE,14,1,10,0.5,0.5,0.75,0.0644439094327238,0.0578643272371032,0.270337693244888,"seroconv1",0.824007567427199,56,53,0.0633857398655395,0.061098160857767,0.304521659471549,0.922143053329338,0.824007567427199,0.91517983879233,"Malawi","MLW","Genus"
