"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds","present","n","prev","mean","rho","spearman_p","wilcox_p","mean_IgA_present","CI_IgA_present","mean_IgA_absent","CI_IgA_absent","lr_unadjusted_p","lr_adjusted_p","GMR","spearman_padj","wilcox_padj","lr_unadjusted_padj","lr_adjusted_padj","rf_rank","rf_top20","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t111015","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",0.0045001420101099,-0.00632926831970886,-0.0372268446413601,-0.0105653659412594,-6.1861845507547e-05,-0.000906608324492357,-0.00503770650831292,0.00392725373297124,-0.000451523018200347,-0.0120081954376051,-0.0050609573269038,0.0183508675419501,-0.00517543858678368,0.0132143339284332,-0.00100260885804341,-0.000136242983591986,-0.00202964846150625,-0.00411584131923214,-0.00614164782661374,-0.0133301066198405,0.00331333936013955,-0.00586514005535418,-0.00667744425223762,-0.0157348703301897,0.000491625091185955,-0.00862587808758147,0.00294052338546562,-0.00522255806010782,0.00141547374415092,0.00822635269814391,-0.00452071223735136,-0.00597153988438755,0.00508922385591606,-0.00256186740446498,-0.0171445366977729,-0.00746089320748256,-0.0116191430292205,9.61449671653236e-06,0.013790198091217,-0.000779711151506349,-0.00236705538807464,-0.00509277729313701,-0.00473724129353427,0.00695101908609259,-0.00104421438028939,0.000545114491773556,0.0187984854828762,-0.0104287812744078,-0.00245297715083413,-0.00106846267589293,-0.00217946337743045,0.00465992121985377,0.000629148488755123,-0.0159469522985188,0.0112327723053302,-0.00405928251971373,-0.00400398161899016,0.0096649815890813,-0.0228716388916455,-0.0129711434578011,-0.00119346702758424,-0.0139397147216155,0.00545919399350217,0.00754819598330563,0.00345583886743211,0.00490103008158274,0.00717172837883541,-0.0157143288646231,0.00282770612547756,0.00124382288106153,-0.00757184325926218,0.00629863268009991,-0.00265184407307713,-0.000855374402028994,-0.00811635417801303,-0.00535360235213049,-0.00574144161032108,-0.000907641331558406,-0.00777085120924615,-0.00277794791052549,-0.00335970832914095,-0.000437268199303078,-0.00489552730548639,-0.00216953616534477,-0.00735516869866651,0.00581219784688553,0.00446290261237883,0.012959523761558,0.0036220074457793,-0.0111770980715372,-0.00929894186853345,0.00141539794805288,-0.00837485291246756,-0.00931239341503029,0.0133085825519846,-0.0123215432241952,0.0202552077655178,-0.0102252985334038,0.00373161432075658,-0.00647767209956318,-0.00286780438437132,0.00828033071072375,29,56,51.8,0.00768928571428571,-0.14865477121282,0.274205386685965,0.405329680904818,4.921,"2.663-9.094",8.509,"4.044-17.904",0.820614766065071,0.594195064990965,0.578328828299448,0.717568293901511,0.789873224327339,0.941958494349552,0.969355234692662,43,0,-0.00102947157530137,0.000591396339746136,0.087423520634397,"IgA",0.903256242727535,56,29,-0.000996359074191605,0.00062087343859482,0.114842968410428,0.897863207572434,0.903256242727535,0.951756078559202,"Malawi","MLW","Genus"
"2","t1260","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia",NA,"Finegoldia",-0.0167115816764541,0.00487932992368789,-0.00415005992546638,-0.00326722819570474,-0.00220777182544583,-0.0071480293219216,-0.00285606644790658,-0.00597063113491665,-0.00713525643691843,-0.00357955747460642,-0.0100691189002885,-0.00526389941402007,-0.00918898507077934,-0.0165839135530085,-0.0123983130532593,-0.0194218017038866,-0.00689251380899887,-0.0102225370048722,-0.0149837549731245,0.0117409241332805,-0.0196071168870244,-0.0174160339313834,-0.0275800160761584,-0.00594842972804578,-0.0156888233551077,-0.00904747228313939,0.00321189472807357,0.00896294145187566,0.0105623525179921,0.000557954751602122,-0.00779629116913522,-0.0100456166873029,-0.0256782072033905,0.00041878903757405,-0.0139951151663306,-0.0224674958695711,-0.0258398687516137,-0.00692116672412715,-0.0086244425419932,-0.029930308397078,0.0126310027725427,-0.0096212685916261,-0.0163946356805663,-0.0264216423258807,-0.00860645557700534,0.00354409635381748,-0.0185984167048656,-0.00566342923695418,-0.0296931664263678,-0.0253982112705868,-0.0195909354736537,0.00692647335435697,-0.00724791306854652,-0.000401650878304191,0.0165146639674852,-0.00879771011869831,-0.022303613183666,-0.00612672208682375,-0.025444218642898,0.0153979467917292,-0.00675671155724197,-0.0227227957339239,0.000226874847936321,-0.0225958124526018,0.00476681846406337,0.0113902136487975,-0.0116244020841399,0.00551399700618559,-0.0122732429487125,-0.00459436097088241,-0.000871796088777283,0.000725839608123876,0.000301475890762998,-0.00918011412138848,-0.00537219174020615,0.00190087830632495,-0.0271596596034723,-0.00501765926868948,-0.00129517518797908,-0.0194118115216035,-0.0148929081614323,0.0153437361547105,-0.00329929850135002,-0.0201186042338739,-0.0257400824579742,-0.0184981673902874,0.0091331022225499,0.0616221260475186,-0.0102222283742035,-0.0103901581311024,-0.0138746869024663,-0.00699916252706536,-0.0166921593854168,-0.00564770861460691,-0.00580763125343094,0.0010844997521195,-0.000890523004921701,-0.0110996885327814,0.00363338455548047,0.000266776003323705,-0.00669378540415678,0.0130465653112781,50,56,89.3,0.0124267857142857,0.108836962450197,0.424599186146633,0.641309473722444,6.826,"4.065-11.464",3.784,"1.451-9.865",0.47860797170187,0.4718182378797,1.803911205074,0.796848444957236,0.90473979788072,0.922162180022118,0.969355234692662,58,0,0.00015521458417856,0.000728288717394904,0.83203411859242,"IgA",0.989544285400955,56,50,6.76175627907974e-05,0.00074001499053416,0.927561124842169,0.996349083074673,0.989544285400955,0.995286235293402,"Malawi","MLW","Genus"
"3","t1270","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Micrococcus",NA,"Micrococcus",0.0659861348781779,-0.00975379076773109,-0.0360393071028639,0.0461246298866303,0.0394959004291711,0.0681761876038211,0.0330491369474983,0.038623815496354,-0.0142344890661381,0.0184344054807877,0.0240618164022341,0.0278214469283101,0.0247198818250651,0.0249036416861283,0.00171245084847167,0.00711327533611826,0.023135489760775,0.0590117972143292,0.0402304702994921,0.0294282550121543,0.029778018137556,0.00668884809298248,0.0273788600352354,0.00521075454471604,0.0267847733072681,0.0951363003432673,0.00532020848563019,0.0389523055105897,-0.00942301133569098,0.0305870240228569,0.0250847100871213,0.0599472396890324,0.0111076429911865,0.0490329118226055,0.00738565309730226,-0.00265766898986467,0.112272064352508,0.0269272461564925,0.00708491220263856,0.00683339469290855,0.0279185666380878,0.0295022392762605,-0.00379094874354916,0.0446346652357845,0.0201621264919686,0.0410155873054704,-0.0262306365616237,-0.0219435680108173,0.0499210287124914,-0.00356058580820394,0.00791884934277688,0.0493807017398675,-0.0116598517176606,0.0529741408200223,0.0125930175659427,0.0210600023110193,0.0385749744691905,-0.0255079502630434,0.0294433252058655,0.00418710232038586,0.0334761765446554,0.0271023471355574,0.00612810001878625,-0.00104016080140057,-0.0204743715351188,0.0299030790590231,0.0144404441017733,-0.0278850443795496,0.0746791398384946,0.0401328689903904,0.0035735347888607,0.0427767867505401,0.025480432262046,0.0288731983791836,0.0378784824239857,0.000448037051577268,0.00781649086418341,0.0413439689185736,0.0149250491826301,0.0687994261188951,-0.00130015382321125,0.0138025881929032,0.0129522351846471,0.045782488517314,0.000106366910394225,0.055395397856012,0.0274966648711499,-0.00123311950961378,0.0088025013699375,0.020852928011767,0.0379914676889318,0.022455155675923,0.0439697357397733,0.0101714734737831,0.0295271420990309,-0.0013426621548018,0.0720337225350106,0.0241166325034783,-0.00758866577903077,0.0385805939043356,0.0204723477192347,0.0201691058921938,47,56,83.9,0.00872321428571429,-0.0488125594732958,0.720901535484617,0.281877493582934,6.748,"4.095-11.12",4.893,"0.976-24.526",0.937452603488162,0.597583820682045,1.379113018598,0.873204676784184,0.770287909914997,0.975978052946579,0.969355234692662,9,1,-6.93502976521465e-05,0.000528727581766468,0.89613261899865,"IgA",0.989544285400955,56,47,-7.4919640370043e-05,0.000537910572818385,0.889789191403675,0.996349083074673,0.989544285400955,0.995286235293402,"Malawi","MLW","Genus"
"4","t1290","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",-0.0134491671056249,-0.0232987744005301,0.00801664318944447,0.00286469145434324,0.007904377615023,0.0137512324870575,0.00506813646718897,-0.00966979208444287,0.00728910136076566,0.0107155566770692,-0.00452201403193177,-0.00135121035602744,-0.0129170167181444,-0.0225260744049261,-0.01075726021616,-0.0135641646615632,-0.0179486610250863,-0.00728188716648051,-0.00171415551321524,0.0177497593933597,-0.0167560979517261,-0.0105012733100235,0.0140838011629063,0.0264499202316319,-0.00430472037229517,-0.0200566733890469,0.000854790756557101,0.00209041761118718,0.0015890989642716,-0.00839446822274977,-0.0178509012910461,-0.0137115709620964,-0.000968235414432496,-0.00353497550439005,0.00856165679932438,0.00316907280604192,-0.00691442689834988,0.000175291547313231,0.00256550957084945,0.00663998920903979,-0.0151982209307519,0.00695888413180101,-0.002145114565091,0.00310507843740879,0.00504431817574336,0.00548860384897538,-0.00187695630956309,-0.00533591722271857,0.00145938082749757,0.00203412296026755,-0.0165441223043901,-0.00477508265179771,-0.00162280534897028,0.00634896899959404,-0.00343257287979164,-0.00296371366685387,0.00398834946912843,-0.0160942994484048,0.0040530873074727,-0.00227265646978802,0.020471767793139,0.00443802056840052,0.0033063196833967,-0.00470264377906314,0.00501886816794124,0.00489105151988296,0.00259753881082237,0.00389398943898617,0.00600372164171167,-0.0164126404005897,-0.0315444160561667,0.00233272842104659,0.0204844576807209,0.0115933299688813,0.00578378073946851,-0.0120936224479472,-0.0186905212411976,0.015354812244411,0.00217890419119883,-0.0252141814899291,-0.000632636956725892,-0.00235708263804829,-0.0169723514826295,-0.000940500646628051,-0.00110790994652283,0.0198832850820141,-0.0166372796152641,-0.0150895620358082,-0.00802361882206303,-0.0136920802732925,-0.0150844668580246,0.014766197571449,-0.0170917328077259,-0.0129876428251915,-0.0225515402026812,-0.0297359064398108,0.00306753360824569,0.00283609800547474,-0.0140137026921387,-0.00980079963877936,-0.00242442001876713,0.0114720190441861,56,56,100,0.512951785714286,0.0654951746030315,0.631524567348766,NA,NA,NA,NA,NA,NA,NA,NA,0.835555581415291,NA,NA,NA,40,0,-0.00174246995137348,0.00419094122860316,0.679225577099615,"IgA",0.957596715255194,56,56,-0.00321473345623408,0.00407960931821607,0.43441653541708,0.946622891436675,0.957596715255194,0.951756078559202,"Malawi","MLW","Genus"
"5","t1297617","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinimonas",NA,"Intestinimonas",0.00398244164762741,0.00139695271455228,0.00118819757683134,-0.00372362981424393,-0.0155201178986049,0.00296443222373119,-0.0139334901996034,-0.00886148646882674,-0.00221448055221213,-0.0067000946425064,-0.0105857853745778,0.00148571653796231,-0.00190380510813954,-0.00392493935535367,-0.0116392446637583,-0.0324905799079035,-0.00795020397779723,-0.0356233204898831,-0.0048293274808172,-0.000966186967660434,0.00241318111397913,0.0025115307175838,0.00665596916094714,-0.00517634359433691,-0.00791401475324793,-0.0169870833700497,0.00218112491102266,-0.00219050507448538,-0.000178031947321885,-0.0291093853651171,-0.0218779783012977,-0.012068624540746,-0.0112129379359524,0.00554205593307903,-0.00252649266079494,0.00466160091160397,-0.017952297513166,-0.00244365166634191,-0.00802265409407774,-0.0165412873053324,-0.00122813265219841,-0.00498269692964759,-4.96322615929268e-05,-0.00382021847110311,-0.0092297235201437,-0.0142272202125769,-0.00191171141687375,-0.0106188197161162,-0.00920852334784074,0.00196908481431675,-0.00564519173815624,-0.0243855613626318,0.00542834934507049,-0.00133352035577448,-0.00341108133245192,-0.00872748174432281,-0.00219006884111164,-0.00532092679698107,-0.0165992673334032,-0.00599083371804163,0.00260479226064997,-0.0161735686557114,0.00361361477394848,-1.15195666997856e-05,-0.000806868483737202,-0.00232885407307718,-0.00745482631106037,0.0035837142914894,-0.0137915306332518,0.00116770211110778,-0.0164274032440738,-0.000226391362316097,-0.00148982112885707,-0.00305611747024395,0.0029410316201918,0.000495387902916195,-0.003766312166848,-0.0137088884511746,-0.0102291707926897,-0.000435463600822005,-0.0129561797086309,-0.0192149425039197,-0.0143925986430391,-0.000297612526100626,-0.00410551533190317,-0.0202866136748809,0.000646625359941627,0.0026612987361436,0.00239379230648215,-0.00198854025512154,-0.0108994025152874,-0.00109753144194738,-0.0152885829671938,-0.0328764013239694,-0.00613716027340121,-0.0125970958137011,-0.0026912079270828,-0.0188107511869866,0.0163744076377096,-0.016036246772535,-0.00664902194997817,0.00791749000576223,21,56,37.5,0.00150357142857143,-0.0824428972518043,0.545803060763425,0.449147403736759,5.061,"2.312-11.08",7.383,"4.003-13.617",0.683675964097355,0.786100606204167,0.685493701747257,0.801716662545742,0.8526179834111,0.941866916267357,0.969355234692662,57,0,-0.000240192288834458,0.00028073801816171,0.396013600740913,"IgA",0.904796754627385,56,21,-0.000161057311352825,0.000285716414240094,0.575480419593936,0.953744983348853,0.904796754627385,0.951756078559202,"Malawi","MLW","Genus"
"6","t1316412","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",0.0193768160974118,0.0052357289429366,-0.0132202036608549,0.00191699799392074,-0.022737760780237,-0.00258114923254249,-0.000135920776094707,0.0113089530176948,-0.00805560527582731,-0.0431376882611325,-0.00456979336489607,-0.0018252885600209,0.0255756745253622,-0.0260976414148523,-0.0098202133099601,-0.0459494954542612,-0.00877294592689465,2.95588087593668e-06,-0.000445192347510927,-0.0198745370349339,-0.0370650255617763,-0.0050167560351647,0.00649831345329426,-0.0192311603051353,-0.0255099437943828,-0.0489449804038876,-0.00295903620791225,-0.0241155928908626,-0.0078523249366774,0.00864197900682437,-0.00522710780225639,-0.000273358189280283,0.00251206093311909,-0.0183185867934383,0.00862189229673797,-0.0445839244719464,-0.0202040125264842,0.00116024487276609,0.0124676120047252,-0.0197235385365615,-0.0110790119715668,0.000486068105174514,0.0199579148096418,-0.0430838218480597,0.00362955608851802,0.000285027118585722,0.00410840800288886,-0.0389104895234404,-0.00540828609253965,0.00915865126518034,-0.050189923698551,-0.0113532474426968,0.00623911352416183,-0.00195528874690809,0.00101310216412677,-0.0163894918486792,-0.0108972831561975,-0.0342436979914912,-0.0229261335278725,-0.0125090455380479,-0.0182228678298271,-0.0294220317952614,-0.0269530263281568,-0.013488204840866,-0.0079952344373169,-0.0451091834287211,-0.00260551654134502,-0.00643892655644783,-0.0229981940518983,0.00467221318087815,-0.00335019187470117,-0.0194663227467404,0.00452195174581721,-0.00933087308347412,-0.00439244236326296,-0.00159763885878622,-0.0105444855274826,-0.00766196300537023,0.00824045627929746,-0.0412523575001666,-0.0379223423253732,-0.0253725121679287,-0.00483997460834326,0.00505048582919298,-0.0326394622590306,-0.0255477784993497,0.0142450524387677,-0.00268582404467728,0.0317847449962035,0.00660773901716982,-0.00987683333051753,0.00318965354126883,0.00290391610214184,-0.0111179305337162,0.00662471182187626,0.000461417965434624,-0.00899248076635893,-0.0331190658732492,0.010279861125067,-0.0135162382370923,-0.0102069308605407,0.0168138418641312,56,56,100,6.00538392857143,-0.0407670541446242,0.765461990668544,NA,NA,NA,NA,NA,NA,NA,NA,0.874806223087548,NA,NA,NA,75,0,-0.00869390044387334,0.0127391651234478,0.49786883196892,"IgA",0.904796754627385,56,56,-0.0126789696436202,0.0121895613728846,0.303274076263179,0.946622891436675,0.904796754627385,0.951756078559202,"Malawi","MLW","Genus"
"7","t1335613","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",-0.00443296986499755,0.00530595982140002,0.0249686442772144,0.0320929311204115,-0.00740820798575705,0.134017514547627,0.0442702665852394,-0.0125855497002531,0.0118283111770929,0.0113086448799759,0.00985810887055229,0.00491844197077795,-0.00198208014827416,0.0257926821062489,0.0307844746624602,0.0219510697093624,0.00931644917761741,0.0169592836837368,0.0111295173293897,0.0126156008341796,-0.000615975979690397,0.0143350058710932,-0.00268308386529847,0.0203948964785438,0.0128168735637413,0.0189104943899437,-0.00814149195697856,0.00777762403462037,0.00143366593969904,0.0645291299566248,0.0600092894329065,-0.0146922414889146,0.0120114424934214,0.040682695233385,0.00210550446807419,0.00428681693875689,0.0312888344306309,0.0249598565644492,-0.000316010266632318,0.0258131534432278,0.0206028687151648,0.0152195158494779,0.0101621264210321,0.00528472776067706,-0.00438229347677719,0.0546809407047416,-0.00171293735497833,0.00640090098691332,0.0191105546378317,0.0238683055601876,0.0207975908949411,-3.94347229334968e-05,0.00702923459676619,0.071879267616967,-0.00337963132236036,0.00661912981974788,0.0362548591203703,0.00741301495391463,-0.000277227371345493,0.0566631578440486,0.0478084937983766,0.0446512425461733,-0.004217811855858,0.0376484056354164,-0.00835050012427323,-0.00526592351524251,0.00773799008839096,-0.00264234490177799,0.0620343860283191,0.0375790098889758,0.0201193111388361,0.024347623046742,0.0189527614338683,0.00719571673233464,0.126505815826723,-0.0039783712352699,-0.0167586181404585,0.0508965591217765,0.00303704679209596,-0.000874772585524714,-0.00482260593733241,0.00481309712115645,0.0161566537738044,0.00789014430341823,-0.00139380342606692,0.0231714544638852,-0.0126702028810675,0.0267178129696745,0.00551616734712245,0.0161350005598589,0.0509459777519015,0.00334221997468051,0.164193137686568,0.000871684710508989,0.0257294071919499,0.0413730026853645,0.0123007862089175,0.0404364159396363,0.0351588684766579,-0.00412415820221273,0.0208270355778528,0.032324063319223,35,56,62.5,0.00767321428571429,-0.257136421955517,0.0557303713772528,0.0475483635225987,4.251,"2.51-7.201",12.698,"5.309-30.366",0.365119904920877,0.266123436125666,0.334777130256733,0.532534659827082,0.495564267271047,0.922162180022118,0.949662132344876,8,1,-0.00102179320354796,0.000494757627358535,0.0437145291714641,"IgA",0.903256242727535,56,35,-0.000997762419831927,0.000518008161798797,0.0597801896218066,0.777660714954234,0.903256242727535,0.951756078559202,"Malawi","MLW","Genus"
"8","t1351","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",-0.0465295151972487,-0.0186483050728373,0.031672236383607,0.0109274254732712,-0.0143139785634053,0.057649344488855,0.0162207453768101,0.0402617438948125,0.00134451236979575,-0.0600766718296583,-0.014845204797036,0.0482630793462405,-0.0178348106628782,0.00271023610885331,-0.023250296692421,-0.0076579438949658,-0.0192822881036235,0.0263174292192643,-0.0024374771666681,0.0184138477513883,-0.0138484745896225,0.0385059169015302,-0.0294001433960682,0.0784578579139247,-0.011359818977879,0.00863883302902825,0.0454892953866211,-0.00592909279287371,-0.00967024771346315,0.0299978861318257,-0.0322504255654988,-0.0575737718407095,-0.0221056410695175,0.000536804976860897,-0.00247937581645573,-0.0651601238419101,-0.0190678039783993,-0.00774461600853072,0.017098290150145,-0.00140453351069668,-0.0129034507536366,0.0517153061307189,-0.0212675971466754,-0.0113174190331887,0.0127411808371205,-0.0247366158726982,0.00346266979149276,-0.0310828479271802,0.0394202057041497,-0.00583086095066955,0.0408101622019573,0.0212427624670608,0.00263390298260786,-0.0282930790496203,-0.0159307437130016,-0.00235392034207057,0.045090356851897,0.0117069062056594,-0.069873708865874,-0.00418771636947954,-0.0107264950326488,-0.0125644748811228,-0.0217550513316809,-0.027287679885103,0.0043883640039421,-0.0129640564096388,0.0191540941303276,-0.0205302463847717,0.0170714823768398,0.0279411587285781,-0.0241572391418992,-0.0288872922363448,-0.0792064925333384,0.226456422819097,0.0149746242370911,-0.0141299000025873,0.0808720790958157,-0.0160832489337239,-0.0441518532988691,-0.0287426341036691,-0.0493184066788489,-0.019388792367161,-0.0574177141366796,0.0134717256829294,0.038363712022901,-0.0256442389754602,0.043859473420967,0.0296073980887762,-0.00784590575949099,0.0234192805484237,0.0341471856018512,0.165101522400486,-0.0172386004183681,-0.0483087311971144,-0.0221783292029474,0.0342430268701522,0.00254446191517712,0.000804071188890975,0.0103005189014706,-0.0232254204358957,-0.00213701629524542,0.0240711518558095,52,56,92.9,0.548357142857143,-0.148365384234558,0.275151139879173,0.654447543318261,5.968,"3.763-9.464",16.174,"0.156-1675.283",0.285958301425741,0.363329605593976,0.368987263509336,0.717568293901511,0.90473979788072,0.922162180022118,0.969355234692662,38,0,-0.00361028629448937,0.00529295982222054,0.498096103928199,"IgA",0.904796754627385,56,52,-0.00250384177577464,0.00526456403933391,0.636428699424491,0.964291919774585,0.904796754627385,0.995286235293402,"Malawi","MLW","Genus"
"9","t1358","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",-0.0041486061330189,-0.0153925047303179,-0.0321306705476757,0.000501374689056723,-0.0203568972319129,-0.00161795517937815,-0.00214806253862369,-0.0228404242653394,-0.0114556416639991,-0.0316668405114537,0.00476058055767307,-0.00925904881840434,-0.0135572527606947,-0.0139506974085949,-0.00689987884919007,-0.0122397425166666,0.00271299816046728,-0.0093112729132322,-0.0254447717743334,0.000426505043527866,-0.01228911678487,-0.00717652281222682,0.008000166331447,-0.00178606126129065,-0.00910111901095637,-0.00583806672800434,-0.00373629358566428,-0.028233274552982,0.000859874278345281,0.0116456635567837,-0.0125780235265509,-0.0116176012907972,-0.0214476839693683,1.17996806382367e-05,-0.0416220681855935,-0.0177369665390374,0.00929872221512257,0.00325721120392757,-0.00534840231306141,-0.0157056734787496,-0.0236297564299089,0.0122211280473011,-0.0109414112788608,0.00331660475632173,-0.0177342084780463,-0.00762091503104339,-0.0188558798634975,0.0007742782481366,-0.00599950537028239,-0.0224757896497194,-0.0175258575519151,-0.0204378086611538,-0.025241112666867,0.00207667752507514,-0.00719445452063843,-0.0155314376204009,-0.00745331488427598,-0.0319232511533861,-0.00615822818411041,-0.011870816727656,0.00611394189270088,-0.013710175733471,-0.00655769271559566,0.000638926410861363,-0.007346039808315,-0.00987243442471363,-0.00576792925395134,-0.00714258068949777,-0.0137183319017545,-0.0132643911654992,-0.00636209681326643,-0.0259578447711506,0.000334176713127717,0.00917751229182295,-0.015158095589773,0.00462865416304691,-0.00747048511006448,-0.0161902607779482,-0.0236045861741472,-0.00952847744049716,-0.000416309364404907,-0.00160724344746156,-0.00587793615435351,0.00104546749521075,-0.00265849816947965,0.00117381409405023,0.00674774119340065,0.0012841010143787,-0.0276128183756821,-0.00539505420050107,0.00165889615503879,-0.00254682190516542,-0.00561264571966737,-0.023221026451982,-0.00394685195141011,0.00641216584114734,-0.0117363413250711,-0.00684879382942228,-0.0356459213491777,0.00241238411470402,-0.0113720301127188,0.0119128785034422,42,56,75,0.000780357142857143,0.16926551618855,0.212353455879303,0.159393682626969,7.445,"4.341-12.767",4.087,"1.439-11.608",0.698381297553907,0.458837669959976,1.82162955713237,0.717568293901511,0.658673999462148,0.941866916267357,0.969355234692662,79,0,8.24875011612393e-05,0.000136129125316733,0.547086409774698,"IgA",0.904796754627385,56,42,4.80248881166084e-05,0.000125478726215392,0.703539763166652,0.964291919774585,0.904796754627385,0.995286235293402,"Malawi","MLW","Genus"
"10","t1379","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",-0.012442306931072,-0.00544419990209969,-0.0089279567503091,-0.00526074881252888,-0.00573035882919593,-0.017554172086011,-0.00059223061595191,0.00787048343768055,0.01617433453269,-0.0157400102418447,-0.00505585943591018,0.00789759519886743,0.00362990501996356,-0.0163496687336849,-0.0151119276708336,-0.015063278968795,-0.0102777977514024,0.0118803579925709,-0.0447549758276283,0.00336375401204451,-0.0076918360723815,-0.0202261220799527,-0.013809849856741,0.0124824611555149,-0.00500796376785568,-0.0126035614573114,0.00433196738577721,-0.00921755620210959,-0.012749879921496,-0.00753614035659867,0.0088607220709305,-0.0183908519651032,0.00695189852672004,-0.00230382588880102,0.000793507046830505,-0.00840732387771001,-0.0176423208366056,-0.00351535870969916,-0.00571667538360211,0.0103821703565561,-0.00929256920357226,-0.00651159579339834,-0.00056295792425271,-0.00876854288781454,0.0037932884354335,0.00655402515771844,0.0093204618297023,0.00756316338396765,-0.0221800966480261,0.00144374379011044,-0.0021326562374484,-0.0144118495362417,0.0109389351967931,-0.000964021362359798,-0.0136557158478258,-0.00122966608818281,-0.0110812393239874,-0.00383371455550235,-0.00131813042009764,0.010039336947765,0.0176128369445608,0.0125662661879579,-0.0137463017804736,-0.00893188245174295,0.00613810964361971,-0.0107465147366668,-0.00229161901167765,-0.00126965479163062,0.0225572467330074,-0.00367239614445682,-0.00283623766322216,-0.00927275499602003,-0.0126312142136218,-0.00229114049146705,0.00446746003801738,-0.0201198326560269,0.00961102784666377,-0.00986194429398634,-0.00804771380215278,-0.0117444061508056,0.000628573236758199,-0.0161274389997079,0.00736183587792528,-0.00395730912711262,-0.011980472034316,-0.00630734239611368,-0.0169783824624481,-0.00453350662778524,-0.0216557492376038,-0.00442961078071796,-0.00222674489370922,-0.019251953699873,-0.00438104156235338,0.00300480665806032,0.0142135808750304,-0.00914832598248664,-0.0130312899919229,0.0049589950024556,-0.0121711096561871,-0.0170528926884337,-0.00285134716837384,0.00950548703899561,46,56,82.1,0.0139071428571429,0.0802075191419706,0.556781625705221,0.667218146093758,6.744,"4.035-11.271",5.066,"1.266-20.275",0.345178446210941,0.891305523433678,1.33122779313068,0.801716662545742,0.90473979788072,0.922162180022118,0.969355234692662,42,0,0.000816078164077076,0.000693630715038678,0.244543110439498,"IgA",0.903256242727535,56,46,0.000738538295571808,0.000653255564921713,0.263638410387241,0.946622891436675,0.903256242727535,0.951756078559202,"Malawi","MLW","Genus"
