"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.0378,-0.164022455460295,45,0.0295,0.183493960854393,11
"B1.F2",0.0383,0.207255950844753,45,0.0089,-0.236902664740667,11
"B1.F3",0.0611,-0.249110816809839,45,0.2726,0.481818181818182,11
"B1.F4",0.0155,-0.0906091790244373,45,0.0367,-0.348638525623348,11
"B1.F5",0.0061,-0.0978069681204918,44,0.067,0.2464849853214,12
"B2.F1",0.0119,0.154895399470972,45,0.1165,-0.504608392349582,11
"B2.F2",0.001,-0.0319849263991322,45,0.1762,0.190909090909091,11
"B2.F3",0.0232,-0.170768540321969,45,0.0308,0.192668658897113,11
"B2.F4",0.0337,0.150767121947777,45,0.0112,-0.0545454545454545,11
"B2.F5",0.0856,-0.308313487461356,44,0.0038,-0.153049141547372,12
"B3.F1",0.0014,0.0723032033819841,44,0.0072,-0.052539485125376,12
"B3.F2",0.0244,-0.176521926814083,45,0.0099,0.127562973321897,11
"B3.F3",0.0194,0.12076814664133,45,0.019,-0.229367451067992,11
"B3.F4",0.0055,-0.00748479464540016,45,0.2549,-0.669705609939962,11
"B3.F5",0.0922,-0.297885943303698,45,0.1241,0.348638525623348,11
"B4.F1",0.046,-0.171752854119669,45,0.0754,0.441914586150859,11
"B4.F2",0.0243,-0.135186249580985,45,0.0017,-0.137620470640795,11
"B4.F3",0.0076,0.103969072574026,45,1e-04,-0.146795168683515,11
"B4.F4",0.043,-0.150146627635904,44,0.0905,0.0979020979020979,12
"B4.F5",0.0215,0.135186249580985,45,0.0575,0.165144564768954,11
"B5.F1",0.0461,-0.187674127008919,45,0.002,0.283797684171534,11
"B5.F2",0.0265,-0.225113110207845,44,0.0073,0.027972027972028,12
"B5.F3",0.0346,-0.151947955013699,45,0.0498,-0.382688919965692,11
"B5.F4",0.0653,0.275002165243511,45,0.0475,0.119271074555356,11
"B5.F5",0.0049,0.0452384514253395,45,0.0019,0.055048188256318,11
"B6.F1",0.0423,-0.238122449116934,45,0.1211,0.236902664740667,11
"B6.F2",0.0019,-0.017063626414821,45,0.0365,0,11
"B6.F3",0.0676,-0.237510987707938,44,0.0579,0.2112728445612,12
"B6.F4",0.0967,-0.304160858510421,45,7e-04,0.168565357603936,11
"B6.F5",0.0133,0.101210320514792,45,0.0192,-0.145786255225026,11
"B7.F1",0.0103,-0.0471147256086803,45,0.0323,-0.118181818181818,11
"B7.F2",0.0132,-0.174102725992967,45,0.124,0.46719666873034,11
"B7.F3",0.0016,0.161076646107989,45,0.0169,0.0727272727272727,11
"B7.F4",0.0127,-0.111535690787258,44,0.1751,-0.508977377704051,12
"B7.F5",2e-04,0.0215933013663757,45,0.048,0.15489789617659,11
"B8.F1",0.1242,-0.34524081350917,45,0.1421,0.256891545196151,11
"B8.F2",0.0122,0.160847827290096,45,0.0043,-0.211018054982552,11
"B8.F3",0.0531,0.260113173207845,45,0.1218,-0.369021458538346,11
"B8.F4",0.0151,-0.248852862679366,45,0.0029,0.150342075700808,11
"B8.F5",0.014,-0.063584287680039,44,0.0165,0.0490368527836842,12
"B9.F1",0.01,0.194405949418137,45,0.001,0.141230434749244,11
"B9.F2",0.1437,0.330192046967432,45,0.1383,-0.309795792353179,11
"B9.F3",0.2389,-0.447287464059137,44,0.0595,0.143607926009361,12
"B9.F4",0.0086,-0.0153007748945791,45,0.0249,0.00455582047578205,11
"B9.F5",0.123,-0.368345981063617,45,0.0884,0.325669473639465,11
"B10.F1",0.0178,-0.0872829453241043,44,0.0873,0.0909090909090909,12
"B10.F2",0.0286,-0.168652121541836,45,2e-04,0.0917469804271967,11
"B10.F3",0.0238,-0.141535505921384,45,0.0094,0.0458734902135984,11
"B10.F4",0.0092,-0.0980730291226494,45,0.0055,0.123950136601927,11
"B10.F5",0.0919,0.24300581011125,45,0.1112,-0.181818181818182,11
"B11.F1",0,0.030056926360105,45,0.0331,-0.07909115788387,11
"B11.F2",0.0034,0.0295960107344668,45,0.0262,0.290909090909091,11
"B11.F3",0.0677,-0.190398435572558,44,0.0155,-0.280210587335338,12
"B11.F4",0.0794,0.296079929778219,45,0.0813,-0.15489789617659,11
"B11.F5",0.0775,-0.24471092145286,45,0.0978,0.422036109965105,11
"B12.F1",0.0282,0.178903239776059,45,0.0901,-0.427272727272727,11
"B12.F2",0.032,0.220239829307574,45,0.079,-0.431210808007825,11
"B12.F3",0.1672,-0.375856064574035,45,0.446,0.745454545454545,11
"B12.F4",0.2018,-0.429000150649506,44,0.2087,0.474006005034939,12
"B12.F5",0.0286,-0.0954239090496933,45,0.0645,0.0363636363636364,11
"B13.F1",3e-04,0.0022460120796562,45,0.0373,-0.0604814736759006,11
"B13.F2",0.017,0.111463442971507,45,0.0456,-0.427272727272727,11
"B13.F3",0.2949,-0.486842837554789,45,0.2069,0.441914586150859,11
"B13.F4",0.0105,0.132346212120107,45,0.0281,-0.3,11
"B13.F5",4e-04,-0.0128417808253635,44,0.0017,-0.130631576190731,12
"B14.F1",0.0163,-0.112211736229099,44,0.0825,-0.280210587335338,12
"B14.F2",0.116,-0.298481740546259,45,0.0069,0.0909090909090909,11
"B14.F3",0.0298,0.119028105998089,45,0.0487,0.0136674614273462,11
"B14.F4",0.0017,-0.0164569745788066,45,0.0243,-0.0181818181818182,11
"B14.F5",0.0025,-0.0471558434442631,45,0.0905,-0.401502093648254,11
"B15.F1",0,-0.00039815261077758,45,0.0416,-0.127272727272727,11
"B15.F2",0.066,-0.199869298548795,45,0.0492,-0.155969866726234,11
"B15.F3",0.078,-0.266218490618073,45,0.2433,0.525723578875136,11
"B15.F4",0.0575,0.140753881605977,45,0.103,-0.323463253780526,11
"B15.F5",0.0036,-0.0283541974046997,44,0.0047,0.0140105293667669,12
"B16.F1",0.0483,0.253092038407735,45,0,0.0091116409515641,11
"B16.F2",0.0334,-0.227345140753998,45,0.0034,-0.0454545454545455,11
"B16.F3",0.0012,0.142461439137692,45,0.0748,-0.477084298221423,11
"B16.F4",0.0712,-0.234995516495779,44,0.085,0.0797625162193241,12
"B16.F5",0.0268,-0.143865810027632,45,0.0667,0.163636363636364,11
"B17.F1",0.1826,-0.435263929201609,45,0.3107,0.772301894630731,11
"B17.F2",0.0653,-0.194074763814358,45,0.2848,0.428247124723513,11
"B17.F3",0.0107,-0.122406199156633,45,0.0524,0.37813309948991,11
"B17.F4",0.077,0.248455439954832,45,0.0474,-0.318907433304744,11
"B17.F5",0.0209,-0.103492820527154,44,0.0014,0.0455342204419925,12
"B18.F1",0.0042,-0.030932735392937,45,0.0252,0.318907433304744,11
"B18.F2",0.0041,-0.0272124467383361,44,2e-04,0.0747449295929027,12
"B18.F3",0.0069,0.119028105998089,45,0.1482,-0.48747279090868,11
"B18.F4",0.0977,-0.29378538191719,45,0.2167,0.146795168683515,11
"B18.F5",0.0543,0.153288755149368,45,0.096,-0.390909090909091,11
"B19.F1",0.0036,-0.118829394635822,45,0.0417,-0.214123562361756,11
"B19.F2",0.0382,0.21436203524954,45,0.0661,-0.102353263143832,11
"B19.F3",0.0194,-0.0962425364581101,45,0.2366,0.259681767119577,11
"B19.F4",0.0568,-0.214353132547379,44,0.1178,0.293706293706294,12
"B19.F5",8e-04,0.11375750943214,45,0.0674,-0.082572282384477,11
"B20.F1",0.0154,0.104714136634503,45,0.0196,0.0272727272727273,11
"B20.F2",0.0301,0.206508487456638,45,0.0426,-0.0818181818181818,11
"B20.F3",0.0077,-0.051238961591343,44,1e-04,0.330994123145879,12
"B20.F4",0.0073,-0.104703798419267,45,0.1375,0.15818231576774,11
"B20.F5",0.0343,-0.215345610878517,45,0.1275,0.348638525623348,11
