"","FP","TP","TN","FN","accuracy"
"B1.F1",4,7,6,3,0.65
"B1.F2",6,8,4,2,0.6
"B1.F3",6,3,4,7,0.35
"B1.F4",6,3,4,7,0.35
"B1.F5",4,5,6,5,0.55
"B1.F11",4,3,6,7,0.45
"B1.F21",7,6,3,4,0.45
"B1.F31",4,3,6,7,0.45
"B1.F41",3,3,7,7,0.5
"B1.F51",4,6,6,4,0.6
"B1.F12",5,4,5,6,0.45
"B1.F22",3,3,7,7,0.5
"B1.F32",6,5,4,5,0.45
"B1.F42",4,2,6,8,0.4
"B1.F52",5,4,5,6,0.45
"B1.F13",5,4,5,6,0.45
"B1.F23",5,2,5,8,0.35
"B1.F33",6,4,4,6,0.4
"B1.F43",5,2,5,8,0.35
"B1.F53",7,7,3,3,0.5
"B1.F14",7,6,3,4,0.45
"B1.F24",3,6,7,4,0.65
"B1.F34",7,4,3,6,0.35
"B1.F44",3,6,7,4,0.65
"B1.F54",5,6,5,4,0.55
"B1.F15",6,10,4,0,0.7
"B1.F25",6,6,4,4,0.5
"B1.F35",4,6,6,4,0.6
"B1.F45",3,4,7,6,0.55
"B1.F55",4,6,6,4,0.6
"B1.F16",6,7,4,3,0.55
"B1.F26",7,5,3,5,0.4
"B1.F36",3,4,7,6,0.55
"B1.F46",3,6,7,4,0.65
"B1.F56",5,6,5,4,0.55
"B1.F17",7,6,3,4,0.45
"B1.F27",3,5,7,5,0.6
"B1.F37",3,3,7,7,0.5
"B1.F47",5,3,5,7,0.4
"B1.F57",6,6,4,4,0.5
"B1.F18",3,8,7,2,0.75
"B1.F28",8,6,2,4,0.4
"B1.F38",1,5,9,5,0.7
"B1.F48",5,3,5,7,0.4
"B1.F58",5,4,5,6,0.45
"B1.F19",6,4,4,6,0.4
"B1.F29",10,8,0,2,0.4
"B1.F39",5,4,5,6,0.45
"B1.F49",4,4,6,6,0.5
"B1.F59",4,3,6,7,0.45
"B1.F110",3,6,7,4,0.65
"B1.F210",4,7,6,3,0.65
"B1.F310",3,6,7,4,0.65
"B1.F410",5,6,5,4,0.55
"B1.F510",4,6,6,4,0.6
"B1.F111",6,5,4,5,0.45
"B1.F211",2,3,8,7,0.55
"B1.F311",4,6,6,4,0.6
"B1.F411",4,7,6,3,0.65
"B1.F511",4,5,6,5,0.55
"B1.F112",3,5,7,5,0.6
"B1.F212",5,6,5,4,0.55
"B1.F312",5,5,5,5,0.5
"B1.F412",7,5,3,5,0.4
"B1.F512",4,4,6,6,0.5
"B1.F113",3,4,7,6,0.55
"B1.F213",5,8,5,2,0.65
"B1.F313",3,4,7,6,0.55
"B1.F413",8,3,2,7,0.25
"B1.F513",4,4,6,6,0.5
"B1.F114",5,5,5,5,0.5
"B1.F214",6,3,4,7,0.35
"B1.F314",7,3,3,7,0.3
"B1.F414",4,4,6,6,0.5
"B1.F514",3,6,7,4,0.65
"B1.F115",2,4,8,6,0.6
"B1.F215",3,6,7,4,0.65
"B1.F315",5,6,5,4,0.55
"B1.F415",6,7,4,3,0.55
"B1.F515",5,8,5,2,0.65
"B1.F116",5,4,5,6,0.45
"B1.F216",2,4,8,6,0.6
"B1.F316",7,5,3,5,0.4
"B1.F416",8,3,2,7,0.25
"B1.F516",4,5,6,5,0.55
"B1.F117",7,7,3,3,0.5
"B1.F217",6,7,4,3,0.55
"B1.F317",4,7,6,3,0.65
"B1.F417",7,6,3,4,0.45
"B1.F517",8,6,2,4,0.4
"B1.F118",3,6,7,4,0.65
"B1.F218",8,5,2,5,0.35
"B1.F318",2,4,8,6,0.6
"B1.F418",1,7,9,3,0.8
"B1.F518",6,6,4,4,0.5
"B1.F119",3,6,7,4,0.65
"B1.F219",2,3,8,7,0.55
"B1.F319",5,5,5,5,0.5
"B1.F419",6,6,4,4,0.5
"B1.F519",6,5,4,5,0.45
