"","FP","TP","TN","FN","accuracy"
"B1.F1",2,6,5,1,0.785714285714286
"B1.F2",2,0,4,6,0.333333333333333
"B1.F3",2,6,4,1,0.769230769230769
"B1.F4",3,4,4,3,0.571428571428571
"B1.F5",3,4,4,2,0.615384615384615
"B1.F11",3,5,3,2,0.615384615384615
"B1.F21",2,3,5,4,0.571428571428571
"B1.F31",4,5,3,2,0.571428571428571
"B1.F41",1,2,5,4,0.583333333333333
"B1.F51",3,3,4,3,0.538461538461538
"B1.F12",3,7,4,0,0.785714285714286
"B1.F22",1,4,5,3,0.692307692307692
"B1.F32",3,5,3,2,0.615384615384615
"B1.F42",2,2,5,4,0.538461538461538
"B1.F52",1,4,6,2,0.769230769230769
"B1.F13",4,4,2,3,0.461538461538462
"B1.F23",2,5,4,2,0.692307692307692
"B1.F33",2,2,5,5,0.5
"B1.F43",2,4,5,2,0.692307692307692
"B1.F53",3,5,4,1,0.692307692307692
"B1.F14",3,4,4,3,0.571428571428571
"B1.F24",1,4,5,3,0.692307692307692
"B1.F34",3,3,3,3,0.5
"B1.F44",1,3,6,4,0.642857142857143
"B1.F54",5,4,2,2,0.461538461538462
"B1.F15",3,4,3,3,0.538461538461538
"B1.F25",4,5,3,2,0.571428571428571
"B1.F35",4,4,2,3,0.461538461538462
"B1.F45",0,2,7,4,0.692307692307692
"B1.F55",4,5,3,1,0.615384615384615
"B1.F16",3,3,3,3,0.5
"B1.F26",3,3,4,3,0.538461538461538
"B1.F36",3,2,3,5,0.384615384615385
"B1.F46",1,2,6,5,0.571428571428571
"B1.F56",3,5,4,2,0.642857142857143
"B1.F17",2,2,5,4,0.538461538461538
"B1.F27",1,4,5,3,0.692307692307692
"B1.F37",3,4,4,2,0.615384615384615
"B1.F47",1,3,6,4,0.642857142857143
"B1.F57",3,3,3,4,0.461538461538462
"B1.F18",4,5,3,1,0.615384615384615
"B1.F28",4,2,3,5,0.357142857142857
"B1.F38",2,3,4,4,0.538461538461538
"B1.F48",3,5,3,2,0.615384615384615
"B1.F58",1,3,6,3,0.692307692307692
"B1.F19",2,2,5,5,0.5
"B1.F29",4,6,3,0,0.692307692307692
"B1.F39",3,5,4,2,0.642857142857143
"B1.F49",4,6,2,1,0.615384615384615
"B1.F59",0,0,6,6,0.5
"B1.F110",2,3,5,3,0.615384615384615
"B1.F210",3,3,3,4,0.461538461538462
"B1.F310",3,3,3,4,0.461538461538462
"B1.F410",4,4,3,3,0.5
"B1.F510",3,3,4,3,0.538461538461538
"B1.F111",3,4,3,3,0.538461538461538
"B1.F211",3,5,4,2,0.642857142857143
"B1.F311",5,3,2,3,0.384615384615385
"B1.F411",2,2,4,5,0.461538461538462
"B1.F511",2,4,5,2,0.692307692307692
"B1.F112",3,6,4,1,0.714285714285714
"B1.F212",2,3,5,4,0.571428571428571
"B1.F312",1,4,5,3,0.692307692307692
"B1.F412",5,2,2,4,0.307692307692308
"B1.F512",2,5,4,1,0.75
"B1.F113",2,3,4,3,0.583333333333333
"B1.F213",3,3,4,4,0.5
"B1.F313",3,4,4,3,0.571428571428571
"B1.F413",1,2,5,4,0.583333333333333
"B1.F513",6,5,1,2,0.428571428571429
"B1.F114",5,4,2,3,0.428571428571429
"B1.F214",2,4,4,2,0.666666666666667
"B1.F314",2,2,5,5,0.5
"B1.F414",2,4,4,3,0.615384615384615
"B1.F514",2,3,5,3,0.615384615384615
"B1.F115",3,2,3,4,0.416666666666667
"B1.F215",3,2,3,5,0.384615384615385
"B1.F315",3,1,4,6,0.357142857142857
"B1.F415",2,3,5,4,0.571428571428571
"B1.F515",4,5,3,1,0.615384615384615
"B1.F116",1,4,5,3,0.692307692307692
"B1.F216",3,3,3,3,0.5
"B1.F316",4,4,3,3,0.5
"B1.F416",1,4,6,3,0.714285714285714
"B1.F516",2,4,5,2,0.692307692307692
"B1.F117",4,6,3,1,0.642857142857143
"B1.F217",1,4,5,3,0.692307692307692
"B1.F317",3,3,4,3,0.538461538461538
"B1.F417",4,5,3,1,0.615384615384615
"B1.F517",0,4,6,3,0.769230769230769
"B1.F118",3,3,4,4,0.5
"B1.F218",4,5,2,1,0.583333333333333
"B1.F318",1,5,6,2,0.785714285714286
"B1.F418",4,5,3,2,0.571428571428571
"B1.F518",2,2,4,4,0.5
"B1.F119",1,5,5,2,0.769230769230769
"B1.F219",4,4,3,3,0.5
"B1.F319",0,2,6,4,0.666666666666667
"B1.F419",3,6,4,1,0.714285714285714
"B1.F519",3,3,4,3,0.538461538461538
