"","FP","TP","TN","FN","accuracy"
"B1.F1",4,6,6,4,0.6
"B1.F2",4,2,6,8,0.4
"B1.F3",7,5,3,5,0.4
"B1.F4",5,6,5,4,0.55
"B1.F5",4,5,6,5,0.55
"B1.F11",5,6,5,4,0.55
"B1.F21",5,6,5,4,0.55
"B1.F31",7,4,3,6,0.35
"B1.F41",5,5,5,5,0.5
"B1.F51",6,3,4,7,0.35
"B1.F12",6,7,4,3,0.55
"B1.F22",2,6,8,4,0.7
"B1.F32",6,3,4,7,0.35
"B1.F42",7,5,3,5,0.4
"B1.F52",6,3,4,7,0.35
"B1.F13",4,6,6,4,0.6
"B1.F23",6,8,4,2,0.6
"B1.F33",5,1,5,9,0.3
"B1.F43",3,3,7,7,0.5
"B1.F53",5,6,5,4,0.55
"B1.F14",4,3,6,7,0.45
"B1.F24",5,7,5,3,0.6
"B1.F34",2,5,8,5,0.65
"B1.F44",6,5,4,5,0.45
"B1.F54",4,3,6,7,0.45
"B1.F15",2,4,8,6,0.6
"B1.F25",6,6,4,4,0.5
"B1.F35",10,8,0,2,0.4
"B1.F45",2,3,8,7,0.55
"B1.F55",6,5,4,5,0.45
"B1.F16",8,2,2,8,0.2
"B1.F26",5,6,5,4,0.55
"B1.F36",6,6,4,4,0.5
"B1.F46",2,2,8,8,0.5
"B1.F56",5,3,5,7,0.4
"B1.F17",3,5,7,5,0.6
"B1.F27",4,8,6,2,0.7
"B1.F37",6,6,4,4,0.5
"B1.F47",7,7,3,3,0.5
"B1.F57",3,3,7,7,0.5
"B1.F18",3,6,7,4,0.65
"B1.F28",4,6,6,4,0.6
"B1.F38",3,5,7,5,0.6
"B1.F48",7,7,3,3,0.5
"B1.F58",4,5,6,5,0.55
"B1.F19",4,4,6,6,0.5
"B1.F29",6,5,4,5,0.45
"B1.F39",3,7,7,3,0.7
"B1.F49",3,4,7,6,0.55
"B1.F59",8,8,2,2,0.5
"B1.F110",3,7,7,3,0.7
"B1.F210",4,8,6,2,0.7
"B1.F310",6,6,4,4,0.5
"B1.F410",4,6,6,4,0.6
"B1.F510",6,6,4,4,0.5
"B1.F111",5,7,5,3,0.6
"B1.F211",3,3,7,7,0.5
"B1.F311",1,5,9,5,0.7
"B1.F411",8,8,2,2,0.5
"B1.F511",4,4,6,6,0.5
"B1.F112",4,0,6,10,0.3
"B1.F212",3,6,7,4,0.65
"B1.F312",6,5,4,5,0.45
"B1.F412",4,8,6,2,0.7
"B1.F512",6,6,4,4,0.5
"B1.F113",3,7,7,3,0.7
"B1.F213",2,5,8,5,0.65
"B1.F313",7,8,3,2,0.55
"B1.F413",3,6,7,4,0.65
"B1.F513",4,6,6,4,0.6
"B1.F114",6,4,4,6,0.4
"B1.F214",3,3,7,7,0.5
"B1.F314",1,6,9,4,0.75
"B1.F414",5,4,5,6,0.45
"B1.F514",6,8,4,2,0.6
"B1.F115",7,5,3,5,0.4
"B1.F215",7,4,3,6,0.35
"B1.F315",3,7,7,3,0.7
"B1.F415",3,3,7,7,0.5
"B1.F515",5,6,5,4,0.55
"B1.F116",5,4,5,6,0.45
"B1.F216",7,5,3,5,0.4
"B1.F316",7,7,3,3,0.5
"B1.F416",6,4,4,6,0.4
"B1.F516",4,3,6,7,0.45
"B1.F117",5,7,5,3,0.6
"B1.F217",5,5,5,5,0.5
"B1.F317",6,4,4,6,0.4
"B1.F417",3,5,7,5,0.6
"B1.F517",4,5,6,5,0.55
"B1.F118",4,6,6,4,0.6
"B1.F218",6,5,4,5,0.45
"B1.F318",3,4,7,6,0.55
"B1.F418",8,6,2,4,0.4
"B1.F518",5,2,5,8,0.35
"B1.F119",4,7,6,3,0.65
"B1.F219",5,5,5,5,0.5
"B1.F319",3,6,7,4,0.65
"B1.F419",5,7,5,3,0.6
"B1.F519",3,6,7,4,0.65
