"","FP","TP","TN","FN","accuracy"
"B1.F1",1,0,1,2,0.25
"B1.F2",2,1,0,1,0.25
"B1.F3",2,1,0,1,0.25
"B1.F4",1,0,1,2,0.25
"B1.F5",1,0,1,2,0.25
"B1.F11",2,0,0,2,0
"B1.F21",1,1,1,1,0.5
"B1.F31",1,1,1,1,0.5
"B1.F41",2,1,0,1,0.25
"B1.F51",1,1,1,1,0.5
"B1.F12",1,1,1,1,0.5
"B1.F22",1,0,1,2,0.25
"B1.F32",1,1,1,1,0.5
"B1.F42",0,1,2,1,0.75
"B1.F52",1,1,1,1,0.5
"B1.F13",0,1,2,1,0.75
"B1.F23",1,2,1,0,0.75
"B1.F33",0,2,2,0,1
"B1.F43",1,2,1,0,0.75
"B1.F53",0,0,2,2,0.5
"B1.F14",1,1,1,1,0.5
"B1.F24",0,1,2,1,0.75
"B1.F34",1,1,1,1,0.5
"B1.F44",1,2,1,0,0.75
"B1.F54",0,0,2,2,0.5
"B1.F15",1,0,1,2,0.25
"B1.F25",1,1,1,1,0.5
"B1.F35",0,1,2,1,0.75
"B1.F45",2,2,0,0,0.5
"B1.F55",2,2,0,0,0.5
"B1.F16",0,1,2,1,0.75
"B1.F26",1,2,1,0,0.75
"B1.F36",1,1,1,1,0.5
"B1.F46",0,2,2,0,1
"B1.F56",1,1,1,1,0.5
"B1.F17",0,0,2,2,0.5
"B1.F27",1,1,1,1,0.5
"B1.F37",1,2,1,0,0.75
"B1.F47",1,2,1,0,0.75
"B1.F57",1,2,1,0,0.75
"B1.F18",1,1,1,1,0.5
"B1.F28",2,0,0,2,0
"B1.F38",0,1,2,1,0.75
"B1.F48",1,2,1,0,0.75
"B1.F58",1,2,1,0,0.75
"B1.F19",1,0,1,2,0.25
"B1.F29",1,2,1,0,0.75
"B1.F39",1,0,1,2,0.25
"B1.F49",2,1,0,1,0.25
"B1.F59",1,1,1,1,0.5
"B1.F110",1,2,1,0,0.75
"B1.F210",1,1,1,1,0.5
"B1.F310",0,1,2,1,0.75
"B1.F410",1,1,1,1,0.5
"B1.F510",2,2,0,0,0.5
"B1.F111",1,2,1,0,0.75
"B1.F211",1,2,1,0,0.75
"B1.F311",2,1,0,1,0.25
"B1.F411",1,0,1,2,0.25
"B1.F511",1,1,1,1,0.5
"B1.F112",2,1,0,1,0.25
"B1.F212",0,0,2,2,0.5
"B1.F312",1,1,1,1,0.5
"B1.F412",1,2,1,0,0.75
"B1.F512",0,0,2,2,0.5
"B1.F113",0,1,2,1,0.75
"B1.F213",1,1,1,1,0.5
"B1.F313",1,1,1,1,0.5
"B1.F413",1,0,1,2,0.25
"B1.F513",0,0,2,2,0.5
"B1.F114",1,1,1,1,0.5
"B1.F214",1,1,1,1,0.5
"B1.F314",1,0,1,2,0.25
"B1.F414",1,2,1,0,0.75
"B1.F514",2,2,0,0,0.5
"B1.F115",2,1,0,1,0.25
"B1.F215",1,1,1,1,0.5
"B1.F315",0,0,2,2,0.5
"B1.F415",1,1,1,1,0.5
"B1.F515",1,0,1,2,0.25
"B1.F116",1,0,1,2,0.25
"B1.F216",1,1,1,1,0.5
"B1.F316",2,0,0,2,0
"B1.F416",1,1,1,1,0.5
"B1.F516",0,1,2,1,0.75
"B1.F117",0,0,2,2,0.5
"B1.F217",0,0,2,2,0.5
"B1.F317",1,1,1,1,0.5
"B1.F417",2,1,0,1,0.25
"B1.F517",2,2,0,0,0.5
"B1.F118",1,1,1,1,0.5
"B1.F218",0,0,2,2,0.5
"B1.F318",1,2,1,0,0.75
"B1.F418",1,1,1,1,0.5
"B1.F518",1,2,1,0,0.75
"B1.F119",1,1,1,1,0.5
"B1.F219",1,1,1,1,0.5
"B1.F319",2,1,0,1,0.25
"B1.F419",0,0,2,2,0.5
"B1.F519",1,1,1,1,0.5
