"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"38","t216816","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,"Bifidobacterium",55.32653,31.328435,100,59.802008,30.002368,100,33.489283,28.572268,100
"67","t562","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",NA,"Escherichia",15.776174,19.494482,98.8,13.990736,18.065612,98.6,24.487879,23.646723,100
"6","t1316412","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus",5.125213,6.978362,100,4.979619,6.441881,100,5.835609,9.195255,100
"68","t573","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA,"Klebsiella",5.10777,13.178329,97.4,5.747385,14.124714,97.5,1.986893,6.077594,96.6
"78","t817","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"Bacteroides",4.507367,13.356447,70.1,3.165989,11.042356,64.7,11.052369,20.207326,96.6
"51","t29466","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",NA,"Veillonella",1.850825,4.11341,95.3,1.673929,3.627596,94.7,2.713957,5.908389,98.3
"80","t823","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA,"Parabacteroides",1.598448,7.509091,50.4,1.319721,7.621445,42.4,2.958445,6.833557,89.7
"20","t1596","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"Lactobacillus",1.569068,5.890156,75.4,1.192044,3.712491,75.6,3.408684,11.602131,74.1
"79","t821","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Phocaeicola",NA,"Phocaeicola",1.263077,4.837228,58.7,0.618818,2.81204,51.2,4.406617,9.398615,94.8
"8","t1351","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus",1.120251,5.423836,93.8,1.240762,5.860913,94,0.532241,2.260143,93.1
"54","t33038","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter",NA,"Mediterraneibacter",0.890557,3.757677,65.7,0.907151,3.930287,63.6,0.809593,2.791874,75.9
"24","t165179","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,"Prevotella",0.624517,4.72377,75.4,0.260776,1.938466,71.4,2.399319,10.518959,94.8
"66","t550","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA,"Enterobacter",0.552511,2.644784,89.1,0.653425,2.892549,89,0.060117,0.180998,89.7
"77","t74426","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",NA,"Collinsella",0.4375,1.357844,74.8,0.421581,1.335756,71.4,0.515174,1.470729,91.4
"14","t1492","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA,"Clostridium",0.398667,2.504605,81.8,0.359998,2.413052,78.8,0.587343,2.926924,96.6
"4","t1290","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus",0.366932,1.015767,100,0.336671,0.958675,100,0.514581,1.257317,100
"21","t1613","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA,"Limosilactobacillus",0.348137,1.151389,75.4,0.364804,1.208503,76,0.266814,0.820988,72.4
"39","t239935","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"Akkermansia",0.341486,2.961713,37.5,0.275887,2.486416,33.2,0.661564,4.648777,58.6
"23","t1624","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA,"Ligilactobacillus",0.271076,1.406729,77.7,0.274272,1.389833,79.2,0.255481,1.499027,70.7
"84","t853","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium",NA,"Faecalibacterium",0.169702,2.090767,89.7,0.202582,2.294305,88.3,0.009271,0.027815,96.6
"34","t208479","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster",NA,"Enterocloster",0.146599,1.8185,53.7,0.169095,1.994986,53,0.036833,0.14309,56.9
"61","t43675","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia",NA,"Rothia",0.128444,0.293587,94.1,0.105414,0.229595,93.6,0.240812,0.487707,96.6
"50","t292800","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor",NA,"Flavonifractor",0.116836,0.774251,55.7,0.118429,0.79176,52.3,0.109064,0.688658,72.4
"72","t624","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella",NA,"Shigella",0.105545,0.221941,79.2,0.102599,0.225081,78.4,0.119919,0.20718,82.8
"31","t197","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA,"Campylobacter",0.101628,1.043611,19.1,0.071573,0.765463,18.4,0.248274,1.889797,22.4
"59","t40545","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella",NA,"Sutterella",0.100471,0.481269,30.5,0.04803,0.257834,24.4,0.356347,0.986116,60.3
"33","t202956","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Acinetobacter",0.096414,0.722628,65.4,0.013417,0.053521,60.4,0.501381,1.702815,89.7
"76","t729","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA,"Haemophilus",0.093382,1.093238,72.7,0.081609,1.105829,73.1,0.150826,1.036874,70.7
"30","t187327","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus",NA,"Acidaminococcus",0.091536,0.377096,45.5,0.106053,0.408751,46.3,0.020702,0.124388,41.4
"62","t437897","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas",NA,"Megamonas",0.087777,0.881392,48.1,0.085503,0.946917,48.1,0.098872,0.444562,48.3
"16","t1547","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA,"Erysipelatoclostridium",0.087643,0.564648,61.3,0.101658,0.617408,59.4,0.019264,0.100704,70.7
"86","t907","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera",NA,"Megasphaera",0.082705,0.5096,54.3,0.095824,0.55714,53.7,0.018691,0.091256,56.9
"52","t328813","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"Alistipes",0.075552,0.887276,33.4,0.077005,0.9682,26.9,0.068467,0.241124,65.5
"17","t1550024","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium",NA,"Ruthenibacterium",0.07312,0.804353,32.3,0.08571,0.882108,30.4,0.011686,0.07041,41.4
"65","t545","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA,"Citrobacter",0.069825,0.475759,86.8,0.076822,0.519142,85.5,0.035683,0.123893,93.1
"53","t33010","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA,"Cutibacterium",0.068368,0.631888,42.5,0.078599,0.692857,42.4,0.018445,0.060303,43.1
"63","t47715","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus",NA,"Lacticaseibacillus",0.063791,0.327291,59.8,0.060782,0.330594,60.8,0.078472,0.313023,55.2
"70","t584","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus",NA,"Proteus",0.051194,0.394341,24.6,0.06165,0.432253,24.4,0.000178,0.000559,25.9
"32","t2003188","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parolsenella",NA,"Parolsenella",0.049976,0.235032,52.5,0.040468,0.214362,47.3,0.096371,0.315478,77.6
"49","t28901","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella",NA,"Salmonella",0.047693,0.135502,90,0.044025,0.129098,89,0.065591,0.163318,94.8
"83","t84112","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella",NA,"Eggerthella",0.047576,0.279985,52.5,0.055307,0.306739,49.5,0.009852,0.019024,67.2
"40","t2479767","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia",NA,"Blautia",0.040845,0.188709,82.4,0.045941,0.20596,80.9,0.015978,0.042355,89.7
"37","t2109685","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",NA,"Olsenella",0.039516,0.367343,40.2,0.02096,0.209446,34.3,0.130059,0.760151,69
"15","t1496","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides",NA,"Clostridioides",0.036857,0.149571,73.6,0.042828,0.163403,70,0.007722,0.017523,91.4
"69","t582","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"Morganella",0.036019,0.474193,35.5,0.010541,0.075087,35.3,0.160333,1.137727,36.2
"9","t1358","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,"Lactococcus",0.035532,0.575749,49.3,0.042651,0.631953,44.2,0.000798,0.000997,74.1
"29","t1834196","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium",NA,"Lachnoclostridium",0.031974,0.393436,39.9,0.036788,0.431544,34.6,0.008484,0.035937,65.5
"19","t1590","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus",NA,"Lactiplantibacillus",0.029647,0.102269,56.6,0.03293,0.110806,58.3,0.013624,0.036453,48.3
"73","t649756","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes",NA,"Anaerostipes",0.029542,0.347631,67.2,0.033282,0.381272,66.4,0.011293,0.035272,70.7
"1","t111015","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces",NA,"Actinomyces",0.02584,0.256049,43.4,0.029615,0.280744,42,0.007424,0.02666,50
"44","t28118","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",NA,"Odoribacter",0.023388,0.283717,32.6,0.021232,0.309328,26.1,0.033909,0.081435,63.8
"28","t1736","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium",NA,"Eubacterium",0.023071,0.182093,55.7,0.018362,0.138505,54.4,0.046048,0.31973,62.1
"41","t2582419","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister",NA,"Dialister",0.021461,0.232373,44.6,0.022904,0.252718,43.5,0.014422,0.07784,50
"60","t410072","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus",NA,"Coprococcus",0.016898,0.082022,56.3,0.015141,0.068682,52.3,0.025467,0.129237,75.9
"26","t166486","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia",NA,"Roseburia",0.016107,0.093634,59.8,0.017743,0.10185,56.2,0.008126,0.029945,77.6
"74","t69966","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus",NA,"Macrococcus",0.015643,0.256928,19.4,0.01882,0.28201,19.1,0.00014,0.000436,20.7
"25","t1660","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia",NA,"Schaalia",0.013891,0.055451,73.9,0.011612,0.05161,72.8,0.025014,0.070794,79.3
"7","t1335613","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter",NA,"Gordonibacter",0.011264,0.048657,44.9,0.011969,0.053062,41,0.007828,0.013316,63.8
"10","t1379","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella",NA,"Gemella",0.00939,0.025294,88.6,0.008543,0.02368,89.8,0.013524,0.031953,82.8
"11","t1382","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella",NA,"Lancefieldella",0.008431,0.032505,37,0.006266,0.022343,33.2,0.018997,0.060793,55.2
"57","t39488","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum",NA,"Anaerobutyricum",0.008159,0.057863,42.8,0.008645,0.062369,41,0.00579,0.026832,51.7
