feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t1270	country	Malawi	0.00583889906434249	0.000422724907476055	341	122	9.77001609375252e-35	8.40221384062717e-33
t202956	country	Malawi	0.0281575376656758	0.00400756597007036	341	223	1.17096596332181e-11	5.03515364228378e-10
t821	country	Malawi	0.099620358585948	0.0146785595992386	341	200	5.13307064059015e-11	1.10361018772688e-09
t34062	country	Malawi	0.00671328138938532	0.00098606203242992	341	153	4.50489048292414e-11	1.10361018772688e-09
t2093856	country	Malawi	0.00735355882288888	0.00114959522925455	341	99	5.27247868530807e-10	9.06866333872987e-09
t216816	country	Malawi	-0.312234535096626	0.052137834044247	341	341	5.39660776320038e-09	7.73513779392055e-08
t71999	country	Malawi	0.00216550154983944	0.000395793795228776	341	125	8.69691535609461e-08	1.0684781723202e-06
t40545	country	Malawi	0.0218714943386312	0.00422306943201899	341	104	3.8333080118621e-07	4.12080611275176e-06
t817	country	Malawi	0.149609267522124	0.0297024348993041	341	239	7.70445105057511e-07	7.36203100388288e-06
t165179	country	Malawi	0.0486722032408597	0.0117702331996037	341	257	4.47600076178295e-05	0.000384936065513334
t28118	country	Malawi	0.00789633467266674	0.00210419339302984	341	111	0.000205776484987744	0.00160879797354054
t901	country	Malawi	0.00333974505984871	0.000914131871223165	341	26	0.000299668267172409	0.00214762258140226
t562	country	Malawi	0.140550894639979	0.039284083119874	341	337	0.000396952407947001	0.00262599285257247
t2823317	country	Malawi	0.00370746002877211	0.00104824849590976	341	134	0.000461350778975604	0.002834011927993
t823	country	Malawi	0.0632256237628626	0.0186556265428587	341	172	0.000783869522263852	0.00449418526097942
t287	country	Malawi	0.00260296232375028	0.000779176396194981	341	191	0.000928940801434069	0.00499305680770812
t2109685	country	Malawi	0.00900139325412097	0.00273590235776593	341	137	0.00110675761845003	0.00559889148157074
t1382	country	Malawi	0.00325503182235462	0.00118353811142395	341	126	0.0062744312748232	0.0299778383130442
t1660	country	Malawi	0.00396357826702945	0.00149597379473577	341	252	0.00843872530568354	0.0381963355941465
t43675	country	Malawi	0.00963589251062363	0.00370016299176062	341	321	0.00961465768994611	0.0413430280667683
t573	country	Malawi	-0.0721364676070868	0.0296394899916647	341	332	0.0154574507997445	0.0604245803990011
t40324	country	Malawi	0.00204679415956922	0.000838182386039679	341	153	0.0151189783769898	0.0604245803990011
t2003188	country	Malawi	0.00716864984991951	0.00298593943420233	341	179	0.0168975098694889	0.0631819934250455
t187327	country	Malawi	-0.00923988277922541	0.00397992828046316	341	155	0.020845648918477	0.0746969086245428
t582	country	Malawi	0.00602261476429213	0.00270661049699448	341	121	0.0267287494139682	0.0919468979840507
t550	country	Malawi	-0.0215210217378615	0.00997963009851678	341	304	0.031747847753201	0.105012111799049
t1260	country	Malawi	0.00190409418601045	0.000909506080982361	341	269	0.0370429064786128	0.117988516931878
t1351	country	Malawi	-0.0297223372591823	0.0145209269252801	341	320	0.0414423151277491	0.124680330129445
t328813	country	Malawi	0.00803374817434396	0.00393653734915109	341	114	0.0420433671366734	0.124680330129445
t161879	country	Malawi	0.00212782522550749	0.00108908940969905	341	233	0.0515510594931623	0.147779703880399
t1590	country	Malawi	-0.00396615300077198	0.00210039751670114	341	193	0.0598411107963247	0.166010823499481
