feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t69966	breastfed_child	nonexclusive	0.00675901112877293	0.0013565843397922	147	25	1.82337658574159e-06	0.000940862318242661
t550	breastfed_child	nonexclusive	0.0856984343272667	0.0181396465085687	147	135	5.55235306671258e-06	0.0013702780637034
t28901	age_at_first_dose	age_at_first_dose	0.00364975997569275	0.000786799071715295	147	136	7.96673292850813e-06	0.0013702780637034
t216816	breastfed_child	nonexclusive	-0.378110996061344	0.0834757760739096	147	147	1.25435712542331e-05	0.00161812069179608
t1358	breastfed_child	nonexclusive	0.00630128377529663	0.00144679851050164	147	64	2.55047446849988e-05	0.0021934080429099
t83655	breastfed_child	nonexclusive	0.00273337199391448	0.000624216666795065	147	62	2.31973702418952e-05	0.0021934080429099
t550	age_at_first_dose	age_at_first_dose	0.0145197682870872	0.00407720369612879	147	135	0.000504948432929195	0.0372219130559235
t197	breastfed_child	nonexclusive	0.0253642219426701	0.00720733102448865	147	24	0.000584271083560768	0.0376854848896695
t573	breastfed_child	nonexclusive	0.163113814685504	0.051448918478633	147	144	0.00187034993985798	0.0888547408973821
t28141	breastfed_child	nonexclusive	0.00943947990491703	0.00293109818470247	147	53	0.00159136251462427	0.0888547408973821
t83655	age_at_first_dose	age_at_first_dose	0.000444265043837538	0.000140303643725351	147	62	0.00189419021292869	0.0888547408973821
t34062	breastfed_child	nonexclusive	0.00246059867102538	0.000802596062632906	147	57	0.00260576232898437	0.112047780146328
t907	breastfed_child	nonexclusive	0.0194140492257789	0.00653174669698132	147	74	0.00348111844801463	0.138173624551965
t1496	birth_weight	birth_weight	0.0125026521149614	0.00427633458333953	147	105	0.00403565827607717	0.148742833603987
t1316412	breastfed_child	nonexclusive	0.0795846264907742	0.027823045645363	147	147	0.00487985052843513	0.167866858178168
t202956	breastfed_child	nonexclusive	0.00761618640014276	0.00271994779057107	147	87	0.00583061611572733	0.188037369732206
t1596	breastfed_child	nonexclusive	0.074505772888837	0.0271676588981214	147	110	0.00689572844733897	0.197677548823717
t1736	birth_weight	birth_weight	0.00492600425156902	0.00179596105390795	147	80	0.00688816942383445	0.197677548823717
t821	mode_delivery	vaginal	0.0431741329922716	0.0170676193140937	147	77	0.0125271212452015	0.324585961641912
t2093856	mode_delivery	vaginal	0.00254758169577153	0.00100773769966218	147	34	0.0125808512264307	0.324585961641912
t817	mode_delivery	vaginal	0.0854607322367859	0.0345420858374733	147	98	0.0145523520846	0.357572079793028
