feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t550	dose1_shedding	1	-0.0228531407628155	0.0101517349062546	281	251	0.0251540312421811	0.769238082069824
t1736	dose1_shedding	1	0.00373494367455076	0.00175117374073663	281	154	0.033812102618427	0.769238082069824
t2479767	dose1_shedding	1	0.00528759744201764	0.00262238111436241	281	228	0.0447231443063851	0.769238082069824
t2823316	dose1_shedding	1	0.00173539873802627	0.000734203849836	281	103	0.0187815873839932	0.769238082069824
t1464	dose1_shedding	1	0.00139432713316702	0.00068422711645436	281	24	0.042511806120766	0.769238082069824
t821	dose1_shedding	1	-0.0132417510801143	0.0103443945135369	281	144	0.201576956064363	0.804272969078972
t33038	dose1_shedding	1	0.0218838359075575	0.0124081744053105	281	180	0.0788832443500132	0.804272969078972
t239935	dose1_shedding	1	0.00899666166104169	0.0073676630125985	281	94	0.223078619744248	0.804272969078972
t1492	dose1_shedding	1	-0.0101399780854678	0.00798589979124877	281	222	0.205236990869472	0.804272969078972
t1613	dose1_shedding	1	-0.0111308734227003	0.00707891699178026	281	213	0.116991637823261	0.804272969078972
t43675	dose1_shedding	1	-0.0055519164990147	0.00307295199493598	281	263	0.0718856700576117	0.804272969078972
t729	dose1_shedding	1	0.006264353786407	0.00385476504493468	281	206	0.105271695844139	0.804272969078972
t907	dose1_shedding	1	-0.00459988628031277	0.00401627828318682	281	151	0.253061976057938	0.804272969078972
t33010	dose1_shedding	1	-0.00415640494609712	0.00375329676917017	281	120	0.269074368378918	0.804272969078972
t1358	dose1_shedding	1	0.00306270117193995	0.00281314893206155	281	124	0.277221654768981	0.804272969078972
t28901	dose1_shedding	1	0.00230916965981026	0.00207626101052577	281	251	0.267019472038529	0.804272969078972
t202956	dose1_shedding	1	-0.00232061042493248	0.00139725669475251	281	169	0.0978702568786491	0.804272969078972
t111015	dose1_shedding	1	-0.00241904296173776	0.00228140958652109	281	119	0.289912349319164	0.804272969078972
t28141	dose1_shedding	1	-0.00152545700710507	0.00126237731215722	281	113	0.227916554308435	0.804272969078972
t2823317	dose1_shedding	1	0.000539734593087951	0.000358045776073849	281	101	0.132827880715381	0.804272969078972
t1260	dose1_shedding	1	0.00113424710447169	0.000743261019431755	281	216	0.128132337811743	0.804272969078972
t161879	dose1_shedding	1	-0.00108835360930198	0.00101691638069409	281	192	0.28543230293638	0.804272969078972
t69966	dose1_shedding	1	0.00224584177325352	0.0018648923903278	281	53	0.229504261370645	0.804272969078972
t39488	dose1_shedding	1	0.00156715698312283	0.001192356812838	281	116	0.189812792563722	0.804272969078972
t34062	dose1_shedding	1	-0.000434273948105277	0.000369222896382316	281	110	0.240524080886991	0.804272969078972
t604330	dose1_shedding	1	0.00104749086272302	0.000667929651978208	281	153	0.1179526694126	0.804272969078972
t2093857	dose1_shedding	1	0.00101577142689982	0.000878662353314006	281	46	0.248652555414954	0.804272969078972
t84030	dose1_shedding	1	0.000852056738657063	0.000627414363043362	281	90	0.175546713781345	0.804272969078972
