feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t1496	birth_weight	birth_weight	-0.00820839614324094	0.00207868293853215	47	42	0.000301786957965097	0.129768391924992
t28901	antibiotic_exposure	yes	0.0219691930494749	0.00634534095822046	47	44	0.00126637080089541	0.137635188602768
t202956	birth_weight	birth_weight	0.073427741677816	0.0220202628047402	47	43	0.00182114208459221	0.137635188602768
t545	breastfed_child	nonexclusive	0.0273888637937099	0.00763469575404176	47	43	0.000882006462258844	0.137635188602768
t143361	birth_weight	birth_weight	-0.00351486952425068	0.00106006789087131	47	11	0.00192049100375956	0.137635188602768
t1464	birth_weight	birth_weight	-0.006110366256947	0.00180113199100855	47	5	0.00154544007547794	0.137635188602768
t624	breastfed_child	nonexclusive	0.0249312173103696	0.00889238793213594	47	38	0.0076851650912137	0.472088712745984
t2093857	antibiotic_exposure	yes	0.00309205676663653	0.00113474136461566	47	12	0.00941309016864812	0.505953596564837
t216816	antibiotic_exposure	yes	-0.269859947795382	0.108371672662271	47	47	0.0169147154203419	0.540541017705824
t1316412	antibiotic_exposure	yes	-0.141148088355482	0.0538559295103763	47	47	0.0122479013550752	0.540541017705824
t166486	antibiotic_exposure	yes	0.00651945617838312	0.00263334475485168	47	38	0.017517510265375	0.540541017705824
t161879	age_at_first_dose	age_at_first_dose	-0.00336302938067963	0.00133518059023166	47	34	0.0157713643168333	0.540541017705824
t39488	antibiotic_exposure	yes	0.00619558997707157	0.00250446305026379	47	25	0.0175990098787943	0.540541017705824
t39485	antibiotic_exposure	yes	0.00215149226816004	0.000857619923054284	47	22	0.0161663255248295	0.540541017705824
t33010	birth_weight	birth_weight	-0.0086085193439436	0.00365109457752583	47	19	0.0232366449425142	0.587100607177723
t1379	age_at_first_dose	age_at_first_dose	-0.00385099361260879	0.00160614807991086	47	38	0.0211382363364237	0.587100607177723
t1379	antibiotic_exposure	yes	-0.00724155081712681	0.00310263015868336	47	38	0.0245763044865093	0.587100607177723
t2823316	birth_weight	birth_weight	-0.00232239148333128	0.000989156202192346	47	21	0.0237882573934861	0.587100607177723
t573	dose1_shedding	1	0.085244880609633	0.0401076835095924	47	45	0.0396248232263877	0.612948381634964
t43675	antibiotic_exposure	yes	-0.0268091493114608	0.0125485740324683	47	46	0.0386611942420065	0.612948381634964
t47715	birth_weight	birth_weight	-0.0206935413726308	0.00970461778143152	47	24	0.0390161144595294	0.612948381634964
t1358	breastfed_child	nonexclusive	-0.00188820821778941	0.000853754911835977	47	35	0.0326229524470599	0.612948381634964
t624	antibiotic_exposure	yes	0.0135602110513385	0.00631345056092501	47	38	0.0376870628881123	0.612948381634964
t2479767	antibiotic_exposure	yes	0.0080472135790756	0.00361491319216773	47	42	0.0315628953492623	0.612948381634964
t28141	antibiotic_exposure	yes	0.00281135121677713	0.00123423566469191	47	14	0.0280204633124092	0.612948381634964
t28141	birth_weight	birth_weight	-0.00266296316363211	0.00121310493400016	47	14	0.0338698301642001	0.612948381634964
t287	antibiotic_exposure	yes	0.00663201896996805	0.00303090320666764	47	32	0.0344141916464116	0.612948381634964
t2714355	antibiotic_exposure	yes	0.00420263035748262	0.0019803657610836	47	23	0.0399129178739046	0.612948381634964
t2823316	breastfed_child	nonexclusive	0.00296685032217288	0.00141747764279359	47	21	0.0425741576191607	0.631271992284106
t2003188	birth_weight	birth_weight	0.0189427552567028	0.00917061466691851	47	35	0.0452264964344794	0.648246448894204
t1290	antibiotic_exposure	yes	-0.0317014850470587	0.0156729958199855	47	47	0.0496610301973139	0.688846547898225
t1492	dose1_shedding	1	0.0491104953380686	0.0245057482111275	47	46	0.0517024907403755	0.694752219323796
t216816	age_at_first_dose	age_at_first_dose	-0.109475625422617	0.0561010965087443	47	47	0.0578645399448031	0.701047629885655
t1351	birth_weight	birth_weight	0.0472974601094461	0.0247948150996536	47	44	0.0634702530798687	0.701047629885655
t239935	antibiotic_exposure	yes	0.0640036187549188	0.0325970186537463	47	26	0.0563968790068713	0.701047629885655
t1496	antibiotic_exposure	yes	0.00403247173303159	0.00211489092692341	47	42	0.0635833896873036	0.701047629885655
t166486	breastfed_child	nonexclusive	0.0071125800425282	0.00370902138113293	47	38	0.0621406937092043	0.701047629885655
t410072	antibiotic_exposure	yes	0.01081999541344	0.0054937138250189	47	36	0.0556750154049833	0.701047629885655
t143361	dose1_shedding	1	0.00180217761957916	0.00094101199478325	47	11	0.0624672421303326	0.701047629885655
t1316412	breastfed_child	nonexclusive	-0.140975950144441	0.0758551624077131	47	47	0.0702889281784255	0.719624740874356
t39488	birth_weight	birth_weight	-0.00463079197859551	0.00246158539265229	47	25	0.0670555821754107	0.719624740874356
t83655	antibiotic_exposure	yes	0.0035765863009676	0.00191366405187616	47	17	0.0687817147202452	0.719624740874356
t54005	age_at_first_dose	age_at_first_dose	-0.000778935718667755	0.000425060656660503	47	29	0.0741422329484635	0.741422329484635
t2774055	antibiotic_exposure	yes	0.0028441441402276	0.00156535987617469	47	8	0.0765430451623518	0.748034304995711
t550	antibiotic_exposure	yes	0.0143088711730163	0.00792845227954609	47	42	0.0784622459315496	0.749750350012585
t817	dose1_shedding	1	-0.158274895317329	0.09084241986944	47	45	0.0889533645260064	0.752531266155143
t29466	dose1_shedding	1	0.0679908327910682	0.0390615704698282	47	46	0.0892537083114239	0.752531266155143
t1492	birth_weight	birth_weight	-0.0492833112397545	0.0276061909565529	47	46	0.0816238549258391	0.752531266155143
t545	antibiotic_exposure	yes	0.00963765020997587	0.00542050960424855	47	43	0.0828215468325552	0.752531266155143
t161879	birth_weight	birth_weight	0.00442564914004389	0.00253503940535646	47	34	0.088337670821723	0.752531266155143
t2823316	antibiotic_exposure	yes	0.00176726966090968	0.0010063860334582	47	21	0.0865471954754993	0.752531266155143
t1624	dose1_shedding	1	0.0283451946848262	0.0166823362043535	47	35	0.0968745245449466	0.779043520868025
t1496	dose1_shedding	1	0.00312597573199793	0.00184522670232214	47	42	0.0978333723880775	0.779043520868025
t545	birth_weight	birth_weight	-0.00911428099574879	0.00532770777398544	47	43	0.0946881393797276	0.779043520868025
t817	breastfed_child	nonexclusive	0.241394865358074	0.146648813823797	47	45	0.107393961489778	0.786132598857709
