feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t562	dose1_shedding	1	-0.0846427416435015	0.096538528601862	47	47	0.385264656643016	0.854996795116778
t573	dose1_shedding	1	0.0780013682019578	0.0374108573003747	47	45	0.0427734465518203	0.854996795116778
t817	dose1_shedding	1	-0.1945373741071	0.0883971478803506	47	45	0.032929016372779	0.854996795116778
t29466	dose1_shedding	1	0.0652340423278183	0.036388920372433	47	46	0.0797461546583605	0.854996795116778
t239935	dose1_shedding	1	0.0246996422264994	0.0280549002192348	47	26	0.383318447274052	0.854996795116778
t1492	dose1_shedding	1	0.0433302831332517	0.0237359712611305	47	46	0.0745647171673892	0.854996795116778
t1624	dose1_shedding	1	0.0252089335282413	0.015622975580393	47	35	0.113610007262502	0.854996795116778
t437897	dose1_shedding	1	-0.0123706342574041	0.00886749310569903	47	23	0.169847218548558	0.854996795116778
t907	dose1_shedding	1	-0.00579501208283875	0.00408001158659972	47	27	0.16239998178324	0.854996795116778
t292800	dose1_shedding	1	-0.00935572385038387	0.0104441467257378	47	33	0.375133859367197	0.854996795116778
t197	dose1_shedding	1	-0.0144786072357734	0.0166755611950761	47	12	0.38986283791937	0.854996795116778
t40545	dose1_shedding	1	-0.0126816347783249	0.0165448832769717	47	26	0.447382043956453	0.854996795116778
t208479	dose1_shedding	1	-0.00938802965394146	0.00568232682816333	47	29	0.105466791553999	0.854996795116778
t1547	dose1_shedding	1	-0.003940537851149	0.00401265081431876	47	31	0.331336318438221	0.854996795116778
t1550024	dose1_shedding	1	-0.00367923798249877	0.00313858617627446	47	18	0.247261606847368	0.854996795116778
t33010	dose1_shedding	1	0.00344594861798868	0.00325049927431822	47	19	0.294743020609264	0.854996795116778
t584	dose1_shedding	1	0.00038980645482934	0.000380652977027571	47	13	0.311286849821186	0.854996795116778
t1358	dose1_shedding	1	0.00050754139963437	0.000524387918452953	47	35	0.338280685394584	0.854996795116778
t202956	dose1_shedding	1	0.0272151652055862	0.020311033368263	47	43	0.186998472694493	0.854996795116778
t84112	dose1_shedding	1	-0.00323605308662175	0.00231593957406511	47	30	0.16917652595537	0.854996795116778
t1496	dose1_shedding	1	0.00183590321263273	0.0020635633596018	47	42	0.378371439042752	0.854996795116778
t1590	dose1_shedding	1	0.00297411320875351	0.00286559231546016	47	25	0.304875331042792	0.854996795116778
t1834196	dose1_shedding	1	-0.00208240537982279	0.00264483275587224	47	32	0.435205328136861	0.854996795116778
t328813	dose1_shedding	1	-0.00582399299252423	0.00714509229549262	47	28	0.419306023480364	0.854996795116778
t111015	dose1_shedding	1	0.00205761285218378	0.00218484665570041	47	23	0.351341339971464	0.854996795116778
t28118	dose1_shedding	1	-0.00843554446677807	0.00470991902167927	47	28	0.0800181459142008	0.854996795116778
t2479767	dose1_shedding	1	0.00324013248748895	0.00310935186077888	47	42	0.302949929657325	0.854996795116778
t28141	dose1_shedding	1	0.00129426209459987	0.00109029007738989	47	14	0.241424735537389	0.854996795116778
t2582419	dose1_shedding	1	-0.00421722877217187	0.00361475846649426	47	24	0.249489462063045	0.854996795116778
t2823317	dose1_shedding	1	0.00504971393095058	0.00543027817287784	47	29	0.35737538542656	0.854996795116778
t1382	dose1_shedding	1	0.00542353033547974	0.00360955508283368	47	26	0.139941284740668	0.854996795116778
t2093856	dose1_shedding	1	-0.00398785535573277	0.00375436469505733	47	25	0.293815979340449	0.854996795116778
t1335613	dose1_shedding	1	-0.00202012732267653	0.00182353166265201	47	29	0.273830017373222	0.854996795116778
t161879	dose1_shedding	1	0.00371636457916138	0.00235538440271714	47	34	0.12161247868385	0.854996795116778
t69966	dose1_shedding	1	0.000530371884423453	0.000337375421367321	47	11	0.122943883362002	0.854996795116778
t40324	dose1_shedding	1	0.00334736501338555	0.00248418865794916	47	30	0.184575167329852	0.854996795116778
t34062	dose1_shedding	1	0.00387332560925669	0.00503056024762346	47	34	0.445347453808339	0.854996795116778
t901	dose1_shedding	1	-0.0063248012158232	0.00444147437859324	47	12	0.161334939304579	0.854996795116778
t604330	dose1_shedding	1	-0.00146370111920006	0.0013460788933161	47	22	0.282658365602043	0.854996795116778
t143361	dose1_shedding	1	0.00123688303854719	0.00099717203697851	47	11	0.221259483422122	0.854996795116778
t1464	dose1_shedding	1	0.00161621108821053	0.00169341631713259	47	5	0.344975899431739	0.854996795116778
t1297617	dose1_shedding	1	-0.00110227705614177	0.00115176420243125	47	19	0.343663882191642	0.854996795116778
t2714355	dose1_shedding	1	-0.00142300085016643	0.00169376467806214	47	23	0.405271177676729	0.854996795116778
t1583	dose1_shedding	1	0.000642644287790531	0.00053480593618868	47	12	0.235788980644006	0.854996795116778
t71999	dose1_shedding	1	-0.00158539296806439	0.00201571620530841	47	30	0.435687791783217	0.854996795116778
t216816	dose1_shedding	1	0.0487030855614918	0.0996288558915117	47	47	0.627325418422464	0.859043534657247
t821	dose1_shedding	1	0.0274209446682128	0.0536458140364377	47	44	0.611746414839675	0.859043534657247
t33038	dose1_shedding	1	0.0184841725610345	0.0266422933170901	47	36	0.491379590699091	0.859043534657247
t165179	dose1_shedding	1	0.0207196222743722	0.0427453847668627	47	44	0.630224857196811	0.859043534657247
t43675	dose1_shedding	1	0.00494842015863587	0.0108084035945627	47	46	0.649277090147919	0.859043534657247
t28901	dose1_shedding	1	-0.00305781628381488	0.00587484144997238	47	44	0.605271360284712	0.859043534657247
t624	dose1_shedding	1	-0.00394873357463002	0.005915122158803	47	38	0.507820018415195	0.859043534657247
t545	dose1_shedding	1	-0.00300738689434433	0.00513631720867433	47	43	0.561127029075577	0.859043534657247
t582	dose1_shedding	1	-0.00838162010930473	0.0131013731397746	47	18	0.525578161161868	0.859043534657247
t649756	dose1_shedding	1	0.00085754545721624	0.00176310325240713	47	36	0.629055260481549	0.859043534657247
t1736	dose1_shedding	1	0.00502849364635904	0.00686662661947119	47	29	0.467777085015147	0.859043534657247
t1379	dose1_shedding	1	0.00149452096055529	0.00285530279150302	47	38	0.603250610549266	0.859043534657247
t166486	dose1_shedding	1	0.00127053385103654	0.00232083242244791	47	38	0.586776450348523	0.859043534657247
t410072	dose1_shedding	1	-0.00285872422033094	0.00465649914447051	47	36	0.542358615662051	0.859043534657247
t39488	dose1_shedding	1	0.00155576236986932	0.00220949501059667	47	25	0.484982455160908	0.859043534657247
t2093857	dose1_shedding	1	-0.000617537725284778	0.000998066692918829	47	12	0.539211296254776	0.859043534657247
t84030	dose1_shedding	1	0.000391143505986143	0.00083220609669453	47	23	0.640619192613796	0.859043534657247
t83655	dose1_shedding	1	0.000984278827825464	0.00162065628479989	47	17	0.546682225107839	0.859043534657247
t1270	dose1_shedding	1	0.00124309060488216	0.00211740366250105	47	39	0.560082482522244	0.859043534657247
t39485	dose1_shedding	1	0.000392964871405136	0.000748923352254475	47	22	0.602362808847076	0.859043534657247
t823	dose1_shedding	1	-0.0179033258586474	0.0460180590300101	47	41	0.699074094099991	0.860154184047097
t550	dose1_shedding	1	-0.00242073871823645	0.00671417287582794	47	42	0.7201290843185	0.860154184047097
t1613	dose1_shedding	1	0.00558789269940438	0.0141547020900063	47	35	0.694875470724324	0.860154184047097
t1290	dose1_shedding	1	0.00566618950411734	0.0133123660187956	47	47	0.67240370513821	0.860154184047097
t729	dose1_shedding	1	-0.00456463808858208	0.0124492537206196	47	33	0.715591436472594	0.860154184047097
t1260	dose1_shedding	1	-0.00112720937685513	0.00296606381564769	47	43	0.705706951121917	0.860154184047097
t2823316	dose1_shedding	1	-0.00036997787873825	0.000906991364448577	47	21	0.685268428433002	0.860154184047097
t2109685	dose1_shedding	1	0.00377710065152652	0.0111046319944773	47	30	0.735335726863223	0.86628592479777
t1596	dose1_shedding	1	0.0140094865526733	0.0596384374129429	47	35	0.815346572998833	0.887592471872147
t74426	dose1_shedding	1	0.0044632351781223	0.0165610807525085	47	42	0.788775800068305	0.887592471872147
t47715	dose1_shedding	1	-0.0020378184408376	0.00841557637302986	47	24	0.809765363054249	0.887592471872147
t1667168	dose1_shedding	1	-0.000219734669828199	0.00087448813159319	47	20	0.802747481535758	0.887592471872147
t54005	dose1_shedding	1	0.000178070030605544	0.000720524371549297	47	29	0.805924349984025	0.887592471872147
t2774055	dose1_shedding	1	-0.000394991211095465	0.00130742279849429	47	8	0.763956836407113	0.887592471872147
t1351	dose1_shedding	1	-0.00437018895621201	0.0219344093602266	47	44	0.842973361190785	0.906196363280093
t2003188	dose1_shedding	1	-0.00139375427067821	0.00794694908247131	47	35	0.861566040720975	0.914749129654368
t1316412	dose1_shedding	1	0.00531704579402282	0.0479624777324141	47	47	0.912221567690795	0.93728745064912
t853	dose1_shedding	1	0.000253391556813898	0.00220326911311902	47	45	0.908951158593637	0.93728745064912
t187327	dose1_shedding	1	0.000417733079914823	0.00449618289043267	47	21	0.926388759362502	0.93728745064912
t287	dose1_shedding	1	0.000255745595469418	0.00264815075737713	47	32	0.923492615410444	0.93728745064912
t1660	dose1_shedding	1	-0.000211690395334915	0.00415209134715934	47	37	0.959563880185684	0.959563880185684
