feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t562	seroconv	1	-0.0816237936400789	0.0427354221943545	149	148	0.0580834282072698	0.626657222739178
t239935	seroconv	1	0.0201968919989153	0.00986198714942921	149	47	0.0423443428932663	0.626657222739178
t1613	seroconv	1	-0.0147920445482589	0.0105249169561927	149	106	0.162003084025113	0.626657222739178
t1290	seroconv	1	0.0103124299503862	0.00791106924675022	149	149	0.194426806564393	0.626657222739178
t43675	seroconv	1	0.00508829430286142	0.00419386386230954	149	139	0.226972092558608	0.626657222739178
t907	seroconv	1	-0.0059192889015156	0.0047652906545738	149	75	0.216152846057325	0.626657222739178
t292800	seroconv	1	-0.00984316249190827	0.00723614599779493	149	79	0.175824609470859	0.626657222739178
t40545	seroconv	1	-0.00632735223966404	0.00420404664857499	149	30	0.134453709954948	0.626657222739178
t1550024	seroconv	1	0.00695873430041468	0.00388759200874941	149	45	0.0755146598897371	0.626657222739178
t33010	seroconv	1	-0.00767301869938652	0.00582217402948406	149	62	0.189588620599052	0.626657222739178
t1358	seroconv	1	-0.00151291104056903	0.00110771627919474	149	65	0.174090026330562	0.626657222739178
t624	seroconv	1	-0.00892360610963553	0.00428091612855654	149	119	0.0388437202164266	0.626657222739178
t328813	seroconv	1	0.00709725041673268	0.00614452390597222	149	35	0.249942851597389	0.626657222739178
t111015	seroconv	1	0.00251180946139247	0.00217082582809008	149	71	0.249118253174604	0.626657222739178
t1736	seroconv	1	0.00241046845248284	0.00155053359424064	149	80	0.122190322056	0.626657222739178
t1660	seroconv	1	0.00362885214424529	0.00152197798871658	149	109	0.0183876310069853	0.626657222739178
t2479767	seroconv	1	-0.00285277654098233	0.0018984497893012	149	120	0.135064892802668	0.626657222739178
t2582419	seroconv	1	-0.00148909526879964	0.00109242793536513	149	56	0.174933290399685	0.626657222739178
t2823317	seroconv	1	-0.000478549145210317	0.000408581596328976	149	49	0.243395325311596	0.626657222739178
t1379	seroconv	1	0.00155521120178103	0.00113393338841604	149	136	0.172303057229448	0.626657222739178
t166486	seroconv	1	-0.00304969502157792	0.00142446727827315	149	80	0.0339282506714433	0.626657222739178
t1382	seroconv	1	0.00169950816732529	0.00117281082452604	149	48	0.149442415738376	0.626657222739178
t2093856	seroconv	1	-0.00134646365781798	0.000942280714963127	149	34	0.155142673726297	0.626657222739178
t1260	seroconv	1	-0.00124744164504834	0.00072145138734233	149	116	0.0858955172930472	0.626657222739178
t39488	seroconv	1	-0.00170397221931394	0.00123802827535764	149	58	0.17080324675458	0.626657222739178
