feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t817	seroconv	1	-0.0652154372381338	0.0362289731445682	132	83	0.0741652549346324	0.63066598809025
t823	seroconv	1	-0.0362021859290331	0.0198869447043964	132	57	0.0709983574956563	0.63066598809025
t821	seroconv	1	-0.0222433011327455	0.0112838697406242	132	66	0.0508195076240887	0.63066598809025
t74426	seroconv	1	-0.0237412054722944	0.0131919217476251	132	92	0.0742308705460959	0.63066598809025
t292800	seroconv	1	-0.00725355066341229	0.00482731285489256	132	69	0.135365892693986	0.63066598809025
t40545	seroconv	1	-0.00677492598934831	0.00364434092395108	132	39	0.0652844194418634	0.63066598809025
t47715	seroconv	1	0.00759900393201221	0.00503081045285004	132	89	0.133344554933452	0.63066598809025
t584	seroconv	1	0.00774688854578527	0.00520787088998666	132	36	0.139295218927126	0.63066598809025
t202956	seroconv	1	0.00271531017825415	0.00179382283339174	132	82	0.132529318768476	0.63066598809025
t84112	seroconv	1	-0.00607645170569151	0.00418113051619663	132	69	0.14854922563416	0.63066598809025
t2003188	seroconv	1	-0.00780186375030068	0.0030288443600775	132	64	0.0111169984598449	0.63066598809025
t2109685	seroconv	1	-0.00386812114304632	0.0018953201535046	132	51	0.0432869536672788	0.63066598809025
t28118	seroconv	1	-0.00242628244471124	0.00112078413390274	132	35	0.0322289073594645	0.63066598809025
t1660	seroconv	1	-0.00314929877540713	0.00216321437485569	132	95	0.147847011799329	0.63066598809025
t2093856	seroconv	1	-0.00237408153988872	0.00125897613017119	132	30	0.0615635682890677	0.63066598809025
t1335613	seroconv	1	-0.00294234096579671	0.00205197521863193	132	59	0.153999834301108	0.63066598809025
t34062	seroconv	1	0.00054107812875894	0.000366806388092384	132	53	0.142601986353037	0.63066598809025
t2093857	seroconv	1	-0.00239614478424662	0.00159841209290975	132	23	0.136277838555457	0.63066598809025
t84030	seroconv	1	-0.00182889094653016	0.00116676205894469	132	52	0.119430530163953	0.63066598809025
t1297617	seroconv	1	-0.00162853075509146	0.000980865510504739	132	50	0.0992643772426214	0.63066598809025
t2714355	seroconv	1	-0.00273213005178742	0.00180419774787644	132	42	0.132372633423854	0.63066598809025
t1379	seroconv	1	-0.0019542833300554	0.00146968112049835	132	116	0.185934787556552	0.666266322077643
t1382	seroconv	1	-0.00214757056029988	0.0015599361060396	132	46	0.170970087861939	0.666266322077643
t1464	seroconv	1	-0.0017453400163184	0.00130119594597961	132	14	0.18215025081544	0.666266322077643
t29466	seroconv	1	0.025942336079423	0.0201629960785202	132	125	0.200509416419189	0.689752392482011
t165179	seroconv	1	-0.0121945184967812	0.0107868454834862	132	94	0.260347395831861	0.690373679757729
t1547	seroconv	1	-0.00884711722810614	0.00711339730040145	132	82	0.215838489365057	0.690373679757729
t328813	seroconv	1	-0.00420707173406182	0.00375735791819718	132	40	0.26491083060471	0.690373679757729
t2479767	seroconv	1	-0.00603181532703962	0.00515590874491473	132	108	0.244187985320093	0.690373679757729
t410072	seroconv	1	-0.00304026575109835	0.00265672441667796	132	75	0.254574438531064	0.690373679757729
t1260	seroconv	1	-0.00153836943907252	0.00135124873895631	132	100	0.257013873321639	0.690373679757729
t901	seroconv	1	-0.000459158877814141	0.000381040523907012	132	6	0.230387202552561	0.690373679757729
t2823316	seroconv	1	-0.00157557264739859	0.00139566131789173	132	52	0.261015740615307	0.690373679757729
t582	seroconv	1	-0.00183092026050595	0.00167372612252454	132	50	0.276013447695528	0.6981516618181
t1596	seroconv	1	0.0158783489294725	0.0163160345688192	132	100	0.332273892153221	0.751988282241499
t1550024	seroconv	1	-0.00731353659472321	0.00729235515709565	132	41	0.317769999282173	0.751988282241499
t1834196	seroconv	1	-0.00313683494572068	0.00309572435886678	132	49	0.312808736909823	0.751988282241499
t2582419	seroconv	1	-0.00397792956502114	0.00404153741155213	132	66	0.326815271081747	0.751988282241499
t437897	seroconv	1	-0.00252298865758295	0.00268067658582705	132	64	0.348360267936723	0.768179052373286
t239935	seroconv	1	0.00956831567043602	0.0106638686119742	132	46	0.371236217770228	0.783635699980008
t39485	seroconv	1	-0.000920393902822406	0.00103086339211713	132	42	0.373593763943957	0.783635699980008
t1316412	seroconv	1	0.019776149358873	0.0262126529845682	132	132	0.451943247689136	0.803844001672916
t907	seroconv	1	-0.0043278481806168	0.0065498241920324	132	76	0.509936800836862	0.803844001672916
t853	seroconv	1	-0.00695489946140517	0.00991201802685078	132	118	0.484143406788133	0.803844001672916
t197	seroconv	1	-0.00299928871009535	0.00459546022947808	132	28	0.515125779739578	0.803844001672916
t187327	seroconv	1	0.00418040865194074	0.00697140015775699	132	66	0.549782423943832	0.803844001672916
t208479	seroconv	1	-0.00400568842068487	0.00480672745514266	132	75	0.406175625173273	0.803844001672916
t1358	seroconv	1	-0.00432335650320469	0.00595597958819196	132	60	0.469214055788157	0.803844001672916
t649756	seroconv	1	-0.00190912577573916	0.00269326607947837	132	85	0.479685863443547	0.803844001672916
t1736	seroconv	1	0.00228721174448864	0.00333257127784514	132	74	0.493733364207776	0.803844001672916
t28141	seroconv	1	0.000486068810832564	0.000762855718941186	132	58	0.525134606724694	0.803844001672916
t2823317	seroconv	1	-0.000447272227510767	0.000600314892856984	132	51	0.45757870451726	0.803844001672916
t166486	seroconv	1	-0.00203424220709539	0.0031132961735898	132	77	0.51464945053868	0.803844001672916
t69966	seroconv	1	-0.00246785201305065	0.00386017215522458	132	28	0.523745309873128	0.803844001672916
t39488	seroconv	1	-0.00157927318775073	0.00211954588971784	132	57	0.457556356639172	0.803844001672916
t54005	seroconv	1	0.000601134305579684	0.000922960672110293	132	92	0.515995525341009	0.803844001672916
t143361	seroconv	1	-0.000834924861334191	0.00101571626513299	132	38	0.41257856635211	0.803844001672916
t1270	seroconv	1	-0.00011380189452084	0.000190588720786592	132	33	0.551474373240721	0.803844001672916
t1583	seroconv	1	-0.00047077624535659	0.000781010615717688	132	29	0.547706277401686	0.803844001672916
t33038	seroconv	1	0.0111494618008726	0.0211319212017466	132	87	0.598667793940625	0.817229052045933
t1351	seroconv	1	-0.00869552737736332	0.0161933515800117	132	120	0.592198374984117	0.817229052045933
t729	seroconv	1	-0.00434453258009161	0.00794548840338329	132	95	0.585458709754866	0.817229052045933
t604330	seroconv	1	-0.000595459087361876	0.001124565967709	132	74	0.597360850059883	0.817229052045933
t545	seroconv	1	0.00186892681812822	0.00374753031331633	132	113	0.618827244879232	0.831549110306469
t33010	seroconv	1	0.00187010735959278	0.00398075579988067	132	57	0.639294270814359	0.838686703270835
t71999	seroconv	1	9.06778370720489e-05	0.000195555830889546	132	41	0.643643283905524	0.838686703270835
t40324	seroconv	1	-0.000116142227246879	0.000275513505043212	132	54	0.674051025763817	0.852476297289533
t287	seroconv	1	-0.000213029593042913	0.000503249457691499	132	62	0.672769939349462	0.852476297289533
t216816	seroconv	1	0.0277027787651921	0.0725310807771984	132	132	0.703126859089816	0.863841569738917
t2774055	seroconv	1	-0.000328714620058786	0.000855115623127082	132	29	0.701303008557767	0.863841569738917
t1667168	seroconv	1	-0.000401298926313229	0.00111754612213541	132	29	0.720110804081069	0.872246889450309
t562	seroconv	1	-0.0152924156573527	0.0578282447933312	132	129	0.791855493791082	0.920264492784231
t624	seroconv	1	-0.00135480791787048	0.00476376300414308	132	101	0.776557382468782	0.920264492784231
t111015	seroconv	1	-0.00112255191977394	0.00422653380957694	132	47	0.790970829688788	0.920264492784231
t43675	seroconv	1	-0.00109819147381479	0.00442941263170419	132	124	0.804578499589795	0.922583346196298
t83655	seroconv	1	0.000183133805235977	0.000898883145196752	132	52	0.838879300999039	0.949258156393649
t573	seroconv	1	0.00168464301291886	0.0415760686335337	132	128	0.967741095708072	0.990782550367788
t550	seroconv	1	0.000911997964331442	0.0134741297143681	132	114	0.946140293199768	0.990782550367788
t1492	seroconv	1	0.000230291636457405	0.00485351066749404	132	100	0.962228617685251	0.990782550367788
t1613	seroconv	1	-0.000637796305055028	0.00881195907278979	132	107	0.942411939537974	0.990782550367788
t1290	seroconv	1	0.000983835940542116	0.00826055630783614	132	132	0.905379626361251	0.990782550367788
t28901	seroconv	1	-0.000207215426581501	0.00312780387997252	132	113	0.947280968166192	0.990782550367788
t1496	seroconv	1	0.000330639420871459	0.00308233617978746	132	90	0.91474086937833	0.990782550367788
t161879	seroconv	1	-0.00020738192092914	0.0020890104477264	132	83	0.921074591447955	0.990782550367788
t1624	seroconv	1	-0.000200173035324391	0.0113959622432718	132	104	0.986012601214639	0.996377822591396
t1590	seroconv	1	1.00818965034421e-05	0.00221654164973029	132	80	0.996377822591396	0.996377822591396
