feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t550	breastfed_child	nonexclusive	0.0807702019527678	0.0119380057433073	282	251	7.96474358759934e-11	4.06201922967566e-08
t83655	breastfed_child	nonexclusive	0.0030844582151143	0.000603186159361346	282	115	5.93166085060551e-07	0.000151257351690441
t216816	breastfed_child	nonexclusive	-0.293837209265491	0.0599454283502396	282	282	1.62566309407538e-06	0.000276362725992815
t202956	breastfed_child	nonexclusive	0.00820135449594291	0.00172242639817221	282	171	3.1115828034817e-06	0.000396726807443917
t28141	breastfed_child	nonexclusive	0.00693646456514154	0.00154075907866624	282	113	9.95310248880869e-06	0.00101521645385849
t1358	breastfed_child	nonexclusive	0.014407690373871	0.003467938598122	282	125	4.35523107667607e-05	0.00370194641517466
t28901	age_at_first_dose	age_at_first_dose	0.00260121291776351	0.000646109969111953	282	251	7.34356021023983e-05	0.00535030815317473
t69966	breastfed_child	nonexclusive	0.0091039537896353	0.00234160800945624	282	54	0.000126824601883077	0.00808506837004614
t28901	breastfed_child	nonexclusive	0.0094512571185026	0.00252656659544636	282	251	0.000223295181392986	0.0126533936122692
t1351	breastfed_child	nonexclusive	0.0628546420000045	0.0176347716692638	282	265	0.000430100449569772	0.019048496541816
t1351	mode_delivery	vaginal	-0.0517481797497406	0.0146561040464258	282	265	0.000485549911850211	0.019048496541816
t34062	breastfed_child	nonexclusive	0.00163649854760999	0.000462144376077009	282	112	0.00046783242171823	0.019048496541816
t2774055	breastfed_child	nonexclusive	0.00232471344786976	0.00064701304426488	282	68	0.000387211152158438	0.019048496541816
t1596	breastfed_child	nonexclusive	0.0577544261948112	0.0167471985253633	282	213	0.000651832680207589	0.0237453333504193
t573	breastfed_child	nonexclusive	0.118150465729765	0.0351670839193972	282	275	0.000890715619292942	0.03028433105596
t1496	age_at_first_dose	age_at_first_dose	0.00233747423372983	0.000803976395636888	282	197	0.003941588511144	0.125638133792715
t550	age_at_first_dose	age_at_first_dose	0.00871070098132233	0.00305286412634768	282	251	0.00465574582349734	0.13967237470492
t1316412	breastfed_child	nonexclusive	0.0585434432830545	0.02101667171852	282	282	0.00571484630193836	0.159252454550278
t821	mode_delivery	vaginal	0.0295856803307505	0.0109168361066364	282	144	0.00714910786781272	0.159252454550278
t74426	mode_delivery	vaginal	0.0226823653590918	0.00835923575359069	282	202	0.00707905979525842	0.159252454550278
t2003188	mode_delivery	vaginal	0.00736613451688442	0.00269564074821702	282	134	0.00669054229930014	0.159252454550278
t28118	age_at_first_dose	age_at_first_dose	0.00173697152867426	0.000637399478105071	282	73	0.00684064864417197	0.159252454550278
t1382	age_at_first_dose	age_at_first_dose	0.000845033995332885	0.000311989483077373	282	94	0.00718197344050275	0.159252454550278
t111015	age_at_first_dose	age_at_first_dose	0.00200045505893816	0.000742793530890398	282	118	0.00751277811130429	0.159646534865216
t1590	breastfed_child	nonexclusive	0.00703774417499262	0.00263720394497718	282	165	0.00806837258549328	0.164594800744063
t29466	antibiotic_exposure	yes	-0.0338652942968498	0.0127839931951331	282	267	0.0085389365579977	0.167494524791493
t1613	breastfed_child	nonexclusive	0.0232125664147874	0.00889416134421679	282	214	0.00955402224962045	0.180464864715053
t817	mode_delivery	vaginal	0.0667734985537489	0.0260566999640802	282	182	0.0109212502769268	0.192063366939058
t40324	breastfed_child	nonexclusive	0.00235850891657888	0.000919255719791736	282	113	0.0108279889048799	0.192063366939058
