feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t239935	seroconv	1	0.0154888082430599	0.0071891642109175	282	93	0.0320566220321029	0.566141239610773
t74426	seroconv	1	-0.0143130139683962	0.00786629739753776	282	202	0.0698974771740176	0.566141239610773
t292800	seroconv	1	-0.00841909741151826	0.00448521878415996	282	148	0.0615473390469336	0.566141239610773
t40545	seroconv	1	-0.00642248812118989	0.00280679742310451	282	69	0.0228716750853636	0.566141239610773
t624	seroconv	1	-0.0054693538057302	0.00316828386887471	282	221	0.0853996143875916	0.566141239610773
t2479767	seroconv	1	-0.0045915444162396	0.00257742935765833	282	228	0.075923901532414	0.566141239610773
t166486	seroconv	1	-0.00270829407080427	0.00160800741952957	282	158	0.0932467924064803	0.566141239610773
t2093856	seroconv	1	-0.00179110638415317	0.000763913714051984	282	64	0.0197439559016925	0.566141239610773
t1260	seroconv	1	-0.0014381279554177	0.000727531181595551	282	217	0.0490539157253776	0.566141239610773
t143361	seroconv	1	-0.00110517291584623	0.000645533317898151	282	74	0.0879982113718689	0.566141239610773
t2093857	seroconv	1	-0.00172967504284894	0.000858043374943385	282	46	0.0447721329483889	0.566141239610773
t84030	seroconv	1	-0.0011296941488888	0.000614079748004374	282	89	0.0668775939782184	0.566141239610773
t1297617	seroconv	1	-0.00123915238679529	0.000621591583885552	282	98	0.0471750898294021	0.566141239610773
t2714355	seroconv	1	-0.00213997668072533	0.00107574915710918	282	83	0.0476420760779297	0.566141239610773
t562	seroconv	1	-0.0523816660380472	0.0349109060173978	282	278	0.134627601928665	0.619121793393768
t165179	seroconv	1	-0.00991471037342199	0.00680940050367207	282	201	0.146503900015331	0.619121793393768
t2582419	seroconv	1	-0.002797016600741	0.00193192224471437	282	123	0.148794700412752	0.619121793393768
t2823317	seroconv	1	-0.000503883144906933	0.000351616201032833	282	101	0.152959501897284	0.619121793393768
t410072	seroconv	1	-0.00219849319643709	0.00147931796166028	282	147	0.138363674073489	0.619121793393768
t39488	seroconv	1	-0.00169523121265741	0.0011695917612748	282	115	0.148339038885245	0.619121793393768
t2823316	seroconv	1	-0.00110437836484523	0.000724482865338663	282	102	0.128545507124803	0.619121793393768
t907	seroconv	1	-0.00551246188312207	0.00393662402232336	282	152	0.162530065028444	0.620832975077444
t84112	seroconv	1	-0.00391643827422429	0.00295369883294646	282	140	0.185939011526904	0.620832975077444
t1736	seroconv	1	0.00224218815863806	0.00172722307028972	282	154	0.195305346018235	0.620832975077444
t39485	seroconv	1	-0.000804972172444006	0.00060078561743111	282	75	0.181375299397185	0.620832975077444
t1583	seroconv	1	-0.000593516048513471	0.000459154947865262	282	67	0.197205768554012	0.620832975077444
