"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","IncMSE_means","IncMSE_sds","present","n","prev","mean","rho","spearman_p","wilcox_p","mean_IgA_present","CI_IgA_present","mean_IgA_absent","CI_IgA_absent","lr_unadjusted_p","lr_adjusted_p","GMR","spearman_padj","wilcox_padj","lr_unadjusted_padj","lr_adjusted_padj","rf_rank","rf_top20","maaslin_coef","maaslin_stderr","maaslin_pval","maaslin_name","maaslin_qval","maaslin_N","maaslin_N.not.zero","maaslin_coef_adjusted","maaslin_stderr_adjusted","maaslin_pval_adjusted","maaslin_qval_adjusted","maaslin_qval_filt","maaslin_qval_adjusted_filt","country","country_clean","module"
"1","t102684","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantarius","Streptococcus infantarius",-0.00373534230154646,-0.00934898276907107,0.00677766748856887,0.00563064879604071,-0.00200445926225817,0.00981234072192761,-0.00880477964463882,0.00231213242976659,0.00504469561791926,0.00695066944623744,-0.00541698070478818,0.00747346035362977,-0.00480625237776638,0.00326608167457344,0.00537159502624146,-0.00732963366963343,-0.00168658118696557,0.00966076381921256,0.00590510873351308,0.00577759745342029,0.00141269175174623,0.000447360069039984,-0.00331066786180426,0.00496278899774522,-0.00704646981423133,0.00180401773419492,0.00215184838390653,0.00614931742275479,-0.00363388800006291,0.000638105649049965,0.0151081089234951,0.00526339708675738,0.000663375679571006,0.0156499944338599,-0.000418014952497789,-0.0101254690163967,-0.00448557364001549,0.0128110047023654,-0.00055815697590693,0.00680766755810137,-0.00445482647017903,0.00665179442954372,0.0117049223081408,0.00702169579343201,0.00161340500308259,-0.00141944802448619,0.0107211152319882,-0.00062360653913522,-0.0146990107655701,-0.00146758019521854,0.000987288560630447,0.00370327916453453,0.0087463883733618,0.00563227621619677,0.005761313814517,-0.000112137681943021,0.00414191271477023,-0.00526984531887077,-0.00507819098125487,0.00788350001348708,0.00486141438407951,0.00146877236814843,0.00263051031588753,0.017414828739137,-0.00325400586533339,0.00342227425852016,0.00207560693806541,0.0218152271609742,-0.00178698878358993,0.00839661636584686,0.01080196858522,0.00668936820849305,0.00138261477224616,-0.00512172237409515,0.0140244668649884,0.00484427023364364,0.000930710211155991,-0.00502511817519554,0.0172907957341293,0.00325158872845475,0.00581015757335814,0.00248207484353457,0.000238290466578484,0.0183530092238881,-0.00650819225927181,0.00727376496066807,-0.00252741576985977,0.00409736402057429,0.0265324786963294,0.00577836574297394,-0.00975608680242145,0.00750421209383362,-0.00130819816818319,0.000399369332778887,0.00054166845576945,-0.00460763807773786,0.0291068371611594,0.00409529126644364,0.00388198650137832,0.00287562509703574,0.00274867314351977,0.00529546646117478,103,132,78,0.324737878787879,0.0514565766602331,0.557904749144541,0.171235848928139,6.773,"4.951-9.266",3.941,"2.469-6.293",0.0611527921884786,0.0736363682056202,1.71859934026897,0.887888727692416,0.551711187352101,0.466798946154358,0.388282903484843,34,0,-0.000430986948291559,0.00315064101067732,0.891405710580187,"IgA",0.962466946314238,132,103,-0.000244871793467699,0.00315494898774171,0.93825830348861,0.9827987738508,0.962466946314238,0.965970574055784,"India (unexposed)","IND (neo-)","Species"
"2","t108981","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",-0.00114957798951822,-0.00171697506750264,-0.00196337732383642,-0.000148773636572733,-0.000376566240104002,0.000370125829393533,-0.00026495177460771,-0.0072821342638137,-0.0021479934819808,-0.00219881326259321,-0.00131632692437039,-0.00648614720963192,-0.00234683296217205,0.000170750811912819,-0.00212627804145901,-0.00407777328139014,-0.000846879871710886,-0.00754445264861722,0.00176943649535424,-0.00646707390830216,0.0021312961572839,-0.00221988539035416,0.00271582893637781,0.000953674275079289,-0.000701540504077537,-0.00284360867969215,0.00102216897975594,-0.00090300367551051,-0.00242873089850866,-0.000389229087713614,-0.00268269220313709,-0.00428667181858871,-0.00334251085396374,0.00222037074118397,0.00150205119736608,-0.00443445452607898,0.00459601787486065,-0.000293041925165051,9.02454744348161e-05,0.00199969800577847,-0.00372222893978069,-0.000746282163860268,-0.000994171507943428,0.000577127557029147,-0.000432190453518287,-0.00418112069727019,-0.00204063345824592,-0.00114066695946308,0.00111046553128531,0.00125439827145981,-0.00512363860353282,-0.00106674949185939,-0.00195589013991932,-0.00448113311925965,-0.00520598582711727,4.08419521920008e-05,0.0143054829420162,-0.000785249800632269,-0.00418394974097259,-0.00179375708737742,0.00318185957019027,0.00396565574312272,-0.00899144699907988,0.00247177910671531,-0.00306977702074219,-0.00268157779955558,-0.000911612620693723,-0.00392935191128904,-0.00290691605137929,0.000608750159933445,-0.000988569374256724,-0.000629700471929944,-0.000281658814845453,0.00042183996726733,-0.00117302443909766,1.5236225469954e-05,-0.00141185612857651,0.00150467540243279,0.00172360686540568,-0.00583074197015258,-0.00234923295881433,-0.0012299213113866,0.00499105033109161,0.000744351637132339,-0.000233723383867157,0.00442400530998798,-0.00120181524998277,0.000559470804001864,0.000831192641353219,-0.002073985365695,0.00354922374237213,-0.00183753643541467,-0.00220695369830967,-0.000739443111928613,-0.00341440186552992,-0.000741840987766005,-0.000976014813588019,-0.00313613307363105,-0.00260772486053887,0.000850981212484853,-0.00146356048051622,0.00239918035739792,23,132,17.4,0.000228787878787879,0.0532059106694293,0.544578055680738,0.457035861564804,7.914,"3.506-17.866",5.675,"4.299-7.492",0.0317534363759071,0.0826898775939943,1.39453744493392,0.887888727692416,0.796126984661272,0.466798946154358,0.388282903484843,199,0,-2.58676056796167e-05,8.18827260050121e-05,0.752577135274585,"IgA",0.938288722899527,132,23,-3.91208784033059e-05,8.74438732283098e-05,0.655373038936959,0.942455621554154,0.938288722899527,0.898510819560455,"India (unexposed)","IND (neo-)","Species"
"3","t111015","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis","Actinomyces radicidentis",0.0011706659500442,0.000182979614512276,0.000672525034900464,-5.73666169521182e-05,0.000271460255009475,-0.00118565065974317,0.00185793801200902,-0.000379792272426809,0.00016444465548724,-2.30730747765413e-05,0.000151494730470812,-0.000288217896399371,0.000109588600944218,-0.0013437688655402,-0.000807255411369237,-0.000501326776449722,-0.000150540064710833,-0.000479080212190435,-0.000631958586151345,-0.000400309545394342,-0.00371951283732245,-2.10632076492474e-05,0,-0.000592175441806026,-0.000287335141104933,-0.000512515385996434,-0.000590234183551201,-0.000731507334333133,-0.00048191184253046,0.00014142542116567,-0.00031823189008061,-0.00128431350966682,-0.00119375465490188,0,-0.00128838069394729,-3.52935868531624e-05,-0.000555480714526644,0.000109900128602658,0.000567155619233683,-0.000143527942747223,0.000304065752622042,0.000330052718277874,-0.000297712903033636,0.000245415426421353,-4.61965198570814e-05,-0.000167187626973964,-0.000421044652912181,2.14986596288207e-06,-0.000174429013216444,-0.000863053703884325,0.000676571375146146,-0.000556072124543497,-0.000707749251062801,-0.00033779289393519,-0.000149192504724455,-0.000746878654118701,-1.07471991080825e-05,1.87005253677292e-05,-0.000409524355582132,7.70668380944994e-06,0.000462865372770999,0.000257192568080592,-0.00188908367874154,-0.000188883125647785,0.000573964222194898,9.74312540341506e-06,-0.000293736742864937,8.44893009657516e-05,0.000261342529726029,-0.000286910970214972,0.000625826824191417,0.000597472546771137,-0.000347318906409981,-0.00203756229106665,-0.00030334160964694,0.000118448775786147,-0.000260267264036174,-0.000340577908684022,-9.90610697871743e-05,-0.000987761910178869,0.000348994314945815,-0.00275949449251259,-0.00081180901587265,0,-0.00222530821211538,-0.00118555358937894,-0.00120985412194726,-0.00165117564727385,0.000108446818466745,0.000514300285225284,-0.000575415262434728,-0.00131707291181656,-4.4625705786983e-05,-0.00173024967205187,-0.0018062578878541,0.000264289670272307,0.000163565618426573,-0.00367296379832056,4.90436599640919e-05,4.1190871290083e-05,-0.000403392869456042,0.000730689129533604,16,132,12.1,0.040755303030303,-0.0221024803062285,0.801386098880318,0.844630539887363,5.32,"2.57-11.011",6.116,"4.583-8.162",0.621409726692621,0.693274833512194,0.869849574885546,0.964465798948901,0.951893165663988,0.818442079058574,0.831929800214633,148,0,-0.00073558315652391,0.00114896305421495,0.52315974817236,"IgA",0.892664185692698,132,16,-0.000696775215954576,0.00116817767874266,0.551944381897984,0.935664122873389,0.892664185692698,0.880225027340576,"India (unexposed)","IND (neo-)","Species"
"4","t113107","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis","Streptococcus australis",5.23787709400181e-05,-0.00792825644233931,0.00409764994684138,-0.00370709077654154,0.00220943733924315,-0.00232364137415155,0.00374352729230276,-0.000286969388742565,0.00949433742067218,0.00220814843377435,-0.00218913440330801,0.00406998030557437,-0.00354996431356877,-0.00745581972447684,-0.00175337124144709,-0.00149644530247886,0.00923889145550254,-0.000528725399116184,-0.00201477122932228,0.00795228705419588,-0.000305089548712461,0.00171398423362733,-0.00169179595041946,9.44236206364045e-05,0.00132587905826032,-0.0123195019817209,0.00096500605041274,0.00246867990462564,-0.00105071510361447,0.000265537754752752,-0.00482753439943043,-0.00391699726834012,0.00132380412239034,-0.00591915346019166,0.0131251176823666,0.00356459971948042,0.00359588446965617,-0.00355339063949746,-0.00218131921056887,-0.0037649241248469,-0.00480023767348814,-0.0092061641848586,0.00772143273299896,0.00360616213328033,0.00257551882405767,-0.0081628854517318,-0.000131840279356905,-0.00254559705253082,0.00568634813621996,0.00603305949235955,-0.0107045020057661,-0.00210599788626146,0.00223098644909813,0.00577787318010982,0.00168665622974509,-0.00672776451811915,0.00200505155624286,-0.00202447760285577,-0.00263868114603155,-0.000158419525638986,0.00703898617962094,0.00160091112099922,-0.00824274998311164,0.00128910103517855,0.00135757323065228,-0.00644955948469284,0.000153534672453891,-0.0100978665275057,0.00118497165597138,0.0048244529971134,0.00636426231062665,0.0012669724098252,-0.0072972535994458,-0.000454204253847485,-0.00159166374357684,0.00582310341820076,-0.000506163262245599,0.00246936475227691,0.00796819925899159,-0.00187355229044402,0.000164060404977507,-0.00481742271613277,-0.00422255014137249,0.00138484558184915,0.00920957873431647,-0.00222021415535774,0.000860579460448241,-0.00617268458384578,0.00616020545297222,0.00209645940181607,-0.0107441714705826,-0.00622627696683833,-0.00825386887531775,0.00560226666975259,0.00478541319422881,-0.00169721396584315,-0.00548517269278173,0.00534019647166259,0.00268078106510995,0.00203734402485724,0.00262752662628929,0.00410128355414094,130,132,98.5,0.0173719696969697,-0.0217681236622092,0.804329906069732,NA,NA,NA,NA,NA,NA,NA,NA,0.964465798948901,NA,NA,NA,36,0,0.000320691859184577,0.000420664145220184,0.447234185411531,"IgA",0.868581605258152,132,130,0.000214775557843778,0.000436987039903087,0.623940545358402,0.937451484680809,0.868581605258152,0.898510819560455,"India (unexposed)","IND (neo-)","Species"
"5","t1134687","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis","Klebsiella michiganensis",0.0073276094384294,0.00028736586551712,0.00102903614492452,-0.00768248754258539,0.0107815574004724,-0.00384550443569371,0.00189336595414564,0.00219418615812327,0.0107039019526923,-0.00196683048660843,0.00349815820108717,0.00133259222341909,0.000253945387765042,-0.0105712511401304,-0.000236290621356029,-0.00455728712032179,-0.00373576526293195,0.000569669994335268,0.00139607233400377,0.00443788906762141,0.000567040860215679,-0.00407977151866053,-0.00554816560060228,-0.00640070468616856,-0.00197336475755812,0.00361003809036047,-0.00141852590403643,-0.00605677150423161,-0.00271433104093831,-9.2342583597144e-05,0.00388415196835851,-0.00578372202006713,0.000367024971761969,-0.00279771584633209,0.00497980680757059,-0.000377967409260937,0.00710928740855549,-0.00884208393051285,0.00651965625069903,-0.000734261375789455,0.000262577854773205,0.00445228984784234,0.00280155637182012,-0.000494682090175127,-0.00072581945862167,-8.19438725041091e-05,0.00169330119666914,-0.00834008932664161,0.00680474158491829,6.71278509472309e-05,-3.98525251309516e-05,0.00265505128084174,0.0149803364451187,-0.00610392431349612,-0.0023881953457998,0.00530886505649014,-0.000143252673250077,0.00529129471225597,0.00176889955783334,-0.00127955915267284,0.000333415683379269,0.00205990732046858,-0.00444557237209722,0.0019296405101137,-0.00399713369782545,-0.00116988603442167,0.00839944625796952,-0.00388735279740181,-0.00290235689043537,-0.00282753706073085,-0.00515397667254635,0.00185110780678024,-0.000948892594063951,-0.000665494471663184,0.00149063232415156,-0.000268197276925952,-0.00349596613048425,0.00241308778408408,-0.00960722415828794,0.00224427718654541,0.00462406526814066,0.00337592961316528,-0.000197243494237509,-0.00180416184779208,0.00140607968825228,-0.00224436014742968,-0.009946125667805,-0.000547792757895754,0.000780650967933989,-0.0019659889961653,-0.000702706490029801,-0.00264662656898081,0.00664077292520984,-0.00667191916317267,-0.00060208921073515,-0.00285278747795683,-0.0011375696237119,0.000883361466491493,0.00449227708668132,-0.00688252333219722,-1.32282877048289e-05,0.00371182034377874,91,132,68.9,0.0113856060606061,0.0803117055348885,0.359973845298063,0.647941537957401,6.068,"4.485-8.209",5.896,"3.4-10.223",0.262329298382923,0.142827894842969,1.0291723202171,0.84455402166084,0.895779745986706,0.584622281647765,0.434518666001145,103,0,0.000404317318027754,0.000495533090853842,0.416036127098219,"IgA",0.868581605258152,132,91,0.000313645471198881,0.000500875555047084,0.532329250016122,0.933148922643178,0.868581605258152,0.871617979554664,"India (unexposed)","IND (neo-)","Species"
"6","t1156431","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-G2","Streptococcus sp. I-G2",0.00328718174363285,-0.00598101877002821,-0.00180127381483806,-0.0149511284014732,0.00259692323028175,-0.004440954208058,-0.0078433735949315,-0.00357339666291457,-0.00746223716516325,-0.00298694240945528,-0.00867806325191633,-0.00249776990483177,0.00108138889927954,-0.00433632689492773,-0.00191491642877801,-0.00701000704175277,0.0111816107838875,-0.00549803325413892,0.0055800096597634,-0.00622609223873146,-0.00735465482768042,-0.00616594757834506,0.000194994237476858,0.00445949188817524,-0.00269331174732568,-0.00990927713766115,-0.00516095037661079,0.00470560426688724,-0.00460747493884766,-0.000761797466797146,-0.00908656888638241,-0.000313069371629571,-0.00824608012201845,-0.000341970910437132,-0.000439525152506347,-0.0039693997578022,-0.00945514774755203,-0.00669117282093949,-0.00640828430829403,0.0104046399491581,-0.0137282806527504,-0.00690976717542291,-0.00259250003350339,-0.00492118774456583,-0.0129551475145239,-0.0106772457129409,0.00388693857151919,-0.0059773531219207,-0.00678787576333767,0.00228199192173302,-0.00298770109689137,-0.000471341323146477,0.00110340202214808,-0.00410866261421341,-0.00583078307592197,-0.00380783798492612,-0.000668478570880534,0.00279458502376265,0.000849878320341949,0.00279870990746293,-0.00329012997249112,-0.00285544656810119,-0.00459081913361786,-0.00381110962672991,-0.00358225784397637,-0.00213258863830956,-0.00192480457996756,0.00886187555246556,-0.0018127254221265,0.00128745953256303,0.000684487408386571,0.00340120291186687,-0.00799940607255661,-0.00399642762585358,0.00070399786364086,-0.00119137700145424,-0.00209076857507001,-0.00427604688203529,-0.00130983085983236,0.00227927421647563,-0.00516064360067491,0.00221182621835423,-0.010404032178695,-0.00173555650852719,-0.00136662587633617,-0.00499489563007433,0.00200765400446521,-0.00420616368564121,0.000532241540070486,-0.00167078738160016,6.81738288004061e-05,0.00555730140898093,-0.00112382039613809,0.000166005333543988,-0.00137145039739392,0.00304078483237962,-0.00639822738753146,-0.00238854661673191,-5.2385275161666e-05,-0.000122908033900772,-0.000978477447296594,0.00457017061796701,124,132,93.9,0.00934242424242424,-0.0230032014979381,0.79346976180153,0.432434805499373,5.853,"4.46-7.681",9.157,"2.08-40.307",0.352661067127578,0.285084100086317,0.639183138582505,0.964465798948901,0.778382649898871,0.674242631730509,0.60428915821233,179,0,0.00015042547313665,0.000307892206375392,0.625972573335354,"IgA",0.919729574994066,132,124,0.00013275669599251,0.000321936776581201,0.680775463718729,0.948553007510233,0.919729574994066,0.898510819560455,"India (unexposed)","IND (neo-)","Species"
"7","t1156433","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-P16","Streptococcus sp. I-P16",0.00451435972943254,-0.00371638660683867,-0.00242898116645712,0.00464772268649395,0.00654263835535406,-0.000808568681529956,0.00481728322642179,-0.00287021642549783,0.0298940622853344,0.00277311950398588,0.0134651603573331,-0.011194183860972,-0.0054918452225915,0.0107659165821705,-0.00247869921772869,0.00756462204120794,0.0233258951597568,-0.00655032316382115,-0.00460380305129376,-0.0028393335121614,0.00109317426664303,-0.00554209489170326,-0.000645323915872145,0.00697679042108283,-0.00232276932178353,0.00398939796324351,4.92149957677481e-05,0.00234272500846573,-0.000476060273238445,0.00490909621134984,0.00444791919895315,-0.0121744752304164,0.00228375096515368,-0.0046270406017659,-0.0112865894865718,-0.00589475306285729,-0.00265036430212144,-0.00669302733513687,0.00581582570277446,0.00369028487498989,4.80998478640367e-05,-0.00192806449690728,0.00688827428062478,0.00135550260090365,-0.00236917138600714,0.00263018241922703,-0.00027586564144987,0.0138863667699496,0.000945689415412294,-0.00100754266021296,-0.0118678405742354,0.0016395983331555,-0.0074369577204866,-0.00320187754105596,0.000631248298421736,0.00479824763888316,-0.0127028311394589,-0.00606270846504569,-0.000508209926133368,0.00101515234513838,0.00332681396861481,0.0046047293821157,0.00932120450034635,0.00921305946954569,-0.00219973380290371,-0.000540176953610105,0.00791528908144652,0.0151056986413766,0.0160016526590095,-0.000782007139448027,0.00621537792997716,0.0187235901649253,0.00695447752435023,-0.00962990374910391,-0.00250514022029942,0.0104837493993902,-0.00714059209901301,-0.000639775725394722,-0.00377974228107348,-0.00329569287951851,-0.00977311487376302,0.000320268574470535,0.0100670364971542,0.0130180283561908,0.0212753009091745,0.0110172787554729,-0.00683878382287961,0.00624689049902646,0.016029314109069,-0.00388660572450661,0.00449163474068404,0.0032230589811502,-0.0116325412890593,0.00696225564304016,0.0326561515169362,-0.00335148472621589,-0.00143731902356533,0.012739277454246,-0.00861210544550742,-0.00416638056856023,0.00171766630478242,0.00962006184673743,122,132,92.4,0.00726060606060606,-0.0845168657137648,0.335289388545805,0.122282614079612,5.625,"4.297-7.363",13.595,"3.617-51.1",0.0240491203582162,0.02070493098237,0.413755057006252,0.826369806112894,0.524222490648079,0.466798946154358,0.388282903484843,46,0,3.95462158748746e-06,0.000290170581401985,0.989147172669571,"IgA",0.995814550667083,132,122,5.73263463929561e-06,0.00030291215859437,0.984931052895685,0.992387516475763,0.995814550667083,0.988984267105133,"India (unexposed)","IND (neo-)","Species"
"8","t116085","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus","Coprococcus catus",-0.00172391485863403,0.000135646597492084,0.00117860784484033,-0.00141199216656091,0.00346811270980266,-0.00406146358129841,-0.00286954171952768,-0.00157052984627439,0.00261764818367633,-0.00243471399807022,-0.00117580182790138,-0.00254644045486483,0.00189220547144882,-0.000166064464279623,0.00438013626366366,-0.0019108991414153,0.00219092073556303,-0.000624919696175346,-0.00111741936881852,-0.000705594374090127,-0.0014993032276102,0.000812702171959985,-0.00262228720393678,-0.000501875082149095,0.0012901031556092,-0.00199445218731429,0.000877661732688759,-0.00109206784547712,0.000332866882477467,-0.000461741531844216,0.00234808703958911,0.000266695685624812,-0.00251314508672308,0.000180370555853533,0.00104522048150251,0.00121602685127069,0.00064900680289202,-0.00215191673738915,0.0017987908259898,0.000737900675769802,-0.0039274873158009,-4.37714950247219e-05,-0.00134126692440204,0.000262090207956201,-0.00570094539525752,-0.00519448533026756,0.000235329908059247,-0.00600435578414707,-0.000429045021676694,0.00205044420084145,-0.00492715284217424,-0.000106832723959474,-0.00546820061402445,-0.00292623640352058,0.000121584714710695,-0.0013455122413783,0.00243742112953656,-0.00347142490054479,-0.000408421899857477,-0.000612273121930188,-0.0028113219960059,-0.00348131572292195,-0.0015745752271,-0.000967248765561536,0.00143113488305939,0.00233864422419845,-0.00221645736287581,0.00561587160546744,0.000167277855408763,-0.00101992432280737,-0.000880973368565656,-0.00210323455510958,0.00373442473036436,-0.00117397087264506,0.00231938536102847,-0.00498798183114009,0.00401667460065025,-0.00147161926181582,-0.00269848864709924,9.08242185019038e-05,-0.00164837990822847,-0.00155908665415947,0.00194832930326103,-0.00337858479920258,-0.00185192327467782,0.000615330838811322,-0.00519669842331572,-0.00124635558605145,-0.00345358752747152,0.00259928398983216,0.00750387916173641,-0.00146058199767073,-0.00222552858982881,-8.900159636867e-05,0.00441381756618891,0.000108964932412432,-0.00117100227598802,-0.00482571211778303,-0.00507541545886339,-0.00210856207695369,0.000452613506243982,0.00247876388855425,55,132,41.7,0.0109924242424242,-0.0626464375495313,0.475469354581138,0.381183176108302,4.992,"3.433-7.26",6.869,"4.735-9.966",0.285378974999104,0.380177005704417,0.726743339641869,0.878857881799429,0.736636603111652,0.616418585998064,0.624687691354018,73,0,-0.000121050263302969,0.000546024093290284,0.824899975087042,"IgA",0.938288722899527,132,55,-0.000205967727013423,0.000581257175671246,0.72367463574537,0.951259968848386,0.938288722899527,0.91827813520692,"India (unexposed)","IND (neo-)","Species"
"9","t1177574","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni","Prevotella jejuni",-0.000568368894357241,0.001314316723463,-0.00191479962358796,-0.001809352003567,0.000998011152285044,-0.00344988700120971,-0.00266943888664751,-0.00558756933648693,-0.00379345884654987,-0.00351436331717982,0.00300445418953799,0.00114567007038161,-0.000207806843276623,0.00240184384239978,-0.00507508295410104,-0.000327869287060643,0.00154813950474576,-0.00103341092925475,0.000511035416927936,-0.00140758320709811,-0.00138735738062018,-0.000576686756563262,-0.00130138355935998,-0.00167872365859222,-0.000119792218695272,-0.00350323741323856,-0.00105885273709113,-0.00116400069214281,-0.00114057618287815,-0.00538070453246778,0.0035133057639376,-0.00530361623952892,-0.003737267006482,0.00235456245380084,-0.00291096673738339,-0.00407453271037777,-0.00222117995443819,-0.000788725282359563,-0.00730908893395344,0.0016667484619527,0.00701308792847859,-0.00492934077097799,-0.00208739072136695,-0.00225192000411092,-0.000371566330046941,-0.00633432122012859,-0.00492780165327085,-0.00308417720229964,-0.00270810613067643,-0.00341831029800655,-0.00149852973474657,-0.000900316041755801,-0.00208397048628383,0.0078644010042576,0.00273631475316282,-0.000664124908168438,-0.00408933813151971,0.0076945220200688,-0.000610001903135428,-0.00249172430660142,0.00192188109419107,-0.00132129573095293,-0.000571730853938421,0.00186121661077217,-0.00418325340309257,-0.000109386192471696,-0.00339567775836627,-0.000369950569632498,0.000217120600475835,-0.00491782963723041,-0.000267987134953959,-0.000185370423060309,-0.00142244373909694,0.00150642366820722,-0.00214946215300806,0.00220950651140451,3.24453587715209e-05,0.00417364908490799,-0.00101232019758126,0.00257318258254089,3.32406584511607e-05,-0.00332609703561617,-0.00283563700744945,0.000454914883145491,0.00142979776347576,-0.00149709920169608,0.00171009398259289,-0.000242031879240889,7.63411001636422e-05,-0.00226265069842954,0.000207417879730381,-0.00393111137285159,0.000467650826724502,-0.00068874987151608,0.000859658626439986,-0.00343688170296881,-0.0029152871125589,0.00706355716114255,-0.00460818545231361,-0.00387368253795555,-0.00159066294957196,0.00263630461155152,47,132,35.6,0.00209772727272727,-0.102895310824376,0.240374070433439,0.305045199619255,5.027,"3.167-7.981",6.64,"4.781-9.222",0.99855408413943,0.70164131021397,0.757078313253012,0.750975258352004,0.705806468220203,0.99855408413943,0.832717159374822,205,0,-0.000356262100685561,0.000248961043174757,0.154831031160905,"IgA",0.626931320487793,132,47,-0.000460052566573277,0.000262756295229563,0.0824212014244298,0.666518158904413,0.626931320487793,0.582060572664016,"India (unexposed)","IND (neo-)","Species"
"10","t1260","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna","Finegoldia magna",-0.00113420235071168,0.00195545003665639,-0.00861944102042867,-0.00567908381286052,-0.00587751899959721,-0.00264207783373483,0.00216316753646097,-0.00109301065308928,0.00385013706076925,0.00362936846375462,0.00688775465302273,-0.0114308325863584,0.00360003485958889,0.00164057067108459,-0.00337641943943332,-0.000873972193192241,-0.00739049819477275,0.00421051119906801,-0.000218168000462369,0.00303065299683777,-0.00887658576547684,-0.00666838596765453,-0.00457816027806147,-0.00476679241820651,-0.00110015712387422,-0.00395581095033852,-0.00619230985579666,0.00176347256186567,0.00213977931916821,0.000140990431763259,-0.00529626315548206,-0.00612879099833343,-0.00103251926159016,0.000572586918927631,0.00268448174325736,-0.0036055864389414,0.00181531813731338,-0.00687513605764688,0.00320792447490705,-0.00175948901057447,0.00663194737108968,0.0033452766515473,-0.00161707646944646,-0.00457928774061025,0.00065731613227742,0.00791800367954468,-0.00144481730031495,-0.00244044345701615,-0.00394918857318634,-0.00225312606334256,0.00467407353799934,-0.0085964186749486,0.00276308627139669,-0.00217674214257272,0.000154241855213884,-0.000613023222947661,0.0164321302888758,0.00304947654189743,-0.00139898972943889,0.011001351280724,0.010718086121296,-0.000882749501070254,-0.000300407638175843,0.001344097897688,0.00011906176774182,-0.000458647389141526,-0.0058300874143755,-8.89948051064759e-05,-0.000742754055315337,0.000875357490575682,0.000528493424690702,0.00652750238689839,0.0106821058367926,0.00272780817239397,-0.0043623957129567,-0.00190618474692819,0.00155072448828817,0.0160244674913441,-0.00178742418881182,-0.00013341092426521,-0.0102123624236877,-0.000318561711017374,-0.00855134671700714,0.0028883330936993,-0.00600101384071593,-0.000965652921450242,-0.00894215896910669,-0.00499544248550505,-0.00375240246570219,0.00319050665015745,0.00175332142427898,-0.00200544769647284,-0.00192435698050286,0.00138305925861842,0.0048443245590684,0.00184221637411261,-0.00609070896408251,-0.00512510461912754,-0.00282320932043369,0.00795980843486317,0.000671196534573759,0.00429340618571177,100,132,75.8,0.00699545454545455,-0.0455681391990755,0.603880540513344,0.373376951021471,5.648,"4.18-7.633",7.315,"4.076-13.129",0.501619722161571,0.404114143037579,0.772112098427888,0.909548468427506,0.736636603111652,0.757691328579715,0.62797593450444,68,0,-0.000178666638697716,0.000382636965205763,0.641327924232563,"IgA",0.919729574994066,132,100,-0.000323180875124936,0.000392420613849455,0.411759643464766,0.897047794691098,0.919729574994066,0.82018706363928,"India (unexposed)","IND (neo-)","Species"
