"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.002,0.0541193750856589,226,0.0468,0.178541538340169,56
"B1.F2",0.0099,0.0998377570926496,225,5e-04,0.0545856286890519,57
"B1.F3",0.0077,0.10492692867366,226,0.0179,0.110017100446613,56
"B1.F4",0.0121,0.107263677098253,226,0.0018,0.00164203687806707,56
"B1.F5",0.032,0.164168960153202,225,0.0199,0.132788581135476,57
"B2.F1",1e-04,0.032873540341899,225,0.0265,0.243530750351197,57
"B2.F2",0.0126,0.10885271646765,225,0.0015,0.0327199127832712,57
"B2.F3",0.04,0.210637340604129,226,1e-04,0.0316581215082547,56
"B2.F4",0.0058,0.077270166654334,226,0.0711,0.198601928000139,56
"B2.F5",0,-0.00704186358628243,226,0.0108,0.112644287931913,56
"B3.F1",0.01,0.110534041461701,226,0.0148,0.100940011728914,56
"B3.F2",0.0044,0.0861826940425852,225,0.0029,0.109041446132708,57
"B3.F3",0.032,0.179367249109145,226,0.0043,-0.0415042759298285,56
"B3.F4",3e-04,0.013861823335185,226,0.1039,0.346940191215732,56
"B3.F5",0.0498,0.211100441770559,225,0.0033,-0.0403270495596514,57
"B4.F1",0.0066,0.0889648163820341,226,0.051,0.200807426546952,56
"B4.F2",0.0141,0.13218008611895,225,0.0055,0.0340669674825135,57
"B4.F3",3e-04,0.00543154952057269,225,0.0435,0.230350054955345,57
"B4.F4",0.01,0.108489019741238,226,0.01,0.148072181768422,56
"B4.F5",0.0028,0.0108227542356858,226,0.026,0.163177414757915,56
"B5.F1",0.0011,0.0722247299663568,226,0.0409,0.188971565000531,56
"B5.F2",0.0074,0.091807497852719,226,0.0456,0.256681933746193,56
"B5.F3",0.0449,0.20762127475845,226,0.0207,-0.115489927090717,56
"B5.F4",0.0044,0.0726914730334362,225,0.0306,0.224154704159932,57
"B5.F5",0,-0.0142835609224611,225,0.0229,0.155228067862155,57
"B6.F1",0.0239,0.148872308028955,226,1e-04,0.0225602464412744,56
"B6.F2",0.0029,0.0683920489698591,226,0.0315,0.148835930644771,56
"B6.F3",0.0084,0.106856507582262,226,0.0357,0.163736031864472,56
"B6.F4",0,0.026152568562171,225,0.075,0.256909409199007,57
"B6.F5",0.006,0.0607392686021094,225,0,-0.00149089259404427,57
"B7.F1",1e-04,0.026774895519653,226,0.0771,0.311943289166639,56
"B7.F2",0.0261,0.13917053453767,226,0.0243,0.168011795731534,56
"B7.F3",0.0274,0.169715621220552,225,0.0031,0.0210336665986069,57
"B7.F4",6e-04,0.0292361666562738,225,0.0394,0.148060503626259,57
"B7.F5",9e-04,-0.00862111613015472,226,0.0996,0.275826712106677,56
"B8.F1",0.0073,0.0904426720679452,225,0.0238,0.15701155307887,57
"B8.F2",0.007,0.0980699164734378,226,0.0195,0.154400959356419,56
"B8.F3",0.011,0.110115814466098,226,0.0317,0.15350428247523,56
"B8.F4",0.0121,0.143455756560688,226,0.0111,0.115695181700476,56
"B8.F5",0.0087,0.123276047238372,225,0.0913,0.275302791192077,57
"B9.F1",0.0366,0.1776764859554,225,0,-0.0169268960568299,57
"B9.F2",0.0073,0.101601493980117,226,0.0043,0.0181880352509627,56
"B9.F3",3e-04,-0.0227136328323447,225,0.1015,0.304398724232763,57
"B9.F4",0.0169,0.117535525150992,226,0.0086,0.0795897482410549,56
"B9.F5",0.0125,0.126220918542533,226,0.0056,0.0692467215286995,56
"B10.F1",0.0118,0.113545764643322,226,0.0083,0.13340175082647,56
"B10.F2",4e-04,0.0102190084526796,225,0.055,0.263451922531346,57
"B10.F3",0.0134,0.143372012441621,226,0.0233,0.164545778822971,56
"B10.F4",4e-04,0.0460706607865706,225,0.0638,0.238640982525266,57
"B10.F5",0.0324,0.186766174855455,226,0.0424,-0.25654445903619,56
"B11.F1",0.0382,0.183700153345957,226,0.0025,0.0785842664443034,56
"B11.F2",0.0011,0.0456139352845753,225,0.0488,0.19539837713245,57
"B11.F3",0.0041,0.0844178623540351,226,0.052,0.179102108513076,56
"B11.F4",5e-04,0.000420151247654605,225,0.1185,0.335911333817435,57
"B11.F5",0.0159,0.125561647156975,226,0.0143,0.119603488330332,56
"B12.F1",0.0039,-0.0586713707091025,226,0.0338,0.150274289845664,56
"B12.F2",0.0208,0.140142285179377,226,0.0065,0.0665196819084804,56
"B12.F3",0.0014,0.0721412410777002,225,0.0111,0.116139303083154,57
"B12.F4",0.0231,0.15125722037032,225,6e-04,0.0281676448547138,57
"B12.F5",0.0325,0.177597388064268,226,0.0072,0.000136752144744081,56
"B13.F1",0.0081,0.100816927452159,226,0.0407,0.181121413768622,56
"B13.F2",0.001,0.0379687738501487,226,0.0042,0.0734359017275713,56
"B13.F3",0.0012,0.0472356240679763,225,0.0273,0.12199038882336,57
"B13.F4",0.0259,0.184459588094855,226,2e-04,0.0123792447575447,56
"B13.F5",0.0113,0.119646920574409,225,7e-04,0.0323083044901781,57
"B14.F1",0.0049,0.101024509692092,226,0.0168,0.0896278462611611,56
"B14.F2",0.014,0.142005893735681,225,0.006,0.111557422351558,57
