"","FP","TP","TN","FN","accuracy"
"B1.F1",2,1,7,8,0.444444444444444
"B1.F2",5,5,4,4,0.5
"B1.F3",4,7,5,2,0.666666666666667
"B1.F4",6,4,3,5,0.388888888888889
"B1.F5",6,4,3,5,0.388888888888889
"B1.F11",4,4,5,5,0.5
"B1.F21",8,4,1,5,0.277777777777778
"B1.F31",4,6,5,3,0.611111111111111
"B1.F41",4,7,5,2,0.666666666666667
"B1.F51",1,5,8,4,0.722222222222222
"B1.F12",7,3,2,6,0.277777777777778
"B1.F22",5,3,4,6,0.388888888888889
"B1.F32",6,5,3,4,0.444444444444444
"B1.F42",3,3,6,6,0.5
"B1.F52",4,3,5,6,0.444444444444444
"B1.F13",2,5,7,4,0.666666666666667
"B1.F23",3,6,6,3,0.666666666666667
"B1.F33",5,5,4,4,0.5
"B1.F43",2,5,7,4,0.666666666666667
"B1.F53",4,6,5,3,0.611111111111111
"B1.F14",4,6,5,3,0.611111111111111
"B1.F24",4,5,5,4,0.555555555555556
"B1.F34",4,6,5,3,0.611111111111111
"B1.F44",6,4,3,5,0.388888888888889
"B1.F54",6,2,3,7,0.277777777777778
"B1.F15",6,5,3,4,0.444444444444444
"B1.F25",5,4,4,5,0.444444444444444
"B1.F35",5,4,4,5,0.444444444444444
"B1.F45",3,3,6,6,0.5
"B1.F55",5,2,4,7,0.333333333333333
"B1.F16",4,6,5,3,0.611111111111111
"B1.F26",3,4,6,5,0.555555555555556
"B1.F36",1,6,8,3,0.777777777777778
"B1.F46",4,4,5,5,0.5
"B1.F56",7,4,2,5,0.333333333333333
"B1.F17",5,5,4,4,0.5
"B1.F27",4,2,5,7,0.388888888888889
"B1.F37",7,6,2,3,0.444444444444444
"B1.F47",4,5,5,4,0.555555555555556
"B1.F57",3,5,6,4,0.611111111111111
"B1.F18",5,4,4,5,0.444444444444444
"B1.F28",4,7,5,2,0.666666666666667
"B1.F38",4,4,5,5,0.5
"B1.F48",5,5,4,4,0.5
"B1.F58",2,3,7,6,0.555555555555556
"B1.F19",5,6,4,3,0.555555555555556
"B1.F29",3,4,6,5,0.555555555555556
"B1.F39",6,5,3,4,0.444444444444444
"B1.F49",6,7,3,2,0.555555555555556
"B1.F59",2,2,7,7,0.5
"B1.F110",4,3,5,6,0.444444444444444
"B1.F210",3,6,6,3,0.666666666666667
"B1.F310",5,6,4,3,0.555555555555556
"B1.F410",5,6,4,3,0.555555555555556
"B1.F510",5,5,4,4,0.5
"B1.F111",4,5,5,4,0.555555555555556
"B1.F211",2,5,7,4,0.666666666666667
"B1.F311",4,6,5,3,0.611111111111111
"B1.F411",4,5,5,4,0.555555555555556
"B1.F511",4,5,5,4,0.555555555555556
"B1.F112",6,4,3,5,0.388888888888889
"B1.F212",1,4,8,5,0.666666666666667
"B1.F312",1,4,8,5,0.666666666666667
"B1.F412",5,5,4,4,0.5
"B1.F512",5,6,4,3,0.555555555555556
"B1.F113",7,2,2,7,0.222222222222222
"B1.F213",5,8,4,1,0.666666666666667
"B1.F313",4,4,5,5,0.5
"B1.F413",3,2,6,7,0.444444444444444
"B1.F513",6,2,3,7,0.277777777777778
"B1.F114",5,3,4,6,0.388888888888889
"B1.F214",3,6,6,3,0.666666666666667
"B1.F314",4,3,5,6,0.444444444444444
"B1.F414",5,7,4,2,0.611111111111111
"B1.F514",6,6,3,3,0.5
"B1.F115",6,6,3,3,0.5
"B1.F215",2,2,7,7,0.5
"B1.F315",5,4,4,5,0.444444444444444
"B1.F415",5,3,4,6,0.388888888888889
"B1.F515",6,5,3,4,0.444444444444444
"B1.F116",1,4,8,5,0.666666666666667
"B1.F216",3,5,6,4,0.611111111111111
"B1.F316",7,4,2,5,0.333333333333333
"B1.F416",5,4,4,5,0.444444444444444
"B1.F516",5,5,4,4,0.5
"B1.F117",6,3,3,6,0.333333333333333
"B1.F217",5,6,4,3,0.555555555555556
"B1.F317",5,7,4,2,0.611111111111111
"B1.F417",4,4,5,5,0.5
"B1.F517",4,5,5,4,0.555555555555556
"B1.F118",5,5,4,4,0.5
"B1.F218",0,4,9,5,0.722222222222222
"B1.F318",4,6,5,3,0.611111111111111
"B1.F418",4,4,5,5,0.5
"B1.F518",8,8,1,1,0.5
"B1.F119",5,6,4,3,0.555555555555556
"B1.F219",2,6,7,3,0.722222222222222
"B1.F319",3,3,6,6,0.5
"B1.F419",4,4,5,5,0.5
"B1.F519",4,4,5,5,0.5
