feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t1812935	age_at_first_dose	age_at_first_dose	0.010353201793533	0.00102839711727279	282	202	1.68584610531712e-20	2.47819377481616e-17
t61645	age_at_first_dose	age_at_first_dose	0.0015597039577297	0.000228786776733489	282	137	5.86751020652356e-11	4.31262000179482e-08
t315405	breastfed_child	nonexclusive	0.0200738776005518	0.00301725655415071	282	226	1.54721475785764e-10	7.58135231350241e-08
t2500542	age_at_first_dose	age_at_first_dose	0.00197829533809438	0.000309418112613416	282	22	6.92192051676532e-10	2.54380578991126e-07
t550	breastfed_child	nonexclusive	0.0666660066339203	0.0106460199405737	282	221	1.45629065970462e-09	4.28149453953159e-07
t102684	breastfed_child	nonexclusive	0.0481368440017767	0.00787404369028091	282	229	3.33188296177685e-09	8.16311325635327e-07
t158836	breastfed_child	nonexclusive	0.027162884543369	0.00452263086749664	282	228	6.00309934927345e-09	1.26065086334742e-06
t2058152	breastfed_child	nonexclusive	0.00794921917647709	0.00133929841897384	282	124	8.80646321366322e-09	1.61818761551062e-06
t2684658	breastfed_child	nonexclusive	0.00502014994743493	0.000850754273249484	282	57	1.06087518477095e-08	1.73276280179255e-06
t470	breastfed_child	nonexclusive	0.0085909601605306	0.00149244643195063	282	114	2.2925179392318e-08	3.37000137067074e-06
t2698804	breastfed_child	nonexclusive	0.00599473671830574	0.00105703472060091	282	80	3.58362586732411e-08	4.78902729542404e-06
t61645	breastfed_child	nonexclusive	0.00489944328969565	0.000899007531765165	282	137	1.12099188527135e-07	1.37321505945741e-05
t83655	breastfed_child	nonexclusive	0.00303729827339292	0.000604112436111996	282	115	8.96239608649599e-07	0.000101344017285762
t1812935	breastfed_child	nonexclusive	0.0202176747375661	0.00404104103949507	282	202	1.00777306066336e-06	0.000105816171369652
t216816	breastfed_child	nonexclusive	-0.31753194953026	0.0696409268433132	282	282	7.72376908010144e-06	0.000756929369849941
t28141	breastfed_child	nonexclusive	0.00688952612225093	0.00154389640674976	282	113	1.18295623297257e-05	0.00108684103904355
t1358	breastfed_child	nonexclusive	0.0144567721891531	0.00347241894906917	282	125	4.20070767445478e-05	0.00363237663614619
t150055	breastfed_child	nonexclusive	0.0147060800339927	0.00362916824615387	282	187	6.60813859020569e-05	0.00539664651533465
t208224	breastfed_child	nonexclusive	0.00390529827623747	0.000971809931539251	282	167	7.56404088768532e-05	0.00585217900257759
t2500542	breastfed_child	nonexclusive	0.00484679530223462	0.00121584480395062	282	22	8.6029124656394e-05	0.00632314066224496
t197614	breastfed_child	nonexclusive	0.0199450435971153	0.0050922448822146	282	112	0.000113284657668334	0.00756947485329324
t69966	breastfed_child	nonexclusive	0.0091984843173733	0.00234404211146234	282	54	0.00011001731073831	0.00756947485329324
t573	breastfed_child	nonexclusive	0.128396354461154	0.0338438377480612	282	273	0.000182474750343168	0.0116625166523677
t2774055	breastfed_child	nonexclusive	0.00242219704437214	0.000648280994796521	282	68	0.000227054640080392	0.013907096704924
t881260	breastfed_child	nonexclusive	0.00426081780062967	0.00116662966559972	282	76	0.000311171557545425	0.018296887583671
t1335	breastfed_child	nonexclusive	0.00708053229169904	0.00199526771144668	282	281	0.000455172077500766	0.0257347289971587
t1311	breastfed_child	nonexclusive	0.00571213785394173	0.00165519610460755	282	251	0.000646231424827049	0.0351837109072504
t1598	breastfed_child	nonexclusive	0.00281044316207114	0.000830030743034352	282	169	0.000812792795600922	0.0426716217690484
t34062	breastfed_child	nonexclusive	0.00156044712039168	0.000464559641945658	282	112	0.000892909052427751	0.0452612519678895
t227942	age_at_first_dose	age_at_first_dose	0.00245546250673105	0.000735721218175389	282	129	0.000961955914631255	0.0471358398169315
t28901	breastfed_child	nonexclusive	0.00757818810677546	0.00228671834071709	282	251	0.00104309041020654	0.0494626742904393
t1353	breastfed_child	nonexclusive	0.00608567746081257	0.00188453748069522	282	61	0.00139168700591824	0.0639306218343691
t33959	breastfed_child	nonexclusive	0.00438910004585751	0.00136397136455278	282	136	0.00144601011257297	0.0644131777418868
t2596949	age_at_first_dose	age_at_first_dose	0.000784520752617931	0.000249467063476772	282	48	0.00184427511459264	0.0797377770132702
t28901	age_at_first_dose	age_at_first_dose	0.00181129397672182	0.000581942753519306	282	251	0.00205063715581167	0.0837343505289767
t1639133	breastfed_child	nonexclusive	0.00345777430063604	0.00111054568117453	282	100	0.00204336276194332	0.0837343505289767
t564	breastfed_child	nonexclusive	0.00664571266247258	0.00217054669459227	282	225	0.00241818152597363	0.088868171079531
t2026240	breastfed_child	nonexclusive	0.00203446373226226	0.000663110030831266	282	115	0.00236948835901789	0.088868171079531
t2582830	breastfed_child	nonexclusive	0.00332097874688908	0.00107688658984867	282	62	0.00225116194035553	0.088868171079531
t2582830	mode_delivery	vaginal	-0.00276095093145806	0.000900110036032803	282	62	0.002374976250777	0.088868171079531
t1335613	age_at_first_dose	age_at_first_dose	0.00099868233804628	0.000328244229162183	282	91	0.00257304251644572	0.0922529877847611
t1496	age_at_first_dose	age_at_first_dose	0.00240173520420961	0.000795841417297039	282	197	0.00278433527230919	0.0963292331896457
t546	breastfed_child	nonexclusive	0.00543877209621471	0.00180443531970634	282	237	0.00281779389602365	0.0963292331896457
t1352	breastfed_child	nonexclusive	0.0404036616523301	0.01349278531069	282	244	0.00299954821232665	0.100212178911822
t1596	breastfed_child	nonexclusive	0.0352946498892282	0.0120267023791932	282	152	0.00362058445042865	0.118272425380669
t2420313	breastfed_child	nonexclusive	0.00521101794327334	0.00179603520579495	282	60	0.00401542311750226	0.128318956146268
t111015	age_at_first_dose	age_at_first_dose	0.0019278555448025	0.000680711935158372	282	43	0.0049659121223846	0.155316825955433
t28118	age_at_first_dose	age_at_first_dose	0.00177733534011259	0.000632883611841824	282	73	0.00533698723220538	0.16200421276133
t2755405	mode_delivery	vaginal	0.00230575557388055	0.00082218844569537	282	53	0.00540014042537767	0.16200421276133
t46503	breastfed_child	nonexclusive	0.0326465933330395	0.0117251464235812	282	77	0.00573628006900177	0.168646634028652
t1463165	IgA	IgA	0.00354593910460223	0.00128210938266065	282	228	0.00606457561568296	0.174802473628509
t1308	breastfed_child	nonexclusive	0.00920102220389686	0.00333598708708533	282	281	0.00620335999388479	0.175364215211743
t2003188	mode_delivery	vaginal	0.00679293628875999	0.00249951714400049	282	123	0.00699116943233239	0.190527172024626
t208962	breastfed_child	nonexclusive	0.00606212371509923	0.00223091932140025	282	221	0.00699895733968014	0.190527172024626
t821	mode_delivery	vaginal	0.0279374954689066	0.0104471738141651	282	127	0.00793991360989363	0.194527883442394
t1492	IgA	IgA	0.00458254366642376	0.00170087185921274	282	95	0.00748908411619685	0.194527883442394
t357276	mode_delivery	vaginal	0.00957719313595115	0.00355653001885654	282	107	0.0075194374311446	0.194527883442394
t2610896	IgA	IgA	0.00126197131774354	0.000469449399521872	282	275	0.00762225399326857	0.194527883442394
t1382	age_at_first_dose	age_at_first_dose	0.00082913320718929	0.000309539728637191	282	94	0.00783826658616025	0.194527883442394
t2015795	IgA	IgA	0.00058945648674056	0.000219815232541767	282	42	0.00777014779440032	0.194527883442394
t47678	age_at_first_dose	age_at_first_dose	0.00398835416248311	0.001501936200187	282	98	0.00838175792302352	0.197276115304291
t1343	birth_weight	birth_weight	-0.012750213724632	0.004816370811081	282	277	0.00858269822185031	0.197276115304291
