feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t546	breastfed_child	nonexclusive	0.0209027243613029	0.00417310102759906	56	50	7.20769456684466e-06	0.00886546431721893
t1639133	breastfed_child	nonexclusive	0.0163192194873522	0.00349961192487728	56	16	2.35215078611708e-05	0.0144657273346201
t67827	breastfed_child	nonexclusive	0.00582856364249468	0.00133356025319398	56	15	6.26099211801257e-05	0.0256700676838515
t470	birth_weight	birth_weight	0.0230526092633628	0.00569782978831631	56	47	0.000180609512153759	0.0506380620210562
t1748967	breastfed_child	nonexclusive	0.00373030398270352	0.000931402042777581	56	5	0.000205845780573399	0.0506380620210562
t1316410	age_at_first_dose	age_at_first_dose	-0.00941600949457079	0.00241774878217233	56	39	0.000292480398809417	0.0564788385867452
t116085	breastfed_child	nonexclusive	0.00979772268838637	0.00253523595271675	56	30	0.000321424284640014	0.0564788385867452
t1316410	antibiotic_exposure	yes	-0.0161884619494481	0.00447942424822842	56	39	0.00069951465113988	0.107550377612757
t624	breastfed_child	nonexclusive	0.0207445388515114	0.00588448583089494	56	35	0.000915594643349244	0.125131267924397
t1839799	antibiotic_exposure	yes	-0.0157933297038561	0.00459671809997846	56	50	0.00119751407366565	0.147294231060874
t622	breastfed_child	nonexclusive	0.0107811621180143	0.00319794825185358	56	45	0.00145000779977264	0.159237049309565
t1636603	birth_weight	birth_weight	0.0111476892436489	0.00335713177682751	56	24	0.00168299320408483	0.159237049309565
t2545797	birth_weight	birth_weight	0.0100120316237921	0.00299655098520584	56	20	0.00158436236142804	0.159237049309565
t70346	birth_weight	birth_weight	0.0151622262958536	0.00465782709358373	56	33	0.00203626055950228	0.178063194272915
t43765	age_at_first_dose	age_at_first_dose	-0.00400499178823294	0.00123878697145573	56	34	0.00217150236918189	0.178063194272915
t1304	antibiotic_exposure	yes	-0.056826331212574	0.0183242601387024	56	56	0.0031650641404189	0.195643553492447
t1358	antibiotic_exposure	yes	-0.00164622432537571	0.000520790025433696	56	42	0.0026701741003081	0.195643553492447
t1134687	breastfed_child	nonexclusive	0.0128209316875585	0.00413664709567832	56	39	0.00318119599174711	0.195643553492447
t1623	breastfed_child	nonexclusive	0.00776968791543576	0.00248757680431983	56	17	0.00297188181133236	0.195643553492447
t756892	birth_weight	birth_weight	0.0232141862075993	0.00747454548459501	56	34	0.00312405846639776	0.195643553492447
t28090	birth_weight	birth_weight	0.0113307737806279	0.00369998238745854	56	33	0.00353020378548985	0.206769078864405
t61645	breastfed_child	nonexclusive	0.0123678465109989	0.00411868220834072	56	26	0.00416841543837216	0.222919608225989
t2684658	birth_weight	birth_weight	0.00161041046136931	0.000536274100232447	56	9	0.00416729845244867	0.222919608225989
t2709390	breastfed_child	nonexclusive	0.0442226636850839	0.0148475767467555	56	22	0.00446024879274933	0.227583759520967
t37734	breastfed_child	nonexclusive	0.00488363643179571	0.00164695413399133	56	19	0.00462568616912535	0.227583759520967
t2596949	breastfed_child	nonexclusive	0.000912548349004428	0.000313572276889425	56	5	0.00538038161978414	0.254533438166711
t1358	breastfed_child	nonexclusive	-0.00220168972377139	0.000766380057917323	56	42	0.00595524747331586	0.263933456575383
t1335	antibiotic_exposure	yes	-0.0102507560870122	0.00357222370463225	56	52	0.0060082412878949	0.263933456575383
t33039	breastfed_child	nonexclusive	0.0374415199705097	0.0131078596212976	56	37	0.00622586509649803	0.264062554092848
t818	antibiotic_exposure	yes	0.112685391016703	0.0402306874493105	56	51	0.00722563636211814	0.296251090846844
t108981	birth_weight	birth_weight	0.0169339244825281	0.00616078207237272	56	35	0.00830332107233563	0.32945435222493
t1290	antibiotic_exposure	yes	-0.0335949041684984	0.0123328844184211	56	54	0.00886092538855028	0.330270855391419
t315405	antibiotic_exposure	yes	-0.00298672109687382	0.00109353265400438	56	39	0.00869350308732621	0.330270855391419
t1308	antibiotic_exposure	yes	-0.0160003014418998	0.00596452719313444	56	54	0.00987616054147775	0.35728463135346
t1379	age_at_first_dose	age_at_first_dose	-0.00386321788557818	0.00146340539241297	56	46	0.0110330255942977	0.387732042313891
t437897	antibiotic_exposure	yes	0.0178319065115893	0.00693204458680885	56	26	0.013116826923208	0.448158253209608
t2823316	breastfed_child	nonexclusive	0.00309130645956908	0.00124739349358156	56	23	0.0166246390328347	0.552656919199639
t1311	antibiotic_exposure	yes	-0.00862867199221751	0.00350259240876535	56	47	0.0172431448128246	0.558133371573006
t202956	birth_weight	birth_weight	0.0306103779330098	0.0127444781342126	56	37	0.020069410967479	0.632958345897415
t2079596	birth_weight	birth_weight	0.0167718755248761	0.00704229498890603	56	32	0.0210853384071561	0.648374156020051
t1839799	age_at_first_dose	age_at_first_dose	-0.00578511339074608	0.00248105760301848	56	50	0.0237855734689815	0.65013900815216
t1496	birth_weight	birth_weight	-0.00427304522920624	0.00182152933955202	56	51	0.0229901477863313	0.65013900815216
t1382	age_at_first_dose	age_at_first_dose	-0.00487890945995524	0.00209115978991882	56	31	0.0237058052831105	0.65013900815216
t1354	birth_weight	birth_weight	0.0015050303599364	0.000641136577682387	56	14	0.0229024902654069	0.65013900815216
t28025	breastfed_child	nonexclusive	0.00622394042818967	0.00265045695589642	56	47	0.0228577767253586	0.65013900815216
t47678	breastfed_child	nonexclusive	0.136874566665281	0.0593928017572699	56	42	0.0253815796793839	0.650402979284211
t1156431	antibiotic_exposure	yes	-0.00867332547185711	0.00375034600223689	56	49	0.0248951641768141	0.650402979284211
