feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t573	IgA	IgA	0.00655100228685445	0.00683013763207829	56	53	0.341767239979049	0.910461175535184
t1681	IgA	IgA	0.0135338200830591	0.00953441240761984	56	54	0.161508948039465	0.910461175535184
t823	IgA	IgA	-0.0191629944603543	0.0109556589255646	56	48	0.0859485715770169	0.910461175535184
t29466	IgA	IgA	0.00897664601784876	0.00559177825753801	56	56	0.114254309640828	0.910461175535184
t1351	IgA	IgA	-0.00348524252031155	0.00263082687910426	56	43	0.190826233737363	0.910461175535184
t818	IgA	IgA	-0.0144084460180312	0.00991782056261436	56	51	0.152070407898836	0.910461175535184
t28026	IgA	IgA	0.0077194662662355	0.00882578792627743	56	55	0.385638542959353	0.910461175535184
t74426	IgA	IgA	-0.00478355440831015	0.00376519646838205	56	51	0.209365246710474	0.910461175535184
t550	IgA	IgA	0.000256605047206372	0.000287372684374972	56	46	0.375854311092052	0.910461175535184
t28116	IgA	IgA	-0.00758916355174318	0.00715070464710389	56	41	0.293269674156781	0.910461175535184
t371601	IgA	IgA	-0.00699837706831037	0.00552916853530314	56	47	0.21104730455865	0.910461175535184
t46503	IgA	IgA	-0.00501058829960749	0.00285732323963343	56	36	0.0851743625381289	0.910461175535184
t47678	IgA	IgA	-0.00969004841461366	0.00968433326456022	56	42	0.32148775094839	0.910461175535184
t1492	IgA	IgA	0.000496347294036481	0.000459015028338606	56	29	0.284355319031428	0.910461175535184
t357276	IgA	IgA	-0.0135904853794978	0.00954074530074134	56	53	0.160064791412196	0.910461175535184
t2709390	IgA	IgA	-0.00289685315820326	0.00250840766019434	56	22	0.253233780146819	0.910461175535184
t820	IgA	IgA	-0.00530214098440092	0.00505151214214638	56	44	0.298570253571872	0.910461175535184
t2025876	IgA	IgA	-0.0025235235647365	0.00177147629948849	56	24	0.160046511245651	0.910461175535184
t1343	IgA	IgA	0.00167079386491465	0.00183132490287774	56	53	0.365644174584086	0.910461175535184
t102684	IgA	IgA	-0.000542277460147814	0.000441000997895441	56	33	0.224158467721313	0.910461175535184
t1282	IgA	IgA	-0.00145442854452403	0.0016548317362942	56	55	0.383350762511087	0.910461175535184
t2162637	IgA	IgA	-0.00376100923419725	0.00188051897371708	56	23	0.0505422486989179	0.910461175535184
t158836	IgA	IgA	0.00114884288342836	0.000885534858116767	56	42	0.200028340624169	0.910461175535184
t437897	IgA	IgA	0.00212254330284379	0.00171599892986287	56	26	0.221471329057323	0.910461175535184
t1318	IgA	IgA	-0.00325198328756495	0.0035563464713206	56	55	0.364562964039474	0.910461175535184
t2610896	IgA	IgA	-0.00309724251915896	0.00361963553542012	56	55	0.395956836021246	0.910461175535184
t1316408	IgA	IgA	-0.00324393156002693	0.0034512937988737	56	54	0.351445441787599	0.910461175535184
t33945	IgA	IgA	-0.0012331582815166	0.00110056918364642	56	24	0.267470755991065	0.910461175535184
t853	IgA	IgA	-0.000460346192203471	0.000534679343980392	56	54	0.393058033232363	0.910461175535184
t40545	IgA	IgA	-0.00443123695244821	0.00365048678731667	56	32	0.230077645673689	0.910461175535184
t1547	IgA	IgA	-0.00112309310117127	0.000982703237946514	56	25	0.258138119990057	0.910461175535184
t1550024	IgA	IgA	-0.000518153762012492	0.000376824947296362	56	22	0.17479394028685	0.910461175535184
t1502	IgA	IgA	0.00897481607822751	0.00406943526663354	56	45	0.0317019169916055	0.910461175535184
t1812935	IgA	IgA	0.000817697842489419	0.000622064795825441	56	40	0.19423734172287	0.910461175535184
t150055	IgA	IgA	-0.00128971547845864	0.00124672173798516	56	26	0.305519992111234	0.910461175535184
t227942	IgA	IgA	-0.00224292078063368	0.00256711626090217	56	20	0.386144055759552	0.910461175535184
t84112	IgA	IgA	-0.000724243851594093	0.00056559679788002	56	37	0.205844063111319	0.910461175535184
t315405	IgA	IgA	-0.000239215099259784	0.000268058423778714	56	39	0.376138642476737	0.910461175535184
t582	IgA	IgA	-0.00304313827000903	0.00313532447133032	56	20	0.336076266494972	0.910461175535184
t2763022	IgA	IgA	-0.00159507361187381	0.00161553794976334	56	35	0.327882969097395	0.910461175535184
t2109685	IgA	IgA	-0.00362917192548911	0.00258297040120948	56	38	0.165736789245282	0.910461175535184
t328813	IgA	IgA	-0.000839259055856145	0.000672923024937151	56	18	0.217712093894985	0.910461175535184
t1522	IgA	IgA	-0.000243015677688533	0.000275416236554732	56	33	0.381494366141572	0.910461175535184
t2785531	IgA	IgA	-0.00168990439647024	0.00162023140112569	56	31	0.301594422415273	0.910461175535184
t470	IgA	IgA	-0.00152883272861704	0.00155987051800996	56	47	0.331406406567617	0.910461175535184
t111015	IgA	IgA	-8.47853922752844e-05	6.70864275441141e-05	56	9	0.211722113081634	0.910461175535184
t1311	IgA	IgA	-0.000945624968159276	0.000854616126847808	56	47	0.273419097291965	0.910461175535184
t1531	IgA	IgA	0.000544835936206786	0.00057557848039354	56	21	0.348065272815986	0.910461175535184
t1623	IgA	IgA	0.000761453215266603	0.000426315908079762	56	17	0.0796941043752952	0.910461175535184
t37734	IgA	IgA	-0.000456289004169057	0.000276817762269664	56	19	0.105090398562703	0.910461175535184
t1736	IgA	IgA	-0.000872735814048077	0.000669251203114603	56	32	0.197748651021602	0.910461175535184
t248315	IgA	IgA	0.00120118049000959	0.00075081416542954	56	51	0.115469777328653	0.910461175535184
t28118	IgA	IgA	-0.00176264726310088	0.0011603713531091	56	36	0.134586811244956	0.910461175535184
t1660	IgA	IgA	-0.0017160497373949	0.00101834438244693	56	45	0.0977335715686594	0.910461175535184
t2479767	IgA	IgA	-0.000871046555817101	0.000638167838811951	56	37	0.177939226355347	0.910461175535184
t1683	IgA	IgA	0.00054910014647646	0.000445226843999806	56	54	0.222803962689681	0.910461175535184
t28141	IgA	IgA	0.000104116331391354	9.85374655534521e-05	56	14	0.295390787880769	0.910461175535184
t2420310	IgA	IgA	0.00139975476193482	0.00111580951486297	56	10	0.215072357341549	0.910461175535184
t2690837	IgA	IgA	-0.000340143567399731	0.000155081570183612	56	30	0.0326099924818342	0.910461175535184
t1520	IgA	IgA	0.000507763005200759	0.000469559424521693	56	14	0.284342438581202	0.910461175535184
t2582419	IgA	IgA	-0.000691422453244715	0.000660491411599971	56	9	0.299841023773835	0.910461175535184
t2715212	IgA	IgA	-0.000916685527561601	0.000782175952979788	56	33	0.246354548467609	0.910461175535184
t1491	IgA	IgA	0.000386801534174519	0.00040163132529909	56	41	0.339802392342119	0.910461175535184
t2161821	IgA	IgA	-0.000579178826116098	0.00044804892429811	56	6	0.201629465483733	0.910461175535184
t1379	IgA	IgA	0.000816078164077076	0.000693630715038678	56	46	0.244543110439498	0.910461175535184
t28111	IgA	IgA	-0.00115080205253022	0.000709490488828501	56	34	0.110625646012666	0.910461175535184
t2650158	IgA	IgA	-0.00107192895966022	0.000862711369788226	56	30	0.21941654889452	0.910461175535184
t2528203	IgA	IgA	-0.000718985009756977	0.000838234667861218	56	27	0.394828646852711	0.910461175535184
t1335613	IgA	IgA	-0.00041126608913922	0.000276593117898253	56	31	0.142857438669938	0.910461175535184
t1283	IgA	IgA	-0.00104653205001851	0.00106353750416649	56	42	0.329498835858293	0.910461175535184
t1796613	IgA	IgA	-0.000799947552386188	0.000667245701612933	56	31	0.235809290003588	0.910461175535184
t471189	IgA	IgA	-0.000853920632592513	0.000432287043889722	56	33	0.0533483019131386	0.910461175535184
t40324	IgA	IgA	0.00051922319769964	0.000603434567073448	56	39	0.393347221341404	0.910461175535184
t328812	IgA	IgA	-0.00185617889610809	0.00125044369463735	56	31	0.143512768893126	0.910461175535184
t70346	IgA	IgA	-0.00130507382624078	0.00122237173754508	56	33	0.290425135651801	0.910461175535184
t1667168	IgA	IgA	0.000200483339436342	0.000215647839465226	56	23	0.356674608992663	0.910461175535184
t626932	IgA	IgA	-0.0019415214455017	0.00142208004315643	56	25	0.17782953961149	0.910461175535184
t2650157	IgA	IgA	-0.001137565560081	0.000615437198363675	56	36	0.07002519653528	0.910461175535184
t116085	IgA	IgA	-0.000640133070640642	0.000451463014987393	56	30	0.161962636959463	0.910461175535184
t35703	IgA	IgA	0.000202870461682165	0.000202263584457532	56	19	0.320334107014907	0.910461175535184
t387090	IgA	IgA	-0.000727665900255228	0.0005037243256947	56	31	0.154356022987971	0.910461175535184
t1598	IgA	IgA	-0.00065254589990284	0.000458386383873433	56	30	0.160323040344684	0.910461175535184
t34062	IgA	IgA	0.0012714720820068	0.00108637920743738	56	39	0.246989050523126	0.910461175535184
t2698804	IgA	IgA	0.000127025485142412	0.000107421115877586	56	11	0.242187933030864	0.910461175535184
t1852377	IgA	IgA	-0.00078877783117296	0.000552683556015987	56	25	0.15928577026036	0.910461175535184
t169679	IgA	IgA	0.000314890450346759	0.000257707527455393	56	9	0.227056163208342	0.910461175535184
t881260	IgA	IgA	0.00011472146153048	6.54440388956925e-05	56	4	0.0852826197706301	0.910461175535184
t61645	IgA	IgA	0.00156646955347469	0.000709231597235676	56	26	0.0314607411228667	0.910461175535184
t727	IgA	IgA	0.000546605772339234	0.000302859850073373	56	28	0.0766808313370809	0.910461175535184
t901	IgA	IgA	-0.00117512244108586	0.000991717407628283	56	14	0.241231234384456	0.910461175535184
t301301	IgA	IgA	-0.000163282223240274	0.000187660007356187	56	30	0.388099371139205	0.910461175535184
t1636603	IgA	IgA	-0.000765338056145077	0.00088071244773833	56	24	0.388693871283521	0.910461175535184
t2722820	IgA	IgA	-0.000316114117249054	0.000290447408353058	56	13	0.281265730390073	0.910461175535184
t1354	IgA	IgA	-0.00017743513174367	0.000161961575822295	56	14	0.278142980479581	0.910461175535184
t28025	IgA	IgA	0.000769564706315452	0.00043943540686165	56	47	0.0855799224394454	0.910461175535184
t1805478	IgA	IgA	-0.000507620305112936	0.000542045393724692	56	23	0.353190269569652	0.910461175535184
t143361	IgA	IgA	0.000282395456125082	0.000225603718459765	56	14	0.216062545306651	0.910461175535184
t2684658	IgA	IgA	-0.000165006881131311	0.000139472916032864	56	9	0.241962091039583	0.910461175535184
t2545797	IgA	IgA	-0.000964129841428485	0.000787920333212637	56	20	0.226401110911161	0.910461175535184
t36745	IgA	IgA	0.00030741077535243	0.000231169306308502	56	21	0.189171587982169	0.910461175535184
t641107	IgA	IgA	0.000227787881586864	0.00023154129261216	56	12	0.329606523891608	0.910461175535184
t2585118	IgA	IgA	-0.000511195479278782	0.000317246524681662	56	30	0.112933598223232	0.910461175535184
t1464	IgA	IgA	0.000314571741500682	0.000301445336787219	56	6	0.301345301904166	0.910461175535184
t1297617	IgA	IgA	-0.000240192288834458	0.00028073801816171	56	21	0.396013600740913	0.910461175535184
t1561	IgA	IgA	0.00026611795644183	0.000178108940749952	56	10	0.140962415433253	0.910461175535184
t2714355	IgA	IgA	-0.00021332985981692	0.000171209287707991	56	25	0.218136610441204	0.910461175535184
