feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t239935	dose1_shedding	1	0.0329215354853628	0.0120829806842105	147	47	0.00722986812028748	0.896503646915648
t727	dose1_shedding	1	0.00227257044063392	0.000823525723637818	147	70	0.006535048492945	0.896503646915648
t562	dose1_shedding	1	-0.06994252971894	0.0526857590524399	147	146	0.186415913633614	0.92205466108341
t1685	dose1_shedding	1	0.0466326966855816	0.0641378818247325	147	147	0.468355622274119	0.92205466108341
t817	dose1_shedding	1	0.0284849447244271	0.0250488281270378	147	74	0.257340126340116	0.92205466108341
t1686	dose1_shedding	1	0.0136645856409469	0.0159060752980652	147	147	0.391714557617304	0.92205466108341
t821	dose1_shedding	1	-0.014503945193147	0.0187961015183844	147	68	0.441579585319978	0.92205466108341
t29466	dose1_shedding	1	-0.0119375627519084	0.0133219753334317	147	136	0.371694979049719	0.92205466108341
t1352	dose1_shedding	1	0.00803898005178011	0.00759118450646111	147	129	0.291365760021889	0.92205466108341
t1351	dose1_shedding	1	-0.0155662532967697	0.0154614363312994	147	134	0.315717992618392	0.92205466108341
t1596	dose1_shedding	1	-0.014103902394303	0.0180221774630068	147	82	0.435146504646416	0.92205466108341
t684066	dose1_shedding	1	0.0127048965052397	0.0107492803047876	147	146	0.2391681837961	0.92205466108341
t2107999	dose1_shedding	1	-0.0195974137425235	0.0167032163250803	147	72	0.242610501147782	0.92205466108341
t550	dose1_shedding	1	-0.0230524903966464	0.0153226444569472	147	119	0.134634965398946	0.92205466108341
t46503	dose1_shedding	1	0.0395752339472536	0.0204197157361668	147	41	0.0545553423775307	0.92205466108341
t165179	dose1_shedding	1	0.00700325801128414	0.0107085563544098	147	74	0.514155959141697	0.92205466108341
t47678	dose1_shedding	1	0.00504846230745135	0.00724833166053915	147	53	0.487230839755626	0.92205466108341
t1613	dose1_shedding	1	-0.0194846027504348	0.0122019672747565	147	91	0.112478212182207	0.92205466108341
t2690380	dose1_shedding	1	-0.00377119154108703	0.00469619792975754	147	58	0.423271282596765	0.92205466108341
t820	dose1_shedding	1	0.0117212494668719	0.0079170662062609	147	62	0.140908339291938	0.92205466108341
t1463165	dose1_shedding	1	0.0121190646694954	0.0120395617148965	147	124	0.315802198062239	0.92205466108341
t1343	dose1_shedding	1	-0.00715950132025921	0.00793925072511797	147	145	0.368666298121916	0.92205466108341
t102684	dose1_shedding	1	-0.0137715485703029	0.00895413433379515	147	124	0.126225505497525	0.92205466108341
t1282	dose1_shedding	1	-0.00826326667610242	0.0074807971512641	147	147	0.271163808893289	0.92205466108341
t43675	dose1_shedding	1	-0.00493767660769714	0.00518354038257948	147	137	0.342394014359351	0.92205466108341
t1308	dose1_shedding	1	-0.00322298474596348	0.00429564988090584	147	146	0.454295582945381	0.92205466108341
t28037	dose1_shedding	1	0.00720627441444166	0.00507143409193903	147	147	0.157477100941964	0.92205466108341
t2162637	dose1_shedding	1	0.0133007174113672	0.0070351499924923	147	22	0.0606717379325358	0.92205466108341
t1689	dose1_shedding	1	0.0070092415933993	0.0102060368911989	147	144	0.493321966983545	0.92205466108341
t158836	dose1_shedding	1	-0.00858555850456187	0.00605536092668157	147	124	0.158381680339039	0.92205466108341
t1318	dose1_shedding	1	0.00326291794818233	0.0033846545235118	147	144	0.336634495622024	0.92205466108341
t729	dose1_shedding	1	0.00436054966866723	0.00272244495825438	147	104	0.111397529625022	0.92205466108341
t907	dose1_shedding	1	-0.00389833879411739	0.00592290776139297	147	74	0.511466181690846	0.92205466108341
t2610896	dose1_shedding	1	0.003496259564045	0.00345737210787936	147	142	0.313582387001181	0.92205466108341
t1316408	dose1_shedding	1	0.00365290499389692	0.00332767189736374	147	143	0.274139372705145	0.92205466108341
t33945	dose1_shedding	1	0.00704269364047196	0.00461297401988861	147	73	0.129010426020789	0.92205466108341
t244366	dose1_shedding	1	0.00831423123336454	0.0066551797473328	147	112	0.213572952246102	0.92205466108341
t197	dose1_shedding	1	-0.00499076682524936	0.00665159051102671	147	15	0.45428272246171	0.92205466108341
t40545	dose1_shedding	1	-0.00258572712457672	0.00332063304855581	147	20	0.437434199967073	0.92205466108341
t1313	dose1_shedding	1	0.00400800971456993	0.00292112498227429	147	147	0.172158308855705	0.92205466108341
t1550024	dose1_shedding	1	0.00393460260832926	0.00485623210766125	147	45	0.419143095362564	0.92205466108341
t197614	dose1_shedding	1	-0.00536419663681494	0.00449488987478819	147	52	0.234662122668321	0.92205466108341
t1502	dose1_shedding	1	-0.00660730472155655	0.00468513894493274	147	87	0.160601923540171	0.92205466108341
