feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t1812935	age_at_first_dose	age_at_first_dose	0.0161542896912161	0.00143978345190932	149	111	2.59159657158619e-21	3.84074611909073e-18
t2500542	age_at_first_dose	age_at_first_dose	0.00274699154177401	0.000284782513490345	149	11	3.03854014696695e-17	2.25155824890251e-14
t61645	age_at_first_dose	age_at_first_dose	0.00251818035846157	0.000291891049454923	149	74	1.13910820672137e-14	5.62719454120354e-12
t315405	breastfed_child	nonexclusive	0.0160601412436425	0.00263464539173114	149	122	9.73731985394019e-09	3.60767700588484e-06
t158836	breastfed_child	nonexclusive	0.0358361111505667	0.00600134759920376	149	125	1.79721952118986e-08	5.32695866080674e-06
t150055	breastfed_child	nonexclusive	0.0184550375541457	0.00343824280636053	149	101	3.17392218741105e-07	7.83958780290529e-05
t69966	breastfed_child	nonexclusive	0.00669178514668626	0.00132650909732419	149	26	1.36636302493303e-06	0.000289278571850106
t102684	breastfed_child	nonexclusive	0.0418174770218295	0.00941648548900864	149	125	1.78811314621974e-05	0.00265752563637821
t1358	breastfed_child	nonexclusive	0.00627096867510128	0.00141232223845708	149	65	1.79320218379096e-05	0.00265752563637821
t2058152	breastfed_child	nonexclusive	0.00982674385790489	0.00221092839813825	149	67	1.76100864410982e-05	0.00265752563637821
t83655	breastfed_child	nonexclusive	0.00268084621664627	0.000617592824807415	149	62	2.68112738379411e-05	0.00361220980252988
t197614	breastfed_child	nonexclusive	0.0197560259524486	0.00463343385095729	149	53	3.64591864823801e-05	0.00450270953057394
t2684658	breastfed_child	nonexclusive	0.00460258410705971	0.00110441665682642	149	31	5.32778387706316e-05	0.006073673619852
t550	breastfed_child	nonexclusive	0.0667168205570264	0.0161522662573935	149	120	6.15191040216087e-05	0.00634552195093412
t61645	breastfed_child	nonexclusive	0.00523101335330068	0.00126985187577314	149	74	6.42259306774708e-05	0.00634552195093412
t470	breastfed_child	nonexclusive	0.00806015153099202	0.00213085654260643	149	60	0.000228044651767925	0.0211226358700041
t28901	age_at_first_dose	age_at_first_dose	0.00274486220650652	0.000743729207930075	149	137	0.000317978402593031	0.0262062349933191
t2698804	breastfed_child	nonexclusive	0.00506981887004467	0.00137378678003268	149	41	0.000318294352145576	0.0262062349933191
t33945	age_at_first_dose	age_at_first_dose	0.00381738096480259	0.00107280498499357	149	74	0.000507946717855588	0.0396198439927358
t2582830	breastfed_child	nonexclusive	0.00581254671355578	0.0016514783605283	149	37	0.000581176939868038	0.0430652112442216
t197	breastfed_child	nonexclusive	0.0240694207463093	0.00706134101471225	149	15	0.000849979560952431	0.0599842718729287
t1335	breastfed_child	nonexclusive	0.00900158404605363	0.00268584059113439	149	148	0.00103011985602108	0.0653346020798125
t28141	breastfed_child	nonexclusive	0.00963229250180066	0.00286024484208563	149	54	0.000975865208417338	0.0653346020798125
t195	breastfed_child	nonexclusive	0.00196087284399886	0.000586474917752675	149	15	0.00105805023611032	0.0653346020798125
t34062	breastfed_child	nonexclusive	0.00258015838812888	0.000783625206422722	149	59	0.00125283535749049	0.0742680799920363
t1353	breastfed_child	nonexclusive	0.00842460670526758	0.00262277122384651	149	29	0.00163033007375167	0.092928814203845
