feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t28037	seroconv	1	0.0102204282513592	0.00404327451766036	149	149	0.0125359963084009	0.619278217635005
t33945	seroconv	1	0.00932040933868897	0.00367615825479538	149	74	0.0122783906717097	0.619278217635005
t208962	seroconv	1	-0.00224749916494867	0.000832991448042213	149	121	0.00778955424292138	0.619278217635005
t1499973	seroconv	1	-0.00151614452233665	0.000510441015156724	149	116	0.00347634444633885	0.619278217635005
t43765	seroconv	1	0.00052467245813818	0.000203539796387033	149	37	0.010928230231471	0.619278217635005
t623	seroconv	1	-0.00510820217483812	0.00224523642138025	149	115	0.0243442452186865	0.751628571126946
t1660	seroconv	1	0.00362885214424529	0.00152197798871658	149	109	0.0183876310069853	0.751628571126946
t257758	seroconv	1	0.00247065567379862	0.00107777851315323	149	141	0.0233042059110716	0.751628571126946
t562	seroconv	1	-0.0824017305678835	0.0427151514741163	149	148	0.0556453104913628	0.792667755493334
t1685	seroconv	1	0.051399919733736	0.0518211041345348	149	149	0.322889666720613	0.792667755493334
t573	seroconv	1	-0.0324569323030805	0.0365537422923616	149	145	0.376032350858861	0.792667755493334
t823	seroconv	1	-0.0188848308721868	0.0149336405919141	149	59	0.208022027834196	0.792667755493334
t1686	seroconv	1	0.0242690851506433	0.0127370515302621	149	149	0.0586815603719448	0.792667755493334
t684066	seroconv	1	0.00782607600936045	0.00873386502208872	149	148	0.371685189263268	0.792667755493334
t39777	seroconv	1	-0.0106771657784959	0.0115745734516566	149	131	0.357796438843078	0.792667755493334
t818	seroconv	1	0.0148172401233929	0.0166868978384834	149	71	0.37601471531778	0.792667755493334
t28026	seroconv	1	0.0127821743520573	0.00779376348738083	149	149	0.103132618941312	0.792667755493334
t239935	seroconv	1	0.0201968919989153	0.00986198714942921	149	47	0.0423443428932663	0.792667755493334
t28116	seroconv	1	0.00851054340323648	0.00831581443441406	149	51	0.307792093723069	0.792667755493334
t46503	seroconv	1	0.0286701923829225	0.0165288068111981	149	41	0.0849150741508343	0.792667755493334
t165179	seroconv	1	-0.00804703000228777	0.00863332422669626	149	76	0.352818671134687	0.792667755493334
t2709390	seroconv	1	0.00895791030071365	0.00874598770855062	149	29	0.307408789399889	0.792667755493334
t1613	seroconv	1	-0.014734066191266	0.00987361119227351	149	93	0.137772145651774	0.792667755493334
t1343	seroconv	1	-0.00987990006025379	0.00645126553367128	149	147	0.127803253893901	0.792667755493334
t102684	seroconv	1	-0.00746459345243175	0.00726496132021549	149	125	0.305882799964342	0.792667755493334
t1282	seroconv	1	0.00952214288967991	0.00601901754252146	149	149	0.115796599004972	0.792667755493334
t43675	seroconv	1	0.00508829430286142	0.00419386386230954	149	139	0.226972092558608	0.792667755493334
t1308	seroconv	1	-0.00301638217770972	0.00347073627080165	149	148	0.38621468440997	0.792667755493334
t1689	seroconv	1	-0.00947908803300913	0.00821762611756643	149	146	0.250574479944439	0.792667755493334
t158836	seroconv	1	-0.00602865422144468	0.00502229583137172	149	125	0.231923349935055	0.792667755493334
t1318	seroconv	1	0.00274048828260631	0.00273344366517483	149	146	0.317712385024595	0.792667755493334
t907	seroconv	1	-0.0059192889015156	0.0047652906545738	149	75	0.216152846057325	0.792667755493334
t292800	seroconv	1	-0.00984316249190827	0.00723614599779493	149	79	0.175824609470859	0.792667755493334
t2610896	seroconv	1	0.00286829997610494	0.00279233644707719	149	144	0.306011559518393	0.792667755493334
t1316408	seroconv	1	0.00240731626310691	0.00269280189377799	149	145	0.372792873890664	0.792667755493334
t853	seroconv	1	-0.00637042743415782	0.00788178558299635	149	130	0.420254628362585	0.792667755493334
t197	seroconv	1	-0.00421522910098576	0.0053690834989891	149	15	0.433662604439161	0.792667755493334
t40545	seroconv	1	-0.0027364014226684	0.00267756360419017	149	20	0.308471940980001	0.792667755493334
t1313	seroconv	1	0.00513058026741047	0.00234468488465868	149	149	0.0302359646075073	0.792667755493334
t1550024	seroconv	1	0.00695873430041468	0.00388759200874941	149	45	0.0755146598897371	0.792667755493334
t1502	seroconv	1	-0.00352397705177017	0.00379908900694907	149	88	0.355143513794583	0.792667755493334
t33039	seroconv	1	-0.00352304705960198	0.00428058514339801	149	59	0.411824476570145	0.792667755493334
t33010	seroconv	1	-0.00767301869938652	0.00582217402948406	149	62	0.189588620599052	0.792667755493334
t1812935	seroconv	1	0.00741393414072129	0.00658999870780171	149	111	0.262410675417661	0.792667755493334
t47715	seroconv	1	-0.00353909274542352	0.00352986788516158	149	38	0.31769498183022	0.792667755493334
t584	seroconv	1	-0.00428429072867675	0.00417011215576562	149	33	0.305929024730794	0.792667755493334
t1358	seroconv	1	-0.00151291104056903	0.00110771627919474	149	65	0.174090026330562	0.792667755493334
t28901	seroconv	1	-0.00353472585838709	0.00248382161681924	149	137	0.156826065769411	0.792667755493334
t202956	seroconv	1	-9.52899379937637e-05	0.000109012874573358	149	11	0.383480698403602	0.792667755493334
t624	seroconv	1	-0.00515316465585023	0.00278075738825476	149	77	0.0658654267941006	0.792667755493334
t1633	seroconv	1	0.0031138014306439	0.00248530678161403	149	44	0.212237211294476	0.792667755493334
t545	seroconv	1	-0.0048239074311898	0.00456023886202439	149	57	0.291873166456621	0.792667755493334
t571	seroconv	1	-0.00312136124328767	0.00321214699245514	149	110	0.332777769000516	0.792667755493334
t1134687	seroconv	1	-0.00334731962131894	0.0030560418068438	149	104	0.275171242496624	0.792667755493334
t621	seroconv	1	-0.00328011036524369	0.0019549886114665	149	117	0.0955079843757437	0.792667755493334
t2763022	seroconv	1	0.00300313692835522	0.00260608245010596	149	30	0.251045028213409	0.792667755493334
t113107	seroconv	1	0.00139123540178821	0.00128883634052399	149	147	0.282154770519584	0.792667755493334
t2109685	seroconv	1	0.00319461843042904	0.00286948096935389	149	45	0.267392983198839	0.792667755493334
t328813	seroconv	1	0.00854403158865579	0.00571439582951859	149	15	0.137012011360893	0.792667755493334
t1303	seroconv	1	0.00167460441385156	0.00154955492547059	149	149	0.281600276899935	0.792667755493334
t1522	seroconv	1	0.00418762798350559	0.00296798156797431	149	76	0.160376704212645	0.792667755493334
t111015	seroconv	1	0.00253994396294563	0.00172862126658378	149	27	0.143875660952696	0.792667755493334
t1311	seroconv	1	-0.00142495158005926	0.00174997400501715	149	131	0.41680732685651	0.792667755493334
t1871022	seroconv	1	0.0017643127640356	0.00158473794009276	149	42	0.267390266509673	0.792667755493334
t1531	seroconv	1	-0.00342704144371116	0.00330332517658255	149	28	0.301228758817809	0.792667755493334
t1623	seroconv	1	-0.000823787513899166	0.000799815714791184	149	31	0.304714998580975	0.792667755493334
t37734	seroconv	1	0.00347028352189616	0.00247410887409245	149	60	0.16283270985423	0.792667755493334
t1736	seroconv	1	0.00218227615013786	0.00140458238878134	149	80	0.12241030969351	0.792667755493334
t53442	seroconv	1	0.000988616113930487	0.000674309969419738	149	14	0.14475276739282	0.792667755493334
t28118	seroconv	1	0.00379648341264492	0.00342927678230489	149	38	0.270067682451204	0.792667755493334
t548	seroconv	1	-0.000897890075487913	0.000927221502309855	149	102	0.334451999377827	0.792667755493334
t2584944	seroconv	1	-0.00401986268274467	0.00334123320855326	149	25	0.23086880860089	0.792667755493334
t2479767	seroconv	1	-0.00141886236315317	0.00088666066567725	149	65	0.111694216261492	0.792667755493334
t1683	seroconv	1	0.00177409903656405	0.0012427075270127	149	147	0.155525669543411	0.792667755493334
t2382163	seroconv	1	0.000837591886458099	0.000993001811932271	149	137	0.400322233540996	0.792667755493334
t1156433	seroconv	1	0.000785757662123664	0.000865765100958169	149	138	0.365581579553452	0.792667755493334
t2582419	seroconv	1	-0.000489293978780031	0.000602130045743466	149	18	0.417758538694839	0.792667755493334
t2715212	seroconv	1	0.00118584271342829	0.000974430421121892	149	41	0.225569669123517	0.792667755493334
t2823317	seroconv	1	-0.000478549145210317	0.000408581596328976	149	49	0.243395325311596	0.792667755493334
t622	seroconv	1	-0.00202782239601323	0.00132219827023909	149	110	0.127259050030956	0.792667755493334
t1379	seroconv	1	0.00155521120178103	0.00113393338841604	149	136	0.172303057229448	0.792667755493334
t166486	seroconv	1	-0.00277705714694463	0.00135180484966674	149	79	0.041714694370295	0.792667755493334
t1382	seroconv	1	0.00169950816732529	0.00117281082452604	149	48	0.149442415738376	0.792667755493334
t1912897	seroconv	1	-0.00126784042238167	0.000968858273400787	149	47	0.192714731009728	0.792667755493334
t1433513	seroconv	1	0.00211533420597153	0.00105122748826687	149	141	0.0460200631878525	0.792667755493334
t1584	seroconv	1	0.00168908309726854	0.00140995861063045	149	63	0.232858046969432	0.792667755493334
t47770	seroconv	1	0.00219405114692345	0.00182044466799133	149	47	0.230051820703412	0.792667755493334
t2026240	seroconv	1	-0.00067356058884409	0.000584253545419402	149	62	0.25084044201356	0.792667755493334
t2755405	seroconv	1	0.000941565745693978	0.00118462281008163	149	28	0.427997723911257	0.792667755493334
t2093856	seroconv	1	-0.00134646365781798	0.000942280714963127	149	34	0.155142673726297	0.792667755493334
t97478	seroconv	1	-0.00107434572794023	0.000733812379101226	149	30	0.145312618666087	0.792667755493334
t1260	seroconv	1	-0.00124744164504834	0.00072145138734233	149	116	0.0858955172930472	0.792667755493334
t28132	seroconv	1	-0.00118956580684138	0.00134239467330261	149	70	0.376982959305722	0.792667755493334
t1283	seroconv	1	0.00133994593353922	0.000837080358869967	149	115	0.111581979352733	0.792667755493334
t33035	seroconv	1	-0.00117775001044444	0.00100776152189268	149	97	0.244424613576206	0.792667755493334
t1796613	seroconv	1	0.00153271545279537	0.00116402254208841	149	33	0.189974799454651	0.792667755493334
t39488	seroconv	1	-0.00170397221931394	0.00123802827535764	149	58	0.17080324675458	0.792667755493334
t1748967	seroconv	1	-0.00107931726831763	0.00137144594020609	149	15	0.432553404317931	0.792667755493334
t108981	seroconv	1	0.000552336992787645	0.000642129367476701	149	37	0.391098962026468	0.792667755493334
t40520	seroconv	1	-0.00131759567249253	0.0011134821215861	149	66	0.238596034448653	0.792667755493334
t70346	seroconv	1	0.000589783318541777	0.000752308967720239	149	17	0.43432249756867	0.792667755493334
t626932	seroconv	1	-0.000583754124378654	0.000583337454500585	149	17	0.318609387405494	0.792667755493334
t208224	seroconv	1	-0.00139930097811772	0.00118336828219645	149	86	0.238927186720171	0.792667755493334
t116085	seroconv	1	-0.000991330070184926	0.000907429348433524	149	48	0.276418217231409	0.792667755493334
t39950	seroconv	1	-0.00115311415580333	0.000914432331848062	149	51	0.209300601753164	0.792667755493334
t1598	seroconv	1	-0.000973842506432381	0.00101913179848855	149	82	0.340862909050066	0.792667755493334
t67827	seroconv	1	-0.00119200273951697	0.00124583832114911	149	44	0.340245322407036	0.792667755493334
t28090	seroconv	1	0.000245836382806892	0.000280212717720781	149	18	0.381744103351473	0.792667755493334
t1852377	seroconv	1	0.000739159005332579	0.000872726615736033	149	41	0.398397705049053	0.792667755493334
t2364787	seroconv	1	-0.0008380275330805	0.0010537557669367	149	22	0.427734726478373	0.792667755493334
t727	seroconv	1	0.00061170812392967	0.000682031969593393	149	71	0.371243737477135	0.792667755493334
t28131	seroconv	1	-0.000950199730132658	0.000813917856476081	149	55	0.244923145506809	0.792667755493334
t301301	seroconv	1	-0.000832143164279311	0.000509860030289774	149	40	0.104798543500489	0.792667755493334
t604330	seroconv	1	0.00109960881010027	0.000765556816024105	149	80	0.153027064478789	0.792667755493334
t1636603	seroconv	1	0.000350496706452037	0.000439311725457362	149	9	0.426255244353679	0.792667755493334
t28025	seroconv	1	0.00105701621328403	0.000489913883474173	149	141	0.0325871710047648	0.792667755493334
t2500542	seroconv	1	0.00200770397181563	0.00122400480123378	149	11	0.103086204514216	0.792667755493334
t1805478	seroconv	1	0.00113229226776184	0.00104640565544535	149	25	0.280989843735752	0.792667755493334
t143361	seroconv	1	-0.00127113451660935	0.00083828657195483	149	35	0.131578761567302	0.792667755493334
t2823316	seroconv	1	-0.000592571402077395	0.000640710164546512	149	49	0.356551089768202	0.792667755493334
t2684658	seroconv	1	-0.000980370881966997	0.000842798349737449	149	31	0.246619717046774	0.792667755493334
t2093857	seroconv	1	-0.00114979168762704	0.000852828023018717	149	23	0.179664435285883	0.792667755493334
t2109687	seroconv	1	-0.00133416645490545	0.00114180144289207	149	22	0.244506692823136	0.792667755493334
t2545797	seroconv	1	0.00035206720655483	0.000367157674352757	149	7	0.339184002330341	0.792667755493334
t1177574	seroconv	1	-0.000647675735112068	0.000600480590665445	149	46	0.282534708269442	0.792667755493334
t84030	seroconv	1	-0.000460777614447739	0.000560692936185443	149	37	0.412521477296672	0.792667755493334
