feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t550	breastfed_child	nonexclusive	0.0622572684856698	0.0141065983981823	132	100	2.17455728387403e-05	0.0171700754847604
t1812935	breastfed_child	nonexclusive	0.01364424728016	0.00310349575844221	132	90	2.32656849386997e-05	0.0171700754847604
t102684	breastfed_child	nonexclusive	0.0534908281533735	0.0133016630979642	132	103	9.94295088636873e-05	0.0173040551855449
t2003188	breastfed_child	nonexclusive	0.0136877165238138	0.00333371353299538	132	59	7.2226085845836e-05	0.0173040551855449
t315405	breastfed_child	nonexclusive	0.0243632429831064	0.00568598433197354	132	104	3.61687030774102e-05	0.0173040551855449
t470	breastfed_child	nonexclusive	0.00836539426328145	0.00209527530135643	132	54	0.000110787735636063	0.0173040551855449
t28141	breastfed_child	nonexclusive	0.00361261080256698	0.000891277856975678	132	58	8.81611155750623e-05	0.0173040551855449
t2698804	breastfed_child	nonexclusive	0.00679065909117073	0.00168321475578777	132	39	9.46936765952824e-05	0.0173040551855449
t2684658	breastfed_child	nonexclusive	0.00542494750766144	0.00136395940062943	132	26	0.000117236146243529	0.0173040551855449
t2774055	breastfed_child	nonexclusive	0.00401328435076909	0.00100863255920458	132	29	0.000116545867695091	0.0173040551855449
t2058152	breastfed_child	nonexclusive	0.00572149222202929	0.00150600151372445	132	56	0.000225570460340123	0.0302674544965474
t881260	breastfed_child	nonexclusive	0.00530584462339626	0.00146209271115053	132	31	0.000413298419363567	0.0508357055817188
t2722820	age_at_first_dose	age_at_first_dose	0.00117746888235735	0.000337556141870277	132	17	0.000671947139718231	0.0762918444787776
t1491	mode_delivery	vaginal	-0.00353466109145454	0.00103114614743055	132	82	0.000824159852876039	0.0868899959175023
t111015	age_at_first_dose	age_at_first_dose	0.00501033392346543	0.00147816932373094	132	16	0.000937149495458785	0.0907951363571515
t37734	breastfed_child	nonexclusive	0.00475057136032369	0.0014076414909645	132	57	0.000984229120402726	0.0907951363571515
t1311	breastfed_child	nonexclusive	0.00749086251721819	0.00227482418350592	132	119	0.00128952414301864	0.106065239989963
t208224	breastfed_child	nonexclusive	0.00382009976068772	0.00116041742326595	132	81	0.00129347853646296	0.106065239989963
t34062	mode_delivery	vaginal	-0.00137276741597045	0.000421911610045235	132	53	0.00146534864179734	0.113834452383836
t1134687	breastfed_child	nonexclusive	0.00675182153807145	0.00211812635442265	132	91	0.00181244137721786	0.133758173638678
t471189	breastfed_child	nonexclusive	0.00514116092942514	0.00163026252865925	132	55	0.00201997951030072	0.141975702723993
t39778	breastfed_child	nonexclusive	0.0233912227194243	0.0074897424001914	132	112	0.00222418578039497	0.142520934242526
t1358	breastfed_child	nonexclusive	0.0218632855014247	0.0070299009871746	132	60	0.00231741356491912	0.142520934242526
t1871022	breastfed_child	nonexclusive	0.00463389815336282	0.00147975952225405	132	47	0.00216593452527378	0.142520934242526
t1584	breastfed_child	nonexclusive	0.00898488610500166	0.00290323510435749	132	50	0.00243091620201932	0.14352129256722
t571	mode_delivery	vaginal	-0.00974040690050376	0.00318137786125095	132	97	0.00269498280575895	0.152992100819239
t1335613	age_at_first_dose	age_at_first_dose	0.00176006056840196	0.000580012770010102	132	49	0.0029314160587495	0.160250744544973
t2109685	breastfed_child	nonexclusive	0.00637682175967035	0.00212614515331494	132	48	0.0032669623416842	0.172215586297353
t1496	age_at_first_dose	age_at_first_dose	0.00331893251266019	0.00111421927937617	132	90	0.00347822342698614	0.177029578559708
t823	age_at_first_dose	age_at_first_dose	0.0212401501514026	0.00719325806336262	132	50	0.00376286145885835	0.179160758492739
t2596949	age_at_first_dose	age_at_first_dose	0.000846297056005601	0.000286450473460373	132	19	0.00374422080155952	0.179160758492739
t216816	breastfed_child	nonexclusive	-0.298140633352732	0.102672787037083	132	132	0.00436011387980187	0.185937727778896
t1681	mode_delivery	vaginal	0.138000836454112	0.0472891747842241	132	131	0.00417562296779125	0.185937727778896
t1463165	breastfed_child	nonexclusive	0.0158052546139094	0.00545525611263579	132	102	0.00444613365872262	0.185937727778896
t28901	breastfed_child	nonexclusive	0.00944413150631841	0.00326717556342944	132	113	0.00453506653119258	0.185937727778896
t61645	breastfed_child	nonexclusive	0.00327411100127798	0.00112002787989503	132	62	0.00411333352085583	0.185937727778896
t712623	birth_weight	birth_weight	0.00390957877664125	0.00137364655721418	132	125	0.0051738656736163	0.190604580964228
t712633	birth_weight	birth_weight	0.00270883664413834	0.000950756225309777	132	127	0.00512820605795157	0.190604580964228
t169679	mode_delivery	vaginal	-0.00153926047974014	0.000542318458772271	132	22	0.00529457169345077	0.190604580964228
t36745	mode_delivery	vaginal	-0.00142123826010502	0.000495870402663703	132	46	0.00487683077838307	0.190604580964228
t83655	breastfed_child	nonexclusive	0.00304877839514489	0.00106787258919246	132	52	0.00504025147681242	0.190604580964228
t2584944	age_at_first_dose	age_at_first_dose	0.001548836211513	0.000549432061652621	132	29	0.00560327773677481	0.196338186666038
t28141	age_at_first_dose	age_at_first_dose	0.000750073060078637	0.000266746542061069	132	58	0.00571987942184257	0.196338186666038
