feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t216816	seroconv	1	0.0921838455921745	0.0835639960086576	132	132	0.271998791652422	0.737517615442943
t1685	seroconv	1	-0.0504809366197252	0.0539820525334363	132	132	0.35144845810813	0.737517615442943
t817	seroconv	1	-0.0420585355199479	0.0277430671337205	132	60	0.131946774088714	0.737517615442943
t823	seroconv	1	-0.0341420461957829	0.0197308888885202	132	50	0.0859344204183008	0.737517615442943
t1686	seroconv	1	-0.0248236345391251	0.0206293957549257	132	128	0.231041697175548	0.737517615442943
t1304	seroconv	1	0.0147254633687873	0.0114895039229509	132	132	0.202248457443751	0.737517615442943
t821	seroconv	1	-0.0196882556191059	0.0109339693380984	132	58	0.0740764453540953	0.737517615442943
t29466	seroconv	1	0.0199855198307044	0.0166960957679911	132	122	0.233477984694195	0.737517615442943
t1596	seroconv	1	0.0118569810641449	0.010883681178929	132	67	0.27798079736175	0.737517615442943
t39777	seroconv	1	0.00978866483993246	0.00941439312712659	132	119	0.300383563419374	0.737517615442943
t2107999	seroconv	1	0.0130885176521571	0.0111866000213197	132	58	0.244134469351504	0.737517615442943
t818	seroconv	1	-0.00645210660660074	0.00332571382905707	132	60	0.0545368078357941	0.737517615442943
t28026	seroconv	1	-0.0184569951696167	0.011954442980577	132	127	0.125032642576054	0.737517615442943
t239935	seroconv	1	0.00956831567043602	0.0106638686119742	132	46	0.371236217770228	0.737517615442943
t74426	seroconv	1	-0.0237412054722944	0.0131919217476251	132	92	0.0742308705460959	0.737517615442943
t371601	seroconv	1	-0.0122712620064749	0.0124049354269483	132	53	0.324391103224701	0.737517615442943
t46503	seroconv	1	-0.00551642357753574	0.00255261643788817	132	36	0.03252143743211	0.737517615442943
t165179	seroconv	1	-0.0114236993992262	0.0104754031025021	132	71	0.277498698022811	0.737517615442943
t47678	seroconv	1	-0.00798503553272619	0.0072033063001947	132	45	0.269682339487581	0.737517615442943
t357276	seroconv	1	-0.00689549083551121	0.00284385799771713	132	49	0.0166955790291848	0.737517615442943
t2709390	seroconv	1	-0.0106278048368071	0.010399908934508	132	28	0.308719884160459	0.737517615442943
t820	seroconv	1	-0.0121733969941387	0.00784653945244197	132	54	0.123228551990144	0.737517615442943
t1463165	seroconv	1	0.00511521643238954	0.00445999857998425	132	102	0.253525369467808	0.737517615442943
t2025876	seroconv	1	-0.00246231976505704	0.00146943448744401	132	20	0.0962021025289176	0.737517615442943
t1343	seroconv	1	0.0112362232956485	0.00632102239368742	132	129	0.0778084171813984	0.737517615442943
t102684	seroconv	1	-0.0113556286453594	0.011128500661901	132	103	0.309429453609824	0.737517615442943
t1680	seroconv	1	-0.00872531498246341	0.00522543954466177	132	127	0.0973698716736334	0.737517615442943
t2162637	seroconv	1	-0.0100440939311862	0.00640021352332241	132	23	0.119000222737848	0.737517615442943
t1689	seroconv	1	-0.00302156811506367	0.00331400102086468	132	127	0.363583573672575	0.737517615442943
t437897	seroconv	1	-0.00252298865758295	0.00268067658582705	132	64	0.348360267936723	0.737517615442943
t1318	seroconv	1	0.00307992571140398	0.00307458915171933	132	131	0.318332207186325	0.737517615442943
t292800	seroconv	1	-0.00725355066341229	0.00482731285489256	132	69	0.135365892693986	0.737517615442943
t2610896	seroconv	1	0.00333174061474483	0.00311544577703989	132	130	0.286859145649076	0.737517615442943
t1316408	seroconv	1	0.00343947260551635	0.00307466171760191	132	130	0.265351972793138	0.737517615442943
t1839799	seroconv	1	0.00587846985339832	0.00399749479602822	132	129	0.143832250764856	0.737517615442943
t40545	seroconv	1	-0.00522513430421827	0.0033925550640313	132	27	0.125947899881579	0.737517615442943
t1280	seroconv	1	0.00781956210868613	0.00383796190886599	132	122	0.0436367801060439	0.737517615442943
t1547	seroconv	1	-0.00849153386584298	0.00707905038198916	132	49	0.232503566932963	0.737517615442943
t1550024	seroconv	1	-0.00731353659472321	0.00729235515709565	132	41	0.317769999282173	0.737517615442943
