feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
t562	seroconv	1	-0.0528371966038843	0.0348580491344647	282	278	0.130702623760323	0.634729432342812
t823	seroconv	1	-0.0257038810652104	0.0120327837602049	282	109	0.0335340151953612	0.634729432342812
t239935	seroconv	1	0.0154888082430599	0.0071891642109175	282	93	0.0320566220321029	0.634729432342812
t74426	seroconv	1	-0.0143130139683962	0.00786629739753776	282	202	0.0698974771740176	0.634729432342812
t46503	seroconv	1	0.0140914035016418	0.0090786606594326	282	77	0.121756912129729	0.634729432342812
t165179	seroconv	1	-0.00945508968763242	0.00664457362499097	282	147	0.155855393576466	0.634729432342812
t357276	seroconv	1	-0.00443758115517487	0.0032883106850724	282	107	0.178265952688454	0.634729432342812
t1613	seroconv	1	-0.00888811065480185	0.00653025790392314	282	183	0.174587285626584	0.634729432342812
t820	seroconv	1	-0.00683326406274376	0.0049744273024814	282	116	0.170640283155688	0.634729432342812
t102684	seroconv	1	-0.0092619464758856	0.00638053046138629	282	229	0.147733735278759	0.634729432342812
t28037	seroconv	1	0.00542453313798388	0.00283780257226109	282	282	0.0569577656413999	0.634729432342812
t1689	seroconv	1	-0.00628813102488737	0.00470195694809528	282	274	0.182195925911917	0.634729432342812
t158836	seroconv	1	-0.00517485138291337	0.00370216490565969	282	228	0.163282337266368	0.634729432342812
t1318	seroconv	1	0.00302216255922008	0.00203117405088853	282	278	0.137905340668971	0.634729432342812
t907	seroconv	1	-0.00551246188312207	0.00393662402232336	282	152	0.162530065028444	0.634729432342812
t292800	seroconv	1	-0.00841909741151826	0.00448521878415996	282	148	0.0615473390469336	0.634729432342812
t2610896	seroconv	1	0.00319456124336955	0.00206650697812423	282	275	0.123264244962575	0.634729432342812
t1316408	seroconv	1	0.00299345106008412	0.00201511696104794	282	276	0.138537103506345	0.634729432342812
t33945	seroconv	1	0.0071201261406915	0.0039280526818843	282	137	0.0709590166437587	0.634729432342812
t1839799	seroconv	1	0.00347146132456008	0.00265214232929205	282	276	0.191632227122457	0.634729432342812
t40545	seroconv	1	-0.00383983755118359	0.00210879647115479	282	47	0.0696943368643871	0.634729432342812
t1280	seroconv	1	0.00492367400229256	0.00268315789329182	282	258	0.0675620203377051	0.634729432342812
t1547	seroconv	1	-0.00546077903541073	0.00375364447679058	282	93	0.146846443009803	0.634729432342812
t1316410	seroconv	1	0.00345051650781475	0.00237100924905291	282	242	0.146707978866251	0.634729432342812
t202956	seroconv	1	-0.000127819741593025	8.75591466284247e-05	282	22	0.145463255580746	0.634729432342812
t84112	seroconv	1	-0.003452008686586	0.00247482092352366	282	136	0.164166017764993	0.634729432342812
t624	seroconv	1	-0.00356757876566447	0.00205179588187899	282	148	0.0831762871739156	0.634729432342812
t1633	seroconv	1	0.00401485415200158	0.002138981177372	282	87	0.0615586912157497	0.634729432342812
t113107	seroconv	1	0.00157644931293228	0.000970576970623091	282	278	0.105449880145887	0.634729432342812
t328813	seroconv	1	0.00467480241479612	0.00311276673552256	282	32	0.134271551977012	0.634729432342812
t623	seroconv	1	-0.00333201483288221	0.00151361656570235	282	215	0.0285264126908608	0.634729432342812
t1597	seroconv	1	0.00289271743777218	0.00163437901015324	282	155	0.0778290031080546	0.634729432342812
t1531	seroconv	1	-0.0031306745925424	0.00206656375324328	282	70	0.130921200594842	0.634729432342812
t1736	seroconv	1	0.00202717767147034	0.001476825447992	282	153	0.170956833982325	0.634729432342812
t2584944	seroconv	1	-0.00325613429190515	0.0019302005111998	282	54	0.0927284134054569	0.634729432342812
t2479767	seroconv	1	-0.003134606086414	0.0015884877882169	282	127	0.049441503249937	0.634729432342812
t2420310	seroconv	1	0.00269130951838209	0.00131327644933073	282	67	0.041363588570018	0.634729432342812
t2823317	seroconv	1	-0.000503883144906933	0.000351616201032833	282	101	0.152959501897284	0.634729432342812
t257758	seroconv	1	0.00110195347526906	0.000838787053002023	282	266	0.190006940366264	0.634729432342812
t166486	seroconv	1	-0.0020506279086873	0.00135017221631034	282	153	0.129943694415899	0.634729432342812
t28111	seroconv	1	-0.00160470263173595	0.00107860736361495	282	100	0.137941017524103	0.634729432342812
t208962	seroconv	1	-0.00236237823635397	0.00171767885759301	282	221	0.170127961279437	0.634729432342812
t410072	seroconv	1	-0.00170067182675641	0.00111147847262384	282	135	0.127121238342361	0.634729432342812
t2528203	seroconv	1	-0.00104190580451634	0.000761377847402304	282	52	0.17226896010082	0.634729432342812
t47770	seroconv	1	0.00191377668583182	0.00106679045728461	282	90	0.0738987905618767	0.634729432342812
t2093856	seroconv	1	-0.00179110638415317	0.000763913714051984	282	64	0.0197439559016925	0.634729432342812
t1260	seroconv	1	-0.0014381279554177	0.000727531181595551	282	217	0.0490539157253776	0.634729432342812
t33035	seroconv	1	-0.00166074173344792	0.00106029626634198	282	192	0.118407894747448	0.634729432342812
t39488	seroconv	1	-0.00169523121265741	0.0011695917612748	282	115	0.148339038885245	0.634729432342812
t471189	seroconv	1	-0.00147655264168382	0.000890095550186581	282	109	0.0982617132097843	0.634729432342812
t40520	seroconv	1	-0.00197745103508802	0.00125252241480189	282	135	0.115516707048572	0.634729432342812
t1499973	seroconv	1	-0.000847003677742858	0.000417198405693264	282	213	0.0432795263911535	0.634729432342812
t39950	seroconv	1	-0.00161847454238588	0.000823810998251737	282	112	0.0504471253981144	0.634729432342812
t2698804	seroconv	1	-0.00111186602697044	0.000849605547464346	282	80	0.191714195891298	0.634729432342812
t2364787	seroconv	1	-0.00110971084446363	0.000780483172468745	282	43	0.156189833048329	0.634729432342812
t28131	seroconv	1	-0.00110759510258539	0.000633172877481529	282	105	0.0813386973024572	0.634729432342812
t301301	seroconv	1	-0.00157443145027448	0.000904429444446353	282	87	0.0828169883524167	0.634729432342812
t28025	seroconv	1	0.000854389722632304	0.000358695228236139	282	266	0.0178898250569871	0.634729432342812
t40214	seroconv	1	0.000395860481119888	0.000210962567043857	282	45	0.0616336811264332	0.634729432342812
t143361	seroconv	1	-0.00110517291584623	0.000645533317898151	282	74	0.0879982113718689	0.634729432342812
t2823316	seroconv	1	-0.00110437836484523	0.000724482865338663	282	102	0.128545507124803	0.634729432342812
t2684658	seroconv	1	-0.00102416930739584	0.000687716062145625	282	57	0.137551553088801	0.634729432342812
t2093857	seroconv	1	-0.00172967504284894	0.000858043374943385	282	46	0.0447721329483889	0.634729432342812
t2109687	seroconv	1	-0.00130671176430373	0.000744006030558482	282	42	0.0801271941561607	0.634729432342812
t1177574	seroconv	1	-0.000692846263037808	0.000515583850915612	282	93	0.180098043355967	0.634729432342812
t84030	seroconv	1	-0.0011296941488888	0.000614079748004374	282	89	0.0668775939782184	0.634729432342812
t1297617	seroconv	1	-0.00123915238679529	0.000621591583885552	282	98	0.0471750898294021	0.634729432342812
t2714355	seroconv	1	-0.00141718339415873	0.000795251353629605	282	68	0.0758235164881287	0.634729432342812
t195	seroconv	1	-0.00062461520558472	0.000437882647654695	282	37	0.154854171951987	0.634729432342812
t43765	seroconv	1	0.000263567184300548	0.000156464017023203	282	66	0.0931949773318837	0.634729432342812
t39485	seroconv	1	-0.000804972172444006	0.00060078561743111	282	75	0.181375299397185	0.634729432342812
t28129	seroconv	1	-0.000603083299087999	0.000442241701313882	282	55	0.173758548295243	0.634729432342812
t839	seroconv	1	-0.000520721273106523	0.000397165835486016	282	22	0.190900608010268	0.634729432342812
t71999	seroconv	1	0.000201690453638771	0.00014877665451025	282	88	0.176300013971202	0.634729432342812
t626932	seroconv	1	-0.000748314161294036	0.000580323862921304	282	33	0.198296503866928	0.639245308518388
t1583	seroconv	1	-0.000593516048513471	0.000459154947865262	282	67	0.197205768554012	0.639245308518388
t817	seroconv	1	-0.0199331077938631	0.0167345894077166	282	135	0.234610435040106	0.645928560881293
t1282	seroconv	1	0.00496366531064528	0.00408989869877337	282	280	0.225907901098453	0.645928560881293
t1313	seroconv	1	0.00226893200442627	0.00185066165271605	282	282	0.221224551329929	0.645928560881293
t33039	seroconv	1	-0.00324452819525109	0.00261642126415395	282	121	0.215990150022087	0.645928560881293
t1834196	seroconv	1	-0.00301590100982191	0.00253214069624693	282	97	0.234643436401776	0.645928560881293
t621	seroconv	1	-0.00179187571324939	0.00150223211516717	282	217	0.233954057380544	0.645928560881293
t37734	seroconv	1	0.00178918820513897	0.00144199103834966	282	118	0.215727023861664	0.645928560881293
t1156431	seroconv	1	0.00086336751728615	0.000722624224569499	282	266	0.233189153843912	0.645928560881293
t28132	seroconv	1	-0.00135186395406278	0.00109447012240188	282	132	0.217800182162455	0.645928560881293
t116085	seroconv	1	-0.00127779821856139	0.00101068327761455	282	103	0.207176848810155	0.645928560881293
t34062	seroconv	1	0.000434563426497469	0.000362177920602423	282	112	0.231207298049651	0.645928560881293
t2722820	seroconv	1	-0.000887332766529713	0.000739349082222677	282	40	0.231093968372089	0.645928560881293
t282402	seroconv	1	-0.000466773513294544	0.000371374371588077	282	30	0.209844078856096	0.645928560881293
t1433513	seroconv	1	0.000904579844143169	0.000772370168910466	282	266	0.242524549238565	0.660205717371649
t29466	seroconv	1	0.0110380113201732	0.00955397747219168	282	260	0.248939643859975	0.665288352428531
t2785531	seroconv	1	-0.00156697524258122	0.00135883715486233	282	62	0.249822564993571	0.665288352428531
t1156433	seroconv	1	0.00074794438841483	0.000660261191402527	282	261	0.258267010635698	0.680380834470388
t2026240	seroconv	1	-0.000572964797264594	0.000517521220110666	282	115	0.269186659924353	0.694218228225962
t328812	seroconv	1	-0.000608346775872766	0.00054753768533851	282	51	0.267496024007565	0.694218228225962
t1464	seroconv	1	-0.000742681643890801	0.00067491788661236	282	24	0.272101714102633	0.694426249532761
t216816	seroconv	1	0.0580235241240527	0.0557082709501368	282	282	0.298514062011948	0.704066437963553
t1680	seroconv	1	-0.00303567062847578	0.00285670208874365	282	275	0.288856949650977	0.704066437963553
t853	seroconv	1	-0.00667308239238856	0.00617864930522963	282	249	0.281061415747592	0.704066437963553
t1502	seroconv	1	-0.00248632118412118	0.00232420664149268	282	168	0.285652940147763	0.704066437963553
t1358	seroconv	1	-0.00290103714503347	0.00276082412718419	282	125	0.294262632433239	0.704066437963553
